རྫོང་ཁ	*rd͡zoŋkʰa
ཨ་མ	ʔa˥˥ma˥˥
བསྟན	tɛ̃˥˥
རྐང་འཁོར	*rkaŋᵑkʰor
བུ	pʰu˩˧
གང་ཡིན་ཟེར་ན	*ɡaŋjinzerna
སྨན	*zman
མི	*mi
རང་རྟོགས	ʐaŋ˩˧tok̚ˀ˥˩
གསར་འགྱུར	*ksarᵑɡʲur
བརྒྱད་ཅུ	hd͡ʑat͡ɕə
འཁྲོལ	ʈ͡ʂʰøː˥˥
ཅིག	t͡ɕi˥˩
ལྟ་བུ	*ltabu
སྒྱུ་རྩལ	cu˩˧t͡sɛː˥˥
དམག་འཁྲུག	*dmakᵑkʰruk
གི	*ɡi
གཡུ་མདོག	*ɡjumdok
ཟ་ཁང	*zakʰaŋ
སྦྲང་རྩི	ʈ͡ʂəŋ˩˧t͡si˥˥
ན	na˩˧
རླུང་གཡབ	*rluŋɡjap
ཟུམ	*zum
ལྟ	rta
དྲུག	*druk
སྤ་སེ	*spase
འབྲུག་ཡུལ	ʈ͡ʂuk̚ˀ˩˧jyː˥˥
མདོང་མོ	*mdoŋmo
དར་ལྕོག	*darlt͡ɕok
རླབས	ləp̚˥˩
སློབ	ləp̚˥˩
འདས་པ	tɛː˩˧˨paˑ
སྐྱ་བོ	*skʲabo
གནམ	*gnam
རྒྱན་ཚིག	cɛ̃˩˧t͡sʰi˥˩
ནགས	na˩˧˨
མུ་མེན	mu˩˧mẽˑ
གཏམ་བཟང	*ktambzaŋ
ལེགས་སྦྱར་སྐད	lek̚ˀ˩˧t͡ɕaː˥˥kɛː˥˩
གདུགས	tu˩˧˨
ལྗོངས	t͡ɕoŋ˩˧˨
ཙ	t͡sa˥˥
གོག	kʰo˩˧˨
རྣ་བ	*rnaba
ཤེལ་སྒོ	ɕeː˥˥ko˥˥
འཛུད	*ⁿd͡zut
ཕོ	*pʰo
བརྒྱ	wɟja
གལ་ཆེན་པོ	*ɡalt͡ɕʰenpo
ལ	laˑ
གཏུམ	*ktum
མི་དམངས	*midmaŋs
འཆི	*ⁿt͡ɕʰi
རོལ་མོ	ʐøː˩˧mo˥˥
ཀླད་པ	lɛː˥˥pa˥˥
རྩིག་པ	t͡sik̚ˀ˥˥pə˥˥
ལྟེ་བ	te˥˥wa˥˥
སྤོས	pøː˥˩
གཟའ་མིག་དམར	*gzaɣmikdmar
དམན་པ	*dmanpa
ཆོས་རྒྱལ	t͡ɕʰøː˥˥cɛː˥˥
ཕ	*pʰa
ཕྱིན	*pʰʲin
ཡེ་ཤེས	ji˩˧ɕi˥˩
རྒྱལ་རྩེ	caŋ˩˧t͡se˥˥
གངས་ཆེན	*ɡaŋst͡ɕʰen
སྒྲ	ʈ͡ʂa˩˧
མཐའ་མ	tʰa˥˥ma˥˥
ཏིལ	*til
རྡུལ་ཕྲན	*rdulpʰran
མཁྱེན	*mkʰʲen
སྟོབས་རྒྱས	top̚˥˥cɛː˥˥
སྡུད	*zdut
བཞི་བཅུ	wʑəpt͡ɕə
མཇུག་སྒྲིལ	*md͡ʑukzɡril
མནའ་མ	na˥˩ma˩˧
ངག	ŋa˩˧˨
གསོན	*kson
བོད་ཇ	pʰøː˩˧t͡ɕa˥˥
རྡོ	to˩˧
གསང་སྤྱོད	saŋ˥˥t͡ɕøː˥˩
གཅིག	t͡ɕiʔ˥˧
ཕོ	pʰo˥˥
ཟླ་བོ	ta˩˧wo˥˥
བྱང	t͡ɕʰaŋ˩˧
ཁྲེ	*kʰre
ཚེག	*t͡sʰek
ཡང	jɛː˥˥
བོན་པོ	pʰø̃˩˧po˥˥
ནགས	*naks
ཚ་པོ	*t͡sʰapo
ཐང་ཀ	tʰaŋ˥˥ka˥˥
འཁྲོལ	*ᵑkʰrol
ཉམས་མྱོང	*ȵamsmʲoŋ
འབྲི	*ᵐbri
ཆ	t͡ɕʰa˥˥
སྔ	ŋ̊a˥˧
གཅིག	t͡ɕi˥˩
མ	ma˩˧
འཐག	*ⁿtʰak
ཙ	*t͡sa
ཀ་པ་ལ	*kapala
ལྟ་བ	ta˥˥wa˥˥
དྲུང་ཡིག	*druŋjik
སྦྲུལ	ru
འབབ	*ᵐbap
འབྲུག་པ	*ᵐbrukpa
འོང	ʔoŋ˩˧˨
གོང	kʰoŋ˩˧
འཐུམ	tum˥˩
རྔུལ	ŋyː˥˥
རླབས	*rlaps
ནས	nɛː˩˧˨
ཡི་གེ	ji˩˧ki˥˥
ལྟ	ta˥˧
དཀར་པོ	kaː˥˥po˥˥
མཁོ་བ	*mkʰoba
གཅོད	t͡ɕøː˥˩
ཀླད་པ	*klatpa
ལྔ་བཅུ	ŋa˥˧t͡ɕu˥˧
སྤྲུལ་སྐུ	ʈ͡ʂyː˥˥ku˥˥
ཕོར་པ	*pʰorpa
རྩེད་མོ	t͡se˥˥mo˥˥
དགེ་ལུགས་པ	*dɡelukspa
བྱ	*bʲa
སྨྲ	ma˥˥
མ་བྱན	ma˩˧t͡ɕɛ̃ˑ
བདུན་ཅུ	den˩˧t͡ɕu˥˧
ལྟོ	to˥˥
བདག	ta˩˧˨
དབང་ཕྱུག	*dbaŋpʰʲuk
མཚོ	t͡sʰo˥˧
ཨ་མདོ	*ʔamdo
མིད་པ	mik̚ˀ˩˧pa˥˩
འབབ	pəp̚˩˧˨
སྦྱོར	*zbʲor
མཁན་པོ	*mkʰanpo
ལུག	lu˩˧˨
གཡུ་ཁ	*ɡjukʰa
སྡུག་བསྔལ	*zdukbzŋal
རྒྱལ	cɛː˩˧
ཞེ་དྲག	ɕe˩˧˨ʈ͡ʂaː˥˩
ལྷོ	ɬo˥˧
ཤར	xha˥˧
ག་རེ	kʰa˩˧ʐe˥˥
བཙོང	*pt͡soŋ
གཏོར་མ	toː˥˥ma˥˥
ཆུང་བ	t͡ɕʰuŋ˥˩ŋəˑ
རྐང་བ	*rkaŋba
གཙོ་བོ	*kt͡sobo
བཙན་པོ	*pt͡sanpo
དགོས	*dɡos
རྐང་རྩེད་སྤོ་ལོ	kaŋ˥˥t͡se˥˩po˥˥lo˥˥
པ	*pa
ཨ	ʔa˥˥
ལ	*la
ལྷ་ས་བ	ɬɛː˥˥sa˥˩
ཤེས་བྱ	*ɕesbʲa
སྡོམ	*zdom
གཟི	*gzi
མངོན་བརྗོད	*mŋonbrd͡ʑot
སྤྱི་ཚོགས་རིང་ལུགས	*spʲit͡sʰoksriŋluks
སུམ་རྟགས	*sumrtaks
ཀུན	kỹ˥˥
ཚྭ	tsʰá
བོན	pʰø̃˩˧
དགོན་པ	kom˩˧pa˥˥
རིན་ཆེན	ʐĩ˩˧t͡ɕʰẽ˥˥
རྩི་ཤིང	*rt͡siɕiŋ
རྒིལ་འག་སྨེ་ཡེར	*rɡilɣakzmejer
འཁོར་ལོ	kʰo˥˥lo˥˥
ལྡག	ɖ͡ʐi˥˧
མཛོ་མོ	*md͡zomo
ཚིག	*t͡sʰik
སྟོན་པ	tø̃˥˥pa˥˥
དགུ	gu˧˩
ལུད	lyː˩˧˨
བློ་མཐུན	lo˥˥tʰỹ˥˥
སེམས་ཅན	sem˥˥t͡ɕɛ̃˥˥
དབྱར་རྩྭ་དགུན་འབུ	jaː˥˥t͡sa˥˥kỹ˩˧pu˥˥
རྫ	t͡sa˩˧
སྦི་ཅི་ལི	pi˩˧t͡ɕi˥˥liˑ
ང	ŋɑ˨˧˩
ལྔ་བཅུ	ŋau˥˥t͡ɕu˥˧
སྒེ་ཁུང	*zɡekʰuŋ
ཀ་ཀོ་ལ	*kakola
རང་དབང	ʐaŋ˩˧waŋ˥˥
རོལ་ཆ	*rolt͡ɕʰa
ག་པར	*ɡapar
འབུམ	pum˩˧
ཆོས་སྐད	*t͡ɕʰosskat
ལི་ཝང	*liwaŋ
བརྒྱ	*brɡʲa
སྟངས	*staŋs
ལྷ་ས་བ	*l̥asaba
དབྱེ	je˥˥
འདིང	tiŋ˥˥
ཕྱིན	t͡ɕʰĩ˥˩
དབུ	ʔu˥˥
ང	ŋɑ˩˧
བརྒྱད	d͡ʑe˧˩
བཀའ	ka˥˥
རྐང་པ	*rkaŋpa
ཐེར་འབུམ	tʰiŋ˥˥pum˥˥
ཡང	*jaŋ
རོལ་མོ	*rolmo
ལྕམ	*lt͡ɕam
ལྗང་ཁུ	*ld͡ʑaŋkʰu
སྒོ	rgo
བར་དོ	pʰaːɹ˩˧to˥˥
བཞི	ɕi˩˧
རྗེས་མ	*rd͡ʑesma
སྡུར	tuːɹ˩˧
སྒྲུབ་ཐབས	ʈ͡ʂup̚˩˧tʰəp̚˥˩
སྔ	*zŋa
སིལ་ར	*silra
རྐང་པ	kaŋ˥˥pa˥˥
རེ་བ	ʐe˩˧wa˥˥
སྦྲུལ	*zbrul
རྒྱལ་པོ	*rɡʲalpo
འབྲོག་པ	ʈ͡ʂok̚ˀ˩˧pa˥˥
བདེ་སྐྱིད	te˩˧ci˥˩
གནམ་མཚོ	nam˥˥t͡sʰo˥˥
དོམ	toŋ˩˧
འཁོར	kʰoːɹ˥˥
ལྕེ་ཚ	t͡ɕe˥˥t͡sʰaˑ
ཀ་ར	*kara
ཆོས་རྒྱལ	*t͡ɕʰosrɡʲal
ཕྱི	*pʰʲi
བཀའ་བསྒོ	*pkaɣbzɡo
རང་སྐྱོང་ལྗོངས	*raŋskʲoŋld͡ʑoŋs
ཟངས	*zaŋs
གཙོ་བོ	t͡so˥˥woˑ
ཤིང་ནགས	*ɕiŋnaks
སྐྱ་བོ	ca˥˥poˑ
སེམས་པ	*semspa
རིན་པོ་ཆེ	*rinpot͡ɕʰe
ཁོག་ལྡིར	*kʰokldir
སྤྲུལ་སྐུ	*sprulsku
བཀྲ་ཤིས་བདེ་ལེགས	ʈ͡ʂə˥˥ɕi˥˩te˩˧le˥˩
དར་ལྕོག	tʰaːɹ˩˧t͡ɕok̚ˀ˥˩
དར	*dar
འོང	*ɣoŋ
ཨེམ་ཆི	ʔem˥˥t͡ɕʰi˥˥
ལི་ཝང	li˩˧˨waŋˑ
བདུན	dỹ˥˥
ནགས	naχ
སྤྲུལ་པ	ʈ͡ʂyː˥˥pə˥˥
སློབ་ཕྲུག	*zloppʰruk
ལྕགས	*lt͡ɕaks
བདུན་ཅུ	wdənt͡ɕə
བྱང	ɕuŋ˩˧
ང་ཚོ	ŋan˩˧t͡sʰo˥˥
ཡུལ	jyː˩˧
གངས་རི	*ɡaŋsri
སྤྱང་པོ	t͡ɕaŋ˥˥poˑ
སྨན་ཁང	mɛ̃˥˥kʰaŋ˥˥
བཟང་ངན	*bzaŋŋan
འབྲས་མོ་ལྗོངས	ʈ͡ʂɛː˩˧mo˥˥t͡ɕoŋ˩˧˨
མིང་ཚིག	miŋ˩˧t͡sʰi˥˩
པ་སངས	pa˥˥saŋ˥˩
འཛུམས	t͡sum˩˧˨
སྒོག་པ	kok̚ˀ˩˧pa˥˥
མིག་ཆུ	mi˥˥t͡ɕʰu˥˥
སྤྲིན	ʈ͡ʂĩ˥˥
བྱང	ɕõ˩˧
