dubhghall	d̪ˠʊwəl
gnó	ɡɾˠɔː
dtiarna	dʲiəɾˠn̪ˠə
gos	ɡəsˠ
srón	sˠɾˠoːn
tnúth	t̪ˠn̪ˠuː
goidte	ɡɛtʲə
cuimhne	kiːmʲɾʲə
aneas	ən̠ʲæsˠ
ciseáin	cɪʃɑːnʲ
luachair	l̪ˠuəxəɾʲ
domhan	d̪ˠaʊən̪ˠ
gearradh	ɟaɾˠuː
fágáil	fˠæːɡælʲ
monabhar	mˠɔnˠəwəɾˠ
dosna	d̪ˠɔsˠn̪ˠə
chor	xɔɾˠ
cúigiú	kuːɟuː
héirinn	heːɾʲən̠ʲ
asaibh	ɑsˠəvʲ
nollaigí	n̪ˠɔl̪ˠəɟiː
iontu	uːn̪ˠt̪ˠə
tuill	t̪ˠiːl̠ʲ
cnagaire	kɾˠaɡəɾʲə
tiús	tʲuːsˠ
amhráin	oːɾˠɑːnʲ
amaideacha	ɑmədʲəxə
brice	bʲɾʲɪcɪ
caillte	kail̠ʲtʲə
pheadair	fʲad̪ˠəɾʲ
philéir	fʲlʲeːɾʲ
mhná	vˠɾˠɑː
oigheann	əiən
fhir	ɪɾʲ
leagadh	l̠ʲaɡu
leagfaidh	l̠ʲakiː
trínarb	tʲɾʲiːnˠəɾˠbˠ
ráinig	ɾˠɑːnʲɪɟ
gearradh	ɟaɾˠəvˠ
protastúnach	pˠɾˠɔt̪ˠəsˠt̪ˠuːn̪ˠəx
cuireadh	kɪɾʲu
cliste	cʲlʲɪʃtʲə
uirthi	ɞɾˠə
churaigh	xʊɾˠɪɟ
cluiche	klˠɪçə
inar	ɪnˠəɾˠ
gol	ɡɔlˠ
cruit	kɾˠɪtʲ
garda	ɡɑːɾˠd̪ˠə
'un	ənˠ
mallacht	mˠəl̪ˠɑxt̪ˠ
seanmóir	ʃan̪ˠəmoːɾʲ
lao	l̪ˠeː
cósta	koːsˠt̪ˠə
pláta	pˠlˠæːt̪ˠə
macánta	məkɑːn̪ˠt̪ˠə
ráite	ɾˠɑːtʲə
codladh	kɔl̪ˠuː
grinne	ɟɾʲɪɲə
coróin	kɾˠoːnʲ
móide	mˠoːdʲə
clann	kl̪ˠɑːn̪ˠ
bhriseadh	vʲɾʲɪʃəx
fuinneog	fˠɪn̠ʲɔɡ
cuimhne	kiːnʲə
pianadh	pʲiənˠuː
cóta	koːt̪ˠə
furasta	fˠʊɾ̪ˠəst̪ˠə
shnámh	hn̪ˠɑːvˠ
spáin	spˠɑːnʲ
citeal	cɪtʲəlˠ
áirithe	ɑːɾʲəhə
fearthainn	fʲaɾˠhən̠ʲ
fliuchadh	fʲlʲʊxətʲ
chapaill	xapˠəl̪ʲ
marbh	mˠarˠu
túir	t̪ˠuːɾʲ
gearr	ɟɑːɾˠ
monarcha	mˠɔnˠəɾˠxə
fógair	fˠɔːɡəɾʲ
d'fhill	dʲiːlʲ
aithne	ehnʲə
di	d̪ˠiː
stoic	sˠt̪ˠɪc
uaitse	wætʲʃə
gránna	ɡɾˠæːn̪ˠə
deich	dʲɛ
istigh	əʃtʲɪj
cailín	kalʲinʲ
traidisiún	t̪ˠɾˠədʲɪʃunˠ
fuath	fˠuə
luigh	l̪ˠɪɟ
a'	ə
ádh	ɑː
fhágadh	ɑːɡuː
ábhar	ɑːvˠəɾˠ
uait	wɛtʲ
mhná	vˠnˠɑː
chairde	xɑːɾˠdʲə
neamh	n̠ʲavˠ
baoth	bˠiː
orthu	ɔɾˠəbˠ
hainmneacha	hanʲəmʲnʲəxə
glanadh	ɡlˠanˠu
aigesan	ɛɟəsˠən
airím	æɾʲiːmʲ
meitheamh	mʲɛhu
feirge	fʲɛɾʲɪɟɪ
chodlata	kʌl̪ˠət̪ˠə
ghránaigh	ɣɾˠɑːn̪ˠɪɟ
áirid	ɡəhɑːɾʲədʲ
binse	bʲiːnʲʃə
fál	fˠɑːl̪ˠ
aibhne	əivʲn̠ʲə
gcoill	ɡəil̠ʲ
sé	ʃeː
gorm	ɡɔɾˠəmˠ
maor	mˠeːɾˠ
fria	fˠɾˠeː
stopallán	sˠt̪ˠɑpəlˠænˠ
náire	n̪ˠæːɾʲə
fíniúnach	fʲiːnʲunˠah
atá	ət̪ˠɑː
éirigh	əiɾʲiː
uíbh	iːvʲ
cainte	kan̠ʲtʲə
eadrainne	aːt̪ˠɾˠən̠ʲə
cathaoir	kaihiɾʲ
aoire	iːɾʲə
tuairisc	t̪ˠuˑəɾʲɪʃc
dúchas	d̪ˠuːxəsˠ
chodladh	xʌl̪ˠu
bhfreastalaíodh	vʲɾʲasˠt̪ˠəlˠiːx
clearer	klɪɹɚ
airigh	æːɾʲə
speal	sˠpʲalˠ
bréagach	bʲɾʲeːɡah
feall	fʲɑːl̪ˠ
luail	l̪ˠuəlʲ
conas	knɞs
ceannaí	can̪ˠiː
seamróg	ʃamˠɾˠoːɡ
mar	mˠɑɾˠ
eagar	aɡəɾˠ
lorg	l̪ˠɔɾˠəɡ
lúcháir	l̪ˠʊxæɾʲ
turtar	t̪ˠʊɾˠt̪ˠəɾˠ
ósna	oːsˠn̪ˠə
ghaibh	ɣavʲ
blaosc	bˠlˠeːsˠk
socra	sˠʌkɾˠə
bac	bˠak
nathair	n̪ˠæhəɾʲ
pógadh	pˠoːɡətʲ
sábháil	sˠɑːvˠɑːlʲ
alastar	al̪ˠəsˠt̪ˠəɾˠ
suim	sˠɪmʲ
ordú	oːɾˠd̪ˠuː
sáinn	sˠɑːn̠ʲ
luíonn	l̪ˠəin̪ˠ
sceitimíní	sˠcɛtʲəmʲiːnʲiː
imíodh	ɪmʲiːx
scairteadh	sˠkaɾˠtʲəɡ
dúlamán	d̪ˠuːlˠəmˠɑːnˠ
do	d̪ˠɔ
íosánach	iːsˠɑːn̪ˠəx
mímhúinte	mʲiːwuːn̠ʲtʲə
céibhe	ceːvʲə
lao	l̪ˠiː
bog	bˠʌɡ
aon	eːnˠ
íosfadh	iːsətʲ
gaedhlaing	ɡeːlɪɲ
adhairce	əiɾʲcɪ
ceanna	can̪ˠə
ithe	iː
neada	n̠ʲad̪ˠə
cupán	kʊpˠɑːnˠ
buille	bˠɪl̠ʲə
éadach	eːd̪ˠah
phianadh	fʲiənˠətʲ
amuigh	əmˠɪɟ
geimhreadh	ɟɛvʲɾʲuː
ionadh	iːnˠuː
gasóg	ɡəsˠoːɡ
curacha	kɔɾˠəxə
gaedhilge	ɡeːlʲɟə
cha	xa
nbhur	nˠə
tosaí	t̪ˠʌsˠi
leoraí	lʲɔɾˠiː
cóir	koːɾʲ
do	d̪ˠə
bhfeadh	vʲa
fhiacha	iəxə
nid	n̠ʲɪdʲ
caoirigh	kiːɾʲɪɟ
oileánach	ɪlʲɑːnˠəx
plás	pˠlˠæːsˠ
páistí	pˠɑːʃtʲiː
léigh	lʲeː
buairt	bˠuəɾˠtʲ
bheifeá	vʲɛhɑː
baol	bˠiːlˠ
daoibh	d̪ˠiːbʲ
saoradh	sˠeːɾˠə
órga	oːɾˠɡə
tógáil	t̪ˠoːɡɑːlʲ
duais	d̪ˠuəʃ
doire	d̪ˠɛɾʲə
rúnaí	ɾˠuːn̪ˠiː
séis	ʃeːʃ
mná	mˠɾˠɑː
airc	aɾʲc
saoradh	sˠeːɾˠəx
pógtha	pˠɔːkə
rós	ɾˠoːsˠ
cróga	kɾˠoːɡə
cion	cʊnˠ
coinneáil	kɪn̠ʲɑːlʲ
deifir	dʲɛfʲəɾʲ
fuinneoga	fˠɪɲoːɡə
bradán	bˠɾˠɑd̪ˠɑnˠ
os	ɔsˠ
fhómhair	õːɾʲ
thá	hɑː
linn	lʲɪn̠ʲ
bille	bʲɪlʲə
polainn	pˠʌlˠən̠ʲ
shínigh	hiːnʲə
fuinneoga	fˠɪn̠ʲoːɡiː
réasúnta	ɾˠeːsˠun̪ˠt̪ˠə
salú	sˠəl̪ˠuː
comrádaithe	kʊmˠɾˠɑːd̪ˠiː
dán	d̪ˠɑːnˠ
iorua	ɪɾˠuə
fírinne	fʲiːɾʲən̠ʲə
samhraíocha	sˠəuɾˠiːxiː
bláthanna	bˠl̪ˠɑːhən̪ˠə
loca	l̪ˠɔkə
dearmad	dʲæɾˠəmˠəd̪ˠ
scíth	ʃciː
luas	l̪ˠuəsˠ
uaigneach	uəɟɪnʲəx
ceannasaí	can̪ˠəsˠiː
phóca	pˠɔːkə
rinn	ɾˠɪn̠ʲ
beiridh	bʲɛɾʲɪɟ
thuilleamar	hɪl̠ʲəmˠəɾˠ
faigheann	fˠæːn̪ˠ
chuairt	xuəɾˠtʲ
chuathas	xuəhəsˠ
fhiaradh	iəɾˠuː
coinneal	kɪnʲəl̪ˠ
dorais	d̪ˠɔɾˠəʃ
ceilte	cɛlʲtʲə
foirgneamh	fˠɔɾʲɪɟnʲəvˠ
garsún	ɡɑɾˠsˠuːn̪ˠ
fágfaidh	fˠæːkə
ionadh	iːnˠu
dearthár	dʲæːɾˠhaɾˠ
rós	ɾˠɔːsˠ
caithfidh	kaɪhi
gcéibheanna	ɟeːvʲən̪ˠiː
gáir	ɡæːɾʲ
scairteadh	sˠkaɾˠtʲətʲ
scannán	sˠkən̪ˠaːn̪ˠ
mckeon	məkiːən
oscail	ɔsˠkəlʲ
romhat	ɾˠuːt̪ˠ
tosaigh	t̪ˠʌsˠi
éirinn	eːɾʲɪɲ
bhfreastalódh	vʲɾʲasˠt̪ˠəlˠoːx
curaí	kɔɾˠiː
spáinne	sˠpˠɑːn̠ʲə
stopadh	sˠt̪ˠɔpˠətʲ
dochar	d̪ˠɔxəɾˠ
cogadh	kɔɡuː
oraibhse	ɔɾˠiːʃə
seadadh	ʃad̪ˠətʲ
thiocfá	hʊkfˠɑː
dhúinne	ɣuːn̠ʲə
francach	fˠɾˠɑŋkəx
péitseog	pʲeːtʲʃaɡ
feitheamh	fʲɪhəv
ithe	iːə
gearrán	ɟəɾˠɑːnˠ
síneadh	ʃiːnʲəɡ
aidiacht	adʲaht̪ˠ
bóthar	bˠoːɾˠ
cleachtadh	clʲaxt̪ˠəɡ
taithí	t̪ˠahi
foirfe	fˠɪɾʲəfʲə
faitíos	fˠatʲçiːsˠ
ollmhargadh	ɔl̪ˠvˠaɾˠəɡə
anoir	ən̪ˠɛɾʲ
tíocht	tʲiəxt̪ˠ
cairéad	kaɾʲad̪ˠ
leagadh	l̠ʲaɡəvˠ
dínn	d̪ˠiːn̠ʲ
gobadh	ɡɔbˠəx
pasam	pˠasˠəmˠ
phálás	fˠælˠæsˠ
dearthár	dʲɾʲɑːhərˠ
léi	lʲeːiː
baisteadh	bˠaʃtʲəɡ
cinneadh	cɪn̠ʲəx
coileach	kɛlʲah
torann	t̪ˠɔɾˠən̪ˠ
ait	atʲ
annamh	ɑn̪ˠə
spreagadh	sˠpʲɾʲaɡəx
thigh	hiː
asainn	asˠən̠ʲ
caithfidh	kahɪɟ
cluich	klˠɪç
oilim	ɛlʲəmˠ
anchroí	ɑnxɾˠə
scaradh	sˠkɑɾˠə
báille	bˠɑːl̠ʲə
fíonghort	fʲiːnˠɣɔɾˠtˠ
easpaig	asˠpˠɪɟ
dhícheall	jiːhəl̪ˠ
eang	aŋ
ins	ɪnˠsˠ
ligean	l̠ɪɟənˠ
buí	bˠiː
aoibhneas	iːvʲnʲəsˠ
luigh	l̪ˠɔ
stábh	sˠt̪ˠɑːw
cheithre	çɛɾʲə
fuinneoga	fˠɪn̠ʲoːɡə
caisleán	kaʃl̠ʲɑːnˠ
fíon	fʲiːnˠ
scuabadh	sˠkuəbˠə
eiscir	ɛʃcəɾʲ
támh	t̪ˠɑːvˠ
rúibín	ɾˠuːbʲinʲ
boid	bˠɪdʲ
brasaíl	bˠɾˠasˠiːlʲ
ráinig	ɾˠæːnʲɪc
tobar	t̪ˠʌbˠəɾˠ
álainn	ɑːl̪ˠənʲ
cháiliúil	xɑːlʲuːlʲ
meanma	mʲanˠmˠə
éigint	eːɟɪn̠ʲtʲ
scríofa	ʃcɾʲiːfˠə
aibreán	abʲəɾʲɑːn̪ˠ
airne	ɑːɾˠn̠ʲə
náireach	n̪ˠæːɾʲah
d'oilfeadh	d̪ˠɪlʲhuː
fill	fʲɪl̠ʲ
aosta	iːsˠt̪ˠə
oileán	ɛlʲænˠ
páidín	pˠɑːdʲiːnʲ
athair	æːɾʲ
piocadh	pʲʊkətʲ
aisteach	æʃtʲəx
tuilleadh	t̪ˠɪl̠ʲu
corraigh	kɔɾˠiː
milseán	mʲɪlʲʃɑːn̪ˠ
both	bˠɔh
hiomlán	həmˠl̪ˠɑːn̪ˠ
spleáchas	sˠpʲlʲaːxəsˠ
aspal	asˠpˠəlˠ
gcóstaí	ɡɔːsˠt̪ˠi
caillte	kɑːl̠ʲtʲə
crích	cɾʲiːç
aontaigh	eːn̪ˠt̪ˠɪɟ
cleachtadh	clʲaxt̪ˠu
cnoc	knˠɔk
deannach	dʲanˠəx
ceannasach	can̪ˠəsˠəx
pósadh	pˠoːsˠəx
cócaráil	koːkəɾˠaːlʲ
cearnóga	caːɾˠn̪ˠoːɡə
drama	d̪ˠɾˠamˠə
féicheamh	fʲeːçu
seic	ʃɛc
agam	aɡəmˠ
baineannach	bˠanʲənˠəx
gcás	ɡæːsˠ
iomas	ʊmˠəsˠ
brónach	bˠɾˠɔːnˠah
aerfort	eːɾˠfɔɾˠt̪ˠ
cheada	çad̪ˠə
chughamsa	xuːmˠsˠə
abhac	auk
aithin	ahənʲ
faoisean	fˠɯːsˠən
caoine	kiːnʲə
bhíodh	vʲiːw
bia	bʲiə
starr	sˠt̪ˠɑːɾˠ
clé	clʲiː
lapa	l̪ˠapˠə
circe	cɪɾʲcə
scóip	sˠkɔːpʲ
fuair	fˠiːɾʲ
sibh	ʃɪbʲ
díbh	dʲiːbʲ
freastalaíodh	fʲɾʲasˠt̪ˠəlˠitʲ
spás	sˠpˠæːsˠ
deichniúr	dʲɪn̠ʲuːɾˠ
fhreastail	ɾʲasˠt̪ˠəlʲ
banc	bˠaŋk
ceathrar	cahɾˠəɾˠ
ngobadh	ŋɔbˠəx
póg	pˠoːɡ
suigh	sˠiː
gealach	ɟalˠah
mairt	mˠaɾˠtʲ
spáinnis	sˠpˠɑːn̠ʲəʃ
chás	xɑːsˠ
lenarb	lʲɛnˠəɾˠbˠ
deartháireacha	dʲaɾˠhaɾʲəxə
bac	bˠɑk
pinginí	pʲiːn̠ʲiː
lastar	l̪ˠasˠt̪ˠəɾˠ
desna	dʲɛsˠn̪ˠə
badhbh	bˠəivˠ
deich	dʲɛh
cosa	kʌsˠə
beacht	bʲaxt̪ˠ
chúichi	xuːhʲə
canadh	kanˠə
luath	l̪ˠuə
fuacht	fˠuəxt̪ˠ
amharclann	əuɾˠklˠən̪ˠ
agus	ɑɡəsˠ
chóisir	xoːʃəɾʲ
síocháin	ʃiəxɑːnʲ
chnoc	xnˠɔk
cailc	kalʲc
protastúnach	pˠɾˠʌt̪ˠəsˠt̪ˠun̪ˠah
breith	bʲɾʲɛ
cheintiméadar	çɛnʲtʲəmʲeːd̪ˠəɾˠ
dearg	dʲaɾˠəɡ
sruith	sˠɾˠʊh
mothaigh	mˠuː
vác	vˠɑːk
brath	bˠɾˠa
píbe	pʲiːbʲə
deartháireacha	dʲɾʲɑːhərʲəxə
pince	pʲɪɲcɪ
bacaí	bˠəkiː
roimh	ɾˠɪvʲ
téis	tʲeːʃ
trian	tʲɾʲiənˠ
dod	d̪ˠɔd̪ˠ
d'altfadh	d̪ˠal̪ˠt̪ˠətʲ
déanaí	dʲeːn̪ˠiː
beannacht	bʲən̪ˠaxt̪ˠ
bpianadh	bʲiənˠəɡ
déantóir	dʲian̪ˠt̪ˠoːɾʲ
chun	xʊnˠ
creid	cɾʲɛdʲ
cultúr	kʊl̪ˠt̪ˠuːɾˠ
salaigh	sˠalˠiː
geobhad	ɟoːd̪ˠ
samhain	sˠauwənʲ
pholainn	fˠɔlˠən̠ʲ
ainmneacha	anʲəmʲnʲaxə
leáigh	lʲɑːɟ
bhreoiteacht	vʲɾʲɔːtʲaht̪ˠ
rang	ɾˠaːŋɡ
creidfead	cɾʲɛtʲəd̪ˠ
aithreacha	ahɾʲəxə
chead	çæːd̪ˠ
freastalaíodh	fʲɾʲasˠt̪ˠəlˠiːɡ
saoradh	sˠiːɾˠəx
dhóibh	ɣoːbʲ
scríobh	ʃcɾʲiːvˠ
aisig	aʃɪɟ
geata	ɟæt̪ˠə
gealach	ɟəl̪ˠɑx
veinéiseach	vʲənʲeːʃəx
pobal	pˠʌbˠəlˠ
scaoilte	sˠkiːlʲtʲə
aisce	aʃcɪ
gcearnóg	ɟaːɾˠn̪ˠoːɡ
foghar	fˠoːɾˠ
deireadh	dʲɛɾʲətʲ
busta	bˠʊsˠt̪ˠə
troithe	t̪ˠɾˠɛhə
briseadh	bʲɾʲɪʃu
gradam	ɡɾˠɑd̪ˠəmˠ
gearradh	ɟɑːɾˠə
ceapadh	capətʲ
róid	ɾˠoːdʲ
mholfadh	wɔlˠhəx
ngránaigh	ŋɾˠɑːnˠiː
moladh	mˠɔlˠuː
fiaradh	fʲiəɾˠəɡ
leitean	l̠ʲɛtʲənˠ
ionam	ʊn̪ˠəmˠ
asat	asˠəd̪ˠ
dhaoibh	ɣiːbʲ
doirse	d̪ˠʌɾˠʃə
athraithe	aɾˠiː
diúl	dʲuːlˠ
uainn	wɛn̠ʲ
theacht	haxt̪ˠ
bhain	wanʲ
eitleán	ɛtʲəlʲænˠ
scáthán	sˠkɑːn̪ˠ
d'fhágadh	d̪ˠæːɡu
amh	aw
breabadh	bʲɾʲabˠəɡ
aeir	eːɾʲ
scátháin	sˠkɑːnʲ
curach	kɤɾˠah
téigh	tʲeːɟ
raidió	ɾˠadʲiːoː
folláin	fˠəl̪ˠɑːnʲ
faigh	fˠaɟ
bheag	vʲɞɡ
mais	mˠaʃ
toradh	t̪ˠɔɾˠə
chasadh	xasˠəx
cruinnigh	kɾˠɪɲɪɟ
dola	d̪ˠʌlˠə
grámhar	ɡɾˠɑːwəɾˠ
cluas	kluəʃ
agair	aɡəɾʲ
maraigh	mˠaɾˠi
stopadh	sˠt̪ˠɔpˠəx
liathróid	l̠ʲiəhɾˠɔdʲ
cuan	kuənˠ
lathach	l̪ˠɑhəx
ionad	ɔnˠəd̪ˠ
buail	bˠuəlʲ
dhínne	jiːn̠ʲə
gunna	ɡɤn̪ˠə
séide	ʃeːdʲə
cáibín	kaːbʲiːnʲ
beannacht	bʲan̪ˠaht̪ˠ
seoirse	ʃoːɾˠʃə
d'fheiceadh	dʲɛcuː
meas	mʲæːsˠ
gcóngar	ɡuːŋɡəɾˠ
gasúr	ɡasˠuɾˠ
breithiúnas	bʲɾʲɛhuːnˠəsˠ
ngall	ŋɑːl̪ˠ
geimhreadh	ɟiːɾʲə
doras	d̪ˠʌɾˠəsˠ
críoch	cɾʲiəx
uainín	uənʲinʲ
siad	ʃəd̪ˠ
churach	xɤɾˠax
eangach	aŋɡəx
cairdiúil	kæːɾˠdʲulʲ
iasc	iəsˠk
fána	fˠæːnˠə
ducht	d̪ˠʊxt̪ˠ
gceist	ɟɛʃtʲ
piléar	pʲəlʲeːɾˠ
bolcán	bɔlˠkɑːnˠ
boireannach	bˠɛɾʲən̪ˠəx
maithe	mˠahə
cloig	klˠɪɟ
oilfeadh	ɪlʲhəx
cheannacht	çæːn̪ˠəxt̪ˠ
rinneas	ɾˠɪn̠ʲəsˠ
sionnach	ʃɪn̪ˠah
broim	bˠɾˠɪmʲ
ligh	lʲɪɟ
cánacha	kɑːnˠəxə
cosán	kɔsˠɑːnˠ
litir	l̠ʲɪtʲəɾʲ
oibre	əibʲrʲə
cánacha	kɑːn̪ˠəxə
dara	d̪ˠɑɾˠə
magadh	mˠaɡu
mothú	muː
astu	ɑstə
chuici	hɛcɪ
fual	fˠuəlˠ
tréith	tʲɾʲeː
fortacht	fˠɔɾˠt̪əxt̪ˠ
tarraing	t̪ˠaɾʲɪɟ
ghlan	ɣlˠanˠ
cos	kʌsˠ
teoiric	tʲoːɾʲɪc
cinnire	cɪɲɪɾʲə
cáiliúil	kæːlʲulʲ
fágadh	fˠɑːɡəx
caoin	kiːnʲ
circ	cɪɾʲc
chreideadh	çɾʲɛdʲuː
dóthain	d̪ˠɔhənʲ
ciumhaiseanna	cuːʃən̪ˠiː
cluiche	klˠɪhə
asat	ɑsˠət̪ˠ
tair	t̪ˠaɾʲ
ngoid	ŋɛdʲ
té	tʲeː
trínarbh	tʲɾʲiːnˠəɾˠvˠ
capaill	kapil͈ʲ
seanduine	ʃan̪ˠd̪ˠɪnʲə
ceannaire	can̪ˠəɾʲə
tuilleadh	t̪ˠɪl̠ʲuː
póirse	pˠoːɾˠʃə
haithne	hæn̠ʲə
tiománaí	tʲəmˠɑːn̪ˠiː
chloisfeadh	xlˠɔʃətʲ
pacáil	pˠakælʲ
diabhal	dʲiəl̪ˠ
óstán	ɔːsˠt̪ˠænˠ
déantar	dʲeːn̪ˠt̪ˠəɾˠ
daoibh	dʲiːbʲ
chearnóg	çæːɾˠn̪ˠɔɡ
roinnt	ɾˠɪn̠ʲtʲ
eatarthu	at̪ˠɾˠəbˠ
briseadh	bʲɾʲɪʃətʲ
d'fhreastalaíodh	dʲɾʲasˠt̪ˠəlˠiːtʲ
geata	ɟat̪ˠə
tsál	t̪ˠæːlˠ
coin	kɪnʲ
táille	t̪ˠɑːl̠ʲə
dóthain	d̪ˠoːnʲ
támh	t̪ˠɑːw
biseach	bʲɪʃəx
cónaigh	koːnˠə
dhaoibh	jiːbʲ
cnuic	kn̪ˠɪc
feabhra	fʲauɾˠə
vicipéid	vʲɪcɪpʲeːdʲ
chóta	xɔːt̪ˠə
ár	ə
déag	dʲeːɡ
altfadh	al̪ˠt̪ˠu
feiceann	fʲɛcən̪ˠ
miotas	mʲʊt̪ˠəsˠ
balsamach	bˠalˠsˠəmˠəx
pingin	pʲiːn̠ʲ
luch	l̪ˠɔx
tairne	t̪ˠɑːɾˠn̠ʲə
nigh	nʲiː
cleite	clʲɛtʲə
sál	sˠæːlˠ
oibre	ɛbʲrʲə
gadaí	ɡəd̪ˠiː
ceangal	caŋəlˠ
oireachtas	ɛɾʲəxt̪ˠəsˠ
chúcha	xuːhə
malairt	mˠalˠəɾˠtʲ
leaga	l̠ʲaɡə
fachta	fˠɑxt̪ˠə
d'oileadh	d̪ˠɪlʲəx
airsean	ɛɾʲsən
nocht	n̪ˠɔxt̪ˠ
cheird	çəiɾˠdʲ
síneadh	ʃiːnʲə
naonúr	n̪ˠiːnˠuːɾˠ
cáin	kɑːnʲ
aisteoir	aʃtʲɔɾʲ
tarbh	t̪ˠɑɾˠəvˠ
maith	mˠaɪ
síneadh	ʃiːnʲətʲ
cara	kɑɾˠə
soirbis	sˠɔɾʲəbʲɪʃ
salach	sˠalˠah
leat	lʲat̪ˠ
cogar	kʌɡəɾˠ
scarúint	sˠkɑɾˠuːnʲtʲ
gearrán	ɟaɾˠanˠ
bláthaí	bˠl̪ˠɑːhiː
cúinne	kuːɲɪ
deiseal	dʲɛʃəlˠ
lasrach	l̪ˠasˠɾˠah
hait	hatʲ
beannacht	bʲan̪ˠəxt̪ˠ
eaglais	aɡlˠəʃ
fómhar	fˠoːɾˠ
mbriseadh	mʲɾʲɪʃəx
tráthnóna	t̪ˠɾˠɑːhoːn̪ˠə
baisteadh	bˠaʃtʲuː
fabht	fˠəut̪ˠ
macha	mˠaxə
chath	xah
bás	bˠæːsˠ
breabadh	bʲɾʲabˠə
cliabh	clʲiəvˠ
neipeailis	n̠ʲɛpʲalʲɪʃ
cáil	kɑːlʲ
ásc	æːsˠk
cruinne	kɾˠɪn̠ʲə
oraibh	ɔɾˠəvʲ
cál	kɑːlˠ
síoraí	ʃiːɾˠi
coróin	kəɾˠoːnʲ
dóibhsean	d̪ˠoːpˠsˠən
aiféalach	afʲeːləx
lóistín	l̪ˠɔːʃtʲinʲ
rísín	ɾˠiːʃinʲ
ionamsa	æn̪ˠəmˠsˠə
máistreás	mˠæːʃtʲɾʲæsˠ
moladh	mˠʌlˠətʲ
siar	ʃiəɾˠ
caitheamh	ka
barda	bˠæːɾˠdˠə
blarna	bˠlˠæːɾˠn̪ˠə
grámhar	ɡɾˠæːwəɾˠ
aige	ɪɟɛ
asainn	ɑsˠənʲ
caoineadh	kiːnʲəx
tabhairt	t̪ˠoːɾˠtʲ
siadsan	ʃiəd̪ˠsənˠ
gcuairteanna	ɡuəɾˠtʲən̪ˠə
oileáin	əlʲɑːnʲ
ea	a
bhó	wɔː
foraois	fʌɾˠiʃ
am	aumˠ
ag	ɪɟ
tá	t̪ˠɑː
lasann	l̪ˠasˠən̪ˠ
hiomlán	hʌmˠlˠænˠ
poiblí	pˠəibʲlʲiː
chaill	xɑːl̠ʲ
ceathrú	caɾˠhuː
scuabadh	sˠkuəbˠəvˠ
ábhar	ɑːwəɾˠ
turtar	t̪ˠʌɾˠt̪ˠəɾˠ
dearcadh	dʲaɾˠkəx
éirí	əiɾʲiː
breoite	bʲɾʲɔːtʲə
fhómhair	oːɾʲ
mholfadh	wɔlˠhətʲ
chos	xʌsˠ
lenár	lʲɛnˠɑːɾˠ
canadh	kanˠuː
tosach	t̪ˠɔsˠəx
mé	mʲeː
meánn	mʲɑːn̪ˠ
dóibh	d̪ˠoːbˠ
anfa	anˠəfˠə
creidim	cɾʲɛdʲəmʲ
cheannacht	çan̪ˠəxt̪ˠ
agam	əɣɑmˠ
donasach	d̪ˠʌnˠəsˠah
cleacht	clʲæxt̪ˠ
philéir	fʲəlʲeːɾʲ
deiseanna	dʲɛʃən̪ˠə
bacach	bˠakah
láthair	l̪ˠɑːɾʲ
ceannaigh	can̪ˠiː
'ur	uːɾˠ
sparán	sˠpˠaɾˠɑːnˠ
maite	mˠatʲə
oisín	ʌʃinʲ
ós	oːʃ
freastalaím	fʲɾʲasˠt̪ˠəlˠiːmʲ
téad	tʲiad̪ˠ
alta	al̪ˠt̪ˠə
tadhg	t̪ˠəiɡ
luaidhe	l̪ˠuːiː
mbriseadh	mʲɾʲɪʃu
bhfear	vʲæɾˠ
aithníonn	ahnʲiːn̪ˠ
spleách	sˠpʲlʲaːx
anraith	an̪ˠɾˠəh
téarma	tʲeːɾˠmˠə
feirg	fʲɛɾʲɪɟ
tionchar	tʲʊŋxəɾˠ
áthas	ɑːhəsˠ
bruach	bˠɾˠuəx
pósadh	pˠoːsˠəvˠ
miailíteas	mʲiəlʲiːtʲəsˠ
fhonn	uːn̪ˠ
aithreacha	æːɾʲəxiː
seise	ʃɛʃə
fanacht	fˠanˠəxt̪ˠ
rúnaí	ɾˠuːnˠiː
rite	ɾˠɪtʲə
coscairt	kɔsˠkəɾʲtʲ
phósfadh	fˠɔːsˠu
síle	ʃiːlʲə
cuardaigh	kuəɾˠd̪ˠɪɟ
fliuchadh	fʲlʲʊxə
chuardaigh	xuəɾˠd̪ˠɪɟ
crochadh	kɾˠɔxəvˠ
fáil	fˠɑːlʲtʲ
nós	n̪ˠoːsˠ
phlúr	fˠlˠuːɾˠ
troid	t̪ˠɾˠɪdʲ
acra	akɾˠə
spás	sˠpˠɑːsˠ
rith	ɾˠʊ
fionnghall	fʲuːnɣal
liach	l̠ʲiəx
feamainn	fʲamˠən̠ʲ
mháistreása	wæːʃtʲɾʲæsˠə
bpéin	bʲeːnʲ
óstán	oːsˠt̪ˠɑːn̪ˠ
gile	ɟɪlʲə
leastar	l̠ʲasˠt̪ˠəɾˠ
bhuail	wuəlʲ
freagra	fʲɾʲaɡəɾˠə
fós	fˠɔːsˠ
gcrainn	ɡɾˠiːn̠ʲ
naofa	n̪ˠeːfˠə
coicís	kəikiːʃ
cobra	kɔbˠɾˠə
ngairdín	ŋæːɾˠdʲinʲ
