អាង	ʔaaŋ
ម្ដងម្នាក់	mdɑɑŋmneak
មានបាន	mienbaan
ពឹងពាក់	pɨŋpeak
ទឹកក្រឡុក	tɨkkrɑlok
អ្នកណា	neaknaa
ខកចិត្ត	kʰɑɑkcət
គ្រប់	krup
លុតជង្គង់	lutcʊəŋkʊəŋ
មិនបាច់	mɨnbac
ធុំក្លិន	tʰumklən
កាយវិការ	kaayviʔkaa
ទម្ងន់	tumŋʊən
ផុត	pʰot
ម៉េប	məp
ក្អួត	kʔuət
ពេលយប់	peelyup
ម៉ូយ	mouy
កុម្ម៉ង់	kommɑŋ
គ្រឿងស្រវឹង	krɨəŋsrɑvǝŋ
ឆាប់រហ័ស	cʰaprɔhah
ជប់លៀង	cupliǝŋ
ឆែក	cʰaek
កំសៀវ	kɑmsiəv
ស្ថានភាព	stʰaanpʰiep
ត្រូវការ	trəvkaa
មិត្ត	mɨt
មាតា	miedaa
ពិសេស	piʔseh
អនុញ្ញាត	ʔaʔnuɲɲaat
ស្គែន	skɛɛn
ឫស	rɨh
កាច	kaac
ប្រព័ន្ធ	prɑpoan
ក្រឡេក	krɑleek
ធុន	tʰun
ម៉ាស៊ីនត្រជាក់	maasintrɑceak
ទម្លាក់	tumleak
ពីមុន	piimun
ថ្នាក់	tnak
ដ៏	dɑɑ
ចម្លែក	cɑmlaek
រលាក	rɔliek
រាវ	riev
ឯកសណ្ឋាន	ʔaeksɑntʰaan
ប៉ាន់ស្មាន	pansmaan
ច្រក	crɑɑk
លំបាក	lumbaak
ថ្នាំស្ពឹក	tnamspɨk
កម្រាលព្រំ	kɑmraalprum
វង្វេងផ្លូវ	vʊəŋveeŋpləv
តែងតែ	taeŋtae
មួម៉ៅ	muəmav
បូម	boum
និង	nɨŋ
សណ្ដូកជើង	sɑndoukcəəŋ
ខ្មែរ	kmae
កន្សែង	kɑnsaeŋ
ឋានៈ	tʰaanaʔ
ដូរ	dou
រថយន្ត	rʊətyʊən
ស្ករស	skɑɑsɑɑ
ប្រៃ	pray
កញ្ច្រែង	kɑɲcraeŋ
សម្បូរ	sɑmbou
ប្រើឲ្យ	praəʔaoy
ផ្ទុយទៅវិញ	ptuytɨvvɨɲ
ចាំបាច់	cambac
ដល់	dɑl
ច្រឡូកច្រឡំ	crɑloukcrɑlɑm
រឹត	rɨt
ទឹកភ្លៀង	tɨkpliəŋ
ឈ្មោះ	cmʊəh
ជាប់គ្នា	coapknie
ម៉ាក់	mak
ក្រឡេចក្រឡុច	krɑləckrɑloc
ការ៉ូ	karou
ជប៉ុន	ceaʔpon
ដឹកដៃ	dəkday
អបអរ	ʔɑɑpʔɑɑ
ទូរទស្សន៍	tuureaʔtʊəh
ថ្នល់	tnɑl,knɑl
តាសអី	taahʔəy
ពូន	puun
អន្លក់	ʔɑnlʊək
បើកចំហ	baəkcɑmhɑɑ
រែក	rɛɛk
បូក	bouk
ម្ដុំ	mdom
ឆៅ	cʰav
រៀបចំ	riəpcɑm
ដូចគ្នានឹង	doucknienɨŋ
ដំ	dɑm
គ្រប់គ្រាន់	krupkroan
ផ្ទាប់	ptoap
ដែកគោល	daekkool
ធារី	tʰierii
សំណង	sɑmnɑɑŋ
ស៊ីឈ្នួល	siicnuəl
ប៉ាក់	pak
សណ្ឋាគារ	sɑntʰaakie
អូតូម៉ាទិច	ʔoutoumaatɨc
នួក	nuək
រាក់	reak
រអិល	rɔʔəl
រួយ	ruəy
អណ្ដែតអណ្ដូង	ʔɑndaetʔɑndouŋ
ថ្មើរ	tmaə
មាត់ទន្លេ	moattʊənlee
សំឡេង	sɑmleeŋ
ទឹកមុខស្អុយ	tɨkmuksʔoy
ស្លៀកពាក់	sliǝkpeak
សាបស្រូវ	saapsrǝv
ថៃ	tʰay
ក្រោយមក	kraoymɔɔk
ក្បៀស	kbiəh
ក្ដោប	kdaop
ងើយ	ŋəəy
បើកបរ	baəkbɑɑ
វិមានឯករាជ្យ	viʔmienʔaekriec
ទើបនឹង	təəpnɨŋ
មធ្យោបាយ	matyoubaay
ដំបូង	dɑmbouŋ
រអែង	rɔʔaeŋ
កាតាប	kaataap
ក្រសួង	krɑsuəŋ
សង្គម	sɑŋkum
កៅស៊ូ	kavsuu
ហ្នឹងមែន	nɨŋmɛɛn
គោលបំណង	koolbɑmnɑɑŋ
ស្ទង់	stʊəŋ
ទះ	teah
កើន	kaən
ឧទាហរណ៍	ʔuʔtiehɑɑ
អ្នកកំប្លែង	neakkɑmplaeŋ
ជាយថាហេតុ	cieyeaʔtʰaahaet
ណាស់	nah
នៃ	ney
ពុលបាយ	pulbaay
កម្រើក	kɑmraək
ផ្លូវគោក	pləvkook
សូម	soum
បាក់តេរី	bakteerii
ភ្នំពេញ	pnumpɨɲ
ដំណាំ	dɑmnam
ម	mɔɔ
ស្កូវ	skǝv
ពរ	pɔɔ
ច្បាប់	cbap
នីតិវិធី	niiteʔviʔtʰii
រាំច្រៀង	roamcrieŋ
កោស	kaoh
កាលពីមុន	kaalpiimun
លក់	lʊək
អញ្ចេក	ʔɑɲcek
អបអរសាទរ	ʔɑɑpʔɑɑsaatɔɔ
ទទួលទាន	tɔtuəltien
រឿង	rɨəŋ
ជំងឺគ្រុនចាញ់	cumŋɨɨkruncaɲ
អុជ	ʔoc
គូសន្ទនា	kuusɑnteaʔnie
ឆូត	cʰout
យោល	yool
ជានិច្ច	cienɨc
ជជែក	cɔcɛɛk
ដប់	dɑp
ខ្ពង់ខ្ពស់	kpʊəŋkpʊəh
សង្ស័យ	sɑŋsay
ពីរណ្ដប់	piindɑp
ថែរក្សា	tʰaereaksaa
អភិវឌ្ឍ	ʔaʔpʰiʔvoat
ទំពែក	tɑmpɛɛk
ចេត្រ	caet
វះ	veah
តុក្កតា	tokkaʔtaa
របូត	rɔbout
កម្លាំង	kɑmlaŋ
កក់	kɑk
សន្សើម	sɑnsaǝm
រៀង	riəŋ
កុហក	koʔhɑk
ដឹក	dək
ដោយសារតែ	daoysaatae
ផាក	pʰaak
កុំឲ្យតែ	komʔaoytae
គល់	kʊəl
អានេះ	ʔaanih
នាំចូល	noamcoul
ប៉ិបស៊ី	pepsii
បទ	bɑt
សាច់	sac
ចំការ	cɑmkaa
ក្បាច់	kbac
មកុដ	meaʔkot,mɔkot
នឹក	nɨk
គ្រូ	kruu
សម	sɑm,sɑɑm
ជក់	cʊək
មើល	məəl
វេជ្ជសាស្ត្រ	vɨcceaʔsaah
ស្រូប	sroup
ផត	pʰɑɑt
យ៉ាងណាក៏ដោយ	yaaŋnaakɑɑdaoy
លក់ដូរ	lʊəkdou
ម្យ៉ាងម្នាក់	myaaŋmneak
បត់	bɑt
កំពង់ផែ	kɑmpʊəŋpʰae
ដោត	daot
ទេសភាព	teehsaʔpʰiep
ជ័រ	coa
ឯកសារ	ʔaekaʔsaa
អ្នករត់តុ	neakrʊəttok
ចំណាស់	cɑmnah
និយម	niʔyum
ខ្ទង់	ktʊəŋ
ញញួរ	ɲɔɲuə
វិជ្ជាពេទ្យ	vɨcciepɛɛt
ងូត	ŋuut
កណ្ដៀវ	kɑndiəv
ប៉ុណ្ណា	ponnaa
ហើយ	haǝy
ក្រុម	krom
ម៉ែ	mae
ផ្អែក	pʔaek
ខ្លួន	kluən
ហា	haa
ត្រសក់	trɑsɑk
ព័ទ្ធ	poat
កោរ	kao
ព្រះពុទ្ធសាសនា	preahputsaasnaa
សាប៊ូដុសខ្លួន	saabuudohkluən
អាសយដ្ឋាន	ʔaasaʔyattʰaan
ស្ពាយ	spiey
គិតលុយ	kɨtluy
វះកាត់	veahkat
ដរាបណា	dɑɑriepnaa
មនុស្ស	meaʔnuh,mɔnuh
ទៅដល់	tɨvdɑl
ទឹកត្រី	tɨktrəy
ប្រាំបួន	prambuən
រោទ៍	roo
វេជ្ជបណ្ឌិត	vɨcceaʔbɑndɨt
កន្លែងធ្វើការ	kɑnlaeŋtvəəkaa
ពិន័យ	piʔney
ចម្លើយ	cɑmlaəy
ត្រៀម	triəm
ហ្គូហ្គល	kuukɔɔl
សម្លប្រហើរ	sɑmlɑɑprɑhaə
រាស់	roah
ពរ្សឺឡែន	poasəɨlaen,pɔɔksəɨlaen
គិត	kɨt
មិនខាន	mɨnkʰaan
ង៉ៃ	ŋay
បញ្ឈប់	bɑɲcʰup
ងាយស្រួល	ŋieysruǝl
សុភា	soʔpʰie
ក្លែប	klaep
លាក់បាំង	leakbaŋ
ស្ទះ	steah
បង្ហូត	bɑŋhoot
អន្ធិល	ʔɑntʰɨl
ថយក្រោយ	tʰɑɑykraoy
ប្រព្រឹត្ត	prɑprɨt
ស៊ូគីស៊ុប	suukiisup
ចង្កេះ	cɑŋkeh
ប៉ាត	paat
បន្ថែម	bɑntʰaem
ពិសា	piisaa,piʔsaa
រុំ	rum
ជំនួស	cumnuəh
ធាតុ	tʰiet
ឈើ	cʰəə
កុំអាល	komʔaal
សាច	saac
ក្រាស	kraah
នាំ	noam
គំនូរ	kumnuu
និវាសដ្ឋាន	niʔviesattʰaan
ធុញថប់	tʰuɲtʰɑp
បន្ទាប់	bɑntoap
សីតុណ្ហភាព	səytonhaʔpʰiep
ញាស់	ɲoah
តម្រង់	tɑmrɑŋ
សែង	saeŋ
ខាប់	kʰap
ថ្ពក់	tpʊək
ចែករំលែក	caekrumlɛɛk
ប	bɑɑ
ប្រែប្រួល	praepruəl
មានអី	mienʔəy
ថ្ងៃកំណើត	tŋaykɑmnaət
ផ្លាស់	plah
គ្លីនិក	kliinək
លឿង	lɨəŋ
ឡែក	laek
ថូ	tʰou
អូ	ʔou
ចុងភៅ	coŋpʰɨv
រាង	rieŋ
ឯកា	ʔaekaa
គត់	kʊət
ទោះបីជា	tʊəhbəycie
ឌីជីថល	diiciitʰɑɑl
ហេតុអ្វី	haetʔvǝy
សំបុត្រ	sɑmbot
សំណាង	sɑmnaaŋ
សង្ហា	sɑŋhaa
ប្រថុយ	prɑtʰoy
ជើងម៉ា	cəəŋmaa
ផ្លូវថ្នល់	pləvtnɑl
ចៀសវាង	ciəhvieŋ
ឈឺ	cʰɨɨ
ទាប	tiep
ទល់	tʊəl
អនឡាញ	ʔɑɑnlaaɲ
រសជាតិ	rʊəhciet
កម្ដៅ	kɑmdav
ចិញ្ចើមថ្នល់	cəɲcaəmtnɑl,cəɲcaəmknɑl
សេវាកម្ម	seeviekam,seevaakam
នៅ	nɨv
ខឹង	kʰəŋ
ឱបដៃ	ʔaopday
បន្ទះ	bɑnteah
ប្រមូល	prɑmoul
ខុសៗគ្នា	kʰohkʰohknie
ភស្តុតាង	pʰoahtaaŋ
ទីកន្លែង	tiikɑnlaeŋ
ផ្ទាល់ខ្លួន	ptoalkluən
អ្នកទទួលភ្ញៀវ	neaktɔtuəlpɲiəv
សិត	sət
មណ្ឌល	mʊəndʊəl
ស្រង់មតិ	srɑŋmeaʔteʔ
ឈាងចូលលេង	cʰieŋcoulleeŋ
វាល់	voal
ហូត	hout
បេះបិទ	behbət
ច្រាស	craah
ត្រឹម	trəm
ស៊ក	sɔɔk
ជាក់ស្ដែង	ceaksdaeŋ
រហែក	rɔhaek
សុំទោស	somtooh
ដោនឡូត	daonlout
បងប្អូនជីដូន	bɑɑŋpʔounciidoun
ដុល្លារ	dollaa
ប៉ុនណា	ponnaa
លម្អ	lumʔɑɑ
បន្ទាន់	bɑntoan
ធំ	tʰom
គ្រែ	krɛɛ
ស្លាបព្រា	slaapprie
ស្ដុក	sdok
បំពង់បឺត	bɑmpʊəŋbəɨt
កន្ត្រៃ	kɑntray
ក្រោម	kraom
ចែវ	caev
ចុម	com
ប៊ូតុង	buutoŋ
អត់អីទេ	ʔɑtʔəytee
ហ្វាន់តា	fantaa
អត់ដែល	ʔɑtdael
មិនដែល	mɨndael
ពាក់	peak
ជូន	cuun
កន្លះ	kɑnlah
រនាំង	rɔneaŋ
អំពើល្អ	ʔɑmpǝǝlʔɑɑ
បែនស្រូវ	baensrǝv
ពេល	peel
បាសក	baasɑk
ខ្ទឹម	ktɨm
ចំនួន	cɑmnuən
ពាក្យមុសា	piekmuʔsaa
របស់របរ	rɔbɑhrɔbɑɑ
កូន	koun
រាំ	roam
ស្រៈ	sraʔ
គេងលក់	keeŋlʊək
អង្ករដំណើប	ʔɑŋkɑɑdɑmnaəp
លីអូ	liiʔou
មានប្រសាសន៍	mienprɑsaah
ខ្ទេច	ktɨc
ទុកចោល	tukcaol
អនាម័យ	ʔaʔnaamay
កន្ត្រៃកាត់ក្រចក	kɑntraykatkrɑcɑɑk
ស្វ័យប្រវត្តិ	svayprɑvoat
ទោះជា	tʊəhcie
មាន់	moan
កាំភ្លើង	kampləəŋ
ទុរេន	tʰuureen,tuʔreen
រំលែក	rumlɛɛk
បន្តុប	bɑntop
ស្រង់	srɑŋ
អាខោន	ʔaakʰaon
បញ្ជោរ	bɑɲcoo
ត្រីអណ្ដែង	trəyʔɑndaeŋ
ទុក្ខ	tuk,tukkʰaʔ
ច	cɑɑ
ឃាត់	kʰoat
ម្ដងៗ	mdɑɑŋmdɑɑŋ
ខាងកើត	kʰaaŋkaət
ថ្ពាល់	tpoal
ប្រធាន	prɑtʰien
បាយ	baay
បង្គន់	bɑŋkʊən
ឲ្យពរ	ʔaoypɔɔ
បរិវេណ	bɑɑreʔveen
អ្នកជំងឺ	neakcumŋɨɨ
បាងកក	baaŋkɑɑk
ស	sɑɑ
ធ្មេញ	tmɨɲ
អាវ	ʔaav
គ្រប	krɔɔp
អូស	ʔouh
ប្រគេន	prɑkeen
ចេះតែ	cehtae
ឆ្ងល់	cŋɑl
គ្រាមភាសា	kriempʰiesaa
ទៅកាន់	tɨvkan
ទីក្រុង	tiikroŋ
ប្រៃសណីយ៍	praysaʔnii
ស្រឡេវ	srɑleev
ទាក់	teak
អាសន្នអន្ធក្រ	ʔaasɑnʔɑnkrɑɑ
ហេតុផល	haetpʰɑl
អាប់ឱនកិត្តិយស	ʔapʔaonketteʔyʊəh
ទឹកក្រូច	tɨkkrouc
នុះ	nuh
អ៊ី	ʔii
ហ្វ្រង់កា	frɑŋkaa
ចូក	couk
រស្មី	reaʔsməy
ព្រៃ	prey
ចាប់	cap
បាទ	baat
ផ្លូវទាល់	pləvtoal
ប្រើ	praə
ស្រែក	sraek
ទូច	tuuc
អ្នកទទួល	neaktɔtuəl
ផ្កាឈូក	pkaacʰuuk
រំខាន	rumkʰaan
ទឹកមុខ	tɨkmuk
មុខងារ	mukŋie
ពុលរលក	pulrɔlɔɔk
ល្ហុង	lhoŋ
សាវម៉ាវ	saavmaav
ថី	tʰəy
រលត់	rɔlʊət
លទ្ធផល	lattʰeaʔpʰɑl
តែងសេចក្តី	taeŋsəckdəy
សម្រាប់	sɑmrap
ថៅកែ	tʰavkae
ផ្សាយ	psaay
អក្សរ	ʔaksɑɑ
សម្រួល	sɑmruǝl
ចរាចរណ៍	cɑraacɑɑ
ខែ	kʰae
ស្រស់បំព្រង	srɑhbɑmprɔɔŋ
រនាស់	rɔnoah
ក្រដាសឡាំង	krɑdaahlaŋ
អាហារ	ʔaahaa
ឈ្ងៀម	cŋiəm
ប៉ុន្តែ	pontae
ក្អឿក	kʔɨək
ខ្លះ	klah
ជាប់	coap
កាវ	kaav
តម្កល់	tɑmkɑl
មូស	muuh
ស្ថានទូត	stʰaantuut
ម្យ៉ាងទៀត	myaaŋtiət
ថ្ងាស	tŋah
កំពុងតែ	kɑmpuŋtae
ហេតុ	haet
នូវ	nɨv
ដណ្ដើម	dɑndaəm
ទុក	tuk
ច្បាស់លាស់	cbahloah
មុខរបរ	mukrɔbɑɑ
អូន	ʔoun
ទំនិញ	tumnɨɲ
មុខរបួស	mukrɔbuəh
កម្ពស់	kɑmpʊəh
ម្ទេស	mteeh
បង្គោល	bɑŋkool
បន្តិចបន្តួច	bɑntəcbɑntuəc
ង៉ៃអាទិត្យ	ŋayʔaatɨt
អីវ៉ាន់	ʔəyvan
និមល	niʔmʊəl
វិធី	viʔtʰii
សុភ័ក្រ	soʔpʰeak
អឺរ៉ុប	ʔəɨrop
ណែនាំ	naenoam
ត្រើយម្ខាង	traəymkʰaaŋ
ម៉ូតូឌុប	moutoudup
ចូលឆ្នាំ	coulcnam
ស្ដាយ	sdaay
ដាច់	dac
ចោលឈូង	caolcʰuuŋ
ស្មៅ	smav
ឡូយ	looy
ពិសិដ្ឋ	piʔsət
កខ្វក់	kɑkvɑk
សា	saa
អត់សូវ	ʔɑtsəv
ប្រាំបី	prambəy
កម្ពុជា	kampuʔcie
ខាងមុខ	kʰaaŋmuk
ប្ដូរ	pdou
គ្រុនចាញ់	kruncaɲ
កំពប់	kɑmpup
ផ្ទាំង	pteaŋ
មេដៃ	meeday
ពីងពាង	piiŋpieŋ
អូហ្វីស	oufiih
បោក	baok
ខាន	kʰaan
ពិន្ទុ	pɨntuʔ
ឡើយ	laəy
អំណោយ	ʔɑmnaoy
មុននឹង	munnɨŋ
ទីនោះ	tiinuh
ជូរ	cuu
ចុច	coc
ប៉ិន	pən
ដូចចង់	douccɑŋ
មកពី	mɔɔkpii
ស្លាប់	slap
ស្តាយ	staay
ឆ្លើយ	claəy
ភ្ជួរ	pcuə
ល្ងាច	lŋiec
កន្និកា	kɑnnikaa
ម្ចាស់	mcah
កាដូ	kaadou
ទៀតសោត	tiətsaot
ដំណោះស្រាយ	dɑmnɑhsraay
ភ្លេចដៃ	plɨcday
រថភ្លើង	rʊətpləəŋ
ថ្ងៃស្អែក	tŋaysʔaek
ន	nɔɔ
ភួយ	pʰuəy
នៅមុខ	nɨvmuk
ហាន់	han
លឿន	lɨən
សារ	saaraʔ,saa
ខាត	kʰaat
ស្អុយ	sʔoy
គាត់	koat
តាម	taam
គ្រួសារ	kruəsaa
ទៀត	tiət
ពិធី	piʔtʰii
ទឹកជ្រលក់	tɨkcrɔlʊək
ជីតា	ciitaa
ទេ	tee
អង្គចងចាំ	ʔɑŋcɑɑŋcam
មកដល់	mɔɔkdɑl
ភ្លៀង	pliəŋ
ទូលាយ	tuuliey
ពន្លិច	pʊənlɨc
លង់	lʊəŋ
ក្រូចសើច	kroucsaǝc
វ៉ាយហ៉្វាយ	waayfaay
ដំណើរការ	dɑmnaəkaa
ធុងសំរាម	tʰuŋsɑmraam
ព្រះ	preah
បង្អែម	bɑŋʔaem
បាតដៃ	baatday
ស្តាតអូឡាំពិក	staatʔoulampɨk
ដើម្បី	daəmbəy
ន័យ	ney
លំហែ	lumhae,rumhae
ពាង	pieŋ
ចេញ	cəɲ
ស្រស់	srɑh
មុខស្អុយ	muksʔoy
ផ្ដើម	pdaəm
ទន់	tʊən
រួម	ruəm
ធ្ងន់	tŋʊən
ស្អី	sʔǝy
រញ៉េរញ៉ៃ	rɔɲeerɔɲay
មរកត	meaʔreaʔkɑt,mɔrəkɑt
ព្រោះអី	prʊəhʔəy
ឆ្អឹង	cʔəŋ
ភ្លេង	pleeŋ
ស្រស់ស្អាត	srɑhsʔaat
រដូវក្ដៅ	rɔdəvkdav
ប្រឡាក់	prɑlak
ដាក់បណ្ដាសា	dakbɑndaasaa
ជំងឺ	cumŋɨɨ
យល់សប្តិ	yʊəlsɑp
អាកប្បកិរិយា	ʔaakappaʔkeʔriʔyaa
ដោយសារ	daoysaa
អេ៎អី	ʔeeʔəy
កន្ទក់	kɑntʊək
តែងខ្លួន	taeŋkluən
ចម្លាក់	cɑmlak
សាប	saap
សំ	sɑm
អាឡូ	ʔaalou
ផ្ដុំ	pdom
បន្ថយ	bɑntʰɑɑy
ជំហាន	cumhien
រ៉ឺម៉ក	rəɨmɑɑk
រយ	rɔɔy
ម៉ាន	maan
កេះ	keh
ថត	tʰɑɑt
ប៉ះចំ	pahcɑm
សម្គាល់	sɑmkoal
ខ្នង	knɑɑŋ
ស្លន់ស្លោ	slanslao
បុគ្គលិក	bokkeaʔlɨk
ខាងក្រោម	kʰaaŋkraom
ទាំងនោះ	teaŋnuh
កំពត	kɑmpɔɔt
បាតសមុទ្រ	baatsaʔmot
នីតា	niitaa
បីសាច	bəysaac
តក់ស្លុត	tɑkslot
រ៉ាប់រង	raprɔɔŋ
ទូ	tuu
សើច	saəc
ឲ្យតែ	ʔaoytae
គម្រោង	kumrooŋ
សេវា	seevie,seevaa
មិត្តស្រី	mɨtsrəy
ថ្លឹង	tləŋ
ខុសច្បាប់	kʰohcbap
ហិត	hǝt
ឧបសគ្គ	ʔuʔpaʔsak
សំណង់	sɑmnɑŋ
ចត	cɑɑt
លាង	lieŋ
ស្រី	srəy
បន់	bɑn
កម្ទេច	kɑmtɨc
ខំប្រឹង	kʰɑmprəŋ
រលាស់	rɔloah
ម៉ាក	maak
ដាក់	dak
អង្សា	ʔɑŋsaa
ចង	cɑɑŋ
បបួល	bɑbuəl
គ្រាន់តែ	kroantae
តាមដាន	taamdaan
បំពង	bɑmpɔɔŋ
អ៊ីអន	ʔiiʔɑɑn
ដឹងគុណ	dəŋkun
ទាន	tien
ប្រេន	breen
គ្រឿងទេស	krɨəŋteeh
ឆ្នាំង	cnaŋ
បេតុង	beetoŋ
គួរសម	kuəsɑɑm
ខ្លួនប្រាណ	kluənpraan
ប្រឡោះ	prɑlɑh
ទឹកម៉ាស៊ីន	tɨkmaasin
ដើរ	daə
ជាទូទៅ	cietuutəv
ប្រលែង	prɑlaeŋ
កាត់ចិត្ត	katcət
ភ្លេច	plɨc
ខះក	kʰahkɑɑ
កាកសំណល់	kaaksɑmnɑl
វ៉ែនតា	vaentaa
ភ័យ	pʰey
ហាម	haam
បែប	baep
ហេមប័រហ្គឹរ	hemboakɨ
ស្មើគ្នា	smaǝknie
ដើមដៃ	daəmday
បៃតង	baytɑɑŋ
កែ	kae
រាល់តែដង	roaltaedɑɑŋ
តង់	tɑŋ
ឥដ្ឋ	ʔət
កាលពីក្មេង	kaalpiikmeeŋ
គោលដៅ	kooldav
គរ	kɔɔ
តាស	taah
ថង់	tʰɑŋ
លុះ	luh
អ្នករត់ម៉ូតូឌុប	neakrʊətmoutoudup
ពុក	puk
ខិតខំ	kʰətkʰɑm
បង្អែក	bɑŋʔaek
រដ្ឋ	roat
ចុងសប្តាហ៍	coŋsappdaa
ឈរ	cʰɔɔ
ក្មេងស្រី	kmeeŋsrǝy
ចាន់	can
វចនានុក្រម	veaʔcaʔnaanuʔkrɑm
ទ្រ	trɔɔ
មុន	mun
ហើយដៃ	haǝyday
ក្រាប	kraap
ឡាន	laan
ថ្មី	tməy
បង្វិល	bɑŋvəl
តុំយ៉ាំ	tomyam
សឹង	səŋ
ទាល់តែ	toaltae
ជាងគេ	cieŋkee
រស់នៅ	rʊəhnɨv
ជា	cie
ពុំសូវ	pumsəv
តម្រូវ	tɑmrəv
ចានដែក	caandaek
ស្តង់	stɑŋ
ត្រឡាច	trɑlaac
ប្តី	pdəy
កាត់	kat
បន្លែ	bɑnlae
ពន្យល់	pʊənyʊəl
ជីរ	cii
ពូនភ្នំ	puunpnum
កូរពោះ	koupʊəh
ចំណងដៃ	cɑmnɑɑŋday
ហុត	hot
ផ្ដាសាយ	pdaasaay
ជាមួយ	ciemuəy
គូស	kuuh
សំណាប	sɑmnaap
សូត្រ	sout
កំប៉ិត	kɑmpət
អំពី	ʔɑmpii
ជ្រួសគ្នា	cruəhknie
សម្ភាសន៍	sɑmpʰieh
អក្សរកាត់	ʔaksɑɑkat
ល្វីង	lviiŋ
ជាតិ	ciet
សំណួរ	sɑmnuə
ខ្សែពួរ	ksaepuə
ប្រេងខ្យល់	preeŋkcɑl,preeŋkyɑl
គណនេយ្យ	keaʔnaʔnəy,kʊənnaʔney
កន្ទេល	kɑnteel
ស្រីរ័ត្ន	srəyroat
អ្នករត់សំបុត្រ	neakrʊətsɑmbot
បង់លុយ	bɑŋluy
ប្រឡេះ	prɑleh
រតនា	reaʔtaʔnaa
កីឡា	kəylaa
ស្រួលខ្លួន	sruǝlkluən
រំភើប	rumpʰəəp
ចប់	cɑp
អប	ʔɑɑp
ពូជ	puuc
ធ្វើមុខ	tvəəmuk
ហ្មត់ចត់	mɑtcɑt
រះ	reah
ធានារ៉ាប់រង	tʰienieraprɔɔŋ
វិល	vɨl
ស្នួ	snuə
សាន	saan
ខំ	kʰɑm
ទឹកលិច	tɨklɨc
រាវចាន	rievcaan
ចាប់ពី	cappii
ប្រសិទ្ធិភាព	prɑsəttʰiʔpʰiep,prɑsettʰiʔpʰiep
ជន់	cʊən
គួរតែ	kuətae
ដឹកជញ្ជូន	dəkcʊəɲcuun
បំភ្លឺ	bɑmplɨɨ
ចន្លោះ	cɑnlɑh
ទូរស័ព្ទ	tuureaʔsap
ទាន់	toan
បាន	baan
មែន	mɛɛn
លាងមាត់	lieŋmoat
ខ្សាច់	ksac
ផ្លាកតម្លៃ	plaaktɑmlay
គ	kɔɔ
វិច្ឆិកា	vɨcceʔkaa
រហ័ស	rɔhah
ជ្រូក	cruuk
ទាំងអស់	teaŋʔɑh
ស៊េរី	seerii
អូខេ	ʔoukʰee
ចម្ងាយ	cɑmŋaay
របង	rɔbɑɑŋ
បបូរមាត់	bɑboumoat
ខ្នើយ	knaəy
គេង	keeŋ
សត្វ	sat
សកម្មភាព	saʔkammeaʔpʰiep
រៀបរាប់	riəproap
កូនស្រី	kounsrǝy
ផែ	pʰae
សាមីខ្លួន	saamǝykluən
ភ្ជាប់	pcoap
ប្រយ័ត្ន	prɑyat
អរុណសួស្ដី	ʔaʔrunsuǝsdǝy
មួយទឹក	muəytɨk
សាច់ញាតិ	sacɲiet
អាយហ្វូន	ʔaayfoun
បិណ្ឌបាត	bənbaat
ស្រស់ស្រាយ	srɑhsraay
បុណ្យ	bon
អាន	ʔaan
ញញឹម	ɲɔɲɨm
ង៉ៃហ្នឹង	ŋaynɨŋ
ខូចខ្លួន	kʰouckluən
ថ្ងៃអាទិត្យ	tŋayʔaatɨt
កណ្ដាល	kɑndaal
ភ្នំបូកគោ	pnumboukkoo
ថ្ងៃក្រោយ	tŋaykraoy
រណារ	rɔnaa
បាយៗ	baaybaay
ព្រឹកមិញ	prɨkmɨɲ
ពាក្យសំដី	pieksɑmdəy
ស៊ុប	sup
ប្រើប្រាស់	praəprah
គគ្រិច	kɔkrɨc
សរុប	saʔrop
វិន័យ	viʔney
អំពៅ	ʔɑmpɨv
សាមញ្ញ	saamaɲ
រួសរាន់	ruəhroan
ពូក	puuk
ក្រូចថ្លុង	krouctloŋ
គ្នា	knie
សណ្ដាប់ធ្នាប់	sɑndaptnoap
ដូច្នេះ	doucneh
ខាងលិច	kʰaaŋlɨc
វ័យ	vey
តិចតួច	təctuəc
ប្រាំ	pram
ទាំងស្រុង	teaŋsroŋ
បោះចោល	bɑhcaol
ទូកញ្ចក់	tuukɑɲcɑk
បង្ខំ	bɑŋkʰɑm
ភ្ជួរស្រែ	pcuəsrae
ពេជ្រ	pɨc
ស្រប	srɑɑp
ហួត	huət
រហូត	rɔhout
រីក	riik
ចង្កូត	cɑŋkout
សិក្សា	səksaa
ជ្រុង	cruŋ
ប្រសិន	prɑsən
រមណីយដ្ឋាន	reaʔmeaʔniiyeaʔtʰaan
សូត្រធម៌	souttʰoa
បើសិនជា	baəsəncie
ស៊ីម៉ងត៍	siimɑŋ
ជាមុន	ciemun
ប្រមាណ	prɑmaan
បៀតបៀន	biətbiən
យ៉ាងតិច	yaaŋtəc
បញ្ចប់	bɑɲcɑp
សុខ	sok
អាក់អន់ស្រពន់ចិត្ត	ʔakʔɑnsrɑpʊəncət
គ្មាន	kmien
ខោទ្រនាប់	kʰaotrɔnoap
សញ្ញា	saɲɲaa
ពន្ធធនាគារ	pʊəntʰeaʔniekie
ដៃអាវ	dayʔaav
អាការៈ	ʔaakaaraʔ,ʔaakaa
អង្កាល់	ʔɑŋkaal
ទឹកកក	tɨkkɑɑ
ត្រីរ៉ស់	trəyrɑh
