já	jauː
íþrótt	iːθrouht
nógur	nouːʏr
kynbundinn	cʰɪnpʏntɪnː
grávorblóm	krauːvɔrplouːm
hann	hanː
tiggi	tʰɪcːɪ
níl	niːl
rússneskur	rusːtnɛskʏr
hálsfesti	haulsfɛstɪ
mauka	møyːka
dýralæknir	tiːralaihknɪr
vilji	vɪljɪ
daðra	taðra
játa	jauːta
frumefni	frʏːmɛpnɪ
brúðkaupsnótt	pruðkʰøypsnouht
barti	par̥tɪ
súta	suːta
hempa	hɛm̥pa
derhúfa	tɛrhuːva
flasa	flaːsa
hetja	hɛːtja
græja	kraiːja
svæfing	svaiːviŋk
ljóska	ljouska
sparð	sparð
heimilisfang	heiːmɪlɪsfauŋk
örn	œrtn
bumbubúi	pʏmpʏpuːɪ
hommi	hɔmːɪ
ráðríkur	rauðriːkʏr
klám	kʰlauːm
lífvörður	livvœrðʏr
þrílaufungur	θriːløyːvʏŋkʏr
veikur	veiːkʏr
mállýska	maulliska
samlyndi	samlɪntɪ
húsfreyja	huːsfreiːja
kápa	kʰauːpa
fitjasef	fɪːtjasɛːv
verð	vɛrð
afturbati	aftʏrpaːtɪ
ískra	iːskra
hvolpur	xʷɔl̥pʏr
hljóta	l̥jouːta
eyrún	eiːrun
strauja	strøyːja
dreyra	treiːra
skortur	skɔr̥tʏr
djóka	tjouːka
nák	nauːk
goð	kɔːð
ritgerð	rɪːtcɛrð
eingöngu	einkøyŋkʏ
raust	røyst
mongólska	mɔŋkoulska
heimula	heiːmʏːla
hlaðborð	l̥aðpɔrð
vopn	vɔhpn
ná	nauː
kelda	cʰɛlta
teygjudýr	tʰeiːjʏtiːr
andstæður	antstaiðʏr
sambland	samplant
fóstur	foustʏr
jóna	jouːna
eftirmynd	ɛftɪrmɪnt
stökkull	stœhkʏtl
hvelatengsl	xʷɛːlatʰeiŋstl
hverfi	kʰvɛrvɪ
bý	piː
taumur	tʰøyːmʏr
sólber	soulpɛːr
skúlína	skuːliːna
einasta	eiːnasta
mykja	mɪːca
kæliskápur	cʰaiːlɪskaːpʏr
málvísindi	maulviːsɪntɪ
dúkur	tuːkʏr
sparnaður	spartnaːðʏr
lítt	liht
fiður	fɪːðʏr
rafmagn	raːmakn
panta	pʰan̥ta
brennisóley	prɛnːɪsouːleiː
dráttur	trauhtʏr
dekkja	tɛhca
orðasafn	ɔrðasapn
bakborði	paːkpɔrðɪ
móheiður	mouːheiːðʏr
mynt	mɪn̥t
líffæri	liffaiːrɪ
snörla	snœrtla
jafnt	jaft
verkur	vɛr̥kʏr
prísund	pʰriːsʏnt
leiðni	leiðnɪ
lotsveifgras	lɔːtsveivkraːs
tæring	tʰaiːriŋk
olnbogabót	ɔlnpɔːɣapouːt
kvæði	kʰvaiːðɪ
þverhníptur	θvɛrn̥iftʏr
páll	pʰautl
andfélagslegur	antfjɛːlaxslɛːɣʏr
jón	jouːn
skófla	skoupla
nauðsynlegur	nøyðsɪnlɛːɣʏr
þeta	θɛːta
gát	kauːt
guðrún	kvʏðruːn
hertogadæmi	hɛr̥tʰɔːɣataiːmɪ
heiður	heiːðʏr
strengur	streiŋkʏr
streyma	streiːma
hristingur	r̥ɪstiŋkʏr
hvorttveggja	xʷɔr̥ttʰvɛcːa
fullkominn	fʏtl̥kʰɔːmɪnː
þerra	θɛrːa
leif	leiːv
forsjá	fɔr̥sjauː
seyta	seiːta
stafur	staːvʏr
þrældómur	θrailtouːmʏr
möl	mœːl
hermundur	hɛrmʏntʏr
spæla	spaiːla
aðalakkeri	aːðalahkɛːrɪ
foringi	fɔːriɲcɪ
ábyrgð	auːpɪrɣð
f	ɛfː
dökkbrúnn	tœhkprutn
vika	vɪːka
tómstundagaman	tʰoumstʏntakaːman
mjór	mjouːr
flengur	fleiŋkʏr
fúga	fuːa
te	tʰɛː
túvalú	tʰuːvaluː
hjólasæti	çouːlasaiːtɪ
veila	veiːla
eís	ɛːiːs
smári	smauːrɪ
núll	nulː
hnésbót	n̥jɛːspouːt
afmæli	avmaiːlɪ
innganga	ɪnːkauŋka
tigl	tʰɪkl
léttvatn	ljɛhtvahtn
greinarmunur	kreiːnarmʏːnʏr
afbrýði	avpriːðɪ
bruni	prʏːnɪ
stef	stɛːv
hrufla	r̥ʏpla
barrspæta	parːspaiːta
hönk	hœŋ̊k
aðalendir	aːðalɛntɪr
frjókorn	frjouːkʰɔrtn
þorkell	θɔr̥cʰɛtl
mosadýr	mɔːsatiːr
þögn	θœkn
ólmur	oulmʏr
é	jɛː
frank	fraŋ̊k
teikning	tʰeihkniŋk
köllun	kʰœtlʏn
damjan	tamjan
hrísgrjón	r̥iːskrjouːn
hrumur	r̥ʏːmʏr
lögreglustjóri	lœɣrɛklʏstjouːrɪ
hjálpari	çaul̥parɪ
tilgangsfall	tʰɪlkauŋksfatl
les	lɛːs
erfa	ɛrva
endaþarmsop	ɛntaθarmsɔːp
ríkur	riːkʏr
ær	aiːr
björt	pjœr̥t
egyptaland	ɛːcɪftalant
aga	aːɣa
tveir	tʰveiːr
eggjárn	ɛkːjaurtn
lund	lʏnt
hræra	r̥aiːra
mýramaðra	miːramaðra
skemmd	scɛmt
lækjagrýta	laiːcakriːta
unna	ʏnːa
grýta	kriːta
lísa	liːsa
krókódíll	kʰrouːkoutitl
lýja	liːja
fley	fleiː
albanskur	alpanskʏr
rupl	rʏhpl
grunnli	krʏnːlɪ
ofursti	ɔːfʏr̥stɪ
skaf	skaːv
repja	rɛːpja
rafgreining	ravkreiːniŋk
hrísla	r̥istla
kringumstæður	kʰriŋkʏmstaiːðʏr
internet	ɪn̥tɛrnɛːt
gagn	kakn
tæma	tʰaiːma
hilmir	hɪlmɪr
rýtingur	riːtiŋkʏr
minningargripur	mɪnːiŋkarkrɪːpʏr
líta	liːta
barmmerki	parmmɛr̥cɪ
kreditkort	kʰrɛːtɪtkʰɔr̥t
sannarlega	sanːarlɛːɣa
þrái	θrauːɪ
skýrsla	scir̥stla
samúelína	saːmuːɛːliːna
afbrot	avprɔːt
strý	striː
clausen	kʰlauːsɛːnː
blek	plɛːk
tjara	tʰjaːra
lyfjabúð	lɪvjapuːð
fríðleiki	friːðleiːcɪ
tækisfall	taiːkɪsfatl
lífrænn	livraitn
ferðataska	fɛrðatʰaska
enni	ɛnːɪ
trega	tʰrɛːɣa
apa	aːpa
hryggur	r̥ɪkːʏr
nýjabrum	niːjaprʏːm
bygging	pɪcːiŋk
kirsuber	cʰɪr̥sʏpɛːr
sprengja	spreiɲca
fjallasveifgras	fjatlasveivkraːs
skrafa	skraːva
kúptur	kʰuftʏr
tó	tʰouː
ávísun	auːviːsʏn
stigi	stɪiːjɪ
lóða	louːða
mjölnir	mjœlnɪr
valdimaría	valtɪmaːriːja
glæpur	klaiːpʏr
aðalbygging	aːðalpɪcːiŋk
forliður	fɔrlɪːðʏr
brauðhnífur	prøyðn̥iːvʏr
hófskegg	houvscɛkː
bókasafnsfræðingur	pouːkasapnsfraiːðiŋkʏr
páskar	pauskar
edik	ɛːtɪk
redda	rɛtːa
boðflenna	pɔðflɛnːa
vofa	vɔːva
staðarfall	staːðarfatl
hækja	haiːca
kalk	kʰal̥k
fjarki	fjar̥cɪ
nýyrði	niːɪrðɪ
alda	alta
skurfa	skʏrva
claessen	kʰlasːɛn
lóðleit	louðleiːt
droll	trɔtl
eiði	eiːðɪ
geisa	ceiːsa
lágmark	lauɣmar̥k
gjaldþrot	caltθrɔːt
spjalla	spjatla
vistfræði	vɪstfraiːðɪ
hnúskakrækill	n̥uskakʰraiːcɪtl
hátterni	hauhtɛrtnɪ
virði	vɪrðɪ
runólfína	rʏːnoulviːna
jódís	jouːtiːs
þrymskviða	θrɪmskʰvɪːða
gúrkutíð	kur̥kʏtʰiːð
notkun	nɔːtkʏn
samviskusamur	samvɪskʏsaːmʏr
aðstoðarmaður	aðstɔːðarmaːðʏr
broddfura	prɔtːfʏːra
augnablik	øyknaplɪːk
elda	ɛlta
lundúnir	lʏntuːnɪr
kærasti	cʰaiːrastɪ
nota	nɔːta
úran	uːraːn
handaband	hantapant
vigdís	vɪɣtiːs
nitur	nɪːtʏr
knéfiðla	kʰnjɛːfɪðla
krisma	kʰrɪsma
flugdreki	flʏɣtrɛːcɪ
hveðn	xʷɛðn
skeið	sceiːð
árstími	aurstʰiːmɪ
latínuskóli	laːtʰiːnʏskouːlɪ
gullfiskur	kʏtlfɪskʏr
þverra	θvɛrːa
lexía	lɛksiːja
fit	fɪːt
varmi	varmɪ
gljávíðir	kljauːviːðɪr
óafturkræfur	ouːaftʏrkʰraiːvʏr
eftirlaun	ɛftɪrløyːn
léttur	ljɛhtʏr
skúli	skuːlɪ
húðflúr	huðfluːr
fjall	fjatl
alba	alpa
bresta	prɛsta
skaplyndi	skaːplɪntɪ
lónasóley	louːnasouːleiː
aukastafur	øyːkastaːvʏr
kvap	kʰvaːp
naut	nøyːt
snjall	stnjatl
grín	kriːn
einbirni	einpɪrtnɪ
buxnavasi	pʏxsnavaːsɪ
þunnur	θʏnːʏr
a	aː
tyrðill	tʰɪrðɪtl
vigfús	vɪxfuːs
nígería	niːkɛːriːja
kaðlín	kʰaðliːn
astat	astaːt
óákveðinn	ouːauːkʰvɛːðɪnː
veifa	veiːva
sveifla	sveipla
teygjubyssa	tʰeiːjʏpɪsːa
safír	saːfiːr
kerling	cʰɛrtliŋk
hreðka	r̥ɛθka
herra	hɛrːa
olla	ɔlːa
fríspark	friːspar̥k
poppa	pʰɔhpa
tunga	tʰuŋka
temja	tʰɛmja
sog	sɔːɣ
fénaður	fjɛːnaːðʏr
háðung	hauːðuŋk
saxland	saxslant
afturbeyging	aftʏrpeiːjiŋk
kræklingur	kʰraihkliŋkʏr
egna	ɛkna
voff	vɔfː
dáð	tauːð
sál	sauːl
blindur	plɪntʏr
dúkahnífur	tuːkan̥iːvʏr
efnafræði	ɛpnafraiːðɪ
dimma	tɪmːa
hald	halt
dýragarður	tiːrakarðʏr
miðill	mɪːðɪtl
bjarnheiður	pjartnheiːðʏr
nei	neiː
hálsmen	haulsmɛːn
lögreglustöð	lœɣrɛklʏstœːð
kviða	kʰvɪːða
lengjast	leiɲcast
aðaltenging	aːðaltʰeiɲciŋk
tíðaratviksorð	tʰiːðaraːtvɪksɔrð
drýgja	triːja
haltur	hal̥tʏr
arndís	artntiːs
skæni	scaiːnɪ
genf	kɛnf
eik	eiːk
fylja	fɪlja
eiga	eiːɣa
leysir	leiːsɪr
skógarsóley	skouːarsouːleiː
ax	aks
jósefína	jouːsɛːfiːna
hviða	kʰvɪːða
kvikasilfur	kʰvɪːkasɪlvʏr
ella	ɛtla
grákráka	krauːkʰrauːka
prímtala	pʰrimtʰaːla
filma	fɪlma
tryggvína	tʰrɪkviːna
fastur	fastʏr
fjör	fjœːr
mýri	miːrɪ
hjóla	çouːla
baun	pøyːn
tipla	tʰɪhpla
hórus	houːrʏs
bolla	pɔlːa
tap	tʰaːp
tígur	tʰiːɣʏr
króm	kʰrouːm
sáðrás	sauðraus
áhrifaríkur	auːr̥ɪːvariːkʏr
rakki	rahcɪ
varla	vartla
afsláttur	afstlauhtʏr
ofn	ɔpn
fólk	foul̥k
óvinátta	ouːvɪːnauhta
lífdagar	livtaːɣar
aukafall	øyːkafatl
fúi	fuːɪ
tilvísunarfornafn	tʰɪlviːsʏːnarfɔrnapn
eignarfall	eiknarfatl
flæmska	flaimska
vélbúnaður	vjɛlpuːnaːðʏr
sköddun	skœtːʏn
valmynd	valmɪnt
hver	kʰvœːr
næpa	naiːpa
reikistjarna	reiːcɪstjartna
útlit	uːtlɪːt
serbneskur	sɛrpnɛskʏr
hindrun	hɪntrʏn
hita	hɪːta
tíðahvörf	tʰiːðaxʷœrv
níð	niːð
básúna	pauːsuːna
sútari	suːtarɪ
túpa	tʰuːpa
maltur	mal̥tʏr
lasna	lastna
fjallakobbi	fjatlakʰɔpːɪ
rymja	rɪmja
heild	heilt
kóreska	kʰouːrɛska
verndun	vɛrntʏn
gustur	kʏstʏr
útdauði	uːttøyːðɪ
alli	atlɪ
hóra	houːra
spað	spaːð
útskýra	uːtsciːra
hnakkur	n̥ahkʏr
funi	fʏːnɪ
bolur	pɔːlʏr
dómur	touːmʏr
félagshyggja	fjɛːlaxshɪcːa
apótekari	aːpouːtʰɛːkaːrɪ
festa	fɛsta
nútími	nuːtʰiːmɪ
nútíð	nuːtʰiːð
fylgjari	fɪlcarɪ
karlfauskur	kʰartlføyskʏr
svindla	svɪntla
aldrei	altreiː
botna	pɔhtna
greypa	kreiːpa
leyni	leiːnɪ
athuga	aːthʏːɣa
sifjarsóley	sɪvjarsouːleiː
kveðskapur	kʰvɛðskaːpʏr
borða	pɔrða
regnhlíf	rɛknl̥iːv
broddur	prɔtːʏr
ótti	ouhtɪ
tárakirtill	tʰauːrakʰɪr̥tɪtl
hneykja	n̥eiːca
töfra	tʰœvra
brokk	prɔhk
hraun	r̥øyːn
gjarn	cartn
tiltaka	tʰɪːltʰaːka
bóka	pouːka
halldór	haltouːr
korn	kʰɔrtn
lífvera	livvɛːra
torveldi	tʰɔrvɛltɪ
brundur	prʏntʏr
fitna	fɪhtna
aldinbori	altɪnpɔːrɪ
tilviljun	tʰɪlvɪljʏn
eistland	eistlant
blýglans	pliːklans
svartsýnn	svar̥tsitn
einveldi	einvɛltɪ
gráelri	krauːɛlrɪ
kyrrlæti	cʰɪrlaiːtɪ
reður	rɛːðʏr
rassvasi	rasːvaːsɪ
laus	løyːs
ógnarúlfur	ouknarulvʏr
ostsneið	ɔststneiːð
létta	ljɛhta
þorláksmessa	θɔrlauksmɛsːa
steik	steiːk
rannur	ranːʏr
grikkland	krɪhklant
bryðja	prɪðja
veiðimaður	veiːðɪmaːðʏr
tvistur	tʰvɪstʏr
tangi	tʰauɲcɪ
söguríkur	sœːɣʏriːkʏr
fanga	fauŋka
slokkna	stlɔhkna
sigfús	sɪxfuːs
vax	vaks
sykurmoli	sɪːkʏrmɔːlɪ
eyjafjallajökull	eiːjafjatlajœːkʏtl
dalmatía	talmatʰiːja
frónsk	frounsk
tjaldur	tʰjaltʏr
fabúla	faːpuːla
flúr	fluːr
hvæsa	kʰvaiːsa
milli	mɪlːɪ
ydda	ɪtːa
forði	fɔrðɪ
hlaði	l̥aːðɪ
þverflauta	θvɛr̥fløyːta
fótboltafélag	fouːtpɔl̥tafjɛːlaːɣ
hákarl	hauːkartl
grind	krɪnt
líking	liːciŋk
bygg	pɪkː
rúðuborg	ruːðʏpɔrk
skelmir	scɛlmɪr
angi	auɲcɪ
hræða	r̥aiːða
hildimundur	hɪltɪmʏntʏr
leiðindi	leiːðɪntɪ
dofna	tɔpna
marr	marː
júði	juːðɪ
buxnavasi	pʏksnavaːsɪ
leikvöllur	leiːkvœtlʏr
snark	stnar̥k
orsök	ɔr̥sœːk
gigt	cɪxt
ferhyrningur	fɛrhɪrtniŋkʏr
móðurbróðir	mouːðʏrprouːðɪr
matareitrun	maːtaːreiːtrʏn
þrenningarmaðra	θrɛnːiŋkarmaðra
retta	rɛhta
móttaka	mouːttʰaːka
vestari	vɛstaːrɪ
mismunur	mɪsmʏːnʏr
bjarki	pjar̥cɪ
saur	søyːr
búnaður	puːnaːðʏr
prinsipissa	pʰrɪnsɪpʰɪsːa
barnæska	partnaiska
höfðingi	hœvðiɲcɪ
miskunna	mɪskʏnːa
ljóstillífun	ljouːstɪlliːvʏn
miðvikudagur	mɪðvɪːkʰʏtaːɣʏr
krækja	kʰraiːca
prúðmennska	pʰruðmɛnska
ekki	ɪcːɪ
sæmundur	saiːmʏntʏr
jónheiður	jouːnheiːðʏr
kóríander	kʰouːriːjantɛːr
list	lɪst
gjósa	couːsa
sproti	sprɔːtɪ
treyja	tʰreiːja
sullur	sʏtlʏr
kenna	cʰɛnːa
eggertína	ɛcːɛr̥tiːna
hlíta	l̥iːta
hafur	haːvʏr
skorpa	skɔr̥pa
slys	stlɪːs
veður	vɛːðʏr
borðtölva	pɔrðtʰœlva
bóknám	pouːknauːm
hani	haːnɪ
rúsína	ruːsiːna
skína	sciːna
kæti	cʰaiːtɪ
snar	stnaːr
brasilía	praːsɪliːja
bogi	pɔːjɪ
skyssa	scɪsːa
loki	lɔːcɪ
beinn	peitn
djúpur	tjuːpʏr
gambri	kamprɪ
tíu	tiːʏ
klæindi	kʰlaiːjɪntɪ
dæmi	taiːmɪ
móðurborð	mouːðʏrpɔrð
leiðsögn	leiðsœkn
uppi	ʏhpɪ
svefnpoki	svɛpnpʰɔːcɪ
bretónska	prɛːtʰounska
bjálki	pjaul̥kɪ
sjór	sjouːr
valmúi	valmuːɪ
gikkur	cɪhkʏr
vallhæra	vatlhaiːra
hörn	hœrtn
akur	aːkʰʏr
eingetinn	eincɛːtɪn
narta	nar̥ta
umtalsverður	ʏmtʰalsvɛrðʏr
vanræksla	vanraikstla
hebreska	hɛːprɛska
krikket	kʰrɪhcɛt
erta	ɛr̥ta
lífhimna	livhɪmna
kambur	kʰampʏr
dugur	tʏːɣʏr
líkamlegur	liːkʰamlɛːɣʏr
spjald	spjalt
leifa	leiːva
sólon	souːlɔn
leysingi	leiːsiɲcɪ
hes	hɛːs
sáðfruma	sauðfrʏːma
gráðostur	krauːðɔstʏr
rím	riːm
sekkur	sɛhkʏr
biðminni	pɪðmɪnːɪ
indverskur	ɪntvɛr̥skʏr
gaman	kaːmaːn
hryðja	r̥ɪðja
klífa	kʰliːva
snökta	snœxta
niður	nɪːðʏr
ólund	ouːlʏnt
barkakýli	par̥kacʰiːlɪ
skuggi	skʏcːɪ
serbókróatíska	sɛrpoukʰrouːatʰiska
tölvupóstur	tʰœlvʏpʰoustʏr
sköp	skœːp
tón	tʰouːn
kóngshrókur	kouŋksr̥ouːkʏr
finnska	fɪnska
sýnn	sitn
upphaf	ʏhphaːv
partur	pʰar̥tʏr
kengur	cʰeiŋkʏr
stell	stɛtl
smásaga	smauːsaːɣa
hanski	hanscɪ
þybbinn	θɪpːɪnː
slátra	stlauːtra
biti	pɪːtɪ
tælenska	tʰaiːlɛnska
þátíð	θauːtʰiːð
stefanía	stɛːfaːniːja
þakka	θahka
fyðill	fɪːðɪtl
aukning	øyhkniŋk
lygna	lɪkna
fínn	fitn
ekkja	ɛhca
hraukur	r̥øyːkʏr
dollari	tɔlːarɪ
fyrirsæta	fɪːrɪrsaiːta
kornblóm	kʰɔrtnplouːm
skera	scɛːra
lykja	lɪːca
minni	mɪnːɪ
alheimur	aːlheiːmʏr
hvika	kʰvɪːka
grýlukerti	kriːlʏcʰɛr̥tɪ
þyrstur	θɪr̥stʏr
láland	lauːlant
heimasími	heiːmasiːmɪ
ísakína	iːsaːkiːna
dreggjar	trɛcːar
hófsóley	houvsouːleiː
grikkur	krɪhkʏr
bókasafn	pouːkasapn
bót	pouːt
viftureim	vɪftʏreiːm
rannsóknarstofa	ranːsouhknarstɔːva
ríkisborgararéttur	riːcɪspɔrkararjɛhtʏr
hegning	hɛkniŋk
milli	mɪtlɪ
uxi	ʏksɪ
kampavín	kʰam̥paviːn
hnefi	n̥ɛːvɪ
hálfleikur	haulvleiːkʏr
atkvæði	aːtkʰvaiːðɪ
lemja	lɛmja
fjara	fjaːra
kennslubók	cʰɛnstlʏpouːk
hindartré	hɪntartrjɛː
bogna	pɔkna
smalamaður	smaːlamaːðʏr
vökva	vœːkva
gnoð	knɔːð
eplamús	ɛhplamuːs
leiðrétting	leiðrjɛhtiŋk
hlykkur	l̥ɪhkʏr
baldur	paltʏr
pistasía	pʰɪstasiːja
járningamaður	jaurtniŋkamaːðʏr
hjaltalín	çal̥taliːn
páfi	pʰauːvɪ
frægð	fraiɣð
heppni	hɛhpnɪ
höfuðsmaður	hœːvʏðsmaːðʏr
óvarkár	ouːvar̥kʰaur
herramaður	hɛrːamaːðʏr
forrit	fɔrrɪːt
járna	jaurtna
borgarstjóri	pɔrkarstjouːrɪ
sjóður	sjouːðʏr
gæs	caiːs
sandali	santalɪ
fallvatn	fatlvahtn
skræfa	skraiːva
mauraþúfa	møyːraθuːva
föðurlandsvinur	fœːðʏrlansvɪːnʏr
óendanleiki	ouːɛntanleiːcɪ
fell	fɛtl
haukur	høyːkʏr
ólöf	ouːlœːv
sagnbót	saknpouːt
gotland	kɔːtlant
milljón	mɪljouːn
lyfta	lɪfta
hluti	l̥ʏːtɪ
undrun	ʏntrʏn
tönn	tʰœnː
spúa	spuːa
blotna	plɔhtna
ólafína	ouːlaːviːna
hvítmaðra	kʰviːtmaðra
sameind	saːmeint
kynkirtill	cʰɪːncʰɪr̥tɪtl
hjaðna	çaðna
mosasteinbrjótur	mɔːsasteinprjouːtʏr
silkibygg	sɪl̥cɪpɪkː
rök	rœːk
olsen	oulsɛnː
kufl	kʰʏpl
hljómsveit	l̥joumsveiːt
fælast	faiːlast
gjóta	couːta
ríkja	riːca
toddi	tʰɔtːɪ
jarðlag	jarðlaːɣ
okfruma	ɔːkfrʏːma
klunni	kʰlʏnːɪ
litur	lɪːtʏr
kar	kʰaːr
gráblika	krauplɪːka
sigg	sɪkː
dunkur	tuŋ̊kʏr
fylgd	fɪlt
djass	tjasː
fluga	flʏːɣa
té	tʰjɛː
spítta	spihta
renta	rɛn̥ta
fjarstýra	fjar̥stiːra
fjallgarður	fjatlkarðʏr
tvenna	tʰvɛnːa
ótt	ouht
sesín	sɛːsiːn
kurteisi	kʰʏr̥teiːsɪ
mánajurt	mauːnajʏr̥t
merking	mɛr̥ciŋk
kaupandi	kʰøyːpantɪ
kyrrð	cʰɪrð
metfé	mɛːtfjɛː
ásjálegur	auːsjauːlɛːɣʏr
naga	naːɣa
kjartan	cʰar̥tan
gæta	caiːta
portúgali	pʰɔr̥tukaːlɪ
siglutoppur	sɪklʏtʰɔhpʏr
laska	laska
bjartur	pjar̥tʏr
axhæra	axshaiːra
sannindi	sanːɪntɪ
klára	kʰlauːra
loftárás	lɔftauːrauːs
sandbylur	santpɪːlʏr
óra	ouːra
beitukóngur	peiːtʏkʰouŋkʏr
leit	leiːt
mildur	mɪltʏr
aðdáandi	aðtauːantɪ
meinsæri	meinsaiːrɪ
und	ʏnt
búðingur	puːðiŋkʏr
blaðamaður	plaːðamaːðʏr
rosti	rɔstɪ
sag	saːɣ
blágrænn	plauːkraitn
bananahýði	paːnanahiːðɪ
hjaltested	çal̥tɛːstɛːð
sokkur	sɔhkʏr
fés	fjɛːs
flaggdúkur	flakːtuːkʏr
hjálmur	çaulmʏr
eldsvoði	ɛltsvɔːðɪ
ánægja	auːnaiːja
íferðarfall	iːfɛrðarfatl
kumbaraland	kʰʏmpaːralant
trygging	tʰrɪcːiŋk
farangur	faːrauŋkʏr
hrísgrjónavín	r̥iːskrjouːnaviːn
gylla	cɪtla
ómur	ouːmʏr
orkídea	ɔr̥ciːtɛːa
goggi	kɔcːɪ
fátækur	fauːtʰaiːkʏr
krista	kʰrɪsta
garðrækt	karðraixt
tefla	tʰɛpla
jarða	jarða
cís	siːs
ruðningur	rʏðniŋkʏr
leppalúði	lɛhpaluːðɪ
pylsa	pʰɪlsa
jólaköttur	jouːlakʰœhtʏr
salka	sal̥ka
skeyti	sceiːtɪ
rafeindasmásjá	raːveintasmauːsjauː
petrína	pɛːtriːna
hroki	r̥ɔːcɪ
kísill	cʰiːsɪtl
skjall	scatl
hnoðri	n̥ɔðrɪ
tryggvi	tʰrɪkvɪ
kalla	kʰatla
makedónía	maːkʰɛːtouːniːja
lófi	louːɪ
larfur	larvʏr
handrið	hantrɪːð
plóma	pʰlouːma
seytla	seihtla
loftpúði	lɔftpʰuːðɪ
hrygla	r̥ɪkla
kvars	kʰvar̥s
ás	auːs
karbónat	kʰarpouːnaːt
bull	pʏtl
ómblíður	oumpliːðʏr
hjól	çouːl
jaki	jaːcɪ
náhvalur	nauːkʰvaːlʏr
hjalti	çal̥tɪ
hás	hauːs
dirfska	tɪrvska
gervitunglamynd	cɛrvɪtʰuŋlamɪnt
lífsandi	lifsantɪ
raddblær	ratːplaiːr
tabú	tʰaːpuː
krossgáta	kʰrɔsːkauːta
náttmál	nauhtmauːl
keipa	cʰeiːpa
möller	mœlːɛr
hrelling	r̥ɛtliŋk
morgunfrú	mɔrkʏnfruː
kopar	kʰɔːpar
bakkus	pahkʏs
bræla	praiːla
skýring	sciːriŋk
lífsmark	lifsmar̥k
saltkjöt	sal̥tcʰœːt
trúfélag	tʰruːfjɛːlaːɣ
stynja	stɪnja
vodka	vɔtkʰa
tossi	tʰɔsːɪ
geislaspilari	ceistlaspɪːlaːrɪ
hetta	hɛhta
spendýr	spɛntiːr
anúbis	aːnuːpɪs
fjöllaufungur	fjœlløyːvuŋkʏr
serbi	sɛrpɪ
asni	astnɪ
einingarfylki	eiːniŋkarfɪl̥cɪ
silki	sɪl̥cɪ
kyndugur	cʰɪntʏːɣʏr
blásveifgras	plauːsveivkraːs
lítill	liːtɪtl
sterkur	stɛr̥kʏr
ósannur	ouːsanːʏr
helta	hɛl̥ta
fangaklefi	fauŋkakʰlɛːvɪ
hámundur	hauːmʏntʏr
kaupunautur	kʰøyːpʏnøyːtʏr
krýna	kʰriːna
friggjarlykill	frɪcːarlɪːcɪtl
steikja	steiːca
dýjamosi	tiːjamɔːsɪ
forritunarmál	fɔrːɪːtʏnarmauːl
körfuknattleiksþjálfari	kʰœrvʏkʰnahtleiksθjaulvarɪ
þarna	θatna
aðall	aːðatl
hvalkjöt	xʷalcʰœːt
töframaður	tʰœvramaːðʏr
mosaburkni	mɔːsapʏr̥knɪ
ýsa	iːsa
fall	fatl
metta	mɛhta
barð	parð
víðir	viːðɪr
klafi	kʰlaːvɪ
járna	jautna
grasasni	kraːsastnɪ
þjöl	θjœːl
kýli	cʰiːlɪ
myndband	mɪntpant
drjúpa	trjuːpa
hjarðmaður	çarðmaːðʏr
err	ɛrː
hæsi	haiːsɪ
nautgripur	nøyːtkrɪːpʏr
rökkur	rœhkʏr
breyta	preiːta
rógur	rouːʏr
kála	kʰauːla
skíðaþjálfari	sciːðaθjaulvaːrɪ
fótboltaþjálfari	fouːtpɔl̥taθjaulvaːrɪ
ástþrúður	austθruːðʏr
mæla	maiːla
stilling	stɪtliŋk
kvos	kʰvɔːs
páka	pʰauːka
skurðgrafa	skʏrðkraːva
flaka	flaːka
hjördís	çœrtiːs
vangi	vauɲcɪ
vist	vɪst
kontrapunktur	kʰɔn̥trapʰʏn̥ktʏr
eitrun	eiːtrʏn
bugða	pʏɣða
króati	kʰrouːaːtɪ
skynugur	scɪːnʏːɣʏr
angan	auŋkan
kastari	kʰastaːrɪ
rafhlaða	ravl̥aːða
ægir	aiːjɪr
freyja	freiːja
una	ʏːna
bæta	paiːta
frýgískur	friːciskʏr
hugsjónamaður	hʏxsjouːnamaːðʏr
heiðni	heiðnɪ
erkiengill	ɛr̥cɪeiɲcɪtl
teista	tʰeista
brúðgumi	pruðkʏːmɪ
kóraltoppur	kʰouːraltʰɔhpʏr
tákn	tʰauhkn
skírteini	scir̥teiːnɪ
henda	hɛnta
síróp	siːrouːp
hvítabjörn	xʷiːtapjœrtn
sykurrófa	sɪːkʏrrouːva
kanarífugl	kʰaːnariːfʏkl
klútur	kʰluːtʏr
sætur	saiːtʏr
ríkisráð	riːcɪsrauːð
hjálparsagnorð	çaul̥parsaknɔrð
gervill	cɛrvɪtl
blóðmör	plouðmœːr
spegla	speikla
páskavika	pʰauskavɪːka
þvengur	θveiŋkʏr
hlýna	l̥iːna
greifingi	kreiːviɲcɪ
sviti	svɪːtɪ
bæli	paiːlɪ
lestun	lɛstʏn
blússa	plusːa
barþjónn	parθjoutn
mínúta	miːnuːta
orka	ɔr̥ka
sveif	sveiːv
fæða	faiːða
sláttur	stlauhtʏr
afkáralegur	avkʰauːralɛːɣʏr
hörpudiskur	hœr̥pʏtɪskʏr
skylda	scɪlta
