melandro	melandɾo̝
chavella	t͡ʃaβeʎa̝
cinta	sinta̝
rosmar	rosmaɾ
labrego	laβɾɛɣo̝
sidra	siðɾa̝
cano	kano̝
rabiza	raβisa̝
ámboa	ambo̯a̝
buxa	buʃa̝
cabaza	kaβaθa̝
banco	baŋko̝
hortensa	ɔɾtens̺ɐ
feo	feo̝
choza	t͡ʃɔsa̝
bardo	baɾðo̝
carapucha	kaɾaput͡ʃa̝
pedir	pɨðiɾ
rabilongo	raβiloŋɡo̝
xilbarda	ʃilβaɾða̝
fociño	fuθiɲo̝
guillerme	ɡiʎɛɾme
cumial	kumjal
estorbada	estoɾβaða̝
limáchega	limat͡ʃe̝ɣa̝
taro	taɾo̝
tabardo	taβaɾðo̝
albiscar	alβiskaɾ
noval	noβal
nial	nial
lorcho	lɔɾt͡ʃo̝
liña	liɲa̝
limpar	limpaɾ
andaina	andajna̝
cenceno	senseno̝
trinque	triŋke̝
tascar	taskaɾ
pailaroco	pajlaɾoko̝
zarzallo	θaɾθaʎo̝
sementar	sementaɾ
arxemil	aɾʃemil
pintor	pintoɾ
aba	aβa̝
obradoiro	ɔβɾaðojɾo̝
burdiar	buɾðjaɾ
bulir	buliɾ
estrinque	estɾiŋke̝
tripar	tɾipaɾ
sarrio	sarjo̝
cancelo	kanθɛlo̝
espiño	espiɲo̝
estrumeira	estɾumejɾa̝
lousar	lowsaɾ
chufa	t͡ʃufa̝
sollo	soʎo̝
almucela	almuθɛla̝
maínzo	mainθo̝
toa	toa̝
amora	amɔɾa̝
forcado	foɾkaðo̝
alfaiate	alfajat̪ɪ
percebeiro	peɾseβejro̝
devesa	deβesa̝
fradar	fɾaðaɾ
aparelloa	apaɾeʎoa̝
paraíso	paɾaiso
mato	mato̝
trinta	trinta̝
papas	papa̝s
merlo	mɛɾlo̝
tenda	tɛnda̝
a	a̝
cordeiro	kɔɾðejɾo̝
bichoco	bit͡ʃɔko̝
lagareta	laɣaɾetɐ
foupa	fɔwpa̝
zurrar	θuraɾ
cego	θɛɣo̝
ricaz	rikas
mariño	maɾiɲʊ
búsula	busula̝
pichel	pit͡ʃɛl
laxe	laʃe̝
parolar	parɔlar
pezoña	pesoɲa̝
deva	deβa̝
ortiga	oɾtiɣa̝
vacina	baθina̝
bacía	baθia̝
artesa	aɾtesa̝
bubela	buβɛla̝
toxal	toʃal
vinco	biŋko̝
salto	saltʊ
fiúncho	fiunt͡ʃo̝
raño	raɲo̝
remuíño	remuiɲo̝
cancil	kanθil
caeira	kɐɛjɾɐ
zoupo	sowpo̝
formaxe	formaʃe̝
chegar	t͡ʃeɣaɾ
saber	saβeɾ
remanecer	remaneθeɾ
mantemento	mantemento̝
caivanca	kajβaŋka̝
dentagruño	dentaɣɾuɲo̝
desfeita	desfejta̝
colludo	koʎuðo̝
estinga	estiŋɡa̝
pirolazo	piɾolaθo
randufe	randufe̝
porcallada	pɔɾkaʎaða
vestir	bestiɾ
mazá	masaː
papa	papa̝
entendemento	entendemento̝
botelo	botɛlo̝
bortelar	boɾtelaɾ
escalo	eskalo̝
penico	peniko̝
apancar	apaŋkaɾ
bufarda	bufaɾða̝
endeita	endejta̝
pingo	piŋɡo̝
tesoira	tesojɾa̝
calcar	kalkaɾ
touca	towka̝
forra	fora
virilla	biɾiʎa̝
verea	beɾea̝
chorume	t͡ʃoɾume̝
furar	fuɾaɾ
cernella	θeɾneʎa̝
pega	peɣa̝
laranxeira	laɾanʃejɾa̝
cardar	kɑɾðaɾ
lamprea	lampɾea̝
cobre	kɔβɾe̝
canado	kanaðo̝
chumaceira	t͡ʃumaθejɾa̝
coteiro	kotejɾo̝
cachucha	kat͡ʃut͡ʃa̝
cercar	θeɾkaɾ
mosquete	moskete̝
cánabo	kana̝βo̝
pasamento	pasamɛnto̝
sollío	sɔʎio̝
abrazar	aβɾaθaɾ
bola	bola̝
batoco	batoko̝
papuxa	papuʃa̝
centeo	senteo̝
chisco	t͡ʃisko̝
galicia	ɡaliθjɐ
requecer	rekɛθeɾ
bulicio	buliθjo̝
esqueiro	eskejɾo̝
chifre	t͡ʃifɾe̝
chuchar	t͡ʃut͡ʃaɾ
tolo	tolo̝
pólvora	pɔlβo̝ɾa̝
espirrar	espiraɾ
anga	aŋɡa̝
gabar	ɡaβaɾ
legume	leɣume̝
curar	kuɾaɾ
touriñán	towɾiɲaŋ
canela	kanɛla̝
rubio	ruβjo̝
baleeiro	baliejɾo̝
cafúa	kafua̝
chumazo	t͡ʃumaθo̝
noxento	noʃento̝
eido	ejðo̝
esqueira	eskɛjɾa̝
baamonde	baːmonde̝
rengo	rɛŋɡo̝
torrente	torente̝
acá	aka
ulloa	uʎoa̝
xantar	ʃantaɾ
gume	ɡume̝
amádego	amaðe̝ɣo̝
lenlla	lenʎa̝
codia	koðia̝
bousán	bɔwsaŋ
garganta	ɡaɾɣanta̝
choiar	t͡ʃɔjaɾ
coroza	koɾɔθa̝
ribadavia	riβaðaβja̝
zoco	θoko̝
albedro	alβeðɾo̝
zamburiña	sambuɾiɲa̝
zarro	θaro̝
sésamo	sesa̝mo̝
estirar	estiɾaɾ
cozo	koθo̝
cornacho	kɔɾnat͡ʃo̝
forcada	fɔɾkaða̝
tremer	tɾemeɾ
chantar	t͡ʃantaɾ
bocoi	bokoj
abanar	aβanaɾ
espiñaca	espiɲaka̝
maio	majo̝
vasalo	basalo̝
burgo	buɾɣo̝
saída	saiða̝
lamazal	lamaθal
mariña	maɾiɲa̝
vilancico	bilanθiko
parro	paro̝
picota	pikɔta̝
esquecer	eskɛθeɾ
lomba	lomba̝
rebento	rebento
carcás	kaɾkas
esmiuzar	esmiuθaɾ
medorra	meðora̝
choca	t͡ʃoka̝
raíz	raiθ
manxadoira	manʃaðojɾa̝
mendrello	mendɾeʎo̝
gardar	ɡaɾðaɾ
casta	kasta̝
teaz	teaθ
furco	fuɾko̝
chumazo	t͡ʃumaso̝
oleiro	olejɾo̝
lumieira	lumiejɾa̝
troulear	tɾowleaɾ
naseiro	nasejɾo̝
gondulfe	ɡondulfe̝
agoireiro	aɣojɾejɾo̝
engalar	eŋɡalaɾ
tomentelo	tomentɛlo̝
cenzo	θenθo̝
taleiga	talejɣa̝
canda	kanda̝
lameiro	lamejɾo̝
couzoeira	kowθoejɾa̝
vedizo	bɛːðiθo̝
pena	pena̝
rangua	raŋɡwa̝
diaño	diaɲo̝
curota	kuɾɔta̝
roca	rɔka̝
castrove	kastɾɔβe̝
escandear	eskandeaɾ
piñeiro	piɲejɾo̝
empurrón	empuroŋ
capeirote	kapejɾɔte̝̝
pelamio	pelamio̝
arrincar	ariŋkaɾ
vieites	biejte̝s
patarroxa	pataroʃa̝
escarabana	eskaɾaβana̝
cadrar	kaðɾaɾ
burla	buɾla̝
nandulfe	nandulfe̝
chamoso	t͡ʃamoso̝
trotar	tɾɔtaɾ
envorco	embɔɾko̝
bieiteira	biejtejɾa̝
revirar	reβiɾaɾ
vichelocrego	bit͡ʃelokɾɛɣo̝
coieira	kɔjejɾa̝
miguélez	miɣɛle̝θ
tufo	tufo̝
creba	kɾɛβa̝
racha	rat͡ʃa̝
cichar	sit͡ʃaɾ
tambre	tambɾe̝
larcha	lart͡ʃa̝
folía	fɔlia̝
barallar	baɾaʎaɾ
lambecricas	lambekɾika̝s
espeto	espeto̝
atopar	atopaɾ
valigoto	baliɣoto̝
ourizo	owɾiθo̝
loitador	lojtaðoɾ
sinxelo	sinʃɛlo̝
forxa	fɔɾʃa̝
galiña	ɡaliɲa̝
rever	reβeɾ
arnela	aɾnɛla̝
lago	laɣo
quella	kɛʎa̝
espionaxe	espionaʃe̝
arquivo	aɾkiβo̝
verquer	beɾkeɾ
cabezada	kaβeθaða̝
mondariz	mondaɾiθ
colorado	koloɾaðo̝
canzobre	kanθɔbɾe̝
froallo	fɾoaʎo̝
botar	botar
fitar	fitaɾ
carrizo	kariso̝
coar	koaɾ
garabato	ɡaɾaβato̝
soldadura	soldaðuɾa̝
marchar	maɾt͡ʃaɾ
zapón	sapoŋ
froia	fɾɔja̝
lumbrigante	lumbɾiɣante̝
trives	tɾiβe̝s
testar	tɛstaɾ
dos	d̪ʊs̺
adala	aðala̝
grixó	ɡɾiʃɔ
manter	manteɾ
agulletar	aɣuʎetaɾ
coraxe	koɾaʃe̝
cenlla	θenʎa̝
beleigán	belejɣaŋ
aturuxo	atuɾuʃo̝
rebordelos	reβoɾðɛlo̝s
somoza	somoθa̝
valgada	balɣaða̝
pairar	pajɾaɾ
samesuga	samesuɣa̝
toleiro	tolejɾo̝
baldón	baldoŋ
toller	toʎeɾ
arangaños	aɾaŋɡaɲo̝s
biosbardo	biosβaɾðo̝
mazaroca	masaɾɔka̝
puga	puɣa̝
soltar	soltaɾ
camposa	kamposa̝
saín	saiŋ
vaira	bajɾa̝
tempas	t̪ɛmpɐs̻
pousafoles	powsafɔles
palleta	paʎeta̝
serodio	seɾoðjo̝
melide	meliðe̝
heree	eɾɛ
paderne	paðɛɾne̝
escudeiro	eskuðejɾo̝
tona	tona̝
rolo	rolo̝
pontenova	pɔntenɔβa̝
rego	reɣo̝
graba	ɡɾaβa̝
santafollo	santafoʎo̝
louzao	lowθao̯
asmo	aɾmo̝
romaría	romaɾia̝
cacharela	kat͡ʃaɾɛla̝
inferno	iɱfɛɾno̝
baiona	bajona̝
laído	laiðo̝
bode	bɔðe̝
torga	tɔɾɣa̝
chuvasco	t͡ʃuβasko̝
beladona	bɛladona̝
roseira	rosejɾa̝
louro	lowɾo̝
ourive	owɾiβe̝
guitiriz	ɡitiɾiθ
cicha	θit͡ʃa̝
raxo	raʃo̝
aleixar	alejʃaɾ
retorto	retɔɾto̝
perixel	peɾiʃɛl
trono	tɾɔno̝
boia	bɔja̝
gulfar	ɡulfaɾ
illargada	iʎaɾɣaða̝
rial	rial
farelo	faɾɛlo̝
furado	fuɾaðo̝
barro	baro̝
seitura	sejtuɾa̝
brenza	bɾenθa̝̝
magoar	maɣoaɾ
neal	nial
escaleira	eskalejɾa̝
malataría	malataɾia̝
rapaza	rapaθa
uzal	uθal
galra	ɡalra̝
ceibo	sejβo̝
amiguiño	amiɣiɲo̝
franzomil	fɾanθomil
porcallán	pɔɾkaʎaŋ
relustrar	relistɾaɾ
árbore	aɾβo̝ɾe̝
pemento	pemɛnto̝
guillurfe	ɡiʎuɾfe̝
abano	aβano̝
tombo	tombo̝
noitiña	nojtiɲa̝
arrequeixar	arekejʃaɾ
mirrar	miraɾ
proído	pɾoiðo̝
ons	ɔŋs
adobar	aðoβaɾ
esgarrar	esɣaraɾ
empedrar	empeðɾaɾ
cadril	kaðɾil
adobo	aðoβo̝
lacón	lakoŋ
escoupro	eskowpɾo̝
morca	mɔɾka̝
boga	bɔɣa̝
molar	molaɾ
polpa	polpa̝
murador	muɾaðoɾ
pasal	pasaʊ̯
murar	muɾar
banzo	banθo̝
armaría	armaɾia̝
regatear	reɣateaɾ
gabanza	ɡaβanθa̝
premer	pɾemeɾ
ruada	ruaða̝
buxeo	buʃeo̝
bordo	bɔɾðo̝
piche	pit͡ʃe̝
fiuncho	fjunt͡ʃo̝
lesma	lesma̝
saco	sako̝
esmilfar	esmilfaɾ
ledicia	leðiθja̝
touzo	towso̝
orasme	ɔɾaz̺me̝
esbedro	esβeðɾo̝
adormentar	aðoɾmentaɾ
liñaza	liɲasa̝
franco	fraŋko̝
coima	kojma
pontella	ponteʎa̝
tourón	towɾoŋ
percebe	peɾθeβe̝
alustro	alustɾo̝
sucho	sut͡ʃo̝
ferrón	feroŋ
chancho	t͡ʃant͡ʃo̝
barreiro	barejɾo̝
costela	kostɛla̝
lella	leʎa̝
meixengra	mejʃeŋɡɾa̝
bringuelo	bɾiŋɡɛlo̝
taberneiro	taβeɾnejɾo̝
treu	tɾɛw
tolosano	tolosano
zarra	θara̝
ames	ame̝s
espeteira	espitejɾa̝
reboira	reβojɾa̝
enxerir	inʃeɾiɾ
rancor	raŋkoɾ
cumio	kumio̝
zoupón	sowpoŋ
acea	aθea̝
carracho	karat͡ʃo̝
londra	londɾa̝
fanar	fanaɾ
parola	paɾɔla̝
argueiro	aɾɣejɾo̝
afi	afi
baluga	baluɣa̝
comezo	komɛθo̝
queixume	kejʃume̝
asaño	asaɲo̝
roxar	roʃaɾ
carreiro	karejɾo̝
guiado	ɡiaðo̝
gorgozada	ɡoɾɣoθaða̝
eslañar	eslaɲaɾ
parabéns	paɾaβɛŋs
fungueiro	fuŋɡejɾo̝
viña	biɲa̝
areixa	aɾɛjʃa̝
quecer	kɛseɾ
tenza	tensa̝̝
cadarnoxo	kaðaɾnoʃo̝
reborido	reβoɾiðo̝
rodeira	rɔðejɾa̝
tósego	tos̺eħo̝
noitebra	nojteβɾa̝
nubrar	nuβɾaɾ
beberricar	beβerikaɾ
marear	maɾeaɾ
monllo	monʎo̝
trebello	tɾeβeʎo̝
teixón	tejʃoŋ
coller	koʎeɾ
estampinar	estampinaɾ
soán	soaŋ
pinto	pinto̝
fornecer	fɔɾnɛθeɾ
balouco	balowko̝
groto	ɡɾoto̝
esquina	eskina̝
entroido	antɾojðo̝
moza	mosa̝
alumear	alumeaɾ
albar	alβaɾ
tambor	tamboɾ
carcán	kaɾkaŋ
nadal	naðal
balorento	baloɾento̝
carrabouxo	karaβowʃo̝
billa	biʎa̝
tacón	takoŋ
binguelete	biŋɡelete̝
cheiro	t͡ʃejɾo̝
lobato	loβato̝
tira	tiɾa̝
perfia	pɛɾfja̝
piolla	pioʎa̝
bisbarra	bisbara̝
ateán	ateaŋ
louzán	lowθao̯
decotío	dekotio̝
buxana	buʃana̝
xardón	ʃaɾðoŋ
espaller	espaʎɛɾ
pebidal	peβiðal
burgueiro	buɾɣejɾo̝
boubín	bowβiŋ
queixar	kejʃaɾ
lufiada	lufjaða̝
escotar	eskɔtaɾ
mexillón	meʃiʎoŋ
masa	masa̝
enfeitizar	eɱfejtiθaɾ
badal	baðal
migalla	miɣaʎa̝
candeeiro	kandeejɾo̝̝
peneira	penejɾa̝
couzón	kowθoŋ
azougue	asowɣe̝
comechón	komet͡ʃoŋ
fidalgo	fiðalɣo̝
notar	notaɾ
lostregar	lustɾiɣaɾ
rodríguez	roðɾiɣe̝θ
ceila	θejla̝
toelo	toelo̝
buzaco	buθako̝
fazula	faθula̝
trabada	tɾaβaða
montouto	montowto̝
estrada	estɾaða̝
besteiro	bɛsteiɾo̝
vizoso	bisoso̝
traxe	tɾaʃe̝
gabido	ɡaβiðo̝
estorniño	estoɾniɲo̝
moxena	moʃena̝
entroido	entɾojðo̝
castaña	kastaɲa̝
sobradar	soβɾaðaɾ
desferrar	desferaɾ
chourizo	t͡ʃowɾiθo̝
virxinidade	biɾʃiniðaðe̝
cebrisca	θeβɾiska̝
espiña	espiɲa̝
folerpa	folɛɾpa̝
nervio	neɾβjo̝
baltar	baltaɾ
ensanguentar	ensaŋɡentaɾ
brandariz	bɾandaɾis
bafo	bafo̝
choupelo	t͡ʃowpɛlo̝
xuramento	ʃuɾamentʊ
falcón	falkoŋ
folello	foleʎo̝
carozo	kaɾoθo̝
amañar	amaɲaɾ
pitoño	pitoɲo̝
tenza	tenθa̝̝
abadengo	aβaðeŋɡo̝
viéitez	biejte̝θ
comprar	kompɾaɾ
fronza	fɾonʃa̝
groucho	ɡɾowt͡ʃo̝
ti	ti
esfarelar	esfaɾelaɾ
tampa	tampa̝
ventar	bentaɾ
xoves	ʃɔβe̝s
choco	t͡ʃoko̝
ferreiro	ferejɾo̝
achar	at͡ʃaɾ
retriza	retɾisa̝
ouriolo	owɾiɔlo̝
freire	fɾejɾe̝
pértega	peɾte̝ɣa̝
albaroque	alβaɾɔke̝
colmo	kolmo̝
ancoradoiro	aŋkoɾaðojɾo̝
ceifa	θɛjfɐ
almadraque	almaðɾake̝
mensaxeiro	mensaʃejɾo̝
varenga	baɾɛŋɡa̝
esfargallar	esfaɾɣaʎaɾ
ollo	ɔʝʊ
hoste	ɔste̝
pescozada	peskoθaða̝
mulime	mulime̝
biscar	biskaɾ
vendimar	bendimaɾ
terra	tɛra̝
cailón	kajloŋ
raña	raɲa̝
cidreira	siðɾejɾa̝
cabestro	kaβestɾo̝
pomba	pɔmba̝
acañar	akaɲaɾ
orizó	oɾiθɔ
miñato	miɲato̝
bugallo	buɣaʎo̝
chorida	t͡ʃoɾiða̝
cárcava	kaɾka̝βa̝
gándara	ɡanda̝ɾa̝
manteiga	mantejɣa̝
non	nʊŋ
nugalla	nuɣaʎa̝
mazo	maso̝
peón	peoŋ
orizó	oɾisɔ
hábito	aβito̝
tea	tea̝
adra	aðɾa̝
boi	bɔj
barato	baɾato̝
braña	bɾaɲa̝
mazar	masaɾ
mancha	mant͡ʃa̝
arado	aɾaðo̝
constipado	konstipaðo
piago	piaɣo̝
espelir	espeliɾ
canella	kaneʎa̝
refugo	refuɣo̝
gorgozo	ɡoɾɣoso̝
home	ɔmɪ
palloza	paʎɔθa̝
borra	bora̝
coruñés	koɾuɲes
aquel	akel
pitar	pitaɾ
mexo	meʃo̝
tirizó	tiɾiθɔ
serra	sɛra̝
sorbeira	soɾβejɾa̝
chouto	t͡ʃowto̝
eito	ɛjto̝
patela	patɛla̝
humillar	umiʎaɾ
laño	laɲo̝
parlar	parlar
empanada	empanaða̝
sendeiro	sendejɾo̝
rodo	roðo̝
caramuxo	kaɾamuʃo̝
fananco	fanaŋko̝
vea	bea̝
portela	poɾtɛla̝
pescoso	peskoso̝
varcia	baɾθja̝
testo	tɛsto̝
ranquear	raŋkeaɾ
bolo	bɔlo̝
un	uŋ
toimil	tɔjmil
poio	pojo̝
acender	aθendeɾ
solpor	solpoɾ
trabar	tɾaβaɾ
xeonlleira	ʃeonʎejɾa̝
ningunha	niŋɡuŋa̝
godallo	ɡoðaʎo̝
ferraxe	feraʃe̝
mesado	mesaðo̝
moimendro	mojmendɾo̝
sangue	saŋɡe̝
garavanzo	ħraβanso̝
tempestade	tempɛstaðe̝
escorregar	eskoreɣaɾ
gromo	ɡɾomo̝
caamouco	kamowko̝
vez	bes
callo	kaʎo̝
algaria	alɣaɾja̝
abalar	aβalaɾ
lazo	laθo̝
pior	pɨɔɾ
escarís	eskaɾis
bouza	bowsa̝
gorgomil	ɡoɾɣomil
engo	ɛŋɡo̝
fisga	fisɣa̝
estruga	estɾuɣa̝
rozavales	roθaβale̝s
adormiñar	aðoɾmiɲaɾ
trompa	tɾompa
derrego	dereɣo̝
testeiro	tɛstejɾo̝
zopo	θopo̝
curuto	kuɾuto̝
imitar	imitaɾ
seita	sejta̝
pontón	pontoŋ
entrousar	entɾowsaɾ
fillar	fiʎaɾ
cervúa	θɛɾβua̝
algunha	alɣuŋa̝
cuito	kujto̝
estripeiro	estɾipejɾo̝
lapo	lapo̝
birlo	biɾlo̝
causela	kowsela̝
felga	fɛlɣa̝
bucina	buθina̝
maga	maɣa̝
toxo	toʃo̝
charco	t͡ʃaɾko̝
pontevedra	ponteβɛðɾa̝
sabariz	saβaɾiθ
acio	aθio̝
mosqueira	mɔskejɾa̝
beizo	bejso̝
ganso	ɡanso̝
cichón	θit͡ʃoŋ
trapallo	tɾapaʎo̝
esnaquizar	esnakiθaɾ
marxa	maɾʃa̝
lideira	liðejɾa̝
pesco	pesko̝
calvario	kalβaɾjo̝
costume	kostume̝
rouceo	rowθɛʊ
sopa	sopa̝
guldriz	ɡuldɾiθ
a	a
é	ɛ
peido	pejðo̝
carpear	kaɾpeaɾ
escolla	eskoʎa̝
aloumiño	alowmiɲo̝
señor	seɲoɾ
engra	ɛŋɡɾa̝
elefante	ɛlefante̝
fender	fendeɾ
pino	pino̝
falcatruada	falkatɾuaða̝
xunto	ʃunto̝
en	eŋ
abeneiro	aβenejɾo̝
leña	leɲa̝
bolo	bolo̝
estaca	estaka̝
maravalla	maɾaβaʎa̝
peniz	penis
eis	ejs
valdeorras	baldeora̝s
feitío	fejtio̝
sanxenxo	sanʃɛnʃo̝
aceno	aθeno̝
agruño	aɣɾuɲo̝
maza	maθa̝
saudades	sawðaðes
vime	bime̝
xunta	ʃunta̝
tixela	tiʃɛlɐ
gaspeto	ɡaθpeto̝
arrochar	arot͡ʃaɾ
burela	buɾɛlɐ
carne	kaɾne̝
alporizar	alpoɾiθaɾ
felmil	felmil
abetar	aβetaɾ
chasco	t͡ʃasko̝
lamacento	lamaθɛnto̝
bacelo	baθelo̝
mazo	maθo̝
lousa	lowsa̝
rabiza	raβiθa̝
orelleira	oɾeʎejɾa̝
levar	leβaɾ
onte	ɔnte̝
torneira	toɾnejɾa̝
porqueira	pɔɾkeiɾa̝
saudade	sawðaðɪ
chocallo	t͡ʃokaʎo̝
tose	tɔsɪ
cru	kɾu
cao	kao̯
rato	rato̝
leitón	lejtoŋ
adubo	aðuβo̝
aldara	aldaɾa̝
porfía	poɾfia̝
trapo	tɾapo̝
rexelo	reʃɛlo̝
trasvirar	tɾasbiɾaɾ
ralbar	ralβaɾ
lembranza	lembɾanθa̝
morriña	moriɲa
estronca	estɾoŋka̝
tinto	tinto̝
pau	paʊ̯
peaxe	peaʃe̝
serrón	seroŋ
virar	biɾaɾ
leituga	lejtuɣa̝
ferrollo	feroʎo̝
adro	aðɾo̝
daquela	dakɛla
fartura	faɾtuɾa̝
brexo	bɾɛʃo̝
mourén	mowɾɛŋ
aceso	aseso̝
aldraxe	alðɾaʃe̝
tanguer	taŋɡeɾ
vizo	biθo̝
sísamo	sisa̝mo̝
robalo	roβalo̝
congro	koŋɡɾo̝̝
estrinxir	estɾinʃiɾ
meter	meteɾ
devalar	deβalaɾ
celeiro	selejɾo̝
bulleiro	buʎɛjɾo̝
preguiza	pɾeɣiθa̝
bouta	bowta̝
enxerdar	enʃeɾðaɾ
cereixa	θeɾejʃa̝
costrán	kostɾaŋ
azul	asul
escoura	eskowɾa̝
odre	oðɾe̝
gabia	ɡaβia̝
doela	doɛla̝
xeonllo	ʃeonʎo̝
estatua	estatwa̝
lello	leʎo̝
maruxa	maɾuʃa̝
desexar	deseʃaɾ
ronsel	ronsɛl
ansimonde	ansimonde̝
galafre	ɡalafɾe̝
gastar	ɡastaɾ
cinlla	sinʎa̝
vexar	beʃaɾ
rodaballo	roðaβaʎo̝
salgadeira	salɣaðejɾa̝
rifa	rifa̝
vilasantar	bilasantaɾ
nogueira	noɣejɾa̝
maleta	maleta̝
orneallo	oɾneaʎo̝
gulfián	ɡulfjaŋ
fiestra	fiɛstɾa̝
nora	nɔɾa̝
lecer	leθeɾ
allariz	aʎaɾiθ
cedo	θeðo̝
ceba	θeβa̝
reboredo	reβoɾeðo̝
curro	kuro̝
costro	kostɾo̝
apodrecer	apoðɾeseɾ
agua	aɡwa
chozo	t͡ʃɔθo̝
muar	muaɾ
ansemonde	ansemonde̝
cálice	kaliθe
ardentía	aɾðentia̝
bulleiro	buʎejɾo̝
ozca	ɔzka̝
comechón	komit͡ʃoŋ
forno	foɾno̝
gundián	ɡundiaŋ
esmorir	esmoɾiɾ
asollar	asoʎaɾ
abanqueiro	aβaŋkejɾo̝
carballeira	kaɾβaʎejɾa̝
carranca	karaŋka̝
reviravolta	reβiɾaβɔlta̝
mollo	moʎo̝
mercadoría	meɾkaðoɾia̝
caes	kajs
bullar	βuʎaɾ
ningures	niŋɡuɾe̝s
turuleque	turulɛke̝
anciño	anθiɲo̝
aciñeira	aθiɲejɾa̝
amaravallar	amaɾaβaʎaɾ
páez	paeθ
gabeta	ɡaβeta̝
cascar	kaskaɾ
trillar	tɾiʎaɾ
cotra	kotɾa̝
mar	maɾ
cedofeita	θeðofejta̝
xenebra	ʃenɛβɾɐ
casqueiro	kaskejɾo̝
vougo	bowɣo̝
perrencha	peɾent͡ʃa̝
acedo	aseðo̝
cerco	θeɾko̝
mioca	miɔka̝
bendia	bendja̝
asemade	asemaðe̝
cagalla	kaɣaʎa̝
coroar	koɾoaɾ
irmá	iɾmaŋ
brúo	bɾuo̝
vasca	baska̝
ouriceira	owɾisejɾa̝
zapón	θapoŋ
feito	fɛjto̝
silva	silβa̝
acender	asendeɾ
forrar	foraɾ
barbuda	baɾβuðo̝
herdade	ɛɾðaðe̝
francante	fɾaŋkante̝
tromentelo	tɾomentɛlo̝
o	o̝
laverca	laβɛɾka̝
teiroa	tejɾɔa̝
porro	pɔro
marxe	maɾʃe̝
morro	moro̝
cocido	kosiðo̝
tormenta	toɾmenta̝
barullo	baɾuʎo̝
aramio	aɾamjo̝
vermello	beɾmeʎo̝
méixamo	mejʃa̝mo̝
carambelo	kaɾambelo̝
rebentar	rebentaɾ
lontra	lontɾɐ
poldra	poldɾa̝
anxeriz	anʃeɾiθ
luns	luŋs
bazuncho	baθunt͡ʃo̝
trigar	tɾiɣaɾ
virxinidade	biɾʃiniða
deitar	dejtaɾ
estraño	estɾaɲo̝
estrado	estɾaðo̝
tilla	tiʎa̝
chama	t͡ʃama̝
zamborca	θambɔɾka̝
mazarico	maθaɾiko̝
zoca	θɔka̝
beizo	bejθo̝
empachar	empat͡ʃaɾ
cepo	sepo̝
coto	koto̝
beizón	bejθoŋ
trabalinguas	tɾaβaliŋɡwa̝s
aplicar	aplikaɾ
azor	aθoɾ
canga	kaŋka̝
rancio	ransjo̝
donfreán	doɱfɾeaŋ
uceira	usejɾa̝
cabeza	kaβeθa̝
merenda	meɾenda̝
rella	reʎa̝
pailán	pajlaŋ
porcalleiro	pɔɾkaʎejɾo̝
teixelo	tejʃelo̝
abastecer	aβasteseɾ
arró	arɔ
bagazo	baɣaθo̝
ergaleirón	eɾɣalejɾoŋ
xacer	ʃaθeɾ
gamela	ɡamɛla̝
tellado	teʎaðo̝
pelica	pelika̝
xurdir	ʃuɾðiɾ
rapar	rapaɾ
famento	famento̝
pais	pajs
zuncho	sunt͡ʃo̝
alcacén	alkaθɛŋ
empola	empola̝
abelleira	aβeʎejɾa̝
torque	tɔɾke̝
frito	fɾito̝
fungar	fuŋɡaɾ
osmo	ɔsmo̝
esquipar	eskipaɾ
macio	maθjo̝
bardanca	baɾðaŋka̝
piteiro	pitejɾo̝
canteira	kantejɾa̝
vencello	benθeʎo̝
espir	espiɾ
findar	findaɾ
empregar	empɾeɣaɾ
habenza	aβɛnθa̝
debagar	deβaɣaɾ
escachar	eskat͡ʃaɾ
bordear	boɾðeaɾ
beirado	bejɾaðo̝
pago	paɣo̝
escá	eska
bravo	bɾaβo̝
queixo	kejʃʊ
gontar	ɡontaɾ
croio	kɾɔjo̝
costoia	kostɔja̝
aloumiñar	alowmiɲaɾ
baña	baɲa̝
mozo	moso̝
liñar	liɲaɾ
afagar	afaɣaɾ
termar	teɾmaɾ
crebar	kɾeβaɾ
linguaxe	liŋɡwaʃe̝
mazar	maθaɾ
regazo	reɣaso̝
rexeitar	reʃejtaɾ
sangomiño	saŋɡomiɲo̝
bandullo	banduʎo̝
elo	ɛlo̝
lapacaldos	lapakaldo̝s
coella	koeʎa̝
chao	t͡ʃaw
debullar	deβuʎaɾ
estío	estio̝
serea	seɾea̝
antepeito	antepejto̝
requiás	rekias
cascuda	kaskuða̝
lamela	lamɛla̝
barda	baɾða̝
abrótega	aβɾɔte̝ɣa̝
menta	menta̝
esmorgueiro	esmɔɾɣejɾo
tola	tɔla
foraño	foɾaɲo̝
angarela	aŋɡaɾela̝
salaiar	salajaɾ
burbulla	buɾβuʎa̝
trobe	tɾɔβe̝
escoitar	eskojtaɾ
chau	t͡ʃaw
atafal	atafal
dentexil	denteʃil
mañá	maɲa
seta	sɛta̝
outono	owtono̝
cárcere	kaɾse̝ɾe̝
estrobo	estɾoβo̝
ornear	oɾneaɾ
cunca	kuŋka̝
grei	ɡrej
farila	faɾila̝
caldeireiro	kaldejɾejɾo̝
relón	reloŋ
xiringar	ʃiɾiŋɡaɾ
lentella	lenteʎa̝
