naabritega	nˈaːbritˌeɡa
tõdeti	tˈɵdɛti
võlast	vˈɵlɑst
tõlkimist	tˈɵʎkːimist
punt	pˈuɲt
sisendatud	sˈisɛndatud
Ärma	ˈærma
Alatskivi	ˈalɑtskˌivi
muheda	mˈuhɛda
eesmärkideni	ˈeːsmærkːˌideni
liikmeskond	lˈiːkːmeskond
kooliõpilane	kˈoːʎiˌɵpːilˌane
kasvatamiseks	kˈasvatˌamiseks
harrastajatele	hˈarrastˌajatˌele
rikkuja	rˈikːuja
Osavõtt	ˈosɑvɵtː
kandvaid	kˈandvaid
kriteeriumid	kritˈeːriumid
avamängus	ˈavɑmˌæŋɡus
Haagis	hˈaːɡis
Akadeemilise	ˌakadˈeːmilˌise
maailmameistrivõistlusteks	mˈaːilmameˌistrivɵˌistlusteks
imestan	ˈimɛstan
hindeks	hˈindeks
Lätis	lˈæt^is
kultuur	kultˈuːr
kroonisest	krˈoːɲisest
lahendusteni	lˈahɛndˌusteni
sätestavad	sˈætestavad
omandi	ˈomɑɲdi
kriminaalasjade	krˌiminˈaːlasjˌade
emeriitõpetaja	ˌemɛrˈiːtːɵpˌetaja
elupaiga	ˈelʊpˌaiɡa
Pimeduse	pˈimɛdˌuse
Loodame	lˈoːdame
Fjuki	fjˈuki
nõudmistega	nˈɵudmˌisteɡa
afäär	afˈæːr
vigastusteta	vˈiɡɑstˌusteta
perekondlik	pˈerɛkˌondlik
osapooltel	ˌosɑpˈoːltel
kurnab	kˈurnab
Karmo	kˈarmo
trügimist	trˈyɡimist
püüdlik	pˈyːdlik
individuaalses	ˌiɲdividuˈaːlses
materjaliga	mˈaterjˌaliɡa
sõlmimast	sˈɵlmimast
Parima	pˈarɪma
väravaid	vˈærɑvaid
riigimeeste	rˈiːɡimˈeːste
liugu	lˈiuɡu
jätkuvaks	jˈætkuvaks
juriidilised	jurˈiːdilised
minul	mˈinʊl
turniiritabeli	turnˈiːritˌabeli
Bayerni	pˈaiˌerni
ravitav	rˈavɪtav
koalitsioonilepingusse	kˈoaːliˌit^siˈoːnilepˌiŋɡusse
religioossest	rˌeʎɪɡiˈoːssest
Liider	lˈiːder
telefonikõnes	tˈelɛfˌonikɵnes
koni	kˈoɲɪ
Peaksid	pˈeaksid
Laaneotsa	lˈaːnˈeoːtsa
Kreekas	krˈeːkːas
Ühtne	ˈyhtne
päästab	pˈæːstab
õhurünnakud	ˈɵhʊrˌynnakud
Team	tˈeam
säästmisele	sˈæːstmisˌele
alghinnaks	ˈalɡhinnaks
süüdistuste	sˈyːd^istˌuste
Esimesed	ˈes^ɪmesed
riigireetmises	rˈiːɡirˈeːtːmises
nimi	nˈimɪ
lõhkekehad	lˈɵhkekehad
Rõõmuse	rˈɵːmuse
Sukles	sˈukːles
teinudki	tˈeinˌudki
kahtlaselt	kˈahtlaselt
toimib	tˈoimib
kellad	kˈellad
Lech	lˈekh
okupatsioonivõim	ˌokupaˌit^siˈoːnivɵim
järgset	jˈærɡset
äärmusest	ˈæːrmusest
põhjustajad	pˈɵhjustajad
Üprus	ˈyprus
põgeniku	pˈɵɡɛnˌiku
toidukaupadele	tˈoidukaˌupːadˌele
kasvus	kˈasvus
nõiaring	nˈɵijariŋɡ
USAsse	ˈusˈasse
ostma	ˈostma
Ramsaus	rˈamsaus
pensionifondist	pˈeɲsionifˌoɲdist
saabunud	sˈaːbunud
Tanja	tˈaɲja
JäPe	jˈæpˈe
reguleeritakse	rˌeɡʊlˈeːritˌakse
kulutamine	kˈulʊtˌamine
AINULT	ˈainult
päästeteenistuse	pˈæːstetˈeːnistˌuse
politseipatrulli	pˈoʎɪtseˌipːatːrˌulli
Kunman	kˈunman
kodumaaga	kˌodʊmˈaːɡa
Dominic	tˈomɪnik
töökorralduse	tˈøːkːorrˌalduse
tähtsamgi	tˈæhtsamɡi
viibi	vˈiːbi
tütarfirmat	tˈytarfˌirmat
näitena	nˈæ͡itːena
Hamburgi	hˈammburɡi
võimalusest	vˈɵimˌalusest
kolmandana	kˈolmandˌana
Kalamajas	kˈalɑmajas
Politseiameti	pˈoʎɪtsˌeijˌameti
politseidirektor	pˈoʎɪtseidirˌektor
määravad	mˈæːravad
ruumipuuduse	rˈuːmipˈuːduse
sammuga	sˈammuɡa
luhtunud	lˈuhtunud
Vastukaaluks	vˌastukˈaːluks
alajaamad	ˌalɑjˈaːmad
Kõrgessaares	kˌɵrrɡessˈaːres
püüdlus	pˈyːdlus
aeglane	ˈaeɡlˌane
uus	ˈuuːs
Tunni	tˈuɲɲi
allagi	ˈallaɡi
Spordikeskus	spˈordikˌeskus
EI	ˌeiː
annekteerimise	ˌannektˈeːrimˌise
hoov	hˈooːv
lahenenud	lˈahɛnenud
organiseeritult	ˌorɡanisˈeːritult
eraldada	ˈerɑldˌada
mõeldakse	mˈɵeldˌakse
võõrustasid	vˈɵːrustasid
loodusmuuseumi	lˈoːdusmˈuːseˌumi
liinilt	lˈiːɲilt
litsentseeritud	lˌitsentsˈeːritud
avatumaks	ˈavɑtumaks
püsimisele	pˈys^ɪmˌisele
arutlesid	ˈarʊtːlesid
energiaallikate	ˌenɛrɡiˈaːllikˌate
tipu	tˈipu
raskusi	rˈaskusi
röövivad	rˈøːvivad
Laurentiuse	lˈaurˌeɲtiˌuse
magus	mˈaɡʊs
pihib	pˈihɪb
Janari	jˈanɑri
ilmumas	ˈilmumas
seim	sˈeim
kõrvaldati	kˈɵrvaldˌati
Riiklike	rˈiːkːlike
Metsik	mˈeit^sik
ühtlustamine	ˈyhtlustˌamine
tipuks	tˈipuks
esialgselt	ˈes^iˌalɡselt
traditsioon	trˌad^iˌit^siˈoːn
poolmaratoni	pˈoːlmarˌatoni
aitamist	ˈaitːamist
ravimatu	rˈavɪmˌatu
patsientidele	pˈait^siˌeɲtidˌele
Päästeameti	pˈæːsteˌameti
kergitanud	kˈerɡitanud
MAPO	mˈapo
Portfelli	pˈortfelli
politsei	pˌoʎɪtsˈeiː
Vilms	vˈilms
stseene	stsˈeːne
küsin	kˈys^ɪn
ahastus	ˈahɑstus
emakeelset	ˌemɑkˈeːlset
Suvine	sˈuvɪne
PostimeesReede	pˌos^timˈeːsrˈeːde
lennuühendus	lˈennuyhˌendus
maadele	mˈaːdele
hoiustada	hˈoijˌustada
tervishoiuteenuste	tˌervishoijutːˈeːnuste
suundadest	sˈuːndadest
Egiptus	ˈeɡɪptus
ajav	ˈajɑv
Loomakaitsjad	lˈoːmakaˌitsjad
ravikindlustust	rˈavɪkˌindlustust
mahetoidu	mˈahɛtˌoidu
hoidmine	hˈoidmˌine
instruktori	ˈinstruktˌori
palestiinlaste	pˌalɛs^tˈiːnlaste
pühakoja	pˈyhɑkˌoja
tegemistega	tˈeɡɛmˌisteɡa
süüdistava	sˈyːd^istˌava
leebemaks	lˈeːbemaks
tõugatakse	tˈɵuɡatˌakse
Subaru	sˈubɑru
istungite	ˈistuŋɡˌite
rindkere	rˈindkere
hulgal	hˈulɡal
keppi	kˈepːi
Hispaaniat	hispˈaːniat
ESSi	ˈes^s^i
koguneda	kˈoɡʊnˌeda
lahkusin	lˈahkusin
õigusteadust	ˈɵiɡˌusteadust
Galant	kˈalɑɲt
praostiks	prˈaoːs^tiks
mobiilside	mobˈiːʎside
tööstusele	tˈøːstusˌele
finantseerimisel	fˌinɑntsˈeːrimisel
maiste	mˈaiste
piletihindu	pˈilɛtihˌindu
tootejuht	tˈoːtːejuht
Raudvassar	rˈaudvˌassar
muinsuskaitsekuu	mˌuinsˌuskaˌitsekˈuː
lotot	lˈotot
omade	ˈomɑde
istungilt	ˈistuŋɡilt
veepargis	vˈeːpːarɡis
teoloogiline	tˈeoːlˈoːɡilˌine
pühendumus	pˈyhɛndumus
alandab	ˈalɑndab
standardeid	stˈandardeid
arendamisele	ˈarɛndˌamisˌele
Vabaerakonda	vˈabaerakˌonda
Di	dˈi
jalgtee	jalɡtˈeː
luust	lˈuːst
lapsetoetusi	lˈapsetoˌetːusi
äripartneritega	ˈærɪpˌartnerˌiteɡa
vastumeelne	vˌastumˈeːlne
langetata	lˈaŋɡetˌata
kutseõppe	kˈutseˌɵpːe
Minult	mˈinʊlt
rahvaesindajad	rˈahvaesˌindajad
soovitused	sˈoːvitused
vististi	vˈis^tis^ti
erastaja	ˈerɑstˌaja
pistist	pˈis^tist
Ratta	rˈatːa
Asuküla	ˈasʊkˌyla
konsulteerima	kˌonsultˈeːrima
kustumatu	kˈustumˌatu
niihästi	nˈiːhæs^ti
helgemad	hˈelɡemad
Võhmas	vˈɵhmas
Malaisia	mˈalaˌisia
nimistut	nˈimɪstut
Reimi	rˈeimi
Koolitantsu	kˈoːʎitˌantsu
Unibanka	ˈuɲɪbˌaŋkːa
surutakse	sˈurʊtˌakse
siingi	sˈiːŋɡi
Jonas	jˈonɑs
strateegia	stratˈeːɡia
tegutsete	tˈeɡʊtsˌete
Odav	ˈodɑv
seletatakse	sˈelɛtatˌakse
Nuiamäe	nˌuijamˈæeː
üheksanda	ˈyhɛksˌanda
Lundi	lˈuɲdi
pikemalt	pˈikemalt
Sotsiaalne	sˌoit^siˈaːlne
toimetused	tˈoimˌetused
aiatööd	ˌaijatːˈøːd
munitsipaliseerimise	mˌuɲɪˌit^sipˌalisˈeːrimˌise
võttis	vˈɵt^ːis
toodame	tˈoːdame
puhtas	pˈuhtas
vulkaani	vulkːˈaːni
näitasid	nˈæ͡itːasid
Juu	jˈuuː
jõustruktuuride	jˌɵustruktˈuːride
soovitasid	sˈoːvitasid
kavandavad	kˈavɑndavad
kontsertaktusel	kˈontsertˌaktusel
Türgist	tˈyrɡist
opositsioonis	ˌoposiˌit^siˈoːnis
tolle	tˈolle
Vooremaa	vˈoːremˈaː
eelarvesse	ˈeːlarvˌesse
mittetulundusühing	mˈitːetulˌundusyhiŋɡ
ojas	ˈojɑs
kirub	kˈirʊb
suuremahulise	sˈuːremˌahulˌise
Õpilased	ˈɵpilased
kunstiga	kˈunstiɡa
eraisiku	ˈeraˌisiku
noorest	nˈoːrest
meest	mˈeːst
linnaosavanemad	linnˈaoːsˌavanemad
pattu	pˈatːu
avaldub	ˈavɑldub
Poe	pˈoeː
kasside	kˈas^s^ide
jooksva	jˈoːksva
kliinikumi	klˈiːɲikˌumi
vaatetorn	vˈaːtːetorn
integreerumine	ˌinteɡrˈeːrumˌine
ustavaks	ˈustavaks
saabuski	sˈaːbuski
Kumu	kˈumʊ
määratlema	mˈæːratːlˌema
tegevat	tˈeɡɛvat
Sisulist	sˈisʊlist
Vägisi	vˈæɡɪsi
juhtnööre	juhtnˈøːre
vähendades	vˈæhɛndades
kordaläinud	kˈordalˌæ͡inud
atentaat	ˌatentˈaːt
päästekomandost	pˈæːstekomˌandost
ni	nˈi
Tölp	tˈølpː
roolinud	rˈoːʎinud
vastanutest	vˈastanutest
küsitavaks	kˈys^ɪtavaks
kitsendusi	kˈitsendˌusi
ühtlustamise	ˈyhtlustˌamise
juriidilisi	jurˈiːdilˌisi
süüasi	sˈy͡ijasi
peapiiskopiga	pˌeapːˈiːskopˌiɡa
nullilähedaseks	nˈuʎʎilˌæhedaseks
kilekoti	kˈilɛkˌoti
suunamisel	sˈuːnamisel
ringlevad	rˈiŋɡlevad
riie	rˈiːje
valitsusparteid	vˈaʎɪtsˌusparteid
põhine	pˈɵhɪne
sponsorid	spˈonsorid
vaatamisest	vˈaːtːamisest
oskakski	ˈoskakski
kohtulikult	kˈohtulikult
Pirgit	pˈirɡit
salvestanud	sˈalvestanud
Dirhami	dˈirhami
lahendaks	lˈahɛndaks
jooksul	jˈoːksul
väikegi	vˈæ͡ikːeɡi
armetu	ˈarmetu
praegustes	prˈaeɡˌustes
loodad	lˈoːdad
alandav	ˈalɑndav
Eveli	ˈevɛli
külmutati	kˈylmutˌati
Läänega	lˈæːneɡa
Edukas	ˈedʊkas
enesetunde	ˈenɛsetˌunde
jälgis	jˈæʎɡis
personaalsed	pˌersonˈaːlsed
lahkumiseks	lˈahkumiseks
hääletage	hˈæːletˌaɡe
tulevadki	tˈulɛvˌadki
Sarapuule	sˌarɑpˈuːle
majutusettevõtetes	mˈajʊtusˌetːevˌɵtetes
Zürichi	zˈyrɪkhi
mõrvasid	mˈɵrvasid
Paemurru	pˈaemˌurru
kirikumuusik	kˌirɪkumˈuːsik
hääletusvoorus	hˈæːletusvˈoːrus
asuvaid	ˈasʊvaid
määratlemisel	mˈæːratːlˌemisel
kästud	kˈæstud
Ilmamaa	ˌilmamˈaː
asendati	ˈasɛndˌati
seoses	sˈeoːses
Maire	mˈaire
lapsevanematele	lˈapsevˌanemˌatele
tehnoloogiaid	tˌehnolˈoːɡiaid
külasta	kˈylɑsta
fakt	fˈakt
ajaloolised	ˌajɑlˈoːlised
jalgpallimeeskonna	jˌalɡpallimˈeːskonna
Tervisekeskuse	tˈervisekˌeskuse
lõimitud	lˈɵimitud
mereala	mˈereˌala
bussijuhiga	pˈus^s^ijˌuhiɡa
restoran	rˈestoran
lauslollus	lˈauslˌollus
olmeprügi	ˈolmeprˌyɡi
sünnitavad	sˈyɲɲitavad
teadaolevalt	tˌeadˈaoːlevalt
Vinni	vˈiɲɲi
Naganos	nˈaɡɑnos
postist	pˈos^tist
väärtustamise	vˈæːrtustˌamise
savisaarlaste	sˌavɪsˈaːrlaste
Sunset	sˈunset
Ingel	ˈiŋɡel
sõidad	sˈɵidad
Nigel	nˈiɡɛl
vastuvõetavam	vˈastuvɵˌetːavam
Vastav	vˈastav
kehtestamisel	kˈehtestˌamisel
ülejäägid	ˌylɛjˈæːɡid
Hotell	hˈoteiʎʎ
paremasse	pˈarɛmˌasse
sõidus	sˈɵidus
ülesannetes	ˈylɛsˌannetes
jumalateenistustel	jˌumɑlatˈeːnistˌustel
töömahuga	tˈøːmahˌuɡa
tegelastele	tˈeɡɛlˌastele
üllitisi	ˈyʎʎitˌisi
mitu	mˈitu
Alaska	ˈalɑska
nimesid	nˈimɛsid
Navalnõi	nˌavɑlnˈɵiː
soovima	sˈoːvima
ostmise	ˈostmise
veterinaaramet	vˌeterinˈaːramet
omanikele	ˈomɑnˌikele
esimeseks	ˈes^ɪmeseks
Maakonna	mˈaːkːonna
investeerimisotsuseid	ˌinvestˈeːrimisˌotsuseid
diplomaatiat	dˌiplomˈaːtːiat
riigikaitsekomisjoni	rˈiːɡikaˌitsekomˌisjoni
nahas	nˈahɑs
võlausaldajate	vˈɵlausˌaldajˌate
kolmekorruselise	kˈolmekˌorrusˌelise
kogemuste	kˈoɡɛmˌuste
ingliskeelne	ˌiŋɡliskˈeːlne
Didier	dˈid^ier
Bigbank	pˈiɡbaŋk
avapäeva	ˈavɑpˌæeva
elulugude	ˈelʊlˌuɡude
Audentes	ˈaudˌentes
Draamateater	trˈaːmateˌatːer
Rukkilille	rˈukːilˌille
pürgima	pˈyrɡima
idamaa	ˌidɑmˈaː
aktist	ˈaktist
söögist	sˈøːɡist
treeningust	trˈeːɲiŋɡust
muudeti	mˈuːdeti
igasuguste	ˈiɡɑsuɡˌuste
Raamatut	rˈaːmatut
meestega	mˈeːsteɡa
läbitakse	lˈæbɪtˌakse
katkestati	kˈatkestˌati
vältimiseks	vˈæʎtimiseks
Jättes	jˈætːes
Uuring	ˈuːriŋɡ
Arvame	ˈarvame
Hollandlase	hˈollandlˌase
Pikarole	pˈikarˌole
Rodina	rˈod^ɪna
vastastega	vˈastastˌeɡa
mängupilt	mˈæŋɡupilt
armulauale	ˈarmulˌauwˌale
professionaalne	prˌofessionˈaːlne
maanteeametile	mˈaːntˈeːamˌetile
kinnitamiseks	kˈiɲɲitˌamiseks
töökodades	tˈøːkːodades
terviklikkus	tˈervikːlˌikːus
Alber	ˈalber
elujõulised	ˈelʊjˌɵulised
iseäranis	ˈiseˌæranis
tellijat	tˈeʎʎijat
Joffe	jˈoffe
elanikkonna	ˈelɑnˌikːonna
tempot	tˈempot
asumiseks	ˈasʊmiseks
allasutused	ˈallasˌutused
Sedalaadi	sˌedɑlˈaːdi
arvatavalt	ˈarvatavalt
Meybaum	mˈeibaum
kiitis	kˈiːtːis
Jõks	jˈɵks
ühinevad	ˈyhɪnevad
tanklates	tˈaŋkːlates
Kreemi	krˈeːmi
volinik	vˈoʎɪnik
valvur	vˈalvur
läbisurumiseks	lˈæbɪsˌurumiseks
tariife	tarˈiːfe
noorematel	nˈoːrematel
bensiinijaamades	peɲsˈiːnijˈaːmades
saagiga	sˈaːɡiɡa
otstarbeks	ˈotstarbeks
Mk	mˈaːkˈonnd
kerida	kˈerɪda
vaeseke	vˈaesˌeke
tunnelist	tˈunnelist
Nõid	nˈɵid
homsest	hˈomsest
hüvitama	hˈyvɪtˌama
noortekoor	nˈoːrtekˈoːr
Konkreetseid	koŋkːrˈeːtseid
kultuuriministeerium	kultˈuːriministˈeːrium
käitumises	kˈæ͡itːumises
pügatud	pˈyɡɑtud
pisar	pˈisɑr
taksofirma	tˈaksofˌirma
muretseti	mˈurɛtsˌeti
Erivajadustega	ˈerɪvajadˌusteɡa
Toetus	tˈoetːus
peaaju	peˈaːju
õigused	ˈɵiɡused
Cofidis	kˈofɪdis
eufooriat	ˌeufˈoːriat
Facebookis	fˌatsebˈoːkːis
kinni	kˈiɲɲi
tulevikuks	tˈulɛvikuks
elulaadi	ˌelʊlˈaːdi
kasvutempo	kˈasvutˌempo
sosistas	sˈos^ɪstas
Merli	mˈerli
Taukar	tˈaukːar
mäletad	mˈælɛtad
süstid	sˈys^tid
kibedat	kˈibɛdat
dollarist	tˈollarist
araablased	arˈaːblased
sõiduautot	sˈɵiduaˌutːot
puhkepausi	pˈuhkepˌausi
eestlastelt	ˈeːstlastelt
arvutid	ˈarvutid
materiaalseid	mˌateriˈaːlseid
Angel	ˈaŋɡel
kummita	kˈummita
ülimat	ˈyʎɪmat
Tenerife	tˈenɛrˌife
tellimused	tˈeʎʎimused
Õigemeel	ˌɵiɡemˈeːl
Maarjale	mˈaːrjale
hammast	hˈammast
läbisegi	lˈæbɪsˌeɡi
pööret	pˈøːret
muljete	mˈuʎjete
lennutas	lˈennutas
KAPO	kˈapo
villas	vˈillas
sealgi	sˈeaʎɡi
sammudes	sˈammudes
kellakeeramine	kˌellakˈeːramˌine
Teigamägi	tˈeiɡˌamæɡi
politseimaja	pˈoʎɪtsˌeimˌaja
toimuval	tˈoimuval
nõmedat	nˈɵmɛdat
valijaskonnast	vˈaʎɪjˌaskonnast
puhub	pˈuhʊb
intressitõus	ˈintressˌitɵus
vähi	vˈæhɪ
Kuhugi	kˈuhʊɡi
paigutasid	pˈaiɡˌutasid
üheksandat	ˈyhɛksˌandat
riigielu	rˈiːɡiˌelu
praktiline	prˈaktilˌine
arendamise	ˈarɛndˌamise
tähelepanekuid	tˈæhɛlˌepanˌekuid
igivana	ˈiɡɪvˌana
katus	kˈatus
kõrvalistmel	kˈɵrvalˌistmel
tasemeni	tˈasɛmˌeni
hoiak	hˈoijak
Kuritegelik	kˈurɪtˌeɡelik
karikasari	kˈarɪkˌasari
Hoolekandeteenused	hˈoːlekˌandetˈeːnused
endamisi	ˈendamˌisi
päikeselisel	pˈæ͡ikːesˌelisel
kohalolekut	kˈohɑlˌolekut
külale	kˈylɑle
keeruka	kˈeːruka
tarbijahinna	tˈarbijahˌinna
Toots	tˈoːts
pöörasid	pˈøːrasid
terrorismist	tˈerrorˌismist
Ärimees	ˌærɪmˈeːs
gaasi	kˈaːs^i
Laagri	lˈaːɡri
Pienkowski	pˈieŋkːˌovski
faktile	fˈaktile
Isamaale	ˌisɑmˈaːle
Robinson	rˈobɪnson
Annuse	ˈannuse
seiskas	sˈeiskas
rand	rˈand
kohkunud	kˈohkunud
Magnusson	mˈaɡnusson
valimise	vˈaʎɪmˌise
peetavat	pˈeːtːavat
Täpseid	tˈæpseid
legende	lˈeɡɛnde
kollektsiooni	kˌollektsiˈoːni
kohtas	kˈohtas
Douglas	tˈouɡlas
okupant	ˈokupaɲt
avastad	ˈavɑstad
tehingud	tˈehɪŋɡud
hoogustub	hˈoːɡustub
Volta	vˈolta
analüüsimist	ˌanɑlˈyːsimist
salm	sˈalm
kommentaarides	kˌommentˈaːrides
Päll	pˈæiʎʎ
annetajaid	ˈannetˌajaid
välismaalasi	vˌæʎɪsmˈaːlasi
tulemusliku	tˈulɛmˌusliku
sihtkohta	sˈihtkohta
Moskvast	mˈoskvast
eelistan	ˈeːʎistan
Soovitame	sˈoːvitˌame
Barinov	pˈarɪnov
rahulolematud	rˈahʊlˌolematud
alateadvuses	ˈalɑteˌadvuses
põlevat	pˈɵlɛvat
Eero	ˈeːro
aimavad	ˈaimavad
tagastatava	tˈaɡɑstˌatava
kutid	kˈut^id
lihtinimesed	lˈihtinˌimesed
ajaloolisele	ˌajɑlˈoːlisˌele
kôik	kˈoik
tulete	tˈulɛte
sugust	sˈuɡʊst
tornide	tˈornide
keskkonnaministeeriumilt	kˌeskːonnaministˈeːriumilt
taastamisest	tˈaːstamisest
muusikajuht	mˈuːs^ikajuht
seisaksid	sˈeisˌaksid
delegatsioonil	tˌelɛɡaˌit^siˈoːnil
kirjastus	kˈirjastus
kroonid	krˈoːɲid
indikaatorid	ˌiɲdikˈaːtːorid
sarjale	sˈarjale
Lammas	lˈammas
ilmumisega	ˈilmumˌiseɡa
Traditsioonilise	trˌad^iˌit^siˈoːnilˌise
Taheti	tˈahɛti
Sloveeniasse	slovˈeːniˌasse
vaataks	vˈaːtːaks
treenerina	trˈeːnerˌina
Saarts	sˈaːrts
Torujõe	tˌorʊjˈɵeː
juhiloa	jˌuhɪlˈoaː
prioriteetide	prˌioritˈeːtːide
piloote	pilˈoːtːe
avapidu	ˈavɑpˌidu
Raiko	rˈaikːo
asendamatud	ˈasɛndˌamatud
protsendil	prˈotseɲdil
Williamsi	vˈiʎʎiˌamsi
päevalehes	pˈæevˌalehes
ASist	ˈaaːsˈist
kahanema	kˈahɑnˌema
tagavaraks	tˈaɡɑvaraks
pürgijate	pˈyrɡijˌate
kojamehe	kˈojɑmˌehe
noorte	nˈoːrte
olnuks	ˈolnuks
rõõmsal	rˈɵːmsal
täielikus	tˈæ͡ijelikus
Tehnikaülikoolis	tˌehnikˌaylikˈoːlis
Eamets	ˈeamets
tähtsuselt	tˈæhtsuselt
Gahwa	kˈahva
minekuga	mˈinɛkˌuɡa
Veebileht	vˈeːbileht
jalakäijana	jˈalɑkˌæ͡ijana
Shevardnadze	ʃˈevardnˌadze
ühendamine	ˈyhɛndˌamine
operaator	ˌoperˈaːtːor
tootmises	tˈoːtːmises
Estoniale	ˈestonˌiale
MKM	ˈemmkˌaaːˌemm
taastub	tˈaːstub
piirkonnapolitseinik	pˈiːrkːonnapolˌitseinik
dokumenteerida	tˌokumentˈeːrida
Ojulandil	ˈojʊlˌaɲdil
kelledel	kˈelledel
vaguneid	vˈaɡʊneid
osakonnale	ˈosɑkˌonnale
purjutanud	pˈurjutanud
tootmisjuht	tˈoːtːmisjuht
ajamisel	ˈajɑmisel
totaalne	totˈaːlne
andmestik	ˈandmes^tik
arendus	ˈarɛndus
jõustuma	jˈɵustˌuma
Ain	ˈain
õpetavad	ˈɵpetavad
Smirnova	smˈirnova
Nääsi	nˈæːs^i
peded	pˈedɛd
mängivatest	mˈæŋɡivatest
asuvatele	ˈasʊvˌatele
tulumaksuvabastus	tˈulʊmˌaksuvabˌastus
kaaluma	kˈaːluma
palke	pˈalkːe
kõrgelt	kˈɵrrɡelt
teemalisi	tˈeːmalˌisi
investeeringuid	ˌinvestˈeːriŋɡuid
unusta	ˈunʊsta
pealetung	pˈealetuŋɡ
põlvkond	pˈɵlvkond
hüvitamist	hˈyvɪtamist
valdasid	vˈaldasid
stiililt	stˈiːʎilt
aukartust	ˈaukːˌartust
tulnukas	tˈulnukas
virise	vˈirɪse
odava	ˈodɑva
ülesehitus	ˈylɛsˌehitus
pürgimisel	pˈyrɡimisel
reisides	rˈeisides
ringkonnakohtus	rˈiŋɡkonnakˌohtus
Sõrve	sˈɵrve
paksud	pˈaksud
eluaastate	ˌeluˈaːstate
riigiti	rˈiːɡiti
tagasihoidlikumad	tˈaɡɑsihoˌidlikumad
õnnitlenud	ˈɵɲɲitːlenud
Lukašenka	lˈukaʃˌeŋkːa
Teeme	tˈeːme
juulikuu	jˈuːʎikˈuː
kokkuleppe	kˈokːulˌepːe
fakti	fˈakti
aastale	ˈaːstale
statistikaameti	stˌat^is^tikˈaːmeti
arenguprogrammi	ˈarɛŋɡˌuproɡrˌammi
hõimurahvaste	hˈɵimurˌahvaste
pirukat	pˈirʊkat
kleite	klˈeitːe
Uuel	ˈuːwel
ajend	ˈajɛnd
kõrvaldamisel	kˈɵrvaldˌamisel
arvetelt	ˈarvetelt
Rebasele	rˈebɑsˌele
Vahtre	vˈahtre
kirjanikuga	kˈirjanˌikuɡa
Õhtulehele	ˈɵhtulˌehele
lõõtsa	lˈɵːtsa
muudeta	mˈuːdeta
respublikaan	rˌespublikˈaːn
avalikkusesse	ˈavɑlˌikːusˌesse
silmata	sˈilmatːa
hankel	hˈaŋkːel
vajutab	vˈajʊtab
palgalise	pˈalɡalˌise
lause	lˈause
põhiomanik	pˈɵhiˌomanik
oletatavasti	ˈolɛtatavˌas^ti
vallutab	vˈallutab
Jackson	jˈakkson
kontorite	kˈontorˌite
tudengitest	tˈudɛŋɡitest
Helmen	hˈelmen
elektrooniliseks	ˌelɛktrˈoːniliseks
keskealisi	kˈeskeˌalisi
Hilton	hˈilton
määratu	mˈæːratu
lihatööstus	lˌihɑtˈøːstus
kiida	kˈiːda
ostjatega	ˈostjatˌeɡa
kardate	kˈardate
vaatamisväärsustega	vˈaːtːamisvˈæːrsustˌeɡa
hoiule	hˈoijˌule
muuseumil	mˈuːseumil
eestiaegne	ˈeːs^tiaˌeɡne
Belgradi	pˈelɡradi
pagulasi	pˈaɡʊlˌasi
kogukonna	kˈoɡʊkˌonna
Kerde	kˈerde
madalapalgaline	mˈadɑlapˌalɡalˌine
Pakk	pˈakː
uuringus	ˈuːriŋɡus
kaubalaeva	kˈaubˌalaˌeva
Jäta	jˈæta
neljakesi	nˈeʎjakˌesi
toodanguga	tˈoːdaŋɡˌuɡa
pärnakate	pˈærnakˌate
Delegatsioon	tˌelɛɡaˌit^siˈoːn
Kiini	kˈiːɲi
ründajad	rˈyndajad
pikka	pˈikːa
messile	mˈes^s^ile
Marguse	mˈarɡuse
soovitame	sˈoːvitˌame
keskkaitsja	kˈeskːaˌitsja
looduse	lˈoːduse
olemusloo	ˌolɛmuslˈoː
Etsi	ˈeit^si
ekskaasa	ekskˈaːsa
Novosjolov	nˈovɔsjolov
superstaarid	sˌuperstˈaːrid
pintsaku	pˈintsaku
fassaad	fassˈaːd
viivuks	vˈiːvuks
jagamises	jˈaɡɑmises
rõõmustama	rˈɵːmustˌama
arutati	ˈarʊtˌati
Benedictus	pˈenɛdˌiktus
kaude	kˈaude
jäiga	jˈæ͡iɡa
salanud	sˈalɑnud
Sylvesteri	sˈilvestˌeri
Suverulli	sˈuvɛrˌulli
presidendilossi	prˈes^idˌeɲdilˌossi
naudingut	nˈaudˌiŋɡut
Eestilt	ˈeːs^tilt
tegime	tˈeɡɪme
tühista	tˈyhɪsta
GrabCADi	krˈabkˈad^ɪ
Kõrghariduse	kˈɵrɡharˌiduse
küsijale	kˈys^ɪjˌale
tundmatust	tˈundmatust
Psühholoog	psˌyhholˈoːɡ
moodustab	mˈoːdustab
kaloreid	kˈalɔreid
muinsuskaitseamet	mˈuinsˌuskaˌitseamet
sõbrast	sˈɵbrast
tegelevale	tˈeɡɛlˌevale
hulk	hˈulk
vohamist	vˈohɑmist
häirivalt	hˈæ͡irivalt
Revolutsiooni	rˌevɔluˌit^siˈoːni
täisväärtuslikku	tæ͡isvˈæːrtuslˌikːu
lennureis	lˈennureis
