bekerjasama	bəkərdʒasama
kelébat	kəlebat
mébel	mebəl
ketel	kətəl
piala	piala
lawatan	lawatan
spiritual	spiritual
miniatur	miniatur
penyaluran	pəɲaluran
mendempul	məndəmpul
forum	forum
bena	bəna
bélékan	belekan
audiovisual	audiovisual
syarikat	sjarikat
balung	baluŋ
menggirangkan	məŋgiraŋkan
pengéksporan	pəŋeʔsporan
perserikatan	pərsərikatan
mengasihani	məŋasihani
deris	dəris
senak	sənaʔ
perbendaharaan	pərbəndaharaʔan
bertemankan	bərtəmankan
kemul	kəmul
mendekap	məndəkap
pengéjawantahan	pəŋedʒawantahan
stabilisasi	stabilisasi
perangkap	pəraŋkap
membekas	məmbəkas
sekuritas	səkuritas
syor	sjor
nisbi	nisbi
kelasah	kəlasah
sayuran	sajuran
sérak	seraʔ
tawon	tawon
peték	pəteʔ
berbulan	bərbulan
ékonomi	ekonomi
terlepas	tərləpas
sengal	səŋal
séismograf	seismograf
monsun	monsun
bertaruh	bərtaruh
upacara	upatʃara
publikasi	publikasi
membekukan	məmbəkukan
kelembapan	kələmbapan
penghasil	pəŋhasil
menggagalkan	məŋgagalkan
tandas	tandas
bungkil	buŋkil
menghasilkan	məŋhasilkan
anaérobik	anaerobiʔ
stratifikasi	stratifikasi
menghitung	məŋhituŋ
ompol	ompol
terhimpun	tərhimpun
plot	plot
menyedihkan	məɲədihkan
membesut	məmbəsut
kerampang	kərampaŋ
berselumu	bərsəlumu
cacingan	tʃatʃiŋan
bikinan	bikinan
jelata	dʒəlata
melébarkan	məlebarkan
penjernihan	pəndʒərnihan
penghapusan	pəŋhapusan
pembuka	pəmbuka
orisinal	orisinal
serundéng	sərundeŋ
katalis	katalis
mencuar	məntʃuar
cekluk	tʃəʔluʔ
anggaran	aŋgaran
klérus	ʔlerus
lingkar	liŋkar
geréjawi	gəredʒawi
senada	sənada
paru	paru
gedék	gədeʔ
alias	alias
pérforator	perforator
seliri	səliri
lokomotif	lokomotif
pingkal	piŋkal
mencekup	məntʃəkup
sebagaimana	səbagaimana
belérong	bəleroŋ
menebas	mənəbas
ingus	iŋus
awah	awah
kawal	kawal
téléfoni	telefoni
pengairan	pəŋairan
alkali	alkali
menanggalkan	mənaŋgalkan
perluasan	pərluasan
perlus	pərlus
julur	dʒulur
penerokaan	pənərokaʔan
bubungan	bubuŋan
sempoyongan	səmpojoŋan
sepencarian	səpəntʃarian
terusik	tərusiʔ
menyelimpat	məɲəlimpat
ransum	ransum
perah	pərah
hadirnya	hadirɲa
repot	rəpot
pelék	pəleʔ
dikirim	dikirim
azirah	azirah
santan	santan
perasapan	pərasapan
guru	guru
penderasan	pəndərasan
pemeram	pəməram
waktunya	waʔtuɲa
wak	waʔ
tuas	tuas
bancik	bantʃiʔ
mengadakan	məŋadakan
lisan	lisan
membelék	məmbəleʔ
ketir	kətir
brokoli	brokoli
gah	gah
berembus	bərəmbus
meronta	məronta
jana	dʒana
kekosongan	kəkosoŋan
mendata	məndata
terkena	tərkəna
capar	tʃapar
tungkai	tuŋkai
bertulang	bərtulaŋ
tercantik	tərtʃantiʔ
seakal	səakal
kelingking	kəliŋkiŋ
déndang	dendaŋ
keterpencilan	kətərpəntʃilan
tembis	təmbis
métalik	metaliʔ
anakronisme	anaʔronismə
tabung	tabuŋ
menyembunyikan	məɲəmbuɲikan
mengancam	məŋantʃam
syuruk	sjuruʔ
krém	ʔrem
pemastian	pəmastian
auksi	auʔsi
dangdut	daŋdut
tersasar	tərsasar
siréne	sirenə
asas	asas
tertangguh	tərtaŋguh
bolos	bolos
gendala	gəndala
ancoa	antʃoa
persepuluhan	pərsəpuluhan
berbahagia	bərbahagia
durjana	durdʒana
ahimsa	ahimsa
membehandel	məmbəhandəl
bebe	bəbə
bangkotan	baŋkotan
kamis	kamis
apabila	apabila
terbelah	tərbəlah
dilepas	diləpas
pembaringan	pəmbariŋan
pengujian	pəŋudʒian
sebarau	səbarau
menggebuk	məŋgəbuʔ
ketun	kətun
sesanti	səsanti
penutur	pənutur
dialogis	dialogis
berkumandang	bərkumandaŋ
bajumu	badʒumu
seling	səliŋ
memahami	məmahami
geragau	gəragau
tuts	tuts
memegang	məməgaŋ
sopran	sopran
saling	saliŋ
buruh	buruh
kodak	kodaʔ
terdamaikan	tərdamaikan
hijrah	hidʒrah
sengangar	səŋaŋar
menghébohkan	məŋhebohkan
hasan	hasan
buyut	bujut
mengabui	məŋabui
merampas	mərampas
seluas	səluas
jakét	dʒaket
perlup	pərlup
cempana	tʃəmpana
dencing	dəntʃiŋ
beliku	bəliku
sénsualitas	sensualitas
menguji	məŋudʒi
disokong	disokoŋ
rébak	rebaʔ
celana	tʃəlana
nyerét	ɲəret
canggai	tʃaŋgai
decur	dətʃur
pengamitan	pəŋamitan
merambung	mərambuŋ
infinitif	infinitif
ronta	ronta
mengetrék	məŋətreʔ
mencuarkan	məntʃuarkan
cekibar	tʃəkibar
dipuaskan	dipuaskan
peruntukan	pəruntukan
sedu	sədu
berkuranglah	bərkuraŋlah
berkuku	bərkuku
mencirikan	məntʃirikan
bersabar	bərsabar
berjatuhan	bərdʒatuhan
memeking	məməkiŋ
tanam	tanam
dialihkan	dialihkan
bangar	baŋar
kendur	kəndur
terdesak	tərdəsaʔ
kembu	kəmbu
adab	adab
pelantik	pəlantiʔ
masuki	masuki
péron	peron
peribahasa	pəribahasa
bérko	berko
mengarungi	məŋaruŋi
merangsi	məraŋsi
mengawininya	məŋawiniɲa
silakan	silakan
be	bə
kemalaman	kəmalaman
bayar	bajar
dibawakan	dibawakan
pendaringan	pəndariŋan
sempak	səmpaʔ
gitaris	gitaris
senam	sənam
derak	dəraʔ
berhikmat	bərhiʔmat
swanama	swanama
toleran	toləran
bergelimang	bərgəlimaŋ
kelembutan	kələmbutan
mencancang	məntʃantʃaŋ
kecumik	kətʃumiʔ
inséntif	insentif
bergaun	bərgaun
pendiam	pəndiam
adrénal	adrenal
menyempurnakan	məɲəmpurnakan
gravitasi	gravitasi
secukupnya	sətʃukupɲa
punggungnya	puŋguŋɲa
gawang	gawaŋ
saatnya	saʔatɲa
jangkit	dʒaŋkit
mengelamini	məŋəlamini
codak	tʃodaʔ
kekenyalan	kəkəɲalan
gurih	gurih
merentangkan	mərəntaŋkan
mengancamkan	məŋantʃamkan
putus	putus
akulah	akulah
kelebu	kələbu
gubah	gubah
pelatih	pəlatih
memerangkap	məməraŋkap
bersuluh	bərsuluh
gémbong	gemboŋ
dasaran	dasaran
homoséks	homoseʔs
koordinator	koʔordinator
terélakkan	tərelaʔkan
dwiwarna	dwiwarna
tempuling	təmpuliŋ
teracak	təratʃaʔ
pembendungan	pəmbənduŋan
penerjunan	pənərdʒunan
bertugas	bərtugas
alamnya	alamɲa
nyentuh	ɲəntuh
mimpian	mimpian
kelembahang	kələmbahaŋ
abrek	abrəʔ
hémat	hemat
kerubut	kərubut
mementing	məməntiŋ
kepik	kəpiʔ
terkedai	tərkədai
lahap	lahap
serit	sərit
pancar	pantʃar
sebutan	səbutan
menyiangi	məɲiaŋi
péptidase	peptidasə
kupang	kupaŋ
menyelingkuhkan	məɲəliŋkuhkan
récok	retʃoʔ
borhan	borhan
corétan	tʃoretan
damai	damai
sepélé	səpele
menggelédék	məŋgəledeʔ
devéloper	dəvelopər
diberikannya	dibərikanɲa
memerawani	məmərawani
mencacakkan	məntʃatʃaʔkan
gubrisan	gubrisan
memurnikan	məmurnikan
berbintang	bərbintaŋ
sopir	sopir
kebejatan	kəbədʒatan
apikultur	apikultur
atmosfér	atmosfer
sabah	sabah
menolak	mənolaʔ
débarkasi	debarkasi
amalan	amalan
papar	papar
menyelidik	məɲəlidiʔ
merapatkan	mərapatkan
dénah	denah
mengetatkan	məŋətatkan
pengimpor	pəŋimpor
perpatih	pərpatih
sepasin	səpasin
bécék	betʃeʔ
berhijrah	bərhidʒrah
hujan	hudʒan
dirasa	dirasa
berucap	bərutʃap
beruntun	bəruntun
bungkem	buŋkəm
pembenci	pəmbəntʃi
kerasnya	kərasɲa
berkhidmat	bərʔhidmat
sekeluarga	səkəluarga
mengungsikan	məŋuŋsikan
lukai	lukai
celempung	tʃələmpuŋ
puntiran	puntiran
hukuman	hukuman
ketul	kətul
kemlaka	kəmlaka
mengking	məŋkiŋ
tegap	təgap
pengoptimuman	pəŋoptimuman
membujuk	məmbudʒuʔ
bapa	bapa
pemakainya	pəmakaiɲa
resépsionis	rəsepsionis
menanya	mənaɲa
berdéfilé	bərdefile
berfokus	bərfokus
seréndéng	sərendeŋ
terikut	tərikut
paranoid	paranoid
persekolahan	pərsəkolahan
bongkong	boŋkoŋ
isa	isa
panjar	pandʒar
menetas	mənətas
alégori	alegori
penglihatan	pəŋlihatan
rusak	rusaʔ
gua	gua
mencagak	məntʃagaʔ
ufuk	ufuʔ
memasok	məmasoʔ
keutuhan	kəutuhan
berserama	bərsərama
segunung	səgunuŋ
antré	antre
seganteng	səgantəŋ
memperbelakangkan	məmpərbəlakaŋkan
terbitlah	tərbitlah
kencréng	kəntʃreŋ
notés	notes
légal	legal
menyeranah	məɲəranah
vulkanisasi	vulkanisasi
mengawal	məŋawal
pemula	pəmula
cilok	tʃiloʔ
képar	kepar
disematkan	disəmatkan
congkong	tʃoŋkoŋ
bersengkeling	bərsəŋkəliŋ
teluh	təluh
cap	tʃap
konotasi	konotasi
decit	dətʃit
bertéater	bərteatər
biarawati	biarawati
konvokésyen	konvokesjən
seram	səram
bercanggah	bərtʃaŋgah
bantau	bantau
cakup	tʃakup
mars	mars
kebegaran	kəbəgaran
béncong	bentʃoŋ
mengganti	məŋganti
menekap	mənəkap
cawak	tʃawaʔ
keramba	kəramba
belajarnya	bəladʒarɲa
menyelempangkan	məɲələmpaŋkan
ahmad	ahmad
dengut	dəŋut
penerap	pənərap
performa	pərforma
mengabuk	məŋabuʔ
tepatnya	təpatɲa
mengungkit	məŋuŋkit
pembicaraan	pəmbitʃaraʔan
sumbangan	sumbaŋan
mengégol	məŋegol
tara	tara
sawan	sawan
berpadu	bərpadu
ékologi	ekologi
cekalan	tʃəkalan
ungkapan	uŋkapan
berselonjor	bərsəlondʒor
penenggelaman	pənəŋgəlaman
kekecualian	kəkətʃualian
jeli	dʒəli
sénti	senti
perogol	pərogol
padahal	padahal
skandal	skandal
ceritakan	tʃəritakan
mewartakan	məwartakan
lambatnya	lambatɲa
disumpah	disumpah
membentangkan	məmbəntaŋkan
alternasi	altərnasi
membuntukan	məmbuntukan
petitih	pətitih
mengimpor	məŋimpor
membelandangkan	məmbəlandaŋkan
ahad	ahad
sedari	sədari
penentangnya	pənəntaŋɲa
kepécong	kəpetʃoŋ
senyawaan	səɲawaʔan
asi	asi
pendekatan	pəndəkatan
pembubaran	pəmbubaran
kesucian	kəsutʃian
selisih	səlisih
pengudaraan	pəŋudaraʔan
pertunjukan	pərtundʒukan
saputangan	saputaŋan
cekau	tʃəkau
télan	telan
pemandangan	pəmandaŋan
salad	salad
lapor	lapor
bunyikan	buɲikan
mencincang	məntʃintʃaŋ
ganja	gandʒa
geliat	gəliat
memulau	məmulau
pengeboran	pəŋəboran
insani	insani
mencerap	məntʃərap
honda	honda
taktis	taʔtis
gizi	gizi
menarik	mənariʔ
kementam	kəməntam
menyamar	məɲamar
membagaikan	məmbagaikan
tempunai	təmpunai
pemahat	pəmahat
gabung	gabuŋ
dompétnya	dompetɲa
kafir	kafir
beraroma	bəraroma
bodohnya	bodohɲa
pélotaris	pelotaris
pekung	pəkuŋ
anggitan	aŋgitan
anoa	anoa
bercawat	bərtʃawat
pelukis	pəlukis
bisinosis	bisinosis
dilématik	dilematiʔ
penantang	pənantaŋ
cerling	tʃərliŋ
usang	usaŋ
kongrés	koŋres
késting	kestiŋ
membunga	məmbuŋa
sogokan	sogokan
jét	dʒet
cicilan	tʃitʃilan
selapanan	səlapanan
bibliografi	bibliografi
melindas	məlindas
perawas	pərawas
bumiputra	bumiputra
kejuaraan	kədʒuaraʔan
bersangkut	bərsaŋkut
bertani	bərtani
menyerbukkan	məɲərbuʔkan
bandar	bandar
kelenggara	kələŋgara
keruyuk	kərujuʔ
tenggayun	təŋgajun
telépok	təlepoʔ
léksikon	leʔsikon
menindik	mənindiʔ
kelupur	kəlupur
wakil	wakil
résidu	residu
kumur	kumur
disusul	disusul
menghitam	məŋhitam
kebaktian	kəbaʔtian
bombardir	bombardir
menyalahi	məɲalahi
béngkok	beŋkoʔ
pelir	pəlir
papa	papa
matang	mataŋ
menyeranggung	məɲəraŋguŋ
poros	poros
dédikasi	dedikasi
papan	papan
lembam	ləmbam
aral	aral
mendaulat	məndaulat
mengelamkan	məŋəlamkan
raih	raih
kehalalan	kəhalalan
swt	swt
mendekapkan	məndəkapkan
segera	səgəra
seolah	səolah
pembajak	pəmbadʒaʔ
meneguk	mənəguʔ
berkeriput	bərkəriput
menira	mənira
burayak	burajaʔ
berdengki	bərdəŋki
boi	boi
terbiasa	tərbiasa
hiruk	hiruʔ
pengkhotbah	pəŋʔhotbah
cobék	tʃobeʔ
jabatannya	dʒabatanɲa
paralélogram	paralelogram
pingsan	piŋsan
berpribadi	bərpribadi
berceratukan	bərtʃəratukan
beralangan	bəralaŋan
tamsil	tamsil
pembarat	pəmbarat
mencangkung	məntʃaŋkuŋ
keaktifan	kəaʔtifan
penyelidikan	pəɲəlidikan
membelanjai	məmbəlandʒai
anggap	aŋgap
tabah	tabah
jangkauan	dʒaŋkauan
selirak	səliraʔ
amerta	amərta
diimbau	diʔimbau
jimak	dʒimaʔ
mengedaikan	məŋədaikan
berlemak	bərləmaʔ
biawak	biawaʔ
hadas	hadas
-wati	-wati
kecerahan	kətʃərahan
konkrit	konʔrit
kilo	kilo
révolvér	revolver
belacan	bəlatʃan
menghiasi	məŋhiasi
anduhan	anduhan
pembatuan	pəmbatuan
keputihan	kəputihan
denting	dəntiŋ
menyengkang	məɲəŋkaŋ
saraan	saraʔan
nanas	nanas
cagil	tʃagil
celakanya	tʃəlakaɲa
bangkai	baŋkai
bentak	bəntaʔ
menyangsikan	məɲaŋsikan
dosis	dosis
apoték	apoteʔ
terenyuh	tərəɲuh
memperpanjang	məmpərpandʒaŋ
baku	baku
moderator	modərator
ah	ah
kebendaan	kəbəndaʔan
mendupai	məndupai
bertangkai	bərtaŋkai
mengidéntifikasi	məŋidentifikasi
sembak	səmbaʔ
ékstrinsik	eʔstrinsiʔ
jadual	dʒadual
mencibirkan	məntʃibirkan
dihidupi	dihidupi
seringnya	səriŋɲa
pénologi	penologi
pencadangan	pəntʃadaŋan
pekerjaan	pəkərdʒaʔan
menguatkan	məŋuatkan
cimplong	tʃimploŋ
étil	etil
ketik	kətiʔ
kelepai	kələpai
rongga	roŋga
bafta	bafta
memedang	məmədaŋ
berkémah	bərkemah
moncong	montʃoŋ
cekik	tʃəkiʔ
perkasa	pərkasa
dibanggakan	dibaŋgakan
keroncong	kərontʃoŋ
perampok	pərampoʔ
bertuan	bərtuan
saka	saka
cocor	tʃotʃor
kuncinya	kuntʃiɲa
mencabutkan	məntʃabutkan
bratawali	bratawali
berderau	bərdərau
memperindah	məmpərindah
palu	palu
kerpus	kərpus
bonafiditas	bonafiditas
membilai	məmbilai
menyelukat	məɲəlukat
tepi	təpi
mengongkong	məŋoŋkoŋ
menghendaki	məŋhəndaki
bergaji	bərgadʒi
jingkat	dʒiŋkat
membidangi	məmbidaŋi
bersambung	bərsambuŋ
mandir	mandir
sampel	sampəl
melambaikan	məlambaikan
perusahaannya	pərusahaʔanɲa
membéléng	məmbeleŋ
pertembakauan	pərtəmbakauan
ceraka	tʃəraka
bergaris	bərgaris
pemboran	pəmboran
bertualang	bərtualaŋ
bajing	badʒiŋ
aster	astər
dukat	dukat
paméran	pameran
bermanfaat	bərmanfaʔat
supir	supir
bersemi	bərsəmi
pemangkas	pəmaŋkas
menyetujui	məɲətudʒui
keabstainan	kəabstainan
penapisan	pənapisan
kerit	kərit
mengejuju	məŋədʒudʒu
menghidupkan	məŋhidupkan
betet	bətət
antéken	antekən
pembangkitan	pəmbaŋkitan
pélikan	pelikan
cirit	tʃirit
seranta	səranta
dilimpahkan	dilimpahkan
pengering	pəŋəriŋ
menggedor	məŋgədor
berlapis	bərlapis
keseharian	kəsəharian
penggelap	pəŋgəlap
keselarasan	kəsəlarasan
dabal	dabal
petenung	pətənuŋ
kerabat	kərabat
gincu	gintʃu
bilang	bilaŋ
détérminisme	determinismə
kegeraman	kəgəraman
pemusnahan	pəmusnahan
jajaran	dʒadʒaran
hirau	hirau
menyelubungkan	məɲəlubuŋkan
pembacokan	pəmbatʃokan
ablaut	ablaut
terbebar	tərbəbar
bedél	bədel
juan	dʒuan
cipai	tʃipai
tambat	tambat
mencumbu	məntʃumbu
dihimpit	dihimpit
sekarang	səkaraŋ
penyingkiran	pəɲiŋkiran
kekam	kəkam
dicari	ditʃari
térmos	termos
sebaliknya	səbaliʔɲa
mengasalkan	məŋasalkan
melaporkan	məlaporkan
nizam	nizam
damén	damen
senyap	səɲap
séndéng	sendeŋ
bindam	bindam
menyucikan	məɲutʃikan
menerima	mənərima
culas	tʃulas
dihadang	dihadaŋ
gundik	gundiʔ
terutama	tərutama
panggilanmu	paŋgilanmu
memaksudkan	məmaʔsudkan
membidas	məmbidas
pengusung	pəŋusuŋ
adon	adon
noda	noda
tenaga	tənaga
tonik	toniʔ
dép	dep
masa	masa
liter	litər
cerai	tʃərai
pelang	pəlaŋ
berbéléng	bərbeleŋ
lélong	leloŋ
dirangkap	diraŋkap
narkotik	narkotiʔ
ucapannya	utʃapanɲa
das	das
menusukkan	mənusuʔkan
kepantasan	kəpantasan
terkerat	tərkərat
prostaglandin	prostaglandin
ésai	esai
belanjawan	bəlandʒawan
basuhan	basuhan
memarut	məmarut
merindu	mərindu
peta	pəta
menceritai	məntʃəritai
canting	tʃantiŋ
pemeran	pəməran
keremajaan	kərəmadʒaʔan
kepulauan	kəpulauan
seruak	səruaʔ
angankan	aŋankan
dikalahkan	dikalahkan
mengingati	məŋiŋati
memperapitkan	məmpərapitkan
taksi	taʔsi
pencampur-adukan	pəntʃampur-adukan
lanar	lanar
giliran	giliran
memanas	məmanas
pengambrukan	pəŋambrukan
sumur	sumur
gumul	gumul
tersiksa	tərsiʔsa
terangnya	təraŋɲa
calang	tʃalaŋ
menyelisipkan	məɲəlisipkan
mengagumi	məŋagumi
menegak	mənəgaʔ
urap	urap
taklik	taʔliʔ
kondisi	kondisi
mengusik	məŋusiʔ
anas	anas
sepiring	səpiriŋ
pelarian	pəlarian
teralpa	təralpa
gesit	gəsit
ketidak	kətidaʔ
godam	godam
terkenang	tərkənaŋ
penstérilan	pənsterilan
bilhak	bilhaʔ
dengkul	dəŋkul
térmonuklir	termonuʔlir
puru	puru
tersedak	tərsədaʔ
tulisan	tulisan
membicu	məmbitʃu
tembilang	təmbilaŋ
ténong	tenoŋ
pencolék	pəntʃoleʔ
semata	səmata
berselaju	bərsəladʒu
terkelupas	tərkəlupas
operét	opəret
keladau	kəladau
penyéwaan	pəɲewaʔan
senéwen	sənewən
ak-ak	ak-aʔ
mencemeti	məntʃəməti
bergosok	bərgosoʔ
mengangkati	məŋaŋkati
pembakuan	pəmbakuan
meludahi	məludahi
bentakan	bəntakan
keram	kəram
akbar	aʔbar
tergilas	tərgilas
memaafkan	məmaʔafkan
pantul	pantul
ketertiban	kətərtiban
aspirasi	aspirasi
amputasi	amputasi
keranta	kəranta
resak	rəsaʔ
kéncéng	kentʃeŋ
kerongkongan	kəroŋkoŋan
sebukan	səbukan
kesukaan	kəsukaʔan
senawat	sənawat
tatih	tatih
membegar	məmbəgar
peternakan	pətərnakan
memimpikan	məmimpikan
memakannya	məmakanɲa
didengarnya	didəŋarɲa
penegakan	pənəgakan
tarik	tariʔ
alto	alto
artétis	artetis
bangor	baŋor
réorganisasi	reorganisasi
tunggang	tuŋgaŋ
dipertimbangkan	dipərtimbaŋkan
tumpahan	tumpahan
keluhan	kəluhan
konstitusional	konstitusional
puitis	puitis
datung	datuŋ
beserdawa	bəsərdawa
déngkol	deŋkol
bersetubuh	bərsətubuh
keluhuran	kəluhuran
aliterasi	alitərasi
bertelimpuh	bərtəlimpuh
kedéwaan	kədewaʔan
rintik	rintiʔ
sebidang	səbidaŋ
perawakannya	pərawakanɲa
minima	minima
apaan	apaʔan
sekira	səkira
tempurung	təmpuruŋ
cucut	tʃutʃut
ipuh	ipuh
kebaruan	kəbaruan
terhandal	tərhandal
pinggirnya	piŋgirɲa
keriap	kəriap
périodisasi	periodisasi
membanjiri	məmbandʒiri
berselang	bərsəlaŋ
betonisasi	bətonisasi
kejuju	kədʒudʒu
berniaga	bərniaga
semulanya	səmulaɲa
bedungan	bəduŋan
safar	safar
sinétron	sinetron
terjalin	tərdʒalin
patuh	patuh
pengilangan	pəŋilaŋan
serempu	sərəmpu
cingangah	tʃiŋaŋah
durjasa	durdʒasa
menghirup	məŋhirup
terseringing	tərsəriŋiŋ
getahnya	gətahɲa
taranya	taraɲa
bak	baʔ
rontak	rontaʔ
berikhtiar	bəriʔhtiar
balikan	balikan
mengentalkan	məŋəntalkan
sembab	səmbab
dituliskan	dituliskan
bawak	bawaʔ
éktoparasit	eʔtoparasit
telutuh	təlutuh
pencelaan	pəntʃəlaʔan
dihapuskan	dihapuskan
kegemukan	kəgəmukan
amébiasis	amebiasis
sempalan	səmpalan
mencampur-adukkan	məntʃampur-aduʔkan
wirakarya	wirakarja
didih	didih
térmométer	termometər
impak	impaʔ
persawahan	pərsawahan
cis	tʃis
cengkung	tʃəŋkuŋ
ceplos	tʃəplos
mencandukan	məntʃandukan
seiman	səiman
batasan	batasan
bléwah	blewah
terkulai	tərkulai
coléng	tʃoleŋ
menumbuk	mənumbuʔ
kuskus	kuskus
cuat	tʃuat
tauliah	tauliah
ambinan	ambinan
peranti	pəranti
pramugara	pramugara
mendubéskan	məndubeskan
invalid	invalid
bergegas	bərgəgas
sergap	sərgap
tugaskan	tugaskan
percétakan	pərtʃetakan
mendacin	məndatʃin
menanam	mənanam
menggantung	məŋgantuŋ
mengempiskan	məŋəmpiskan
kelosok	kəlosoʔ
dederuk	dədəruʔ
tertanggal	tərtaŋgal
pengacuan	pəŋatʃuan
berdesakan	bərdəsakan
pécuk	petʃuʔ
garis	garis
baki	baki
bakalan	bakalan
belubur	bəlubur
mertua	mərtua
dendaan	dəndaʔan
élaborasi	elaborasi
buhul	buhul
mendenyut	məndəɲut
bertepikan	bərtəpikan
dilémpar	dilempar
diputuskan	diputuskan
mengorok	məŋoroʔ
diangkat	diaŋkat
carteran	tʃartəran
pembarap	pəmbarap
keperempuanan	kəpərəmpuanan
bersegi	bərsəgi
siswi	siswi
rontgén	rontgen
mencecah	məntʃətʃah
kemis	kəmis
séh	seh
tulé	tule
melangkahkan	məlaŋkahkan
sejawat	sədʒawat
loténg	loteŋ
berdaftar	bərdaftar
babon	babon
divérsifikasi	diversifikasi
kabupatén	kabupaten
seringkali	səriŋkali
déklarasi	deʔlarasi
tampilan	tampilan
perangan	pəraŋan
kelentit	kələntit
sebaran	səbaran
acuan	atʃuan
sotoh	sotoh
sayat	sajat
dihubungi	dihubuŋi
mendiatkan	məndiatkan
belongkéng	bəloŋkeŋ
risalah	risalah
memelonco	məməlontʃo
mencopotkan	məntʃopotkan
gurami	gurami
kartun	kartun
tertelan	tərtəlan
membekam	məmbəkam
broker	brokər
memagarkan	məmagarkan
membenakan	məmbənakan
déra	dera
tétra	tetra
antariksawan	antariʔsawan
kurangnya	kuraŋɲa
séntol	sentol
keakasan	kəakasan
gerombolan	gərombolan
pemerahan	pəmərahan
perasaanmu	pərasaʔanmu
fatimah	fatimah
membuai	məmbuai
bakut	bakut
lémbur	lembur
gusar	gusar
guci	gutʃi
berkeyakinan	bərkəjakinan
pesuruh	pəsuruh
sesudah	səsudah
setikan	sətikan
résimén	resimen
sejak	sədʒaʔ
tingkah	tiŋkah
berkeluk	bərkəluʔ
cekap	tʃəkap
gerun	gərun
penjalin	pəndʒalin
cericap	tʃəritʃap
selélér	səleler
meneguhkan	mənəguhkan
berbugil	bərbugil
berskala	bərskala
kelongkong	kəloŋkoŋ
samseng	samsəŋ
jera	dʒəra
patén	paten
tetirah	tətirah
bengkayang	bəŋkajaŋ
tenaganya	tənagaɲa
menggelepar	məŋgələpar
perutusan	pərutusan
terwélu	tərwelu
memintas	məmintas
pesa	pəsa
keri	kəri
badé	bade
menyerandang	məɲərandaŋ
apostolik	apostoliʔ
téktonis	teʔtonis
sémipérmanén	semipermanen
pél	pel
wasilah	wasilah
pengélak	pəŋelaʔ
penyetoran	pəɲətoran
kru	ʔru
orangnya	oraŋɲa
pengabdian	pəŋabdian
penjajah	pəndʒadʒah
démoralisasi	demoralisasi
disusukan	disusukan
semayam	səmajam
tegun	təgun
luasnya	luasɲa
mendua	məndua
pengungkapan	pəŋuŋkapan
sosialisme	sosialismə
berdengkang	bərdəŋkaŋ
aromatik	aromatiʔ
ranum	ranum
dilengkapi	diləŋkapi
kedengkik	kədəŋkiʔ
tenggorokan	təŋgorokan
penebukan	pənəbukan
kasturi	kasturi
linguistik	liŋuistiʔ
pemuja	pəmudʒa
mengibuli	məŋibuli
mengakhiri	məŋaʔhiri
peluh	pəluh
matrikulasi	matrikulasi
sakhlat	saʔhlat
lembaran	ləmbaran
dibentuk	dibəntuʔ
bermadu	bərmadu
menguis	məŋuis
mistérius	misterius
merintis	mərintis
penduga	pənduga
alvéolus	alveolus
sekelat	səkəlat
semburat	səmburat
brander	brandər
puncaknya	puntʃaʔɲa
pala	pala
menyertai	məɲərtai
détéksi	deteʔsi
seniwan	səniwan
membangga	məmbaŋga
stéréo	stereo
abatoar	abatoar
ténténg	tenteŋ
gempar	gəmpar
leding	lədiŋ
memesona	məməsona
menyepél	məɲəpel
iba’	ibaʔ
pengepung	pəŋəpuŋ
mengikutkan	məŋikutkan
peramah	pəramah
buari	buari
menancapkan	mənantʃapkan
menumpangkan	mənumpaŋkan
ambyar	ambjar
ditelannya	ditəlanɲa
angot	aŋot
filsafat	filsafat
diterjunkan	ditərdʒunkan
kerisut	kərisut
terwujud	tərwudʒud
berjalan	bərdʒalan
melétér	məleter
véteran	vetəran
pencelup	pəntʃəlup
perang.	pəraŋ.
dirugikan	dirugikan
bembarap	bəmbarap
disadur	disadur
jelas	dʒəlas
sdr	sdr
situ	situ
kesejukan	kəsədʒukan
senderut	səndərut
tahta	tahta
antaranya	antaraɲa
gugat	gugat
menggemparkan	məŋgəmparkan
berbahana	bərbahana
épidémi	epidemi
konfrontasi	konfrontasi
asalnya	asalɲa
melalaikan	məlalaikan
adakah	adakah
angah	aŋah
dohok	dohoʔ
menggunung	məŋgunuŋ
tedung	təduŋ
diburu	diburu
pegawai	pəgawai
penelanan	pənəlanan
membidai	məmbidai
pembudayaan	pəmbudajaʔan
tepukan	təpukan
mengimbangi	məŋimbaŋi
berawak	bərawaʔ
menganggali	məŋaŋgali
langsuir	laŋsuir
terpimpin	tərpimpin
semakin	səmakin
apar	apar
letus	lətus
pantat	pantat
terbelélang	tərbəlelaŋ
kehématan	kəhematan
menyetum	məɲətum
memandang	məmandaŋ
kepam	kəpam
memburuk	məmburuʔ
shukur	shukur
jebol	dʒəbol
berhak	bərhaʔ
asuhannya	asuhanɲa
kampungnya	kampuŋɲa
dirham	dirham
memélét	məmelet
sémén	semen
péci	petʃi
combong	tʃomboŋ
keluai	kəluai
langau	laŋau
traktor	traʔtor
bulunya	buluɲa
pasar	pasar
atribut	atribut
kedudukan	kədudukan
tetangganya	tətaŋgaɲa
berbiras	bərbiras
keékstréman	kəeʔstreman
disarankan	disarankan
membadi	məmbadi
rohnya	rohɲa
kasip	kasip
belasting	bəlastiŋ
batara	batara
kéndong	kendoŋ
gentar	gəntar
