tříštěn	tr̝̊iːʃcɛn
albánský	albaːnskiː
optimum	optɪmum
anarchokapitalismus	anarxokapɪtalɪzmus
inzula	ɪnzula
infinitiv	ɪnfɪnɪtɪf
plemenitba	plɛmɛɲɪdba
tkaní	tkaɲiː
blecho	blɛxo
plavena	plavɛna
lewinský	lɛvɪnskiː
revolta	rɛvolta
barvička	barvɪt͡ʃka
trdlo	tr̩dlo
piji	pɪjɪ
ludmilka	ludmɪlka
volíš	voliːʃ
ústrojí	uːstrojiː
vedeno	vɛdɛno
fazolka	fazolka
utajení	utajɛɲiː
věřil	vjɛr̝ɪl
zhroucení	zɦrou̯t͡sɛɲiː
složka	sloʃka
zástava	zaːstava
saprlote	sapr̩lotɛ
černovíra	t͡ʃɛrnoviːra
monetarismus	monɛtarɪzmus
mantisa	mantɪsa
čestněji	t͡ʃɛstɲɛjɪ
výdělečný	viːɟɛlɛt͡ʃniː
prutě	prucɛ
kombinéza	kombɪnɛːza
běloruska	bjɛloruska
dceruška	t͡sɛruʃka
lehčí	lɛxt͡ʃiː
ulička	ulɪt͡ʃka
šílenství	ʃiːlɛnstviː
nešťastník	nɛʃcastɲiːk
umělcův	umɲɛlt͡suːf
touhu	tou̯ɦu
daňový	daɲoviː
pelech	pɛlɛx
konzervativismus	konzɛrvatɪvɪzmus
brigita	brɪɡɪta
kykyryký	kɪkɪrɪkiː
topíc	topiːt͡s
jaroš	jaroʃ
vši	fʃɪ
pavlenka	pavlɛŋka
pětibojař	pjɛcɪbojar̝̊
ukrutný	ukrutniː
turistický	turɪstɪt͡skiː
knihovní	kɲɪɦovɲiː
morče	mort͡ʃɛ
šovinizmus	ʃovɪnɪzmus
vývojka	viːvojka
zapříčinit	zapr̝̊iːt͡ʃɪɲɪt
stejné	stɛjnɛː
lne	lnɛ
legrace	lɛɡrat͡sɛ
kalkatský	kalkatskiː
vozík	voziːk
hnědooký	ɦɲɛdookiː
pravice	pravɪt͡sɛ
puštík	puʃciːk
kleknout	klɛknou̯t
krůtou	kruːtou̯
cvok	t͡svok
cudnost	t͡sudnost
odkládat	otklaːdat
piva	pɪva
metronom	mɛtronom
mexičanka	mɛksɪt͡ʃaŋka
brunejec	brunɛjɛt͡s
nasvědčovat	nasvjɛt͡ʃovat
tah	tax
zátěž	zaːcɛʃ
luxus	luksus
zor	zor
prohlídka	proɦliːtka
šálami	ʃaːlamɪ
truchlivý	truxlɪviː
asymetrický	asɪmɛtrɪt͡skiː
ryzec	rɪzɛt͡s
adenom	adɛnom
mohla	moɦla
měníme	mɲɛɲiːmɛ
zatajit	zatajɪt
křížem	kr̝̊iːʒɛm
žízeň	ʒiːzɛɲ
zelení	zɛlɛɲiː
vinou	vɪnou̯
vetem	vɛtɛm
deltě	dɛlcɛ
konkurenční	koŋkurɛnt͡ʃɲiː
hráli	ɦraːlɪ
cenzurovat	t͡sɛnzurovat
rody	rodɪ
prolom	prolom
mrtí	mr̩ciː
obamův	obamuːf
opakování	opakovaːɲiː
sestřin	sɛstr̝̊ɪn
pač	pat͡ʃ
jehlozobka	jɛɦlozopka
káleni	kaːlɛɲɪ
liberečan	lɪbɛrɛt͡ʃan
hoších	ɦoʃiːx
hajinkat	ɦajɪŋkat
cicmat	t͡sɪt͡smat
kolikrát	kolɪkraːt
mecheche	mɛxɛxɛ
víceoborový	viːt͡sɛoboroviː
syntaktický	sɪntaktɪt͡skiː
věju	vjɛju
hromadný	ɦromadniː
širokospektrý	ʃɪrokospɛktriː
mělká	mɲɛlkaː
různý	ruːzniː
dni	dɲɪ
fluorovodík	fluorovoɟiːk
zřejmost	zr̝ɛjmost
ženou	ʒɛnou̯
langoš	laŋɡoʃ
glukóza	ɡlukoːza
rudou	rudou̯
regína	rɛɡiːna
univerzálnost	unɪvɛrzaːlnost
halucinace	ɦalut͡sɪnat͡sɛ
hanička	ɦaɲɪt͡ʃka
hltan	ɦl̩tan
pastorek	pastorɛk
hajat	ɦajat
slunce	slunt͡sɛ
normostrana	normostrana
oka	oka
kecech	kɛt͡sɛx
roj	roj
půdám	puːdaːm
moučník	mou̯t͡ʃɲiːk
přemýšlet	pr̝̊ɛmiːʃlɛt
krokoměr	krokomɲɛr
ženíc	ʒɛɲiːt͡s
šarlatánství	ʃarlataːnstviː
vanů	vanuː
mašinfíra	maʃɪnfiːra
prodávám	prodaːvaːm
nadhoz	nadɦos
jednojazyčný	jɛdnojazɪt͡ʃniː
selata	sɛlata
přilepit	pr̝̊ɪlɛpɪt
ergonomický	ɛrɡonomɪt͡skiː
tanzánský	tanzaːnskiː
křižák	kr̝̊ɪʒaːk
pastmi	pastmɪ
oblastní	oblastɲiː
lenčin	lɛnt͡ʃɪn
volán	volaːn
zosnovat	zosnovat
spiritus	spɪrɪtus
ozobí	ozobiː
sirotek	sɪrotɛk
hančin	ɦant͡ʃɪn
údajný	uːdajniː
děly	ɟɛlɪ
ara	ara
závorka	zaːvorka
nejhašteřivěji	nɛjɦaʃtɛr̝ɪvjɛjɪ
ratifikace	ratɪfɪkat͡sɛ
tnou	tnou̯
trhat	tr̩ɦat
liž	lɪʃ
lidumilka	lɪdumɪlka
lodích	loɟiːx
scvrnkls	st͡svrŋkl̩s
stopovat	stopovat
posle	poslɛ
lovíme	loviːmɛ
uretra	urɛtra
hájů	ɦaːjuː
selům	sɛluːm
daníte	daɲiːtɛ
chronolog	xronolok
okenní	okɛɲiː
přísloví	pr̝̊iːsloviː
obušek	obuʃɛk
květinářka	kvjɛcɪnaːr̝̊ka
zásnuby	zaːsnubɪ
chryzantéma	xrɪzantɛːma
antikomunistický	antɪkomunɪstɪt͡skiː
uchu	uxu
temenní	tɛmɛɲiː
lorikul	lorɪkul
moralista	moralɪsta
světel	svjɛtɛl
klonit	kloɲɪt
tvůrčí	tvuːrt͡ʃiː
uskutečnitel	uskutɛt͡ʃɲɪtɛl
knihovník	kɲɪɦovɲiːk
uhelníček	uɦɛlɲiːt͡ʃɛk
informovat	ɪnformovat
dobrota	dobrota
plave	plavɛ
zánik	zaːɲɪk
taťulda	taculda
přirozeně	pr̝̊ɪrozɛɲɛ
černé	t͡ʃɛrnɛː
stíní	sciːɲiː
seje	sɛjɛ
sýru	siːru
staly	stalɪ
plakali	plakalɪ
chováš	xovaːʃ
kotovat	kotovat
pilař	pɪlar̝̊
krknutí	kr̩knuciː
tadeáš	tadɛaːʃ
chetitský	xɛtɪtskiː
vznášení	vznaːʃɛɲiː
motyka	motɪka
imágo	ɪmaːɡo
cilka	t͡sɪlka
mnohoslabičný	mnoɦoslabɪt͡ʃniː
cheban	xɛban
tvory	tvorɪ
maznička	mazɲɪt͡ʃka
proklínat	prokliːnat
prohlubovat	proɦlubovat
benáres	bɛnaːrɛs
tvořte	tvor̝̊tɛ
sport	sport
ovsem	ofsɛm
zapustit	zapuscɪt
otcův	ot͡suːf
klarinetistka	klarɪnɛtɪstka
kompromis	kompromɪs
magie	maɡɪjɛ
tetřívek	tɛtr̝̊iːvɛk
mravokárce	mravokaːrt͡sɛ
sťato	scato
volovi	volovɪ
negovat	nɛɡovat
orlově	orlovjɛ
blízko	bliːsko
horstvo	ɦorstvo
motorika	motorɪka
kazíc	kaziːt͡s
modrý	modriː
vysmahnout	vɪsmaɦnou̯t
pral	pral
cestopis	t͡sɛstopɪs
libela	lɪbɛla
cítíte	t͡siːciːtɛ
oporami	oporamɪ
vyhledávat	vɪɦlɛdaːvat
črty	t͡ʃr̩tɪ
poznali	poznalɪ
mauritánský	mau̯rɪtaːnskiː
nařizovat	nar̝ɪzovat
tlačit	tlat͡ʃɪt
kladl	kladl̩
potopa	potopa
fňukavý	fɲukaviː
pektin	pɛktɪn
pumí	pumiː
nejdrzejší	nɛjdr̩zɛjʃiː
východoevropan	viːxodoɛvropan
kompilátor	kompɪlaːtor
návyk	naːvɪk
debitor	dɛbɪtor
vyhne	vɪɦnɛ
strhat	str̩ɦat
chobot	xobot
oltář	oltaːr̝̊
škrtnout	ʃkr̩tnou̯t
kamarádšoft	kamaraːtʃoft
psalo	psalo
potřetí	potr̝̊ɛciː
parazitologie	parazɪtoloɡɪjɛ
impulzivnost	ɪmpulzɪvnost
kyjev	kɪjɛf
rozkulačen	roskulat͡ʃɛn
archivářka	arxɪvaːr̝̊ka
karikaturista	karɪkaturɪsta
jehličnan	jɛɦlɪt͡ʃnan
výmol	viːmol
košům	koʃuːm
kuňkat	kuɲkat
placeni	plat͡sɛɲɪ
produktivita	produktɪvɪta
míhal	miːɦal
buly	bulɪ
plášil	plaːʃɪl
čelila	t͡ʃɛlɪla
hladový	ɦladoviː
stuchl	stuxl̩
odpočívat	otpot͡ʃiːvat
všichni	fʃɪxɲɪ
středomořský	str̝̊ɛdomor̝̊skiː
bledost	blɛdost
neomluvitelný	nɛomluvɪtɛlniː
sutě	sucɛ
teřich	tɛr̝ɪx
bolme	bolmɛ
zdilo	zɟɪlo
pulte	pultɛ
ženská	ʒɛnskaː
čágo	t͡ʃaːɡo
tajuplnější	tajupl̩ɲɛjʃiː
pazourek	pazou̯rɛk
dezertovat	dɛzɛrtovat
projevovat	projɛvovat
věn	vjɛn
nájemce	naːjɛmt͡sɛ
proudí	prou̯ɟiː
vetech	vɛtɛx
bralo	bralo
říkáte	r̝iːkaːtɛ
dřevěný	dr̝ɛvjɛniː
viněno	vɪɲɛno
vláčkodráha	vlaːt͡ʃkodraːɦa
pozemský	pozɛmskiː
žuchnout	ʒuxnou̯t
nejvýkonnější	nɛjviːkoɲɛjʃiː
přetrhnout	pr̝̊ɛtr̩ɦnou̯t
činorodý	t͡ʃɪnorodiː
dveřník	dvɛr̝ɲiːk
trojlístek	trojliːstɛk
pečínka	pɛt͡ʃiːŋka
proběhnout	probjɛɦnou̯t
sní	sɲiː
medicína	mɛdɪt͡siːna
káchat	kaːxat
vát	vaːt
šedl	ʃɛdl̩
šípů	ʃiːpuː
vyvézt	vɪvɛːst
čitelnost	t͡ʃɪtɛlnost
náležet	naːlɛʒɛt
rokům	rokuːm
dalekozraký	dalɛkozrakiː
viry	vɪrɪ
jehož	jɛɦoʃ
postit	poscɪt
kursk	kursk
prostudovat	prostudovat
lucidní	lut͡sɪdɲiː
rozptýlení	rosptiːlɛɲiː
obrázek	obraːzɛk
okem	okɛm
bradu	bradu
houfnice	ɦou̯fɲɪt͡sɛ
hláška	ɦlaːʃka
osa	osa
zdravit	zdravɪt
hatě	ɦacɛ
tlíce	tliːt͡sɛ
oberou	obɛrou̯
zrádcův	zraːt͡suːf
zasadit	zasaɟɪt
rachelin	raxɛlɪn
šprechtit	ʃprɛxcɪt
odvážet	odvaːʒɛt
zlepšovat	zlɛpʃovat
mami	mamɪ
hovorný	ɦovorniː
hlubotiskový	ɦlubocɪskoviː
chodbička	xodbɪt͡ʃka
požehnaný	poʒɛɦnaniː
bryskní	brɪskɲiː
bohoslovný	boɦoslovniː
zhatit	zɦacɪt
zareagovat	zarɛaɡovat
zámek	zaːmɛk
kosmopolitický	kosmopolɪtɪt͡skiː
rybářův	rɪbaːr̝uːf
tlumit	tlumɪt
okamžitý	okamʒɪtiː
okres	okrɛs
početí	pot͡ʃɛciː
tlak	tlak
vyžeň	vɪʒɛɲ
trčet	tr̩t͡ʃɛt
okno	okno
bojkotovat	bojkotovat
hustá	ɦustaː
půdo	puːdo
alarmistický	alarmɪstɪt͡skiː
nevěstinec	nɛvjɛscɪnɛt͡s
určo	urt͡ʃo
povstal	pofstal
sklep	sklɛp
králů	kraːluː
představit	pr̝̊ɛtstavɪt
vysvětlovat	vɪsvjɛtlovat
funkční	fuŋkt͡ʃɲiː
odpovědný	otpovjɛdniː
pájet	paːjɛt
kvílet	kviːlɛt
pramalý	pramaliː
autohavárie	au̯toɦavaːrɪjɛ
sedmnáctiletý	sɛdm̩naːt͡scɪlɛtiː
kyberprostor	kɪbɛrprostor
smůly	smuːlɪ
průmyslník	pruːmɪsl̩ɲiːk
mračoun	mrat͡ʃou̯n
splácnout	splaːt͡snou̯t
přítok	pr̝̊iːtok
pokrokový	pokrokoviː
nezaujatý	nɛzau̯jatiː
aktivistický	aktɪvɪstɪt͡skiː
polarizovat	polarɪzovat
otěž	ocɛʃ
odvozovat	odvozovat
soudů	sou̯duː
technika	tɛxnɪka
burza	burza
listu	lɪstu
otéct	otɛːt͡st
lesopark	lɛsopark
tancuj	tant͡suj
definiční	dɛfɪnɪt͡ʃɲiː
výdechoměr	viːdɛxomɲɛr
předávkovat	pr̝̊ɛdaːfkovat
oknech	oknɛx
homerův	ɦomɛruːf
lukostřelba	lukostr̝̊ɛlba
válečný	vaːlɛt͡ʃniː
puzzle	put͡slɛ
pilnost	pɪlnost
bůh	buːx
uzemnit	uzɛmɲɪt
leju	lɛjʊ
dvouslabičný	dvou̯slabɪt͡ʃniː
irkutsk	ɪrkutsk
eurofobie	ɛu̯rofobɪjɛ
provozovatel	provozovatɛl
zdejchnout	zdɛjxnou̯t
anička	aɲɪt͡ʃka
upalovat	upalovat
slaná	slanaː
člověkem	t͡ʃlovjɛkɛm
mylo	mɪlo
předpověď	pr̝̊ɛtpovjɛc
zakomentovat	zakomɛntovat
tvorové	tvorovɛː
děl	ɟɛl
nevěstkář	nɛvjɛstkaːr̝̊
lozit	lozɪt
snění	sɲɛɲiː
monismus	moɲɪzmus
bernardýn	bɛrnardiːn
třezalka	tr̝̊ɛzalka
jedenáctiprocentní	jɛdɛnaːt͡scɪprot͡sɛntɲiː
oldřiščin	oldr̝ɪʃt͡ʃɪn
řečnictví	r̝ɛt͡ʃɲɪt͡stviː
zadnička	zadɲɪt͡ʃka
kazů	kazuː
vesnice	vɛsɲɪt͡sɛ
badatel	badatɛl
vězí	vjɛziː
blagověščensk	blaɡovjɛʃt͡ʃɛnsk
nezákonitě	nɛzaːkoɲɪcɛ
medosavka	mɛdosafka
kotrmelec	kotr̩mɛlɛt͡s
kamení	kamɛɲiː
plakal	plakal
ventil	vɛntɪl
batůžek	batuːʒɛk
tratě	tracɛ
uživatel	uʒɪvatɛl
esteřin	ɛstɛr̝ɪn
dávala	daːvala
patolog	patolok
celostátní	t͡sɛlostaːtɲiː
zamést	zamɛːst
arktický	arktɪt͡skiː
ran	ran
monika	monɪka
tolerovat	tolɛrovat
žižkův	ʒɪʃkuːf
motivace	motɪvat͡sɛ
plodě	ploɟɛ
pecen	pɛt͡sɛn
chrást	xraːst
sabinka	sabɪŋka
historicky	ɦɪstorɪt͡skɪ
základ	zaːklat
kuběnář	kubjɛnaːr̝̊
krveprolití	kr̩vɛprolɪciː
drtí	dr̩ciː
fňukat	fɲukat
udila	uɟɪla
česat	t͡ʃɛsat
kouřen	kou̯r̝ɛn
spadnout	spadnou̯t
moří	mor̝iː
pasivnost	pasɪvnost
loučka	lou̯t͡ʃka
zájmů	zaːjmuː
kompostovat	kompostovat
kosterní	kostɛrɲiː
výkonnější	viːkoɲɛjʃiː
šunt	ʃunt
brblat	br̩blat
nejistota	nɛjɪstota
niti	ɲɪcɪ
životopisný	ʒɪvotopɪsniː
jordánka	jordaːŋka
snášenlivý	snaːʃɛnlɪviː
tělesně	cɛlɛsɲɛ
janáčkův	janaːt͡ʃkuːf
bizarní	bɪzarɲiː
renesance	rɛnɛsant͡sɛ
dštít	tʃciːt
palce	palt͡sɛ
řekne	r̝ɛknɛ
existence	ɛɡzɪstɛnt͡sɛ
pasivita	pasɪvɪta
natálka	nataːlka
antropolog	antropolok
přezkoumat	pr̝̊ɛskou̯mat
oslice	oslɪt͡sɛ
pochopitelnost	poxopɪtɛlnost
krutihlav	krucɪɦlaf
pánem	paːnɛm
topolanští	topolanʃciː
chvilka	xvɪlka
dějme	ɟɛjmɛ
okruh	okrux
homs	ɦoms
racčí	rat͡st͡ʃiː
grafický	ɡrafɪt͡skiː
pročíst	prot͡ʃiːst
padělatel	paɟɛlatɛl
zásoba	zaːsoba
budete	budɛtɛ
vanesa	vanɛsa
zygota	zɪɡota
šijeme	ʃɪjɛmɛ
larva	larva
emfaticky	ɛmfatɪt͡skɪ
klidě	klɪɟɛ
bdíc	bɟiːt͡s
zbytečnost	zbɪtɛt͡ʃnost
humr	ɦumr
žárlivost	ʒaːrlɪvost
charitativní	xarɪtatɪvɲiː
opič	opɪt͡ʃ
sluce	slut͡sɛ
krystal	krɪstal
bohoslovecký	boɦoslovɛt͡skiː
ambivalentní	ambɪvalɛntɲiː
mazána	mazaːna
trvání	tr̩vaːɲiː
sussexský	susɛkskiː
směs	sm̩ɲɛs
naplácat	naplaːt͡sat
kůrou	kuːrou̯
kvalt	kvalt
magor	maɡor
kulečník	kulɛt͡ʃɲiːk
vodoměr	vodomɲɛr
zaznamenat	zaznamɛnat
zásluha	zaːsluɦa
dřevotříska	dr̝ɛvotr̝̊iːska
pásmo	paːsmo
slamák	slamaːk
řádíte	r̝aːɟiːtɛ
sův	suːf
bednaříková	bɛdnar̝iːkovaː
nezbedová	nɛzbɛdovaː
ženin	ʒɛɲɪn
kupa	kupa
saním	saɲiːm
krýt	kriːt
cit	t͡sɪt
otrocky	otrot͡skɪ
míně	miːɲɛ
lékařství	lɛːkar̝̊stviː
dílem	ɟiːlɛm
chaloupka	xalou̯pka
objímat	objiːmat
kojení	kojɛɲiː
benátky	bɛnaːtkɪ
stoklasa	stoklasa
neopakovatelný	nɛopakovatɛlniː
černovlasý	t͡ʃɛrnovlasiː
halucinogen	ɦalut͡sɪnoɡɛn
pentilka	pɛntɪlka
svár	svaːr
slonovina	slonovɪna
medvědi	mɛdvjɛɟɪ
budapešť	budapɛʃc
platilo	placɪlo
řitím	r̝ɪciːm
mladoboleslavsko	mladobolɛslafsko
slepit	slɛpɪt
raněný	raɲɛniː
zjevení	zjɛvɛɲiː
čistka	t͡ʃɪstka
jednomyslný	jɛdnomɪsl̩niː
bleše	blɛʃɛ
vřele	vr̝ɛlɛ
supraorbitální	supraorbɪtaːlɲiː
vyslovit	vɪslovɪt
opotřebovaný	opotr̝̊ɛbovaniː
alka	alka
matkám	matkaːm
nevěstin	nɛvjɛscɪn
příjemce	pr̝̊iːjɛmt͡sɛ
volta	volta
kalibrace	kalɪbrat͡sɛ
rán	raːn
zchudnout	sxudnou̯t
ponechat	ponɛxat
jachta	jaxta
odvažovat	odvaʒovat
napálit	napaːlɪt
koutem	kou̯tɛm
zničení	zɲɪt͡ʃɛɲiː
vodič	voɟɪt͡ʃ
tetraedr	tɛtraɛdr̩
celičký	t͡sɛlɪt͡ʃkiː
opava	opava
armádní	armaːdɲiː
zátoka	zaːtoka
lichou	lɪxou̯
přemrštěný	pr̝̊ɛmr̩ʃcɛniː
hříbek	ɦr̝iːbɛk
kamének	kamɛːnɛk
hádej	ɦaːdɛj
zapnout	zapnou̯t
selete	sɛlɛtɛ
spoluúčast	spoluuːt͡ʃast
ostýchavý	ostiːxaviː
plátek	plaːtɛk
kratochvíle	kratoxviːlɛ
čejčí	t͡ʃɛjt͡ʃiː
zabity	zabɪtɪ
humny	ɦumnɪ
divem	ɟɪvɛm
letní	lɛtɲiː
služebnictvo	sluʒɛbɲɪt͡stvo
viděna	vɪɟɛna
soustředný	sou̯str̝̊ɛdniː
miloš	mɪloʃ
výprava	viːprava
vana	vana
dřu	dr̝u
protivník	procɪvɲiːk
teploměr	tɛplomɲɛr
břečťan	br̝ɛt͡ʃcan
nedůležitý	nɛduːlɛʒɪtiː
rosu	rosu
fotka	fotka
keplerovský	kɛplɛrofskiː
uzle	uzlɛ
pošel	poʃɛl
táhna	taːɦna
žurnál	ʒurnaːl
magdaléna	maɡdalɛːna
davů	davuː
zamořit	zamor̝ɪt
je	jɛ
osmdesátina	osm̩dɛsaːcɪna
jolanka	jolaŋka
pístový	piːstoviː
využívat	vɪuʒiːvat
deníček	dɛɲiːt͡ʃɛk
kontrarevoluce	kontrarɛvolut͡sɛ
historik	ɦɪstorɪk
plachá	plaxaː
zarovnat	zarovnat
vzal	vzal
jeruzaléman	jɛruzalɛːman
lučino	lut͡ʃɪno
šestnáctiletý	ʃɛstnaːt͡scɪlɛtiː
šídle	ʃiːdlɛ
anup	anup
anketa	aŋkɛta
huriska	ɦurɪska
zmatený	zmatɛniː
jez	jɛs
osvědčit	osvjɛt͡ʃɪt
úhlový	uːɦloviː
deprimující	dɛprɪmujiːt͡siː
dvojkliknout	dvojklɪknou̯t
musela	musɛla
oddělovat	odɟɛlovat
heřman	ɦɛr̝man
obrově	obrovjɛ
luhů	luɦuː
hájit	ɦaːjɪt
přejet	pr̝̊ɛjɛt
tetování	tɛtovaːɲiː
extenze	ɛkstɛnzɛ
legitimnost	lɛɡɪtɪmnost
klidu	klɪdu
mýval	miːval
línů	liːnuː
minerál	mɪnɛraːl
říkám	r̝iːkaːm
bojovný	bojovniː
házel	ɦaːzɛl
astronom	astronom
vězme	vjɛzmɛ
moct	mot͡st
nohy	noɦɪ
nejzdravější	nɛjzdravjɛjʃiː
průzračnost	pruːzrat͡ʃnost
spořit	spor̝ɪt
snížek	sɲiːʒɛk
vztahovačný	fstaɦovat͡ʃniː
chorobou	xorobou̯
přiblížit	pr̝̊ɪbliːʒɪt
dekadický	dɛkadɪt͡skiː
odpouštět	otpou̯ʃcɛt
hydraulika	ɦɪdrau̯lɪka
maximálně	maksɪmaːlɲɛ
původ	puːvot
karvinsko	karvɪnsko
způsobený	spuːsobɛniː
zvětšený	zvjɛtʃɛniː
modrat	modrat
přemítat	pr̝̊ɛmiːtat
vypasený	vɪpasɛniː
koloušek	kolou̯ʃɛk
mírumilovný	miːrumɪlovniː
šestkrát	ʃɛstkraːt
mandarinský	mandarɪnskiː
orle	orlɛ
kyna	kɪna
sívíčko	siːviːt͡ʃko
chuligán	xulɪɡaːn
roď	roc
vínu	viːnu
hlavobol	ɦlavobol
kterýkoliv	ktɛriːkolɪf
infimum	ɪnfɪmum
acetazolamid	at͡sɛtazolamɪt
taťánin	tacaːɲɪn
nadarmo	nadarmo
makrocefalie	makrot͡sɛfalɪjɛ
drž	dr̩ʃ
křišťál	kr̝̊ɪʃcaːl
sestavit	sɛstavɪt
výry	viːrɪ
pastevec	pastɛvɛt͡s
prozíravý	proziːraviː
vyhlídka	vɪɦliːtka
nezáviděníhodný	nɛzaːvɪɟɛɲiːɦodniː
hasím	ɦasiːm
odolat	odolat
bohovi	boɦovɪ
potřeba	potr̝̊ɛba
líbili	liːbɪlɪ
korejština	korɛjʃcɪna
tekutina	tɛkucɪna
maglajz	maɡlajs
silami	sɪlamɪ
amerika	amɛrɪka
horlivost	ɦorlɪvost
zdmi	zdmɪ
bulharka	bulɦarka
východotimorský	viːxodotɪmorskiː
číhaná	t͡ʃiːɦanaː
strojvedoucí	strojvɛdou̯t͡siː
stálý	staːliː
lhůtu	lɦuːtu
kyrgyzstán	kɪrɡɪstaːn
proměňovat	promɲɛɲovat
formule	formulɛ
kaju	kaju
pluje	plujɛ
mystický	mɪstɪt͡skiː
holte	ɦoltɛ
homeomorfní	ɦomɛomorfɲiː
veverčí	vɛvɛrt͡ʃiː
jakožto	jakoʃto
léče	lɛːt͡ʃɛ
honíš	ɦoɲiːʃ
vyskočit	vɪskot͡ʃɪt
cistovník	t͡sɪstovɲiːk
jakkoliv	jakolɪf
spadla	spadla
výkupné	viːkupnɛː
pýchy	piːxɪ
tlapka	tlapka
horda	ɦorda
jihomoravský	jɪɦomorafskiː
jde	jdɛ
dršťka	dr̩ʃcka
prdět	pr̩ɟɛt
komunikátor	komunɪkaːtor
trojzubec	trojzubɛt͡s
patou	patou̯
vypomoct	vɪpomot͡st
snový	snoviː
rotovat	rotovat
nedorozumění	nɛdorozumɲɛɲiː
krušná	krʊʃnaː
slané	slanɛː
libí	lɪbiː
antropoložka	antropoloʃka
jely	jɛlɪ
čelech	t͡ʃɛlɛx
interpolace	ɪntɛrpolat͡sɛ
oxidovat	oksɪdovat
abecední	abɛt͡sɛdɲiː
duhách	duɦaːx
kurvit	kurvɪt
přistání	pr̝̊ɪstaːɲiː
marcelin	mart͡sɛlɪn
kosím	kosiːm
cválat	t͡svaːlat
aztécký	astɛːt͡skiː
hematit	ɦɛmacɪt
psychický	psɪxɪt͡skiː
faktura	faktura
doprovodit	doprovoɟɪt
supervelmoc	supɛrvɛlmot͡s
důvěrník	duːvjɛrɲiːk
olomouci	olomou̯t͡sɪ
odradit	odraɟɪt
sovami	sovamɪ
tažný	taʒniː
sputum	spuːtum
záblesk	zaːblɛsk
žaludeční	ʒaludɛt͡ʃɲiː
zrzohlávka	zr̩zoɦlaːfka
hayato	ɦaɪato
solím	soliːm
semilogaritmický	sɛmɪloɡarɪtmɪt͡skiː
mírně	miːrɲɛ
kálo	kaːlo
arteterapie	artɛtɛrapɪjɛ
rýžový	riːʒoviː
smí	smiː
hyena	ɦɪjɛna
němeček	ɲɛmɛt͡ʃɛk
jehelný	jɛɦɛlniː
věnování	vjɛnovaːɲiː
louce	lou̯t͡sɛ
moudrost	mou̯drost
gigabyte	ɡɪɡabajt
drahný	draɦniː
dospělost	dospjɛlost
rozmazlený	rozmazlɛniː
blešák	blɛʃaːk
peklo	pɛklo
turovi	turovɪ
okusit	okusɪt
sahal	saɦal
chvástání	xvaːstaːɲiː
transkripce	transkrɪpt͡sɛ
kopci	kopt͡sɪ
implikace	ɪmplɪkat͡sɛ
měsíční	mɲɛsiːt͡ʃɲiː
pákistán	paːkɪstaːn
scenérie	st͡sɛnɛːrɪjɛ
sestup	sɛstup
mahulenin	maɦulɛɲɪn
marta	marta
tišíš	cɪʃiːʃ
dáváni	daːvaːɲɪ
kyberútok	kɪbɛruːtok
neslyšný	nɛslɪʃniː
sedmitisícovka	sɛdmɪcɪsiːt͡sofka
vážnost	vaːʒnost
cejchovat	t͡sɛjxovat
japonsko	japonsko
tkal	tkal
obilí	obɪliː
světlana	svjɛtlana
vítal	viːtal
nastavený	nastavɛniː
debře	dɛbr̝ɛ
hrdinka	ɦr̩ɟɪŋka
orlíma	orliːma
děsila	ɟɛsɪla
hořel	ɦor̝ɛl
démos	dɛːmos
unie	unɪjɛ
duda	duda
tet	tɛt
kryštůfek	krɪʃtuːfɛk
útočit	uːtot͡ʃɪt
eklektismus	ɛklɛktɪzmus
tabulka	tabulka
tenistka	tɛnɪstka
bořivoj	bor̝ɪvoj
alča	alt͡ʃa
pásovník	paːsovniːk
rvát	rvaːt
čirá	t͡ʃɪraː
pánu	paːnu
kůr	kuːr
vezete	vɛzɛtɛ
síťkovaný	siːckovaniː
samá	samaː
srán	sraːn
sňatek	sɲatɛk
dýka	diːka
dávať	daːvac
zvonohlík	zvonoɦl̩iːk
hráni	ɦraːɲɪ
stuchnout	stuxnou̯t
aniž	aɲɪʃ
meteorologie	mɛtɛoroloɡɪjɛ
vinárna	vɪnaːrna
francouz	frant͡sou̯s
lojzík	lojziːk
milada	mɪlada
ještěr	jɛʃcɛr
promiňte	promɪɲtɛ
horami	ɦoramɪ
sakulente	sakulɛntɛ
vědy	vjɛdɪ
videokazeta	vɪdɛokazɛta
vladislav	vlaɟɪslaf
vodníci	vodɲiːt͡sɪ
řízení	r̝iːzɛɲiː
kloktat	kloktat
plutokracie	plutokrat͡sɪjɛ
pracovitý	prat͡sovɪtiː
moravák	moravaːk
tíh	ciːx
čirok	t͡ʃɪrok
omylný	omɪlniː
majíc	majiːt͡s
frajer	frajɛr
působit	puːsobɪt
mučednice	mut͡ʃɛdɲɪt͡sɛ
gruntovat	ɡruntovat
řádek	r̝aːdɛk
bezdomovkyně	bɛzdomofkɪɲɛ
ke	kɛ
títi	ciːcɪ
jaksi	jaksɪ
letec	lɛtɛt͡s
pregraduální	prɛɡraduaːlɲiː
lukostřelec	lukostr̝̊ɛlɛt͡s
minul	mɪnul
zápas	zaːpas
nárůst	naːruːst
šestka	ʃɛstka
piškotový	pɪʃkotoviː
curyšan	t͡surɪʃan
