experimentar	iʃpɨɾimẽtaɾ
satisfazer	sɐtiʃfɐzeɾ
uau	waw
continuar	kõtinwaɾ
labareda	labaɾeda
santarém	sɐ̃tɐɾẽj̃
está	ta
erre	ɛʁɨ
biombo	bjõbu
iníquo	inikwu
desgosto	dɨʒɣoʃtu
atacar	ɐtɐkaɾ
acartar	ɐkɐɾtaɾ
manter	mɐ̃teɾ
tempos	tẽpuʃ
gorovinha	ɡoɾɔviɲa
imaginar	imɐʒinaɾ
cantiga	kɐ̃tiɣɐ
oito	ojtu
tardio	tɐɾðiu
custa	kuʃtɐ
suporte	supɔɾtɨ
aspa	aʃpɐ
faça	fasɐ
festa	fɛʃtɐ
senhor	sɨɲoɾ
vincar	vĩkaɾ
lacera	lasɛɾa
piaçaba	pjasaβɐ
carteira	kɐɾtɐjɾɐ
rango	ʁɐ̃ɡu
rapazes	ʁɐpazɨʃ
desaforo	dezafɔɾu
programador	pɾuɣɾɐmɐðoɾ
tio	tiw
farsa	farsɐ
arganil	ɐɾɣɐniɫ
hipopótamo	ipɔpɔtɐmu
cativar	kɐtivaɾ
caçula	kɐsulɐ
argola	aʁɡɔla
fértil	fɛɾtiɫ
dela	dɛlɐ
concelho	kõsɐjʎu
teixo	tɐjʃu
combinação	kõbinɐsɐ̃w̃
imigração	imiɣɾɐsɐ̃w̃
teu	tew
actuação	ɐtwɐsɐ̃w̃
ilegal	ilɨɣaɫ
vã	vɐ̃
matéria	mɐtɛɾjɐ
lágrima	laɣɾimɐ
incorreto	ĩkuʁɛtu
ideia	iðɐjɐ
irracional	iʁɐsjunal
estrondo	ɨʃtɾõdu
micho	miʃu
ei	ej
laranja	lɐɾɐ̃ʒɐ
foco	fɔku
sensato	sẽsatu
doutor	dowtoɾ
transação	tɾɐ̃zasɐ̃w̃
casquilho	kajʃkiʎu
runa	ʁunɐ
bope	bɔpi
entregar	ẽtɾɨɣaɾ
biônico	bioniku
cargo	kaɾɣu
tussa	tusɐ
coleta	kuletɐ
comer	kumeɾ
semanas	sɨmɐnɐʃ
cauê	kawe
quisto	kijʃtu
hebreia	iβɾejɐ
prato	pɾatu
cepo	sepu
juizado	ʒuizadu
baú	bau
dezanove	dɨzɐnɔvɨ
pelouro	pɨlowɾu
lume	lumɨ
candidato	kɐ̃diðatu
arcano	ɐɾkɐnu
ouvi	owvi
lamúria	lamuɾja
petróleo	pɨtɾɔlju
mostra	mɔʃtɾɐ
alugar	ɐluɡaɾ
fresco	fɾeʃku
enquadrar	ẽkwɐðɾaɾ
aosta	ɐɔʃtɐ
escorregar	iʃkuʁɨɣaɾ
seira	sɐjɾɐ
princípio	pɾĩsipiw
azulejo	ɐzulɛʒu
agoiros	ɐɣojɾuʃ
meia	mɐjɐ
escachar	ɨʃkɐʃaɾ
tergiversar	teɾʒiveɾsar
inspirar	ĩspiɾar
durazzo	duɾatsu
alfarrábio	aɫfɐʁaβju
alameda	ɐlɐmɛðɐ
candomblé	kɐ̃dõblɛ
esmagado	iʒmɐɣaðu
cevar	sɨvaɾ
contas	kõtɐʃ
acelerador	ɐsɨlɨɾɐðoɾ
usura	uzuɾa
quinar	kinaɾ
choca	ʃɔkɐ
gilete	ʒilɛtʃi
amém	amɐ̃j̃
irmandade	iɾmɐ̃daðɨ
cedilha	sɨðiʎɐ
heliocêntrico	ɛljosẽtɾiku
cordão	kuɾðɐ̃w̃
forro	fɔʁu
cá	ka
sabido	sɐβiðu
desfazimento	dʒisfazimẽtu
aborígene	ɐβuɾiʒɨnɨ
pediu	pɨðiw
antontem	ɐ̃tõtɐ̃j̃
ossos	ɔsuʃ
aparafusar	ɐpɐɾɐfuzaɾ
amizade	ɐmizaðɨ
cólera	kɔlɨɾɐ
saúde	sɐuðɨ
drogaria	dɾuɣɐɾiɐ
teledramaturgia	tɛledɾamatuʁʒia
rampa	ʁɐ̃pɐ
angular	ɐ̃ɡulaɾ
vez	veʃ
caraminhola	kaɾamij̃ɔla
chuinga	ʃuĩɡa
aguião	ɐɣjɐ̃w̃
premiar	pɾɨmjaɾ
prazer	pɾɐzeɾ
bocejo	busɐʒu
basílica	bɐzilikɐ
laço	lasu
quatrocentos	kwatɾusẽtuʃ
semirreta	sɨmiʁɛtɐ
freira	fɾejɾɐ
súplica	suplikɐ
criptococose	kɾiptokokɔzi
farelo	fɐɾɛlu
proveito	pɾuvɐjtu
mui	muj
receita	ʁɨsejtɐ
pernóstico	peɾnɔstʃiku
atrasar	ɐtɾɐzaɾ
fofura	fofuɾa
elemento	ilɨmẽtu
especialmente	iʃpɨsjaɫmẽtɨ
ruína	ʁwinɐ
portão	puɾtɐ̃w̃
vatapá	vatapa
sóror	sɔrɔr
alimentar	alimẽtaɾ
pauta	pawtɐ
óleo	ɔlju
umas	umɐʃ
tope	tɔpɨ
missão	misɐ̃w̃
engarrafar	ẽɡɐʁɐfaɾ
privatizar	pɾivɐtizaɾ
esquina	ɨʃkinɐ
meses	mezɨʃ
conversa	kõvɛɾsɐ
fusco	fuʃku
essencial	isẽsjaɫ
polegar	pulɨɣaɾ
rapaziada	ʁɐpɐzjaðɐ
muito	mũj̃tu
parlapatão	paɾlapatɐ̃w̃
interior	ĩtɨɾioɾ
vês	veʃ
japa	ʒapɐ
meninos	mɨninuʃ
natureza	nɐtuɾezɐ
mencionar	mẽsjunaɾ
sinceridade	sĩsɨɾiðaðɨ
brochura	bɾoʃuɾa
confiar	kõfjaɾ
vizinha	viziɲɐ
banheiro	bɐɲɐjɾu
túlipa	tulipɐ
ordeiro	ɔɾðɐjɾu
carrapicho	kaʁapiʃu
genro	ʒẽʁu
diabete	dʒiabɛtʃi
champô	ʃɐ̃po
pinho	piɲu
loulé	lolɛ
moldura	muɫduɾɐ
afrontar	ɐfɾõtaɾ
tísico	tiziku
almoço	aɫmɔsu
divertimento	divɨɾtimẽtu
acender	ɐsẽdeɾ
trevo	tɾevu
elevador	ilɨvɐðoɾ
sazão	sɐzɐ̃w̃
transitório	tɾɐ̃zitɔɾju
cheios	ʃɐjuʃ
criptomnésia	kɾiptomnɛzja
charneca	ʃɐɾnɛkɐ
treno	tɾenu
plutão	plutɐ̃w̃
pastelaria	pɐʃtɨlɐɾiɐ
antitético	ɐ̃titɛtiku
alertamente	alɛɾtɐmẽtɨ
fala	falɐ
voltara	voɫtaɾɐ
masculino	mɐʃkulinu
espirro	iʃpiʁu
terço	teɾsu
parir	pɐɾiɾ
e	i
demográfico	dɨmuɣɾafiku
templo	tẽplu
ele	ɛlɨ
foz	fɔʃ
autenticidade	awtẽtisiðaðɨ
crença	kɾẽsɐ
refresco	ʁɨfɾeʃku
busto	buʃtu
circunspecção	siɾkũʃpɛsɐ̃w̃
aparência	ɐpɐɾẽsjɐ
ora	ɔɾɐ
edificar	iðifikaɾ
tosse	tɔsɨ
sorrindo	suʁĩdu
ordenado	ɔɾðɨnaðu
funcionário	fũsjunaɾju
surdo	suɾðu
ociosidade	ɔsjuziðaðɨ
desjejum	dɨʒɨʒũ
vaca	vakɐ
logo	lɔɣu
baliza	bɐlizɐ
piedoso	pjɛðozu
guisa	ɡizɐ
diversão	divɨɾsɐ̃w̃
fugido	fuʒiðu
madrinha	mɐðɾiɲɐ
declaração	dɨklɐɾɐsɐ̃w̃
virtual	viɾtwaɫ
agitadamente	ɐʒitaðɐmẽtɨ
cessar	sɨsaɾ
mal	maɫ
unhas	uɲɐʃ
querubim	kɨɾuβĩ
sobrinha	suβɾiɲɐ
colhão	kuʎɐ̃w̃
coisa	kojzɐ
pelado	pɨlaðu
herdeiro	eɾðɐjɾu
caguete	kaɡwɛtʃi
tenho	teɲu
atleta	ɐtlɛtɐ
quivi	kivi
educação	iðukɐsɐ̃w̃
garrancho	ɡarɐ̃ʃu
damasco	dɐmaʃku
dorso	doɾsu
condição	kõdisɐ̃w̃
pudera	pudɛɾa
pulga	puɫɣɐ
escadaria	eʃkadaɾiɐ
fiel	fjɛɫ
intercorrência	ĩteɾkoʁẽsja
iogurte	jɔɣuɾtɨ
alcoutim	ɐɫkowtĩ
deteriorar	dɨtɨɾjuɾaɾ
prova	pɾɔvɐ
pais	pajʃ
conselho	kõseʎu
carimbar	kɐɾĩbaɾ
tomada	tumaðɐ
defeito	dɨfɐjtu
arrumar	ɐrumaɾ
baixando	bajʃɐ̃du
extraordinário	ɐjʃtɾɐɔɾðinaɾju
infiltração	ĩfiltɾɐsɐ̃w̃
criptossistema	kɾipsistema
aquele	ɐkeɫ
raro	ʁaɾu
locomotiva	lokumutivɐ
calados	kɐlaðuʃ
receio	ʁɨsɐju
arranhar	ɐʁɐɲaɾ
cupido	kupiðu
galinha	ɡɐliɲɐ
brenha	bɾɐjɲɐ
dó	dɔ
sobrancelha	subɾɐ̃seʎɐ
primeiros	pɾimɐjɾuʃ
brava	bɾavɐ
força	foɾsɐ
descer	dɨʃseɾ
sonhar	suɲaɾ
tons	tõʃ
açor	ɐsoɾ
tácito	tasitu
medroso	mɨðɾozu
cão	kɐ̃w̃
cardiff	kaɾðifɨ
este	ɛʃtɨ
flauta	flawta
exímio	izimju
gelo	ʒɛlu
organizar	ɔɾɣɐnizaɾ
corolário	kuɾulaɾju
teia	tɐjɐ
dever	dɨveɾ
salvação	saɫvɐsɐ̃w̃
prazenteiro	pɾɐzẽtejɾu
sabendo	sɐβẽdu
dignidade	diɡniðaðɨ
ordem	ɔɾðɐ̃j̃
coser	kuzer
lírica	liɾikɐ
viera	vjɛɾɐ
rolha	ʁoʎɐ
orelhão	oɾeʎɐ̃w̃
janelamento	ʒɐnɨlɐmẽtu
sagu	sɐɣu
àquela	akɛlɐ
agourar	ɐɡowɾaɾ
lucrar	lukɾaɾ
cheias	ʃɐjɐʃ
aspecto	ɐʃpɛtu
glúten	ɡlutɛn
adoção	ɐðɔsɐ̃w̃
xerófilo	ʃeɾɔfilu
fungo	fũɡu
xamã	ʃɐmɐ̃
justiça	ʒuʃtisɐ
impraticabilidade	ĩpratʃikabilidadʒi
resumo	ʁɨzumu
portanto	puɾtɐ̃tu
arrefecer	ɐʁɨfɛseɾ
mercúrio	mɨɾkurju
tempero	tẽperu
guepardo	ɡɨpaɾðu
uva	uvɐ
efe	ɛfɨ
superstição	supɨɾʃtisɐ̃w̃
prudência	pɾuðẽsjɐ
riso	ʁizu
tenro	tẽʁu
fazem	fazɐ̃j̃
pesquisar	pɨʃkizaɾ
dez	dɛʃ
condimentar	kõdimẽtaɾ
buffet	bife
endoscopia	ẽdoʃkopia
dezembro	dɨzẽbɾu
camião	kɐmjɐ̃w̃
meter	mɨteɾ
bulbo	buɫbu
lanchar	lɐ̃ʃar
deus	dewʃ
caldo	kaɫdu
todos	toðuʃ
rabino	ʁɐβinu
lado	laðu
ferreira	fɨʁejɾɐ
jaleco	ʒɐlɛku
peruca	pɨɾukɐ
charco	ʃaɾku
sobejo	suβejʒu
elasticidade	ilɐʃtisiðaðɨ
garbo	ɡaɾβu
olhar	oʎaɾ
seara	sjaɾɐ
moura	mowɾɐ
igreja	iɣɾɐʒɐ
cochicho	kuʃiʃu
caveira	kavɐjɾɐ
concordar	kõkuɾðaɾ
largar	lɐɾɣaɾ
abalado	ɐbɐladu
puxando	puʃɐ̃du
vago	vaɣu
janotar	ʒanotaɾ
medo	medu
libertação	liβɨɾtɐsɐ̃w̃
venenoso	vɨnɨnozu
abatimento	ɐβɐtimẽtu
perturbar	perturbar
glosar	ɡluzaɾ
oásis	oazis
travesseiro	tɾɐvɨsejɾu
currículo	kuʁikulu
lutar	lutaɾ
janelar	ʒɐnɨlaɾ
fatura	fatuɾɐ
especial	iʃpɨsjaɫ
decompor	dɨkõpoɾ
trança	tɾɐ̃sa
brinco	bɾĩku
abutre	ɐβutɾɨ
forro	foʁu
urna	uɾnɐ
acúmulo	akumulu
correndo	kuʁẽdu
alvor	aɫvoɾ
potencialidade	potẽsjalidadʒi
ambição	ɐ̃bisɐ̃w̃
dedal	dɨðaɫ
ácido	asidu
patota	patɔtɐ
ameixa	ɐmɐjʃɐ
espinha	ɨʃpiɲɐ
taxar	tɐʃaɾ
polir	puliɾ
tachar	tɐʃaɾ
adega	ɐðɛɣɐ
tremendo	tɾɨmẽdu
essa	ɛsɐ
máscara	maʃkɐɾɐ
pinheiro	piɲɐjɾu
vencelho	vẽseʎu
sótão	sɔtɐ̃w
nua	nuɐ
chada	ʃadɐ
abelha	ɐβeʎɐ
aprender	ɐpɾẽdeɾ
ti	ti
falecer	fɐlɨseɾ
atalhar	ɐtɐʎaɾ
ovos	ɔvuʃ
estas	ɛʃtɐʃ
subindo	suβĩdu
contorno	kõtoɾnu
abrandar	ɐbɾɐ̃daɾ
brilhante	bɾiʎɐ̃tɨ
sines	sinɨʃ
espirrar	iʃpiʁaɾ
tivesse	tivɛsɨ
painço	pɐĩsu
ípsilon	ipsilɔn
laboratório	lɐβuɾɐtɔɾju
frialdade	fɾiaɫðaðɨ
nilo	nilu
lourinhã	loɾiɲɐ̃
habitação	ɐβitɐsɐ̃w̃
negativo	nɨɣɐtivu
trabalhador	tɾɐβɐʎɐðoɾ
forja	fɔɾʒɐ
singrar	sĩɡɾaɾ
alcalinidade	ɐɫkɐlinidaðɨ
quê	ke
móveis	mɔvɐjʃ
maré	mɐɾɛ
sob	sob
eclesiástico	iklɨzjaʃtiku
nordeste	nɔɾðɛʃtɨ
sanar	sɐnaɾ
saco	saku
deserto	dɨzɛɾtu
coimbra	kwĩbɾɐ
botão	butɐ̃w̃
curinga	kuɾĩɡɐ
sonda	sõdɐ
passou	pɐsow
discernimento	diʃsɨɾnimẽtu
direto	diɾɛtu
explicação	iʃplikɐsɐ̃w̃
excesso	ɐjʃsɛsu
maquete	makɛtʃi
hamburger	ɐ̃burɡer
xavier	ʃɐvjɛɾ
incluso	ĩkluzu
arguido	ɐɾɣwiðu
crueldade	kɾuɛɫdaðɨ
relações	ʁɨlɐsõj̃ʃ
preconceito	pɾɨkõsejtu
derradeiro	dɨʁɐðɐjɾu
mealha	mjaʎɐ
riu	ʁiw
pentear	pẽtjaɾ
sensibilidade	sẽsiβiliðaðɨ
caquesseitão	kɐkɨsejtɐ̃w̃
adelo	ɐðɛlu
deformação	dɨfuɾmɐsɐ̃w̃
aconselhada	ɐkõsɨʎaðɐ
semáforos	semafoɾus
recusar	ʁɨkuzaɾ
forasteiro	fuɾɐʃtɐjɾu
união	unjɐ̃w̃
cerrado	sɨʁaðu
centauro	sẽtawɾu
romance	ʁumɐ̃sɨ
tenência	tenẽsja
trombeta	tɾõbetɐ
conceito	kõsejtu
pego	pɛɣu
wolf	woɫf
içado	isaðu
agitar	ɐʒitaɾ
cobiçar	kubisaɾ
azur	ɐzuɾ
olho	ɔʎu
aldeia	aɫdejɐ
prisioneiro	pɾizjunɐjɾu
tédio	tɛðju
engenho	ẽʒeɲu
presença	pɾɨzẽsɐ
aluno	ɐlunu
átrio	atɾɨu
lhe	ʎɨ
bilhete	biʎetɨ
sacola	sɐkɔlɐ
maior	mɐjɔɾ
aleijamento	ɐlɐjʒɐmẽtu
mutar	mutaɾ
pôr	poɾ
gelo	ʒelu
ombros	õbɾuʃ
chiqueiro	ʃikɐjɾu
narguilé	narɡilɛ
instruir	ĩʃtɾuiɾ
somos	somuʃ
lados	laðuʃ
leite	lɐjtɨ
abranger	ɐβɾɐ̃ʒeɾ
redundância	ʁɨðũdɐ̃sjɐ
veto	vɛtu
capacitar	kɐpɐsitaɾ
hotel	ɔtɛɫ
zero	zɛɾu
cantochão	kɐ̃tuʃɐ̃w̃
reagir	ʁiɐʒiɾ
torneira	tuɾnɐjɾɐ
definitivo	dɨfɨnitivu
seixo	sejʃu
acesso	ɐsɛsu
som	sõ
perto	pɛɾtu
fenestra	fɨnɛʃtɾɐ
companhia	kõpɐɲiɐ
salsinha	saɫsiɲɐ
fumo	fumu
coberto	kuβɛɾtu
tê	te
pulso	puɫsu
salga	salɣɐ
veja	veʒɐ
calcanhar	kaɫkɐɲaɾ
distribuir	diʃtɾiβuiɾ
rendição	ʁẽdisɐ̃w̃
casta	kaʃtɐ
subitamente	suβitɐmẽtɨ
seia	sɐjɐ
cerrar	sɨʁaɾ
entanto	ẽtɐ̃tu
olvidar	oɫviðaɾ
treco	tɾɛku
assado	ɐsaðu
sou	sow
criada	kɾjaðɐ
azeiteiro	ɐzejtejɾu
bainha	bɐiɲɐ
toupeira	towpejɾɐ
tábua	taβwɐ
mamute	mɐmutɨ
cru	kɾu
urro	uʁu
índia	ĩdjɐ
decidir	dɨsɨðiɾ
rabanada	ʁɐβɐnaðɐ
ocidente	ɔsiðẽtɨ
doloroso	duluɾozu
férias	fɛɾjɐʃ
casas	kazɐʃ
euzinho	ewziɲu
corredor	kuʁɨðoɾ
menu	mɛnu
vivera	viveɾɐ
maçada	mɐsaðɐ
osasquense	ozaskẽsi
imprescritível	ĩpɾeskritʃivew
infame	ĩfamɨ
cisco	siʃku
expressão	iʃpɾɨsɐ̃w̃
guiar	ɡjaɾ
aljustrel	ɐɫʒuʃtɾɛɫ
telecomando	tɛlɛkumɐ̃du
abastecer	ɐβɐʃtɨseɾ
pichação	piʃasɐ̃w̃
racha	ʁaʃɐ
ungir	ũʒiɾ
fixo	fiksu
masmorra	mɐʒmoʁɐ
franco	fɾɐ̃ku
predela	pɾɨðɛlɐ
era	ɛɾɐ
baixo	bajʃu
respiração	ʁɨʃpiɾɐsɐ̃w̃
devorar	dɨvuɾaɾ
enxaguar	ẽʃɐɡwar
papéis	pɐpɛjʃ
ginásio	ʒinazju
adivinhar	ɐðiviɲaɾ
vive	vivɨ
leituga	lɐjtuɣɐ
façanha	fɐsɐɲɐ
crescimento	kɾɨʃsimẽtu
terminou	tɨɾminow
liberdade	libɨɾdadɨ
mobilizador	mobilizadoɾ
clima	klimɐ
violentamente	vjulẽtɐmẽtɨ
taxa	taʃɐ
gói	ɡɔj
contingenciamento	kõtĩʒẽsjamẽtu
abdómen	ɐbdɔmɛn
poluição	pulwisɐ̃w̃
atividade	ɐtiviðaðɨ
protestante	pɾutɨʃtɐ̃tɨ
ufo	ufo
diretiva	diɾɛtivɐ
cãozinho	kɐ̃w̃ziɲu
mega	mɛɡa
impacto	ĩpaktu
malga	maɫɣɐ
fedor	fɨðoɾ
negra	neɣɾɐ
apreciador	ɐpɾɨsjɐðoɾ
normal	nɔɾmaɫ
briga	bɾiɡɐ
plotagem	plotaʒɐ̃
terabit	tɛɾabiti
crise	kɾizɨ
candonga	kɐ̃dõɡɐ
igrejas	iɡɾɐjʒɐʃ
amigável	ɐmiɣavɛɫ
seminu	sɨminu
sopesar	sopezaɾ
hibernar	iβɨɾnaɾ
conquistar	kõkiʃtaɾ
edifício	iðifisju
barqueiro	bɐɾkɐjɾu
papão	pɐpɐ̃w̃
pobre	pɔβɾɨ
estátua	iʃtatwɐ
guinéu	ɡinɛw
animal	ɐnimaɫ
honesto	ɔnɛʃtu
clara	klaɾɐ
lecionar	lesjonaɾ
lima	lima
paparicho	papaɾiʃu
pajubá	paʒuba
santa	sɐ̃tɐ
karaoke	kaɾaɔkɨ
pequeno	pɨkenu
tanta	tɐ̃tɐ
intuição	ĩtwisɐ̃w̃
gelar	ʒɨlaɾ
fulano	fulɐnu
xingar	ʃĩɡaɾ
teco	tɛku
quintal	kĩtaɫ
vibrar	viβɾaɾ
orelha	oɾɐjʎɐ
parado	pɐɾaðu
nego	nɛɣu
eoo	eɔu
xavecar	ʃavekaʁ
admiração	ɐdmiɾɐsɐ̃w̃
ditado	ditaðu
foi	foj
evaporação	ivɐpuɾɐsɐ̃w̃
legenda	leʒẽda
tranquilamente	tɾɐ̃kwilɐmẽtɨ
café	kɐfɛ
impressionante	ĩpɾɨsjunɐ̃tɨ
seja	sɐjʒɐ
nós	nɔʃ
exceto	ʃɛtu
cântico	kɐ̃tiku
árvores	aɾvuɾɨʃ
derramar	dɨʁɐmaɾ
damas	dɐmɐʃ
ausência	awzẽsjɐ
tropa	tɾɔpɐ
travou	tɾɐvow
formar	fuɾmaɾ
mirrar	miʁaɾ
pelourinho	pɨlowɾiɲu
pazes	pazɨʃ
daquele	dɐkelɨ
tava	tavɐ
quilha	kiʎɐ
tocar	tukaɾ
tornava	tuɾnavɐ
estudante	iʃtuðɐ̃tɨ
pinheiro	piɲejɾu
calorento	kɐluɾẽtu
peito	pɐjtu
enriquecer	ẽʁikɨseɾ
figueiral	fiɡejɾal
rom	ʁõ
confortar	kõfuɾtaɾ
arezzo	ɐɾɛtɨsu
personagem	pɨɾsunaʒɐ̃j̃
juro	ʒuɾu
lídimo	liðimu
altura	aɫtuɾɐ
curcuma	kuɾkumɐ
medrica	medɾika
placebo	plasebu
ordinário	ɔɾðinaɾiu
leituga	lejtuɣɐ
dezoito	dɨzojtu
panfleto	pɐ̃fletu
maria	mɐɾiɐ
aparição	ɐpɐɾisɐ̃w̃
garrano	ɡɐʁɐnu
tinteiro	tĩtɐjɾu
flamígero	flamiʒeɾu
adormecido	ɐðuɾmɨsiðu
inexistir	ineziʃtiɾ
mosteiro	muʃtejɾu
aberta	ɐβɛɾtɐ
automatizar	awtumɐtizaɾ
maternidade	mɐtɨɾniðaðɨ
aconselhar	ɐkõsɨʎaɾ
aflorar	ɐfluɾaɾ
arvoredos	ɐɾvuɾeðuʃ
armada	ɐɾmaðɐ
combinar	kõbinaɾ
azinhaga	ɐziɲaɣɐ
ceifar	sɐjfaɾ
oxalá	ɔʃɐla
pabulagem	pabulaʒẽj̃
âmago	ɐmɐɣu
supervisor	supɛɾvizoɾ
passear	pɐsjaɾ
brejeiro	bɾeʒejɾu
escano	iʃkɐnu
entroncamento	ẽtɾõkɐmẽtu
descida	dɨʃsiðɐ
arranjado	ɐʁɐ̃ʒaðu
afastar	ɐfɐʃtaɾ
hipogrifo	ipɔɣɾifu
miradoiro	miɾɐðojɾu
susana	suzɐnɐ
culpa	kuɫpɐ
ansim	ɐ̃sĩ
aurélio	awɾɛlju
asfalto	ɐʃfaɫtu
miraculoso	miɾɐkulozu
brincadeira	bɾĩkɐðɐjɾɐ
preta	pɾetɐ
abóbora	ɐβɔβuɾɐ
obtuso	obtuzu
profeta	pɾufɛtɐ
neve	nɛvɨ
sotaina	sotajna
podes	pɔdɨʃ
maçaneta	mɐsɐnetɐ
naquele	nɐkelɨ
sã	sɐ̃
lene	lenɨ
princípios	pɾĩsipjus
penacova	pɨnɐkɔvɐ
real	ʁjaɫ
chegando	ʃɨɣɐ̃du
caneta	kɐnetɐ
embora	ẽbɔɾɐ
largo	laɾɡu
congelar	kõʒɨlaɾ
esperando	iʃpɨɾɐ̃du
perda	peɾðɐ
golpelha	ɡoɫpejʎɐ
poetisa	pwɛtizɐ
atado	ɐtaðu
várias	vaɾjɐʃ
mercador	mɨɾkɐðoɾ
trevas	tɾɛvɐʃ
circumpolar	siɾkũpulaɾ
discutir	diʃkutiɾ
membro	mẽbɾu
nu	nu
carreta	kɐʁetɐ
suavidade	swɐviðaðɨ
viúvo	vjuvu
guizo	ɡizu
aventuro	avẽtuɾu
xaveco	ʃavɛku
propiciar	prupisjar
águeda	aɡɨdɐ
redor	ʁɨðɔɾ
pelos	peluʃ
grifo	ɡɾifu
curral	kuʁaɫ
superior	supɨɾjoɾ
zumbir	zũbiɾ
valorizar	vɐluɾizaɾ
envergonhar	ẽvɨɾɣuɲaɾ
desencadear	dɨzẽkɐðjaɾ
semelhante	sɨmɨʎɐ̃tɨ
avaliar	ɐvɐljaɾ
espelho	ɨʃpɐjʎu
girassóis	ʒiɾɐsɔjʃ
feudo	fewdu
betar	betaɾ
desolado	dɨzulaðu
morcego	muɾseɣu
feijoada	fejʒwaðɐ
estranhas	ʃtɾɐɲɐʃ
comparativo	kõpɐɾɐtivu
nenhuma	nɨɲumɐ
mor	mɔɾ
vivendo	vivẽdu
formado	fuɾmaðu
esticar	iʃtikaɾ
explicar	iʃplikaɾ
caça	kasɐ
reservar	ʁɨzɨɾvaɾ
trabuco	tɾabuku
j	ʒɔta
recurso	ʁɨkuɾsu
as	ɐʃ
calcar	kaɫkaɾ
roupas	ʁowpɐʃ
estupidamente	iʃtupiðɐmẽtɨ
espessura	iʃpɨsuɾɐ
pereba	peɾɛbɐ
danado	dɐnaðu
icônico	ikoniku
positivo	puzitivu
azulejo	ɐzulɐjʒu
setor	sɨtoɾ
harmonioso	ɐɾmunjozu
crer	kɾeɾ
costume	kuʃtumɨ
presentear	pɾɨzẽtjaɾ
vau	vaw
triunfante	tɾiũfɐ̃tɨ
senda	sẽdɐ
sul	suɫ
deliciosamente	dɨlisjɔzɐmẽtɨ
fato	fatu
guitarra	ɡitaʁɐ
terreiro	tɨʁɐjɾu
estendeu	iʃtẽdew
melodia	mɨluðiɐ
tranquilo	tɾɐ̃kwilu
torres	toʁɨʃ
decoração	dɨkuɾɐsɐ̃w̃
aliança	aliɐ̃sa
potro	potɾu
tagarela	tɐɣɐɾɛlɐ
figueiral	fiɡɐjɾal
janeiras	ʒɐnɐjɾɐʃ
mentira	mẽtiɾɐ
aquém	akɐ̃j̃
moço	mosu
testamento	tɨʃtɐmẽtu
farto	faɾtu
galinheiro	ɡɐliɲejɾu
ansiosamente	ɐ̃sjɔzɐmẽtɨ
gozo	ɡozu
fraseado	fɾɐzjadu
suas	suɐʃ
rezar	ʁɨzaɾ
géis	ʒɛjʃ
lembrança	lẽbɾɐ̃sɐ
sociedade	susjɐðaðɨ
armamar	ɐɾmɐmaɾ
diplomático	diplumatiku
rosmaninho	ʁuʒmɐniɲu
ejete	eʒɛtʃi
ficar	fikaɾ
existente	iziʃtẽtɨ
pega	pɛɣɐ
censura	sẽsuɾɐ
tóxico	tɔksiku
moraes	moɾajs
internet	ĩtɛɾnɛt
tinta	tĩtɐ
danúbio	dɐnuβju
vizela	vizɛlɐ
octógono	ɔktɔɣunu
eventual	ivẽtwaɫ
alandroal	ɐlɐ̃dɾuaɫ
ledice	lɨðisɨ
leniência	leniẽsja
perigo	pɨɾiɣu
borboletear	buɾβulɨtjaɾ
proeza	pɾwezɐ
passando	pɐsɐ̃du
quadrado	kwɐðɾaðu
sarilho	sɐɾiʎu
retornado	ʁɨtuɾnaðu
básico	baziku
unicamente	unikɐmẽtɨ
casal	kɐzaɫ
páscoa	paʃkwɐ
iá	ja
coma	komɐ
carruagem	kɐʁwaʒɐ̃j̃
agoural	ɐɣowɾaɫ
marfim	mɐɾfĩ
santana	sɐ̃tɐnɐ
trave	tɾavɨ
chefículo	ʃɛfikulu
verniz	vɨɾniʃ
egrégio	iɡrɛʒju
respeito	ʁɨʃpɐjtu
quórum	kɔɾũ
armar	ɐɾmaɾ
amora	ɐmɔɾɐ
casquilho	kaskiʎu
tricô	tɾiko
bebé	bɛbɛ
feitio	fɐjtiu
charrete	ʃarɛtʃi
tornar	tuɾnaɾ
cronómetro	kɾunɔmɨtɾu
melecar	melekaɾ
oliveira	ɔlivejɾɐ
resistir	ʁiziʃtiɾ
agoiro	ɐɣojɾu
reunião	ʁjunjɐ̃w̃
pô	po
voto	vɔtu
maquinaria	mɐkinɐɾiɐ
rosado	ʁuzaðu
porco	poɾku
curva	kuɾvɐ
esquisito	iʃkizitu
questionar	kɨʃtjunaɾ
jamais	ʒamajʃ
espelho	ɨʃpɛʎu
timidez	timiðeʃ
solucionar	sulusjunaɾ
baralho	bɐɾaʎu
polvilho	pɔlviʎu
goivo	ɡojvu
tamborilar	tɐ̃borilaɾ
óptico	ɔptiku
figueiredo	fiɡɐjɾedu
pontuação	põtwɐsɐ̃w̃
jantar	ʒɐ̃taɾ
cogumelo	kuɣumɛlu
saraiva	sɐɾajvɐ
embrulhar	ẽbɾuʎaɾ
criptídeo	kɾiptʃidʒiu
surpreso	suɾpɾezu
alcateia	aɫkɐtejɐ
vá	va
cereja	sɨɾejʒɐ
custar	kuʃtaɾ
