organizatora	ˈorɡænˌɪzætˌoræ
najkasnije	nˈɑjkæsnˌɪje
Ukupan	ˈukʊpæn
materijala	mˈatɛrˌɪjælæ
Firma	fˈirmæ
programiranja	pɾˈoɡɾæmˌɪræɲæ
namjeni	nˈamjenɪ
eksploataciju	ˈɛksploˌætæt͡sˌɪjʊ
funkcioniranja	fˈuŋkt͡sɪˌonɪrˌæɲæ
preuzela	pɾˈɛʊzˌɛlæ
Omera	ˈomɛræ
načela	nˈat͡ʃɛlæ
okeana	ˈokɛˌænæ
trošenja	tɾˈoʃɛɲæ
ranim	ɾˈanɪm
plemenska	plˈɛmɛnskæ
paralelnim	pˈɑrælˌɛlnɪm
trpi	trpˈi
Važan	vˈaʒæn
Škota	ʃkˈotæ
tanka	tˈaŋkæ
Katoličke	kˈatolˌɪt͡ʃkɛ
primarnih	pɾˈimɑrnɪh
pomaka	pˈomækæ
pohađao	pˈohæd͡ʑˌæo
kamenim	kˈamɛnɪm
dopustiti	dˈopʊstˌɪtɪ
Marjanović	mˈɑrjænˌovɪt͡ɕ
mučenika	mˈut͡ʃɛnˌɪkæ
riješila	ɾˈijeʃˌɪlæ
nagradom	nˈaɡɾædom
misterije	mˈistɛrˌɪje
nisko	nˈisko
optike	ˈoptɪkɛ
Fuller	fˈullɛr
paradoksa	pˈɑrædˌoksæ
prerušen	pɾˈɛrʊʃɛn
Free	fɾˈɛɛ
paketi	pˈakɛtɪ
trijumf	tɾˈijʊmf
klanjati	klˈaɲætɪ
stranoj	stɾˈanoj
odgovara	ˈodɡovˌɑræ
geografskoj	ɡˈɛoɡɾˌæfskoj
API	ˈapɪ
Metro	mˈɛtɾo
vlasništvom	vlˈasnɪʃtvom
Colorado	t͡sˈolorˌædo
Harry	xˈɑrrj
mokraće	mˈokɾæt͡ɕɛ
radija	ɾˈadɪjæ
Statut	stˈatʊt
označila	ˈoznæt͡ʃˌɪlæ
Površina	pˈovrʃɪnæ
znam	znˈam
vjenčaju	vjˈent͡ʃɑjʊ
historičarima	xˈistorˌɪt͡ʃɑrˌɪmæ
teretnog	tˈɛrɛtnoɡ
Brojni	bɾˈojnɪ
aktivnosti	ˈaktɪvnˌostɪ
pg	pˈəɡˌə
stavu	stˈavʊ
znalo	znˈalo
efikasnosti	ˈɛfɪkˌæsnostɪ
snimanjem	snˈimæɲem
modernim	mˈodɛrnɪm
lijepo	lˈijepo
dobije	dˈobɪje
originalna	ˈorɪɡˌɪnælnæ
smanjivanja	smˈaɲɪvˌæɲæ
dekoracija	dˈɛkorˌæt͡sɪjæ
strukturu	stɾˈuktʊrʊ
čarolije	t͡ʃˈɑrolˌɪje
Slash	slˈash
Kube	kˈubɛ
postignuto	pˈostɪɡnˌʊto
napisanih	nˈapɪsˌænɪh
Venecuele	vˈɛnɛt͡sˌʊɛlɛ
terapijske	tˈɛræpˌɪjskɛ
vječnog	vjˈet͡ʃnoɡ
sugerirajući	sˈuɡɛrˌɪrɑjˌʊt͡ɕɪ
Evropskim	ˈɛvɾopskɪm
titanija	tˈitænˌɪjæ
opsada	ˈopsædæ
kombinirani	kˈombɪnˌɪrænɪ
Havaja	xˈavɑjæ
bokova	bˈokovæ
kompjutera	kˈompjʊtˌɛræ
helikoptere	xˈɛlɪkˌoptɛrɛ
priznaje	pɾˈiznɑje
nevinosti	nˈɛvɪnˌostɪ
Zar	zˈɑr
inostranih	ˈinostɾˌænɪh
književne	kɲˈiʒɛvnɛ
davno	dˈavno
intervjuu	ˈintɛrvjˌʊʊ
tenis	tˈɛnɪs
unište	ˈunɪʃtɛ
Index	ˈindɛks
doživjele	dˈoʒɪvjˌelɛ
planovima	plˈanovˌɪmæ
Kaspijskog	kˈaspɪjskoɡ
Kew	kˈɛv
Software	sˈoftvɑrɛ
bacač	bˈat͡sæt͡ʃ
Lr	lr
Deklaracije	dˈɛklɑrˌæt͡sɪje
prolazeći	pɾˈolæzˌɛt͡ɕɪ
kupa	kˈupæ
This	thˈis
izjavio	ˈizjævˌɪo
zvaničnom	zvˈanɪt͡ʃnom
prečniku	pɾˈɛt͡ʃnɪkʊ
Adventure	ˈadvɛntˌʊrɛ
kuda	kˈudæ
nastupali	nˈastʊpˌælɪ
pojedinačnog	pˈojedˌɪnæt͡ʃnoɡ
naslov	nˈaslov
kratkih	kɾˈatkɪh
nazvani	nˈazvænɪ
odbio	ˈodbɪo
revizije	ɾˈɛvɪzˌɪje
izgrađenog	ˈizɡɾæd͡ʑˌɛnoɡ
ishrana	ˈishɾænæ
duhovnog	dˈuhovnoɡ
okupiti	ˈokʊpˌɪtɪ
neuspjele	nˈɛʊspjˌelɛ
gubici	ɡˈubɪt͡sɪ
Hrana	xɾˈanæ
odobrena	ˈodobɾˌɛnæ
derivata	dˈɛrɪvˌætæ
Eeveeja	ˈɛɛvˌɛejæ
glavobolje	ɡlˈavobˌoʎe
laserskog	lˈasɛrskoɡ
carine	t͡sˈɑrɪnɛ
postajale	pˈostɑjˌælɛ
Ukupne	ˈukʊpnɛ
međunarodne	mˈɛd͡ʑʊnˌɑrodnɛ
Tarik	tˈɑrɪk
Uobičajeni	ˈuobˌɪt͡ʃɑjˌenɪ
konjskim	kˈoɲskɪm
radijskih	ɾˈadɪjskɪh
zaključno	zˈakʎʊt͡ʃno
nagon	nˈaɡon
stilom	stˈilom
kvadratura	kvˈadɾætˌʊræ
mlin	mlˈin
razmak	ɾˈazmæk
glumicu	ɡlˈumɪt͡sʊ
manjinskih	mˈaɲɪnskɪh
vraćene	vɾˈat͡ɕɛnɛ
groma	ɡɾˈomæ
Maura	mˈaʊræ
desnom	dˈɛsnom
Zapadni	zˈapædnɪ
starije	stˈɑrɪje
cijepanje	t͡sˈijepˌæɲe
Ville	vˈillɛ
rodove	ɾˈodovɛ
kompilaciju	kˈompɪlˌæt͡sɪjʊ
Uočeno	ˈuot͡ʃˌɛno
nikoga	nˈikoɡæ
spužve	spˈuʒvɛ
roba	ɾˈobæ
zauzeo	zˈaʊzˌɛo
kolega	kˈolɛɡæ
muslimane	mˈuslɪmˌænɛ
priznala	pɾˈiznælæ
kabina	kˈabɪnæ
ovoga	ˈovoɡæ
Valley	vˈallɛj
rakete	ɾˈakɛtɛ
From	fɾˈom
šampionsku	ʃˈampɪˌonskʊ
doktora	dˈoktoræ
Evans	ˈɛvæns
kuću	kˈut͡ɕʊ
Kate	kˈatɛ
biološkim	bˈiolˌoʃkɪm
komunizma	kˈomʊnˌɪzmæ
državnosti	drʒˈavnostɪ
Zanimljiva	zˈanɪmʎˌɪvæ
privrednim	pɾˈivɾɛdnɪm
zauzimala	zˈaʊzˌɪmælæ
kvarca	kvˈɑrt͡sæ
kružnim	kɾˈuʒnɪm
hronika	xɾˈonɪkæ
sudove	sˈudovɛ
Džibutija	d͡ʒˈibʊtˌɪjæ
filozofiji	fˈilozˌofɪjɪ
primjenjuju	pɾˈimjeɲˌʊjʊ
vrhunskog	vrhˈunskoɡ
stvaralaštvu	stvˈɑrælˌæʃtvʊ
kasarne	kˈasɑrnɛ
komore	kˈomorɛ
nećemo	nˈɛt͡ɕɛmo
čast	t͡ʃˈast
čista	t͡ʃˈistæ
Vrhovno	vrhˈovno
enzimske	ˈɛnzɪmskɛ
krunisan	kɾˈunɪsæn
Bristol	bɾˈistol
Tigar	tˈiɡɑr
ribara	ɾˈibɑræ
hitac	xˈitæt͡s
keramika	kˈɛræmˌɪkæ
ajkula	ˈɑjkʊlæ
Jansen	jˈansɛn
agresivan	ˈaɡɾɛsˌɪvæn
glasao	ɡlˈasæo
uvjeriti	ˈuvjerˌɪtɪ
žigom	ʒˈiɡom
predviđena	pɾˈɛdvɪd͡ʑˌɛnæ
abdesthanu	ˈabdɛsthˌænʊ
proljetne	pɾˈoʎetnɛ
hladnoj	xlˈadnoj
uništene	ˈunɪʃtˌɛnɛ
Sela	sˈɛlæ
sata	sˈatæ
dizanja	dˈizæɲæ
utvrđuje	ˈutvrd͡ʑʊje
Svojim	svˈojɪm
serije	sˈɛrɪje
garancija	ɡˈɑrænt͡sˌɪjæ
iskazivano	ˈiskæzˌɪvæno
carevi	t͡sˈɑrɛvɪ
Bagdada	bˈaɡdædæ
postavljenim	pˈostævljˌenɪm
Liber	lˈibɛr
vatrenog	vˈatɾɛnoɡ
vježbama	vjˈeʒbæmæ
Riggs	ɾˈikks
sevdalinke	sˈɛvdælˌɪŋkɛ
slavan	slˈavæn
svakoga	svˈakoɡæ
pogledajte	pˈoɡlɛdˌɑjtɛ
godišnjice	ɡˈodɪʃɲˌɪt͡sɛ
obroka	ˈobɾokæ
rezidenciji	ɾˈɛzɪdˌɛnt͡sɪjɪ
Thorne	thˈornɛ
šestom	ʃˈɛstom
locirani	lˈot͡sɪrˌænɪ
dramskog	dɾˈamskoɡ
redovnih	ɾˈɛdovnɪh
vršili	vrʃˈilɪ
primjena	pɾˈimjenæ
kućnog	kˈut͡ɕnoɡ
Livno	lˈivno
ruševnom	ɾˈuʃɛvnom
vladika	vlˈadɪkæ
naglašavaju	nˈaɡlæʃˌævɑjʊ
Jusuf	jˈusʊf
penjanje	pˈɛɲæɲe
počasti	pˈot͡ʃæstɪ
Rubisco	ɾˈubɪst͡so
policijskim	pˈolɪt͡sˌɪjskɪm
izdate	ˈizdætɛ
mjerenja	mjˈerɛɲæ
vodama	vˈodæmæ
Sastoje	sˈastoje
informacijske	ˈinformˌæt͡sɪjskɛ
ppm	pˈəpˌəmˌə
Mekke	mˈɛkkɛ
hibridnih	xˈibɾɪdnɪh
uzrasta	ˈuzɾæstæ
originalnoj	ˈorɪɡˌɪnælnoj
kraljicu	kɾˈaʎɪt͡sʊ
stupanj	stˈupæɲ
Pristup	pɾˈistʊp
fosila	fˈosɪlæ
raspodjele	ɾˈaspodjˌelɛ
nadmorska	nˈadmorskæ
domaćem	dˈomæt͡ɕɛm
odbijaju	ˈodbɪjˌɑjʊ
karakteristika	kˈɑræktˌɛrɪstˌɪkæ
smanjiti	smˈaɲɪtɪ
sagorijeva	sˈaɡorˌɪjevæ
razdobljem	ɾˈazdobʎem
skoku	skˈokʊ
udata	ˈudætæ
odluka	ˈodlʊkæ
Hrvatima	xrvˈaːtɪmæ
mehkih	mˈɛhkɪh
Poslanik	pˈoslænɪk
organizam	ˈorɡænˌɪzæm
boja	bˈojæ
osvoji	ˈosvojɪ
plodnih	plˈodnɪh
helij	xˈɛlɪj
spis	spˈis
besplatni	bˈɛsplætnɪ
Klub	klˈub
arene	ˈɑrɛnɛ
vijećnica	vˈijet͡ɕnˌɪt͡sæ
musculus	mˈust͡sʊlʊs
definiranih	dˈɛfɪnˌɪrænɪh
građevinarstvo	ɡɾˈad͡ʑɛvˌɪnɑrstvo
Son	sˈon
uređenju	ˈurɛd͡ʑˌɛɲʊ
dospije	dˈospɪje
podržana	pˈodrʒænæ
mjereno	mjˈerɛno
obodu	ˈobodʊ
Hemingway	xˈɛmɪŋɡvæj
republike	ɾˈɛpʊblˌɪkɛ
kontroli	kˈontɾolɪ
Animal	ˈanɪmæl
strahu	stɾˈahʊ
stanovnicima	stˈanovnˌɪt͡sɪmæ
Planirano	plˈanɪrˌæno
testovi	tˈɛstovɪ
sultanija	sˈultænˌɪjæ
najprodavanijih	nˈɑjpɾodˌævænˌɪjɪh
operativna	ˈopɛrˌætɪvnæ
zvaničnih	zvˈanɪt͡ʃnɪh
djelovanjem	djˈelovˌæɲem
činio	t͡ʃˈinɪo
glumcem	ɡlˈumt͡sɛm
Unutrašnji	ˈunʊtɾˌæʃɲɪ
slabog	slˈaboɡ
sanduk	sˈandʊk
Mnoga	mnˈoɡæ
grabljivice	ɡɾˈabʎɪvˌɪt͡sɛ
odvojenim	ˈodvojˌenɪm
vakuf	vˈakʊf
stabljiku	stˈabʎɪkʊ
sklapanja	sklˈapæɲæ
VW	vˈədvˌostɾʊkˌovə
Kira	kˈiræ
finansira	fˈinænsˌɪræ
prerada	pɾˈɛrædæ
Ćirić	t͡ɕˈirɪt͡ɕ
generacije	ɡˈɛnɛrˌæt͡sɪje
staklenim	stˈaklɛnɪm
administraciju	ˈadmɪnˌɪstɾæt͡sˌɪjʊ
Jala	jˈalæ
stavljena	stˈavljenæ
dah	dˈah
zabilježen	zˈabɪʎˌeʒɛn
Moravska	mˈoræfskæ
cijelo	t͡sˈijelo
Luna	lˈunæ
brazilskih	bɾˈazɪlskɪh
izabranim	ˈizæbɾˌænɪm
kazna	kˈaznæ
Politički	pˈolɪtˌɪt͡ʃkɪ
obnašao	ˈobnæʃˌæo
majkom	mˈɑjkom
otklon	ˈotklon
upozorenja	ˈupozˌorɛɲæ
Carlu	t͡sˈɑrlʊ
učenicima	ˈut͡ʃɛnˌɪt͡sɪmæ
provincijama	pɾˈovɪnt͡sˌɪjæmæ
ustanova	ˈustænˌovæ
anemije	ˈanɛmˌɪje
antropologiju	ˈantɾopˌoloɡˌɪjʊ
promijenile	pɾˈomɪjˌenɪlɛ
Tačna	tˈat͡ʃnæ
dna	dnˈa
osobenostima	ˈosobˌɛnostˌɪmæ
Nigerija	nˈiɡɛrˌɪjæ
žabe	ʒˈabɛ
homologije	xˈomolˌoɡɪje
bivša	bˈifʃæ
Šri	ʃɾˈi
ubjedljivu	ˈubjedʎˌɪvʊ
skup	skˈup
zajednicom	zˈɑjednˌɪt͡som
frazu	fɾˈazʊ
Otišao	ˈotɪʃˌæo
pljačke	pʎˈat͡ʃkɛ
vraćajući	vɾˈat͡ɕɑjˌʊt͡ɕɪ
broda	bɾˈodæ
povezanu	pˈovɛzˌænʊ
naslovna	nˈaslovnæ
dvojici	dvˈojɪt͡sɪ
prezentacije	pɾˈɛzɛntˌæt͡sɪje
postizanja	pˈostɪzˌæɲæ
rotor	ɾˈotor
vojske	vˈojskɛ
ajeta	ˈɑjetæ
razvijao	ɾˈazvɪjˌæo
epizoda	ˈɛpɪzˌodæ
povećale	pˈovɛt͡ɕˌælɛ
izjednačio	ˈizjednˌæt͡ʃɪo
bol	bˈol
naftne	nˈaftnɛ
orgazam	ˈorɡæzæm
mašinski	mˈaʃɪnskɪ
kratkim	kɾˈatkɪm
izradom	ˈizɾædom
dugu	dˈuɡʊ
repu	ɾˈɛpʊ
izvijestila	ˈizvɪjˌestɪlæ
sekundarnu	sˈɛkʊndˌɑrnʊ
vojnički	vˈojnɪt͡ʃkɪ
starim	stˈɑrɪm
Australian	ˈaʊstɾˌælɪæn
timskom	tˈimskom
vođom	vˈod͡ʑom
Evropskoj	ˈɛvɾopskoj
profesionalne	pɾˈofɛsˌɪonˌælnɛ
pl	pˈəlˌə
špekulacije	ʃpˈɛkʊlˌæt͡sɪje
sprovođenje	spɾˈovod͡ʑˌɛɲe
Cupu	t͡sˈupʊ
izvući	ˈizvʊt͡ɕɪ
Konvencija	kˈonvɛnt͡sˌɪjæ
germanij	ɡˈɛrmænɪj
upravnik	ˈupɾævnɪk
Arsenal	ˈɑrsɛnæl
Iskazivano	ˈiskæzˌɪvæno
Jedinice	jˈedɪnˌɪt͡sɛ
simbolično	sˈimbolˌɪt͡ʃno
ples	plˈɛs
bin	bˈin
pokrivaju	pˈokɾɪvˌɑjʊ
Raymonda	ɾˈajmondæ
evolucijskog	ˈɛvolˌʊt͡sɪjskoɡ
kršćanskog	krʃt͡ɕˈanskoɡ
voditelj	vˈodɪtɛʎ
složeno	slˈoʒɛno
ugovoru	ˈuɡovˌorʊ
pobunjenika	pˈobʊɲˌenɪkæ
izbjegao	ˈizbjeɡˌæo
enciklopediji	ˈɛnt͡sɪklˌopɛdˌɪjɪ
glatko	ɡlˈatko
napadački	nˈapædˌæt͡ʃkɪ
ciklusu	t͡sˈiklʊsʊ
tretmane	tɾˈɛtmænɛ
aparatu	ˈapɑrˌætʊ
katastarske	kˈatæstˌɑrskɛ
bosansko	bˈosænsko
vrijedan	vɾˈijedæn
proizvodnju	pɾˈoɪzvˌodɲʊ
Dublinu	dˈublɪnʊ
cvjetnih	t͡svjˈetnɪh
Nikada	nˈikædæ
grelina	ɡɾˈɛlɪnæ
uzastopni	ˈuzæstˌopnɪ
Robin	ɾˈobɪn
neutron	nˈɛʊtɾon
aluvijalne	ˈalʊvˌɪjælnɛ
South	sˈo͡ʊth
Jako	jˈako
emitiranjem	ˈɛmɪtˌɪræɲem
distalna	dˈistælnæ
održala	ˈodrʒælæ
daje	dˈɑje
piscu	pˈist͡sʊ
očekivano	ˈot͡ʃɛkˌɪvæno
otkriće	ˈotkɾɪt͡ɕɛ
Sapphire	sˈapphɪrɛ
postepen	pˈostɛpɛn
otapala	ˈotæpˌælæ
radna	ɾˈadnæ
binarnih	bˈinɑrnɪh
preko	pɾˈɛko
davanjem	dˈavæɲem
Olajuwon	ˈolɑjˌʊvon
spotova	spˈotovæ
negdje	nˈɛɡdje
Sudjelovao	sˈudjelˌovæo
Ernest	ˈɛrnɛst
XIII	ɾˈimskotɾˈina͡ɪst
Učinak	ˈut͡ʃɪnæk
pravilu	pɾˈavɪlʊ
nasilan	nˈasɪlæn
tipičnim	tˈipɪt͡ʃnɪm
bočnom	bˈot͡ʃnom
hroničnu	xɾˈonɪt͡ʃnʊ
Moderna	mˈodɛrnæ
diskografska	dˈiskoɡɾˌæfskæ
Atlantika	ˈatlæntˌɪkæ
strategije	stɾˈatɛɡˌɪje
uhvati	ˈuhvætɪ
istom	ˈistom
godišnju	ɡˈodɪʃɲʊ
preporučuju	pɾˈɛporˌʊt͡ʃʊjʊ
Derventa	dˈɛrvɛntæ
REM	ɾˈɛm
nađena	nˈad͡ʑɛnæ
domaćeg	dˈomæt͡ɕɛɡ
republika	ɾˈɛpʊblˌɪkæ
skromni	skɾˈomnɪ
valentnih	vˈalɛntnɪh
uređuju	ˈurɛd͡ʑˌʊjʊ
snazi	snˈazɪ
govorio	ɡˈovorˌɪo
plućne	plˈut͡ɕnɛ
naredio	nˈɑrɛdˌɪo
službu	slˈuʒbʊ
asirski	ˈasɪrskɪ
Volkswagena	vˈolksvæɡˌɛnæ
palestinskih	pˈalɛstˌɪnskɪh
Grafički	ɡɾˈafɪt͡ʃkɪ
prijavi	pɾˈijævɪ
bosanski	bˈosænskɪ
Jenisej	jˈenɪsej
Helsinkiju	xˈɛlsɪŋkˌɪjʊ
punoljetnih	pˈunoʎˌetnɪh
prebacuje	pɾˈɛbæt͡sˌʊje
dakako	dˈakæko
Jamesom	jˈamɛsom
počne	pˈot͡ʃnɛ
List	lˈist
uvidio	ˈuvɪdˌɪo
snažan	snˈaʒæn
malobrojnih	mˈalobɾˌojnɪh
formirano	fˈormɪrˌæno
Boas	bˈoæs
treću	tɾˈɛt͡ɕʊ
Španski	ʃpˈanskɪ
Sapna	sˈapnæ
Svjetski	svjˈetskɪ
pretpostavke	pɾˈɛtpostˌæfkɛ
oslikao	ˈoslɪkˌæo
čaroliju	t͡ʃˈɑrolˌɪjʊ
omjer	ˈomjer
aritmetičke	ˈɑrɪtmˌɛtɪt͡ʃkɛ
betona	bˈɛtonæ
puškom	pˈuʃkom
Baltimore	bˈaltɪmˌorɛ
putujući	pˈutʊjˌʊt͡ɕɪ
Harryjeve	xˈɑrrjjevɛ
saopštava	sˈaopʃtˌævæ
Trećeg	tɾˈɛt͡ɕɛɡ
uzgajanje	ˈuzɡɑjˌæɲe
Srednje	sɾˈɛdɲe
obilja	ˈobɪʎæ
ovakvom	ˈovækvom
odstupiti	ˈotstʊpˌɪtɪ
algoritama	ˈalɡorˌɪtæmæ
stripu	stɾˈipʊ
saobraćajnih	sˈaobɾˌæt͡ɕɑjnɪh
osudili	ˈosʊdˌɪlɪ
ideološke	ˈidɛˌoloʃkɛ
frakcija	fɾˈakt͡sɪjæ
baznom	bˈaznom
desila	dˈɛsɪlæ
orkestru	ˈorkɛstɾʊ
fizička	fˈizɪt͡ʃkæ
takmičarka	tˈakmɪt͡ʃˌɑrkæ
Tada	tˈadæ
disperzija	dˈispɛrzˌɪjæ
važnosti	vˈaʒnostɪ
gustih	ɡˈustɪh
demona	dˈɛmonæ
gađa	ɡˈad͡ʑæ
datumi	dˈatʊmɪ
kateter	kˈatɛtɛr
Delko	dˈɛlko
povećava	pˈovɛt͡ɕˌævæ
slanja	slˈaɲæ
sklopu	sklˈopʊ
konvergentan	kˈonvɛrɡˌɛntæn
kultnih	kˈultnɪh
zrelim	zɾˈɛlɪm
vjerujući	vjˈerʊjˌʊt͡ɕɪ
fokusirala	fˈokʊsˌɪrælæ
Flack	flˈat͡sk
Hrvate	xrvˈaːtɛ
ikru	ˈikɾʊ
garde	ɡˈɑrdɛ
posvećene	pˈosvɛt͡ɕˌɛnɛ
Cambridgeu	t͡sˈambɾɪdɡˌɛʊ
oblikovane	ˈoblɪkˌovænɛ
predgrađa	pɾˈɛdɡɾæd͡ʑæ
dozvolu	dˈozvolʊ
ekonomskim	ˈɛkonˌomskɪm
kolima	kˈolɪmæ
trofej	tɾˈofej
Yorka	jˈorkæ
TV	tˈəvˌə
Carlo	t͡sˈɑrlo
važnu	vˈaʒnʊ
dokazati	dˈokæzˌætɪ
kreće	kɾˈɛt͡ɕɛ
When	fhˈɛn
adrese	ˈadɾɛsɛ
Sadašnji	sˈadæʃɲɪ
uobičajene	ˈuobˌɪt͡ʃɑjˌenɛ
istražuju	ˈistɾæʒˌʊjʊ
naknadu	nˈaknædʊ
Čim	t͡ʃˈim
stambene	stˈambɛnɛ
hronikama	xɾˈonɪkˌæmæ
distalne	dˈistælnɛ
žica	ʒˈit͡sæ
tačnog	tˈat͡ʃnoɡ
profesionalnog	pɾˈofɛsˌɪonˌælnoɡ
znanja	znˈaɲæ
ogranaka	ˈoɡɾænˌækæ
endometrija	ˈɛndomˌɛtɾɪjæ
izjašnjava	ˈizjæʃɲˌævæ
Division	dˈivɪsˌɪon
Pacijent	pˈat͡sɪjent
Superlige	sˈupɛrlˌɪɡɛ
javnim	jˈavnɪm
Zorana	zˈorænæ
ćirilica	t͡ɕˈirɪlˌɪt͡sæ
kap	kˈap
potvrdile	pˈotvrdɪlɛ
zakonodavstva	zˈakonˌodæfstvæ
Industrija	ˈindʊstɾˌɪjæ
Lucije	lˈut͡sɪje
Njihova	ɲˈihovæ
ASD	ˈazd
ratištima	ɾˈatɪʃtˌɪmæ
oslobođeni	ˈoslobˌod͡ʑɛnɪ
pogrebne	pˈoɡɾɛbnɛ
pohod	pˈohod
filmskoj	fˈilmskoj
dugotrajne	dˈuɡotɾˌɑjnɛ
zaustavljaju	zˈaʊstˌævljɑjʊ
funti	fˈuntɪ
mehaničkog	mˈɛhænˌɪt͡ʃkoɡ
ulaganje	ˈulæɡˌæɲe
najgledanija	nˈɑjɡlɛdˌænɪjæ
zarobljeno	zˈɑrobʎˌeno
vući	vˈut͡ɕɪ
potreban	pˈotɾɛbæn
koridor	kˈorɪdor
smjesa	smjˈesæ
podržavali	pˈodrʒævˌælɪ
đavola	d͡ʑˈavolæ
apsidi	ˈapsɪdɪ
bodljama	bˈodʎæmæ
tačan	tˈat͡ʃæn
staru	stˈɑrʊ
našeg	nˈaʃɛɡ
spriječilo	spɾˈijet͡ʃˌɪlo
ogromni	ˈoɡɾomnɪ
oivičen	ˈoɪvˌɪt͡ʃɛn
viseće	vˈisɛt͡ɕɛ
prevencije	pɾˈɛvɛnt͡sˌɪje
karijera	kˈɑrɪjˌeræ
žaba	ʒˈabæ
pogodili	pˈoɡodˌɪlɪ
b	bˈə
Vesna	vˈɛsnæ
navedenih	nˈavɛdˌɛnɪh
progesterona	pɾˈoɡɛstˌɛronæ
davali	dˈavælɪ
Miodrag	mˈiodɾæɡ
Randa	ɾˈandæ
Ponovo	pˈonovo
Odavde	ˈodævdɛ
manjini	mˈaɲɪnɪ
kraćem	kɾˈat͡ɕɛm
Poslao	pˈoslæo
prepoznata	pɾˈɛpoznˌætæ
Prezime	pɾˈɛzɪmɛ
prijevoza	pɾˈijevˌozæ
mediteranske	mˈɛdɪtˌɛrænskɛ
trećom	tɾˈɛt͡ɕom
atletici	ˈatlɛtˌɪt͡sɪ
Dubaiju	dˈubæˌɪjʊ
atletske	ˈatlɛtskɛ
pomogne	pˈomoɡnɛ
kratku	kɾˈatkʊ
katolike	kˈatolˌɪkɛ
Rusi	ɾˈusɪ
horizont	xˈorɪzont
majčine	mˈɑjt͡ʃɪnɛ
sivi	sˈivɪ
odlaže	ˈodlæʒɛ
sovjetskom	sˈovjetskom
naprezanja	nˈapɾɛzˌæɲæ
glasovima	ɡlˈasovˌɪmæ
snažnije	snˈaʒnɪje
hranili	xɾˈanɪlɪ
planeta	plˈanɛtæ
snova	snˈovæ
dvjema	dvjˈemæ
savjest	sˈavjest
Asturije	ˈastʊrˌɪje
prstima	prstˈimæ
makedonskih	mˈakɛdˌonskɪh
priključuju	pɾˈikʎʊt͡ʃˌʊjʊ
Doyle	dˈojlɛ
pomisli	pˈomɪslɪ
smeđih	smˈɛd͡ʑɪh
tužilac	tˈuʒɪlæt͡s
OH	ˈoh
kredita	kɾˈɛdɪtæ
blizanaca	blˈizænˌæt͡sæ
zaduženi	zˈadʊʒˌɛnɪ
crkvenog	t͡srkvˈɛnoɡ
jezik	jˈezɪk
amplitude	ˈamplɪtˌʊdɛ
vatre	vˈatɾɛ
okružen	ˈokɾʊʒɛn
Mozambika	mˈozæmbˌɪkæ
plemena	plˈɛmɛnæ
ugledne	ˈuɡlɛdnɛ
okrugu	ˈokɾʊɡʊ
energija	ˈɛnɛrɡˌɪjæ
glavnog	ɡlˈavnoɡ
oštećenim	ˈoʃtɛt͡ɕˌɛnɪm
Lokalno	lˈokælno
Helene	xˈɛlɛnɛ
inhibitorima	ˈinhɪbˌɪtorˌɪmæ
prikladna	pɾˈiklædnæ
čovjeka	t͡ʃˈovjekæ
Dominantna	dˈomɪnˌæntnæ
liječi	lˈijet͡ʃɪ
Terra	tˈɛrræ
kompleksnim	kˈomplɛksnɪm
solidarnost	sˈolɪdˌɑrnost
limom	lˈimom
Face	fˈat͡sɛ
Publika	pˈublɪkæ
Zemljinoj	zˈɛmʎɪnoj
matrica	mˈatɾɪt͡sæ
razlikovalo	ɾˈazlɪkˌovælo
Zlatnoj	zlˈatnoj
Egiptom	ˈɛɡɪptom
generacijama	ɡˈɛnɛrˌæt͡sɪjˌæmæ
Gori	ɡˈorɪ
skupinama	skˈupɪnˌæmæ
logori	lˈoɡorɪ
Adele	ˈadɛlɛ
točak	tˈot͡ʃæk
dodjele	dˈodjelɛ
projekcija	pɾˈojekt͡sˌɪjæ
Podjela	pˈodjelæ
primjećuje	pɾˈimjet͡ɕˌʊje
Sedai	sˈɛdæɪ
vrhovima	vrhˈovɪmæ
navodnog	nˈavodnoɡ
pravna	pɾˈavnæ
posada	pˈosædæ
ruševinama	ɾˈuʃɛvˌɪnæmæ
mečevi	mˈɛt͡ʃɛvɪ
mostom	mˈostom
sjevernoj	sjˈevɛrnoj
Epizoda	ˈɛpɪzˌodæ
kamera	kˈamɛræ
Note	nˈotɛ
kipar	kˈipɑr
Rajha	ɾˈɑjhæ
zanat	zˈanæt
in	ˈin
Popović	pˈopovɪt͡ɕ
konzumira	kˈonzʊmˌɪræ
crkava	t͡srkˈavæ
Redovno	ɾˈɛdovno
rada	ɾˈadæ
Michel	mˈit͡shɛl
željezničkog	ʒˈɛʎeznˌɪt͡ʃkoɡ
Sebastiana	sˈɛbæstˌɪænæ
odbijanja	ˈodbɪjˌæɲæ
Tačno	tˈat͡ʃno
srednjovjekovni	sɾˈɛdɲovjˌekovnɪ
prisustvom	pɾˈisʊstvom
Palestinu	pˈalɛstˌɪnʊ
suh	sˈuh
moćnom	mˈot͡ɕnom
povraćanje	pˈovɾæt͡ɕˌæɲe
nastavljajući	nˈastævljˌɑjʊt͡ɕɪ
tanki	tˈaŋkɪ
pobjegla	pˈobjeɡlæ
Brando	bɾˈando
