vedeckému	vˈedʲet͡skˌeːmu
DPMK	dˈeːpˌeːˌemkˌaː
dosahujú	dˈosahˌujuː
nohu	nˈohu
ovplyvňované	ˈowplivɲˌovaneː
zlyhali	zlˈihali
Pýtajú	pˈiːtajuː
marketingovej	mˈarketˌiŋɡovej
Svetové	svˈetoveː
poradcu	pˈoratt͡su
krúžkoch	krˈuːʃkox
detoxikáciu	dʲˈetoksˌikaːt͡siu
Click	t͡slˈit͡sk
Kopa	kˈopa
Česka	t͡ʃˈeska
Monikou	mˈoniko͡ʊ
Českí	t͡ʃˈeskiː
Fresh	frˈesx
nevydarenom	ɲˈevidˌarenom
národ	nˈaːrot
striehnu	striˈehnu
zaostávame	zˈaostˌaːvame
puzdro	pˈuzdro
elegantnú	ˈeleɡˌantnuː
nádherou	nˈaːthero͡ʊ
koncertovať	kˈont͡sertˌovatʲ
odrazili	ˈodrazˌili
nepisal	ɲˈepisal
Rokovací	rˈokovˌat͡siː
Canada	t͡sˈanada
úrodnej	ˈuːrodnej
neopísateľné	ɲˈeopˌiːsatʲˌeʎneː
košickú	kˈoʃit͡skuː
odosielania	ˈodosiˌelaɲia
skákali	skˈaːkali
pátral	pˈaːtral
lekárske	lˈekaːrske
neplnenia	ɲˈepl̩ɲˌeɲia
starci	stˈart͡si
napomína	nˈapomˌiːna
obrny	ˈobr̩ni
stvárnenie	stvˈaːrɲeɲie
bohoslužbe	bˈohoslˌuʒbe
drafte	drˈaftʲe
invalidite	ˈinvalˌiditʲe
ponorným	pˈonorniːm
minimalizovali	mˈinimˌalizˌovali
Urquell	ˈurkvell̩
Dávkovač	dˈaːwkovat͡ʃ
Linuxu	lˈinuksu
petržalskej	pˈetr̩ʒˌalskej
Droserin	drˈoserin
opevnený	ˈopevɲˌeniː
Fatimská	fˈatʲimskaː
Rosa	rˈosa
Veronika	vˈeronˌika
využívajúc	vˈiuʒˌiːvajuːt͡s
mixér	mˈikseːr
priateľstva	priˈatʲeʎstva
Diery	dʲiˈeri
sklz	ˈeskˌaːˌelzˌet
spláca	splˈaːt͡sa
predajná	prˈedajnaː
Súhrn	sˈuːhr̩n
izbach	ˈizbax
vykúpenie	vˈikuːpˌeɲie
uložíme	ˈuloʒˌiːme
Dar	dˈar
začiatkov	zˈat͡ʃiˌatkow
rozhodla	rˈoshodla
Bežal	bˈeʒal
svetelný	svˈetʲelniː
navstevy	nˈawstʲevi
spolupracovníci	spˈoluprˌat͡sovɲˌiːt͡si
KN	kˈaːˌen
lekárňach	lˈekaːrɲax
zranením	zrˈaɲeɲiːm
mobiloch	mˈobilox
Náhrada	nˈaːhrada
Učiteľ	ˈut͡ʃitʲeʎ
polnoc	pˈolnot͡s
bývajúci	bˈiːvajˌuːt͡si
spracované	sprˈat͡sovˌaneː
zabrániť	zˈabraːɲitʲ
odkazov	ˈotkazow
profesia	prˈofesia
dvojlôžkové	dvˈojluˌoʃkoveː
Lekárka	lˈekaːrka
Obojstranný	ˈobojstrˌanniː
Maïarov	mˈaiˌarow
Pripravených	prˈipravˌeniːx
chvíľočku	xvˈiːʎot͡ʃku
výsostne	vˈiːsostɲe
Autopoťahy	ˈautˌopotʲˌahi
nevery	ɲˈeveri
predpokladam	prˈetpoklˌadam
animačný	ˈanimˌat͡ʃniː
tímového	tˈiːmovˌeːho
nevládze	ɲˈewlaːd͡ʑe
podpredseda	pˈotpretsˌeda
vnučku	vnˈut͡ʃku
vyplatíPozrite	vˈiplatʲiːpˈozritʲe
spania	spˈaɲia
kára	kˈaːra
vypočítavať	vˈipot͡ʃˌiːtavatʲ
rocková	rˈot͡skovaː
obvode	ˈobvodʲe
premiestňovanie	prˈemiˌestɲovˌaɲie
zdalo	zdˈalo
Countryman	t͡sˈo͡ʊntriman
Sencom	sˈent͡som
Authority	ˈauthˌoriti
pestrými	pˈestriːmi
vysetrenia	vˈisetrˌeɲia
kaleráb	kˈaleraːp
hrady	hrˈadi
bakteriálnych	bˈaktʲerˌiaːlnix
predkladaného	prˈetkladˌaneːho
stability	stˈabilˌiti
Ukážka	ˈukaːʃka
TTL	tˈeːtˌeːˌel
voľné	vˈoʎneː
parkiet	pˈarkiet
Rachel	rˈaxel
relaxu	rˈelaksu
freeride	frˈeerˌidʲe
upravil	ˈupravil
bránia	brˈaːɲia
otočení	ˈotot͡ʃˌeɲiː
elegancie	ˈeleɡˌant͡sie
Zbytok	zbˈitok
dariť	dˈaritʲ
poslúžia	pˈosluːʒia
Patríme	pˈatriːme
Zemková	zˈemkovaː
telefonátom	tˈelefˌonaːtom
Budiš	bˈudʲiʃ
zamestnávať	zˈamestnˌaːvatʲ
Olivia	ˈolivia
Ableton	ˈableton
šliape	ʃliˈape
Bicykel	bˈit͡sikel
Biznis	bˈizɲis
vrchnú	vˈr̩xnuː
Katolíckej	kˈatolˌiːt͡skej
myš	mˈiʃ
zapamätajte	zˈapamˌetajtʲe
agentúr	ˈaɡentuːr
FIIT	fˈiit
stiahnutiu	stʲiˈahnutʲiu
diskoték	dˈiskoteːk
nečakajú	ɲˈet͡ʃakˌajuː
nevesty	ɲˈevesti
Moji	mˈoji
regionálne	rˈeɡiˌonaːlɲe
bandáže	bˈandaːʒe
nesplnené	ɲˈespl̩ɲˌeneː
NOVOSTAVBA	nˈovostˌawba
diecézny	diˈet͡seːzni
posilnia	pˈosilɲia
chodom	xˈodom
klávesnica	klˈaːvesɲˌit͡sa
niet	ɲiˈet
ná¹ho	nˈaːjˈedenhˈo
agresivitu	ˈaɡresˌivitu
baník	bˈaɲiːk
operety	ˈoperˌeti
Akadémii	ˈakadˌeːmii
kráľovstve	krˈaːʎowstve
realizovať	rˈealˌizovatʲ
vyhláške	vˈihlaːʃke
CAPITAL	t͡sˈapital
koordinácia	kˈoordˌinaːt͡sia
cenené	t͡sˈeɲeneː
Lokálne	lˈokaːlɲe
vojenská	vˈojenskaː
blogFotografie	blˈokfˈotoɡrˌafie
Typi	tˈipi
omega	ˈomeɡa
overit	ˈoverit
prerod	prˈerot
Zelenay	zˈelenˌai
užitočnými	ˈuʒitˌot͡ʃniːmi
Push	pˈusx
pripravenými	prˈipravˌeniːmi
LOS	lˈos
Dedinky	dʲˈedʲiŋki
klobúky	klˈobuːki
repre	rˈepre
ohrevom	ˈohrevom
Flat	flˈat
solárnym	sˈolaːrnim
PK	pˈeːkˌaː
hadičky	hˈadʲit͡ʃki
neklesne	ɲˈeklesɲe
dvadsiatke	dvˈatsiˌatke
Pravá	prˈavaː
Lučenci	lˈut͡ʃent͡si
výrobných	vˈiːrobniːx
poprosil	pˈoprosil
proteín	prˈotʲeiːn
vizuálne	vˈizuˌaːlɲe
Smoothie	smˈoothie
pečené	pˈet͡ʃeneː
záchytné	zˈaːxitneː
kopaní	kˈopaɲiː
bije	bˈije
koalícii	kˈoalˌiːt͡sii
vyhrážal	vˈihraːʒal
presný	prˈesniː
airsoft	ˈairsoft
Pôvodným	pˈuovˌodniːm
jácht	jˈaːxt
nesedeli	ɲˈesedʲˌeli
Profily	prˈofili
dýchala	dˈiːxala
CRDi	t͡sˈr̩dʲi
praktizuje	prˈaktizˌuje
ušetrite	ˈuʃetrˌitʲe
Taliban	tˈaliban
špekulovať	ʃpˈekulˌovatʲ
filmového	fˈilmovˌeːho
daná	dˈanaː
Jedlá	jˈedlaː
masív	mˈasiːw
sadnúť	sˈadnuːtʲ
Nepite	ɲˈepitʲe
ospravedlnenia	ˈospravˌedl̩ɲˌeɲia
zákazov	zˈaːkazow
zúril	zˈuːril
vĺn	vˈeːdˌl̩heːˌelˌen
krik	krˈik
batérie	bˈateːrie
Protišmykové	prˈotʲiʃmˌikoveː
podpísaných	pˈotpiːsˌaniːx
zamestnal	zˈamestnal
CMS	t͡sˈeːˌemˌes
nejaky	ɲˈejaki
očakávala	ˈot͡ʃakˌaːvala
Mnohí	mnˈohiː
Vyskúšaj	vˈiskuːʃaj
spojení	spˈojeɲiː
ložisko	lˈoʒisko
absolventskej	ˈapsolvˌentskej
chutne	xˈutɲe
obhajca	ˈophajt͡sa
lavíny	lˈaviːni
predškolských	prˈetʃkolskiːx
Mucha	mˈuxa
priateľkaPre	priˈatʲeʎkaprˈe
cervene	t͡sˈerveɲe
remíze	rˈemiːze
šampónu	ʃˈampoːnu
Užitočné	ˈuʒitˌot͡ʃneː
uhlopriečky	ˈuhlopriˌet͡ʃki
hrdo	hˈr̩do
speaker	spˈeaker
disk	dˈisk
Darujte	dˈarujtʲe
Niekedy	ɲiˈekedi
nastaviť	nˈastavitʲ
púšťajú	pˈuːʃtʲajuː
starodávny	stˈarodˌaːvni
zahnutý	zˈahnutiː
včelári	ft͡ʃˈelaːri
prídavkov	prˈiːdawkow
opoziční	ˈopozˌit͡ʃɲiː
konzultuje	kˈonzultˌuje
erbe	ˈerbe
vešpier	vˈeʃpier
pravidelnej	prˈavidʲˌelnej
narábanie	nˈaraːbˌaɲie
banking	bˈaŋkiŋk
rozprávka	rˈospraːwka
výstrel	vˈiːstrel
púte	pˈuːtʲe
predstava	prˈetstava
hlásil	hlˈaːsil
odpustia	ˈotpustʲia
ukazuju	ˈukazˌuju
Bobo	bˈobo
Obľúbená	ˈobʎuːbˌenaː
predškolské	prˈetʃkolskeː
dobrodruh	dˈobrodrux
bahne	bˈahɲe
ovšem	ˈowʃem
vzájomných	vzˈaːjomniːx
čiernemu	t͡ʃiˈerɲemu
hniezd	hɲiˈest
súcit	sˈuːt͡sit
ElumaBaby	ˈelumabˈabi
moralky	mˈoralki
Podmienkou	pˈodmiˌeŋko͡ʊ
hodní	hˈodɲiː
preukázať	prˈeukˌaːzatʲ
nezáväzne	ɲˈezaːvˌezɲe
vysokou	vˈisoko͡ʊ
Ľubor	ʎˈubor
Vraciame	vrˈat͡siˌame
Nastane	nˈastaɲe
diskutovanosť	dˈiskutˌovanostʲ
Príkladov	prˈiːkladow
prispôsobivý	prˈispuˌosobˌiviː
krajinných	krˈajinniːx
spoznávali	spˈoznaːvˌali
víťazí	vˈiːtʲaziː
ekológie	ˈekolˌoːɡie
nemenej	ɲˈemeɲej
inom	ˈinom
nakrájame	nˈakraːjˌame
prognóz	prˈoɡnoːs
trende	trˈendʲe
Ostatných	ˈostatniːx
dúfa	dˈuːfa
cvoky	t͡svˈoki
nezmeni	ɲˈezmeɲi
Tesne	tʲˈesɲe
elektrárňach	ˈelektrˌaːrɲax
jedinou	jˈedʲino͡ʊ
doručit	dˈorut͡ʃit
Milosrdenstvo	mˈilosˌr̩dʲenstvo
Turismo	tˈurismo
Poteší	pˈotʲeʃiː
vyspelom	vˈispelom
emitenta	ˈemitʲˌenta
McLarenu	ˈemt͡sˌeːlˈarenu
pripomienkovom	prˈipomiˌeŋkovom
ťažších	tʲˈaʃʃiːx
tekutina	tʲˈekutʲˌina
Súvisiaci	sˈuːvisiˌat͡si
GE	ɡˈe
oznámením	ˈoznaːmˌeɲiːm
Útočník	ˈuːtot͡ʃɲiːk
karosérii	kˈarosˌeːrii
obvinil	ˈobviɲil
Recenzované	rˈet͡senzˌovaneː
buducnost	bˈudut͡snost
bubeník	bˈubeɲiːk
skladačky	sklˈadat͡ʃki
krajskom	krˈajskom
podnes	pˈodɲes
priechodom	priˈexodom
horšej	hˈorʃej
pozri	pˈozri
Santiago	sˈantiˌaɡo
Konkrétne	kˈoŋkreːtne
DAKUJEM	dˈakujem
synoda	sˈinoda
plesne	plˈesɲe
závoj	zˈaːvoj
TATRY	tˈatri
strednodobom	strˈednodˌobom
Magnetický	mˈaɡnetˌit͡skiː
polhodinu	pˈolhodʲˌinu
kvalitách	kvˈalitaːx
ohrady	ˈohradi
Kancelárie	kˈant͡selˌaːrie
nezaberajú	ɲˈezabˌerajuː
obdobie	ˈobdobie
tajne	tˈajɲe
cukor	t͡sˈukor
noci	nˈot͡si
vykonala	vˈikonˌala
Rodičovský	rˈodʲit͡ʃˌowskiː
východiska	vˈiːxodʲˌiska
májovom	mˈaːjovom
okružnej	ˈokruʒnej
zarazilo	zˈarazˌilo
Komunikáciu	kˈomunˌikaːt͡siu
potením	pˈoteɲiːm
Vyšetrovatelia	vˈiʃetrˌovatʲˌelia
ďakoval	dʲˈakoval
rozprávkovo	rˈospraːwkˌovo
padanie	pˈadaɲie
údržbu	ˈuːdr̩ʒbu
krížovej	krˈiːʒovej
editorov	ˈeditˌorow
Obrazom	ˈobrazom
NT	ˈentˌeː
sushi	sˈushi
TIPOS	tʲˈipos
kúpeľné	kˈuːpeʎneː
zvýšeného	zvˈiːʃenˌeːho
blížiaci	blˈiːʒiˌat͡si
Poslaním	pˈoslaɲiːm
Pioneer	pˈioɲˌeer
venovanej	vˈenovˌaɲej
finanèných	fˈinaɲˌeniːx
obľúbený	ˈobʎuːbˌeniː
tlačiarňou	tlˈat͡ʃiˌarɲo͡ʊ
velkeho	vˈelkeho
spevákom	spˈevaːkom
elektroinštalačného	ˈelektrˌoinʃtˌalat͡ʃnˌeːho
ohodnotí	ˈohodnˌotʲiː
zvršok	zvˈr̩ʃok
svojich	svˈojix
spozorovať	spˈozorˌovatʲ
Zameriame	zˈameriˌame
prekročená	prˈekrot͡ʃˌenaː
neoddeliteľne	ɲˈeoddʲˌelitʲˌeʎɲe
logo	lˈoɡo
kvízy	kvˈiːzi
Rakovina	rˈakovˌina
bez	bˈes
postel	pˈostʲel
zákutiami	zˈaːkutʲiˌami
miestnou	miˈestno͡ʊ
netradičnými	ɲˈetradˌit͡ʃniːmi
schváleného	sxvˈaːlenˌeːho
vyrábať	vˈiraːbatʲ
vedci	vˈett͡si
vykonávajte	vˈikonˌaːvajtʲe
znaleckým	znˈalet͡skiːm
nútil	nˈuːtʲil
um	ˈum
Vstupná	fstˈupnaː
zlikvidovala	zlˈikvidˌovala
kúriť	kˈuːritʲ
spravil	sprˈavil
kapitána	kˈapitˌaːna
podnikaním	pˈodɲikˌaɲiːm
dostaneme	dˈostaɲˌeme
predbežnej	prˈedbeʒnej
vydávali	vˈidaːvˌali
zabehnutý	zˈabehnˌutiː
každodenný	kˈaʒdodʲˌenniː
žrde	ʒˈr̩dʲe
Marienka	mˈariˌeŋka
presviedčali	prˈesviˌett͡ʃali
parkoviska	pˈarkovˌiska
maniere	mˈaniˌere
hovorím	hˈovoriːm
state	stˈatʲe
športovom	ʃpˈortovom
neolitu	ɲˈeolˌitu
zistení	zˈistʲeɲiː
kategóriami	kˈateɡˌoːriˌami
nezískal	ɲˈeziːskal
zaútočil	zˈauːtˌot͡ʃil
chodba	xˈodba
charakteristickou	xˈaraktˌeristˌit͡sko͡ʊ
Tekov	tʲˈekow
dvojitú	dvˈojituː
jedine	jˈedʲiɲe
prevoz	prˈevos
Innovation	ˈinnovˌatʲion
traktorom	trˈaktorom
autorom	ˈautˌorom
Zbavte	zbˈawtʲe
humoru	hˈumoru
potrápia	pˈotraːpia
predsedníčky	prˈetsedɲˌiːt͡ʃki
atraktívnom	ˈatraktʲˌiːvnom
čistení	t͡ʃˈistʲeɲiː
prísnej	prˈiːsnej
postrannými	pˈostrannˌiːmi
zahryznutie	zˈahriznˌutʲie
sekretárka	sˈekretˌaːrka
chodieva	xˈodʲiˌeva
Krištof	krˈiʃtof
prijímali	prˈijiːmˌali
nepočujúcich	ɲˈepot͡ʃˌujuːt͡six
lepším	lˈepʃiːm
domáca	dˈomaːt͡sa
nadšeným	nˈatʃeniːm
dvojgólové	dvˈojɡoːlˌoveː
Pravidlá	prˈavidlaː
palmami	pˈalmami
pestrofarebné	pˈestrofˌarebneː
predpisovať	prˈetpisˌovatʲ
prijateľných	prˈijatʲˌeʎniːx
zubný	zˈubniː
UNIZA	ˈuniza
predĺženú	prˈedl̩ːʒˌenuː
rádiových	rˈaːdiˌoviːx
zaručí	zˈarut͡ʃiː
Technickým	tˈexnit͡skiːm
krypte	krˈiptʲe
diskotékach	dˈiskotˌeːkax
vdp	vˈeːdˌeːpˌeː
pozore	pˈozore
ošetrovať	ˈoʃetrˌovatʲ
nenápadnej	ɲˈenaːpˌadnej
Festina	fˈestʲina
tradíciami	trˈadiːt͡siˌami
konsolidovať	kˈonsolˌidovatʲ
čerstvej	t͡ʃˈerstvej
prominentné	prˈominˌentneː
učebne	ˈut͡ʃebɲe
kresbou	krˈezbo͡ʊ
teroristi	tʲˈerorˌistʲi
firmy	fˈirmi
nesmeli	ɲˈesmeli
dotyčná	dˈotit͡ʃnaː
analytici	ˈanalˌitʲit͡si
priemerná	priˈemernaː
NÁZOR	nˈaːzor
SLOVNAFT	slˈovnaft
zázračného	zˈaːzrat͡ʃnˌeːho
teórií	tˈeoːrˌiiː
malebných	mˈalebniːx
vyskúšate	vˈiskuːʃˌatʲe
písaných	pˈiːsaniːx
Roth	rˈotx
Ubytovaní	ˈubitˌovaɲiː
agresívnymi	ˈaɡresˌiːvnimi
prah	prˈax
motyka	mˈotika
miestny	miˈestni
srdcový	sˈr̩tt͡soviː
udržaním	ˈudr̩ʒˌaɲiːm
šťastná	ʃtʲˈastnaː
poľovníckeho	pˈoʎovɲˌiːt͡skeho
ekológ	ˈekoloːk
hodnotíme	hˈodnotʲˌiːme
Dvanásť	dvˈanaːstʲ
ložiskami	lˈoʒiskˌami
justičnej	jˈustit͡ʃnej
dlani	dlˈaɲi
Austráliu	ˈaustrˌaːliu
priateľky	priˈatʲeʎki
chemickom	xˈemit͡skom
prvotná	pˈr̩votnaː
odborný	ˈodborniː
severozápadnej	sˈeverˌozaːpˌadnej
Plese	plˈese
previnil	prˈeviɲil
drene	drˈeɲe
plnil	pˈl̩ɲil
pozvaním	pˈozvaɲiːm
sŕdc	sˈr̩ːtt͡s
muzika	mˈuzika
cviklu	t͡svˈiklu
Bohuš	bˈohuʃ
obohatenie	ˈobohˌatʲeɲie
Youth	ˈio͡ʊtx
sídliaci	sˈiːdliˌat͡si
oprávnenej	ˈopraːvɲˌeɲej
moderátorom	mˈoderˌaːtorom
súhlasíš	sˈuːhlasiːʃ
sedenie	sˈedʲeɲie
zámienka	zˈaːmiˌeŋka
HIGH	hˈikx
kapitálový	kˈapitˌaːloviː
vedcami	vˈett͡sami
text	tˈekst
polievka	pˈoliˌewka
neprišli	ɲˈepriʃli
papagáj	pˈapaɡaːj
miest	miˈest
dať	dˈatʲ
nástrahu	nˈaːstrahu
mimovládnymi	mˈimowlˌaːdnimi
fontánu	fˈontaːnu
prezídia	prˈeziːdʲia
Myš	mˈiʃ
stitch	stʲˈitx
opätku	ˈopetku
Caffe	t͡sˈaffe
hudobného	hˈudobnˌeːho
santalového	sˈantalˌoveːho
tehotenstvu	tʲˈehotʲˌenstvu
rybky	rˈipki
sľubom	sʎˈubom
Poľný	pˈoʎniː
export	ˈeksport
manuál	mˈanuaːl
príbytku	prˈiːbitku
platové	plˈatoveː
pocet	pˈot͡set
SBS	ˈezbˌeːˌes
LepšíDeň	lˈepʃiːdʲˈeɲ
svalu	svˈalu
statická	stˈatit͡skaː
Darujem	dˈarujem
nepripravených	ɲˈepriprˌaveniːx
nepokoja	ɲˈepokˌoja
zástavami	zˈaːstavˌami
Bielorusko	biˈelorˌusko
Entertainment	ˈentʲertˌainment
zavolaj	zˈavolaj
Brezová	brˈezovaː
zónach	zˈoːnax
gumovým	ɡˈumoviːm
Bale	bˈale
zúžiť	zˈuːʒitʲ
typu	tˈipu
menového	mˈenovˌeːho
zníži	zɲˈiːʒi
slnkom	sˈl̩ŋkom
vysokoškolskom	vˈisokˌoʃkolskom
využíval	vˈiuʒˌiːval
Galaxy	ɡˈalaksi
chrómu	xrˈoːmu
nocí	nˈot͡siː
sprístupní	sprˈiːstupɲiː
oslovenia	ˈoslovˌeɲia
fabrike	fˈabrike
Fotoreportáž	fˈotorˌeportaːʃ
desiatku	dʲˈesiˌatku
vrchovDušan	vˈr̩xowdˈuʃan
zacina	zˈat͡sina
utierkou	ˈutʲiˌerko͡ʊ
jich	jˈix
Orange	ˈoraŋɡe
užívateľskej	ˈuʒiːvˌatʲeʎskej
obmedzeného	ˈobmed͡ʑˌeneːho
Povedzte	pˈovet͡stʲe
budúcnosť	bˈuduːt͡snostʲ
stojací	stˈojat͡siː
encefalitídy	ˈent͡sefˌalitʲˌiːdi
pastviny	pˈastvini
glóbusu	ɡlˈoːbusu
hladka	hlˈatka
úchvatné	ˈuːxvatneː
rozhodovalo	rˈoshodˌovalo
LNG	ˈelˌenɡˌeː
Kanadou	kˈanado͡ʊ
nastávajúce	nˈastaːvˌajuːt͡se
páčilo	pˈaːt͡ʃilo
rastúce	rˈastuːt͡se
opiera	ˈopiˌera
končatinu	kˈont͡ʃatˌinu
skipasov	skˈipasow
OKTE	ˈoktʲe
výťahom	vˈiːtʲahom
zahalil	zˈahalil
ŠxHxV	ˈeʃˌikshˈaːˌiksvˈeː
zanechá	zˈaɲexaː
zamestnancom	zˈamestnˌant͡som
Hayek	hˈaiek
strašiaka	strˈaʃiˌaka
Remienok	rˈemiˌenok
futbalovú	fˈudbalˌovuː
Panamy	pˈanami
Vrchné	vˈr̩xneː
provízie	prˈoviːzie
zmätku	zmˈetku
pikošky	pˈikoʃki
Nemeckí	ɲˈemet͡skiː
Consumer	t͡sˈonsumer
Danka	dˈaŋka
parkoviskách	pˈarkovˌiskaːx
Plánujeme	plˈaːnujˌeme
Dojem	dˈojem
vysviacke	vˈisviˌat͡ske
Karlsson	kˈarlsson
svojmu	svˈojmu
pošli	pˈoʃli
Conrad	t͡sˈonrat
Rozhodcovia	rˈoshott͡sˌovia
dopĺňanie	dˈopl̩ːɲˌaɲie
štíhla	ʃtʲˈiːhla
Elektromechanické	ˈelektrˌomexˌaɲit͡skeː
drobnou	drˈobno͡ʊ
návratnosťou	nˈaːvratnˌostʲo͡ʊ
teoriu	tˈeoriu
zrútil	zrˈuːtʲil
presadzovaniu	prˈesad͡ʑˌovaɲiu
kosti	kˈostʲi
dobytok	dˈobitok
Východoslovenský	vˈiːxodˌoslovˌenskiː
Kvízy	kvˈiːzi
odkúpenia	ˈotkuːpˌeɲia
chalanov	xˈalanow
Poslancov	pˈoslant͡sow
znaku	znˈaku
objednavat	ˈobjednˌavat
epilepsia	ˈepilˌepsia
časový	t͡ʃˈasoviː
zvýšenú	zvˈiːʃenuː
objasnenie	ˈobjasɲˌeɲie
Páčila	pˈaːt͡ʃila
kotline	kˈotliɲe
kongregáciu	kˈoŋɡreɡˌaːt͡siu
ved	vˈet
hriešny	hriˈeʃni
vzormi	vzˈormi
ozvite	ˈozvitʲe
stvoriť	stvˈoritʲ
Hodnotiaca	hˈodnotʲiˌat͡sa
rezervného	rˈezervnˌeːho
zobrazené	zˈobrazˌeneː
Franka	frˈaŋka
palivá	pˈalivaː
inzercie	ˈinzert͡sie
austrálskych	ˈaustrˌaːlskix
osvetlenia	ˈosvetlˌeɲia
duchovnou	dˈuxovno͡ʊ
adaptácie	ˈadaptˌaːt͡sie
kompót	kˈompoːt
Luboš	lˈuboʃ
diskusného	dˈiskusnˌeːho
Schwechat	sxvˈexat
poberania	pˈoberˌaɲia
Nami	nˈami
y	ˈipsilon
komplexom	kˈompleksom
úradu	ˈuːradu
medziľudské	mˈed͡ʑiʎˌutskeː
Hamburgu	hˈamburɡu
treti	trˈetʲi
vïaka	viˈaka
slobodné	slˈobodneː
západy	zˈaːpadi
pesničkami	pˈesɲit͡ʃkˌami
zachovala	zˈaxovˌala
pečeného	pˈet͡ʃenˌeːho
podpisovali	pˈotpisˌovali
Legíny	lˈeɡiːni
kolobehu	kˈolobˌehu
väznici	vˈezɲit͡si
dodalo	dˈodalo
hlásia	hlˈaːsia
polôh	pˈoluox
tylu	tˈilu
zhoršilo	shˈorʃilo
formátu	fˈormaːtu
motivačné	mˈotivˌat͡ʃneː
mágie	mˈaːɡie
častíc	t͡ʃˈastʲiːt͡s
synody	sˈinodi
ME	mˈe
vzácna	vzˈaːt͡sna
vybojovala	vˈibojˌovala
hlavné	hlˈavneː
Psi	psˈi
stačila	stˈat͡ʃila
obmedzovať	ˈobmed͡ʑˌovatʲ
lož	lˈoʃ
rozhlasom	rˈoshlasom
eurozónu	ˈeurˌozoːnu
Dotyk	dˈotik
diaľkovej	diˈaʎkovej
kriza	krˈiza
Prírodný	prˈiːrodniː
kopírovacie	kˈopiːrˌovat͡sie
svojej	svˈojej
realizované	rˈealˌizovˌaneː
Del	dʲˈel
podporovateľov	pˈotporˌovatʲˌeʎow
Chucka	xˈut͡ska
sestričky	sˈestrit͡ʃki
prehru	prˈehru
neuverí	ɲˈeuvˌeriː
Henischa	hˈeɲisxa
Alois	ˈalois
priaznivec	priˈazɲivet͡s
zahranicia	zˈahraɲˌit͡sia
Strana	strˈana
príhovorom	prˈiːhovˌorom
predĺži	prˈedl̩ːʒi
pysky	pˈiski
akcionár	ˈakt͡siˌonaːr
kolísky	kˈoliːski
génoch	ɡˈeːnox
neučí	ɲˈeut͡ʃiː
plastovou	plˈastovo͡ʊ
upísal	ˈupiːsal
Prestížny	prˈestʲiːʒni
DLC	dˈeːˌelt͡sˌeː
diskutujú	dˈiskutˌujuː
Zajaca	zˈajat͡sa
Kostka	kˈostka
dôchodkových	dˈuoxˌotkoviːx
Tanečný	tˈaɲet͡ʃniː
zadáva	zˈadaːva
poschodiami	pˈosxodʲiˌami
lep¹ie	lˈepjˈedeniˈe
shamballa	shˈamballa
nechápu	ɲˈexaːpu
štýlovú	ʃtˈiːlovuː
kandidovať	kˈandʲidˌovatʲ
siedmu	siˈedmu
krásky	krˈaːski
marketingu	mˈarketˌiŋɡu
polohami	pˈolohˌami
liturgická	lˈiturɡˌit͡skaː
prienik	priˈeɲik
približujúce	prˈibliʒˌujuːt͡se
záložník	zˈaːloʒɲiːk
microUSB	mˈit͡sroˈuːˌezbˌeː
montujú	mˈontujuː
elitného	ˈelitnˌeːho
litrami	lˈitrami
zastrešená	zˈastreʃˌenaː
Pitie	pˈitʲie
farebnou	fˈarebno͡ʊ
žurnalistika	ʒˈurnalˌistʲika
stanovila	stˈanovˌila
SSS	ˈesˌesˌes
popruhom	pˈopruhom
Malých	mˈaliːx
brúska	brˈuːska
Contest	t͡sˈontest
príbor	prˈiːbor
neslobody	ɲˈeslobˌodi
Moravce	mˈorawt͡se
dvetisíc	dvˈetʲisiːt͡s
predloha	prˈedloha
previerka	prˈeviˌerka
Saténové	sˈateːnˌoveː
navrhujú	nˈavr̩hˌujuː
akademická	ˈakadˌemit͡skaː
orientačne	ˈoriˌentat͡ʃɲe
Teherán	tʲˈeheraːn
Hríb	hrˈiːp
premiérkou	prˈemiˌeːrko͡ʊ
monitorované	mˈonitˌorovˌaneː
Vyrába	vˈiraːba
afrických	ˈafrit͡skiːx
drogami	drˈoɡami
technikou	tˈexniko͡ʊ
využívali	vˈiuʒˌiːvali
Navždy	nˈawʒdi
pôšt	pˈuoʃt
nevidí	ɲˈevidʲiː
konca	kˈont͡sa
mužstve	mˈuʃstve
stúpenci	stˈuːpent͡si
opiť	ˈopitʲ
Vianoce	viˈanot͡se
lepí	lˈepiː
obcami	ˈopt͡sami
Poľskom	pˈoʎskom
ľudského	ʎˈutskeːho
komplikáciami	kˈomplikˌaːt͡siˌami
všímal	fʃˈiːmal
smiechom	smiˈexom
koalícia	kˈoalˌiːt͡sia
Obrazový	ˈobrazˌoviː
zasvätenia	zˈasvetʲˌeɲia
ostala	ˈostala
nemci	ɲˈemt͡si
ohlásená	ˈohlaːsˌenaː
poctivú	pˈot͡stʲivuː
bremena	brˈemena
spolok	spˈolok
zdravotnej	zdrˈavotnej
snívala	sɲˈiːvala
verejnosťou	vˈerejnˌostʲo͡ʊ
televízneho	tˈelevˌiːzneho
Naučila	nˈaut͡ʃˌila
púčikov	pˈuːt͡ʃikow
mlieka	mliˈeka
ľavicovej	ʎˈavit͡sˌovej
nemožnosti	ɲˈemoʒnˌostʲi
užili	ˈuʒili
