մռու	məɾu
հայտնել	hɑjdnɛl
անգմոկիո	ɑŋkʰmɔɡiɔ
պորտուգալերեն	bɔɾdukʰɑlɛɾɛn
պայթական	bɑjtʰɑɡɑn
շատրվան	ʃɑdəɾvɑn
ընդելուզել	əntʰɛluzɛl
կարգապահ	ɡɑɾkʰɑbɑh
կատալիզատոր	ɡɑdɑlizɑdɔɾ
հրացանակիր	həɾɑt͡sʰɑnɑɡiɾ
ադոնց	ɑtʰɔnt͡sʰ
ագի	ɑkʰi
կամընտիր	ɡɑməndiɾ
ստամբուլ	əstɑmpʰul
բուրվառ	pʰuɾvɑɾ
գիրկ	kʰiɾɡ
անդրուվար	ɑntʰɾuvɑɾ
ցխինվալ	t͡sʰχinvɑl
ուսումնասիրել	usumnɑsiɾɛl
տողադարձ	dɔʁɑtʰɑɾt͡sʰ
ապպիանոս	ɑbːijɑnɔs
թանաքաձուկ	tʰɑnɑkʰɑt͡sʰuɡ
արգելոց	ɑɾkʰɛlɔt͡sʰ
տեսիլ	dɛsil
սերմնաբշտիկ	sɛɾmnɑpʰəʃtiɡ
ստորանալ	əstɔɾɑnɑl
կարդինալ	ɡɑɾtʰinɑl
օրորոց	ɔɾɔɾɔt͡sʰ
պարսավանք	bɑɾsɑvɑŋkʰ
իրան	iɾɑn
կալլինոս	ɡɑlːinɔs
իմունիտետ	imunidɛd
հորաքրոջ	hɔɾɑkʰəɾɔt͡ʃʰ
եվրոպայի	jɛvɾɔbɑji
փական	pʰɑɡɑn
հարսնազգեստ	hɑɾsnɑskʰɛst
պարմենիդես	bɑɾmɛnitʰɛs
մարկիոս	mɑɾɡijɔs
հավակնոտ	hɑvɑɡnɔd
վիթխարի	vitʰχɑɾi
հայտնագործություն	hɑjdnɑkʰɔɾd͡zutʰʏn
դալար	tʰɑlɑɾ
դատարկել	tʰɑdɑɾɡɛl
բուրգունդիա	pʰuɾkʰuntʰjɑ
եպհ	jɛbəhə
հելիոս	hɛliɔs
մոզ	mɔz
ճարել	d͡ʒɑɾɛl
սերբախորվաթերեն	sɛɾpʰɑχɔɾvɑtʰɛɾɛn
կարս	ɡɑɾs
մոնշիկե	mɔnʃiɡɛ
ստեղնաշար	əstɛʁnɑʃɑɾ
ջեռուցել	t͡ʃʰɛɾut͡sʰɛl
ճնշում	d͡ʒənʃum
խոխոջալ	χɔχɔt͡ʃʰɑl
հումուս	humus
վհուկ	vəhuɡ
արշավանք	ɑɾʃɑvɑŋkʰ
գավազան	kʰɑvɑzɑn
լիբիացի	lipʰjɑt͡sʰi
ցո	t͡sʰɔ
անգործածելի	ɑŋkʰɔɾd͡zɑd͡zɛli
կյուրիում	ɡʏɾijum
ստրաբոն	əstɾɑpʰɔn
աբգար	ɑpʰkʰɑɾ
բռնչի	pʰəɾənt͡ʃʰi
ուստիեւ	ustijɛv
մղմեղ	məʁmɛʁ
ծովածոց	d͡zɔvɑd͡zɔt͡sʰ
երջանկություն	jɛɾt͡ʃʰɑŋɡutʰʏn
խուճապ	χud͡ʒɑb
զրկել	zəɾɡɛl
ուելսերեն	uɛlsɛɾɛn
խոր	χɔɾ
բժշկել	pʰəʒəʃkɛl
տզրուկ	dəzɾuɡ
ժուռնալ	ʒuɾnɑl
հորանջել	hɔɾɑnt͡ʃʰɛl
դասադուլ	tʰɑsɑtʰul
երախայրի	jɛɾɑχɑjɾi
խորը	χɔɾə
տառատեսակ	dɑɾɑdɛsɑɡ
ամման	ɑmːɑn
բանջարանոց	pʰɑnt͡ʃʰɑɾɑnɔt͡sʰ
տառ	dɑɾ
անցյալ	ɑnt͡sʰjɑl
լավատես	lɑvɑdɛs
հեյզեր	hɛjzɛɾ
գյոզալ	kʰjɔzɑl
մեղմ	mɛʁm
քվարց	kʰəvɑɾt͡sʰ
ղզիկ	ʁəziɡ
նա	nɑ
սկզբունքային	əskəspʰuŋkʰɑjin
ներսիսյան	nɛɾsisjɑn
մարգագետին	mɑɾkʰɑkʰɛdin
հոսանք	hɔsɑŋkʰ
ակնհայտնի	ɑɡənhɑjdni
ղուկաս	ʁuɡɑs
հարավսլավիա	hɑɾɑfslɑvjɑ
հաճ	hɑd͡ʒ
շանթ	ʃɑntʰ
բուռն	pʰuɾən
լուր	luɾ
հետադարձ	hɛdɑtʰɑɾt͡sʰ
տրուսիկ	dɾusiɡ
կողակ	ɡɔʁɑɡ
միլիառատեր	miljɑɾɑdɛɾ
առաքինություն	ɑɾɑkʰinutʰʏn
հայթայթանք	hɑjtʰɑjtʰɑŋkʰ
տիտան	didɑn
աբոնենտ	ɑpʰɔnɛnd
նոտար	nɔdɑɾ
պարտվել	bɑɾdvɛl
խթանել	χətʰɑnɛl
ճամփորդել	d͡ʒɑmpʰɔɾtʰɛl
հրատապ	həɾɑdɑb
թուրքմենական	tʰuɾkʰmɛnɑɡɑn
հացահատիկ	hɑt͡sʰɑhɑdiɡ
ճնճղուկ	d͡ʒənd͡ʒəʁuɡ
ձեռնոց	t͡sʰɛɾnɔt͡sʰ
կարծրախտ	ɡɑɾd͡zɾɑχt
մայտներիում	mɑjdnɛɾijum
ցաք	t͡sʰɑkʰ
մարտակոչ	mɑɾdɑɡɔt͡ʃʰ
անդրկովկաս	ɑntʰəɾɡɔfɡɑs
պլոճիկ	bəlɔd͡ʒiɡ
ֆաթիմյան	fɑtʰimjɑn
անհատականություն	ɑnhɑdɑɡɑnutʰʏn
մեղավոր	mɛʁɑvɔɾ
մեջտեղ	mɛt͡ʃʰtɛʁ
տեսարժան	dɛsɑɾʒɑn
հեռադիտակ	hɛɾɑtʰidɑɡ
դարպաս	tʰɑɾbɑs
վերարտադրություն	vɛɾɑɾdɑtʰɾutʰʏn
բեգեմոնտ	pʰɛkʰɛmɔnd
խինդ	χintʰ
ինտելիգենցիա	indɛlikʰɛnt͡sʰjɑ
լայնշի	lɑjnʃi
վարանել	vɑɾɑnɛl
քերականագիտական	kʰɛɾɑɡɑnɑkʰidɑɡɑn
լայն	lɑjn
փռշտալ	pʰəɾəʃtɑl
լուծիչ	lud͡zit͡ʃʰ
կարճ	ɡɑɾd͡ʒ
լոուրենսիում	luɾɛnsijum
որոնտես	vɔɾɔndɛs
բուդդիզմ	pʰutʰːizm
ճանապարհորդություն	d͡ʒɑnɑbɑɾɔɾtʰutʰʏn
քակոր	kʰɑɡɔɾ
արտաքին	ɑɾdɑkʰin
ակնածալի	ɑɡnɑd͡zɑli
կախվել	ɡɑχvɛl
երկարացնել	jɛɾɡɑɾɑt͡sʰənɛl
աբեթ	ɑpʰɛtʰ
կապարասի	ɡɑbɑɾɑsi
դող	tʰɔʁ
ոսկրածուծ	vɔskɾɑd͡zud͡z
գոչել	kʰɔt͡ʃʰɛl
մանվածապատ	mɑnvɑd͡zɑbɑd
հունան	hunɑn
մրցում	məɾt͡sʰum
առանցք	ɑɾɑnt͡sʰkʰ
հաղթական	hɑχtʰɑɡɑn
կարեկցական	ɡɑɾɛkʰt͡sʰɑɡɑn
եղբայրական	jɛχpɑjɾɑɡɑn
պայուսակ	bɑjsɑɡ
մազուրկա	mɑzuɾɡɑ
խուռն	χuɾən
հոգ	hɔkʰ
սիգարետ	sikʰɑɾɛd
մատնանշել	mɑdnɑnəʃɛl
այրուք	ɑjɾukʰ
բարեւել	pʰɑɾɛvɛl
տելուգու	dɛlukʰu
ձյունամրրիկ	t͡sʰʏnɑməɾːiɡ
լոկրիս	lɔɡɾis
ջայվ	t͡ʃʰɑjv
ցայսօր	t͡sʰɑjsɔɾ
տասնյոթ	dɑsnjəɔtʰ
քիմիապես	kʰimjɑbɛs
ծիրանենի	d͡ziɾɑnɛni
ձեռնպահ	t͡sʰɛɾənbɑh
հանդարտ	hɑntʰɑɾd
աղտոտել	ɑχtɔdɛl
մեծաշեն	mɛd͡zɑʃɛn
կարպատներ	ɡɑɾbɑdnɛɾ
մտահղացում	mədɑhʁɑt͡sʰum
քերականագիտություն	kʰɛɾɑɡɑnɑkʰidutʰʏn
խարկել	χɑɾɡɛl
լեզվաբուն	lɛzvɑpʰun
ելարան	jɛlɑɾɑn
դոն	tʰɔn
սահմանափակորեն	sɑhmɑnɑpʰɑɡɔɾɛn
մեյդան	mɛjtʰɑn
բաղձալ	pʰɑχt͡sʰɑl
գլդորել	kʰəltʰɔɾɛl
դու	tʰu
սեքսիզմ	sɛkʰsizm
հացագործ	hɑt͡sʰɑkʰɔɾd͡z
ձմռանը	t͡sʰəmɾɑnə
տարտուս	dɑɾdus
ներգաղթյալ	nɛɾkʰɑχtʰjɑl
զնջիլ	zənt͡ʃʰil
ընդարձակ	əntʰɑɾt͡sʰɑɡ
վեպ	vɛb
հյուրս	hʏɾəs
աստվածյան	ɑstvɑd͡zjɑn
օդակայան	ɔtʰɑɡɑjɑn
չափս	t͡ʃʰɑpʰs
օմար	ɔmɑɾ
տեսական	dɛsɑɡɑn
պալի	bɑli
արցախ	ɑɾt͡sʰɑχ
գեղագիտություն	kʰɛʁɑkʰidutʰʏn
ցավ	t͡sʰɑv
աջող	ɑt͡ʃʰɔʁ
ասատրյան	ɑsɑdəɾjɑn
կետ	ɡɛd
շալ	ʃɑl
անտիգոնե	ɑndikʰɔnɛ
ավան	ɑvɑn
տոմսկ	dɔmsk
կարբ	ɡɑɾpʰ
ապուշ	ɑbuʃ
արար	ɑɾɑɾ
երջանիկ	jɛɾt͡ʃʰɑniɡ
անբան	ɑnpʰɑn
սայթաքել	sɑjtʰɑkʰɛl
դուբլին	tʰupʰlin
լյուդվիգ	lʏtʰvikʰ
լեզվաբան	lɛzvɑpʰɑn
ուտելիք	udɛlikʰ
դարձվոր	tʰɑɾt͡sʰvɔɾ
կապոց	ɡɑbɔt͡sʰ
շենլիկ	ʃɛnliɡ
կթել	ɡətʰɛl
բազմանալ	pʰɑzmɑnɑl
տախտակ	dɑχtɑɡ
հեղեղում	hɛʁɛʁum
միզուկային	mizuɡɑjin
շեղել	ʃɛʁɛl
գինետուն	kʰinɛdun
սուրսաթ	suɾsɑtʰ
կենդանակերպի	ɡɛntʰɑnɑɡɛɾbi
ապհ	ɑbəhə
կանամբի	ɡɑnɑmpʰi
շահագործում	ʃɑhɑkʰɔɾd͡zum
չեխոլ	t͡ʃʰɛχɔl
տաքություն	dɑkʰutʰʏn
ախտորոշել	ɑχtɔɾɔʃɛl
հերքել	hɛɾkʰɛl
համաշխարհային	hɑmɑʃχɑɾɑjin
վհատորեն	vəhɑdɔɾɛn
չեխիա	t͡ʃʰɛχjɑ
ազատագնվել	ɑzɑdɑkʰənvɛl
կաղին	ɡɑʁin
ղազարյան	ʁɑzɑɾjɑn
իներտ	inɛɾd
կային	ɡɑjin
օսմանուհի	ɔsmɑnuhi
ոտնաման	vɔdnɑmɑn
կոհիմա	ɡɔhimɑ
մասնավորեցում	mɑsnɑvɔɾɛt͡sʰum
սոսափ	sɔsɑpʰ
մկրտություն	məɡəɾdutʰʏn
քաքել	kʰɑkʰɛl
ընթացակարգ	əntʰɑt͡sʰɑɡɑɾkʰ
բացել	pʰɑt͡sʰɛl
ծծումբ	d͡zəd͡zumpʰ
խիզախ	χizɑχ
թուրք	tʰuɾkʰ
մեն	mɛn
արգելել	ɑɾkʰɛlɛl
գահ	kʰɑh
լուսնթագ	lusəntʰɑkʰ
վերադառնալ	vɛɾɑtʰɑɾnɑl
նորապսակ	nɔɾɑbəsɑɡ
մարդահամար	mɑɾtʰɑhɑmɑɾ
փախուստ	pʰɑχust
պարս	bɑɾs
խոսրով	χɔsɾɔv
ստամբակ	əstɑmpʰɑɡ
ալկոհոլ	ɑlɡɔhɔl
ինստագրամ	instɑkʰɾɑm
մասամբ	mɑsɑmpʰ
սամարիում	sɑmɑɾijum
պայտ	bɑjd
միասնականություն	mjɑsnɑɡɑnutʰʏn
գրիգոր	kʰɾikʰɔɾ
ճտպտալ	d͡ʒədbədɑl
բաջի	bɑd͡ʒi
խանդավառ	χɑntʰɑvɑɾ
արձագանք	ɑɾt͡sʰɑkʰɑŋkʰ
կակղամորթ	ɡɑɡʁɑmɔɾtʰ
պաշտպանության	bɑʃtbɑnutʰjɑn
հաչոց	hɑt͡ʃʰɔt͡sʰ
հապալաս	hɑbɑlɑs
մանթապուր	mɑntʰɑbuɾ
վարորդ	vɑɾɔɾtʰ
կռթնել	ɡəɾtʰənɛl
բացականչում	pʰɑt͡sʰɑɡɑnt͡ʃʰum
բնաբան	pʰənɑpʰɑn
ինքնյակ	iŋkʰnjɑɡ
թվաբանական	tʰəvɑpʰɑnɑɡɑn
դամոն	tʰɑmɔn
քուֆթա	kʰuftʰɑ
արժանի	ɑɾʒɑni
ստություն	sədutʰʏn
ռազիան	ɾɑzjɑn
ոստրե	vɔstɾɛ
փերիխանյան	pʰɛɾiχɑnjɑn
խոհ	χɔh
մեռելոտի	mɛɾɛlɔdi
գործել	kʰɔɾd͡zɛl
մահ	mɑh
անմիջականություն	ɑnmit͡ʃʰɑɡɑnutʰʏn
խանդոտ	χɑntʰɔd
պնդուկ	bəntʰuɡ
կողակից	ɡɔʁɑɡit͡sʰ
քննարկում	kʰənːɑɾɡum
հասարակ	hɑsɑɾɑɡ
պարանոց	bɑɾɑnɔt͡sʰ
ֆ	fə
վարանք	vɑɾɑŋkʰ
ամոթույք	ɑmɔtʰujkʰ
սյուք	sʏkʰ
արտաքո	ɑɾdɑkʰɔ
գնապիտակ	kʰənɑbidɑɡ
նիկիա	niɡjɑ
խիտ	χid
գիրոկաստրա	kʰiɾɔɡɑstɾɑ
լայնալիճ	lɑjnɑlid͡ʒ
խալիֆայություն	χɑlifɑjutʰʏn
ղարավաշ	ʁɑɾɑvɑʃ
խառն	χɑɾən
անդամալուծություն	ɑntʰɑmɑlud͡zutʰʏn
ակորդեոն	ɑɡɔɾtʰɛɔn
կոշիկ	ɡɔʃiɡ
լրջություն	ləɾt͡ʃʰutʰʏn
ողնուղեղ	vɔʁnuʁɛʁ
ծովահրեշտակիկ	d͡zɔvɑhəɾɛʃtɑɡiɡ
հորացիոս	hɔɾɑt͡sʰiɔs
խորեն	χɔɾɛn
խտղտանք	χədʁədɑŋkʰ
ընկնավորություն	əŋɡnɑvɔɾutʰʏn
սարավանդ	sɑɾɑvɑntʰ
գուդաութա	kʰutʰɑutʰɑ
շարժական	ʃɑɾʒɑɡɑn
վերջնազարդ	vɛɾt͡ʃʰnɑzɑɾtʰ
ջիմ	t͡ʃʰim
շուտով	ʃudɔv
վայելել	vɑjɛlɛl
հզոր	həzɔɾ
քամանչա	kʰɑmɑnt͡ʃʰɑ
ճեղքել	d͡ʒɛχkʰɛl
թլվատ	tʰəlvɑd
արտակարգ	ɑɾdɑɡɑɾkʰ
գանգես	kʰɑŋkʰɛs
էմիր	ɛmiɾ
ստուգում	əstukʰum
բալթիկ	pʰɑltʰiɡ
կենսաբանություն	ɡɛnsɑpʰɑnutʰʏn
ասր	ɑsəɾ
ալպեր	ɑlbɛɾ
ցատկ	t͡sʰɑdɡ
ապահովություն	ɑbɑhɔvutʰʏn
դեգերում	tʰɛkʰɛɾum
հանդ	hɑntʰ
ֆամագուստա	fɑmɑkʰustɑ
քերականական	kʰɛɾɑɡɑnɑɡɑn
առէջ	ɑɾɛt͡ʃʰ
վարդան	vɑɾtʰɑn
հնոցապան	hənɔt͡sʰɑbɑn
թրել	tʰəɾɛl
ողողել	vɔʁɔʁɛl
վանո	vɑnɔ
շատ	ʃɑd
արեկիպա	ɑɾɛɡibɑ
հիմնահարց	himnɑhɑɾt͡sʰ
քաղցրահամ	kʰɑχt͡sʰɾɑhɑm
մարիամ	mɑɾjɑm
դատարան	tʰɑdɑɾɑn
ծախծխվել	d͡zɑχt͡səχvɛl
զավակ	zɑvɑɡ
աջաբ	ɑt͡ʃʰɑpʰ
սարսափելի	sɑɾsɑpʰɛli
սարսափ	sɑɾsɑpʰ
զաքարյան	zɑkʰɑɾjɑn
ողբերգություն	vɔχpɛɾkʰutʰʏn
խի	χi
էկոնոմիկա	ɛɡɔnɔmiɡɑ
ամերիկահայ	ɑmɛɾiɡɑhɑj
ծոծրակ	d͡zɔd͡zɾɑɡ
ախտաբան	ɑχtɑpʰɑn
հայդելբերգ	hɑjtʰɛlpʰɛɾkʰ
երեք	jɛɾɛkʰ
միստերիա	mistɛɾjɑ
բակո	pʰɑɡɔ
բանել	pʰɑnɛl
մրրիկ	məɾːiɡ
նկուղային	nəɡuʁɑjin
վաղ	vɑʁ
վհատություն	vəhɑdutʰʏn
բղջախոհություն	pʰəχt͡ʃʰɑχɔhutʰʏn
տնտեսագիտական	dəndɛsɑkʰidɑɡɑn
մարդիկ	mɑɾtʰiɡ
կոմիտե	ɡɔmidɛ
շնչել	ʃənt͡ʃʰɛl
դրասխանակերտ	tʰɾɑsχɑnɑɡɛɾd
տրոլեյբուս	dɾɔlɛjpʰus
շահավետ	ʃɑhɑvɛd
աբխազերեն	ɑpʰχɑzɛɾɛn
առարկայություն	ɑɾɑɾɡɑjutʰʏn
այնուամենայնիվ	ɑjnuɑmɛnɑjniv
առնմանություն	ɑɾnəmɑnutʰʏn
ողնաշարավոր	vɔʁnɑʃɑɾɑvɔɾ
ընձուղտ	ənt͡sʰuχt
թրթուր	tʰəɾtʰuɾ
իրավունք	iɾɑvuŋkʰ
տեռորիստ	dɛɾɔɾist
զիբիլանոց	zipʰilɑnɔt͡sʰ
բարձրաձայն	pʰɑɾt͡sʰɾɑt͡sʰɑjn
վերջը	vɛɾt͡ʃʰə
անիսոն	ɑnisɔn
ռակկա	ɾɑɡːɑ
իրավմամբ	iɾɑvmɑmpʰ
թութ	tʰutʰ
ալոճենի	ɑlɔd͡ʒɛni
խոպան	χɔbɑn
գեղոն	kʰɛʁɔn
սերտ	sɛɾd
սուտ	sud
ծնվել	d͡zənvɛl
կատակերգություն	ɡɑdɑɡɛɾkʰutʰʏn
տուժող	duʒɔʁ
միքայել	mikʰɑjɛl
չաշխուր	t͡ʃʰɑʃχuɾ
հումանիտար	humɑnidɑɾ
բեւեռ	pʰɛvɛɾ
ասած	ɑsɑd͡z
ծովափիղ	d͡zɔvɑpʰiʁ
խորոզ	χɔɾɔz
բոկոտն	pʰɔɡɔdən
թաթ	tʰɑtʰ
կոպեռնիցիում	ɡɔbɛɾnit͡sʰijum
քանորդ	kʰɑnɔɾtʰ
վայրենի	vɑjɾɛni
դրամաշնորհ	tʰəɾɑmɑʃənɔɾ
մերվ	mɛɾv
օրհնել	ɔɾtʰnɛl
կարթաձող	ɡɑɾtʰɑt͡sʰɔʁ
շամբ	ʃɑmpʰ
ավտոտնակ	ɑfdɔdənɑɡ
գնոստիկ	kʰənɔstiɡ
հառաջացում	hɑɾɑt͡ʃʰɑt͡sʰum
առկայություն	ɑɾɡɑjutʰʏn
ձեռագիր	t͡sʰɛɾɑkʰiɾ
գեշ	kʰɛʃ
զառամել	zɑɾɑmɛl
ուրուկ	uɾuɡ
սառնամանիք	sɑɾnɑmɑnikʰ
հեղեղ	hɛʁɛʁ
մենդելեւիում	mɛntʰɛlɛvijum
կթոտ	ɡətʰɔd
հեթում	hɛtʰum
մշուշապատ	məʃuʃɑbɑd
աղանձ	ɑʁɑnt͡sʰ
դուրս	tʰuɾs
զգայարան	əskʰɑjɑɾɑn
փեշթախթա	pʰɛʃtʰɑχtʰɑ
հռովմեական	həɾɔvmɛjɑɡɑn
դույզն	tʰujzən
ծոռ	d͡zɔɾ
լեհերեն	lɛhɛɾɛn
լյուրիկե	lʏɾiɡɛ
թենիսիստ	tʰɛnisist
խավարչուտ	χɑvɑɾt͡ʃʰud
ստոկհոլմ	əstɔɡhɔlm
էլեկտրաշոկ	ɛlɛɡdɾɑʃɔɡ
իսլամաբադ	islɑmɑpʰɑtʰ
նվագել	nəvɑkʰɛl
բանկա	pʰɑŋɡɑ
նետաձգուհի	nɛdɑt͡sʰəkʰuhi
երաշխավորում	jɛɾɑʃχɑvɔɾum
փքունություն	pʰəkʰunutʰʏn
տառեղ	dɑɾɛʁ
ագուցահանել	ɑkʰut͡sʰɑhɑnɛl
բարդ	pʰɑɾtʰ
որտեւ	vɔɾdɛv
համայնք	hɑmɑjŋkʰ
քանի	kʰɑni
գանա	kʰɑnɑ
նպաստ	nəbɑst
օջախային	ɔt͡ʃʰɑχɑjin
հաստություն	hɑstutʰʏn
սպանուհի	əspɑnuhi
մուռ	muɾ
փիչխ	pʰit͡ʃʰχ
կաղամբ	ɡɑʁɑmpʰ
վարկած	vɑɾɡɑd͡z
պաղեստին	bɑʁɛstin
ալիբի	ɑlipʰi
անջրպետ	ɑnt͡ʃʰəɾbɛd
լոգանալ	lɔkʰɑnɑl
արեգ	ɑɾɛkʰ
հեծելազորային	hɛd͡zɛlɑzɔɾɑjin
որդեսեր	vɔɾtʰɛsɛɾ
բաղբաջել	pʰɑχpʰɑt͡ʃʰɛl
ապացուցում	ɑbɑt͡sʰut͡sʰum
կայսրություն	ɡɑjsɾutʰʏn
հասարակական	hɑsɑɾɑɡɑɡɑn
երկանաքար	jɛɾɡɑnɑkʰɑɾ
ծիծիլյոն	d͡zid͡ziljɔn
խաղող	χɑʁɔʁ
ասուրերեն	ɑsuɾɛɾɛn
իշխանափոխություն	iʃχɑnɑpʰɔχutʰʏn
տաճարական	dɑd͡ʒɑɾɑɡɑn
մոսկվա	mɔskvɑ
աճուկ	ɑd͡ʒuɡ
ձիաստաց	t͡sʰijɑstɑt͡sʰ
կարտոշկա	ɡɑɾdɔʃkɑ
վարսավիր	vɑɾsɑviɾ
ինտերլինգվա	indɛɾliŋkʰvɑ
մատնություն	mɑdnutʰʏn
օքսֆորդ	ɔkʰsfɔɾtʰ
աջ	ɑt͡ʃʰ
օծել	ɔd͡zɛl
մեղմեխ	mɛʁmɛχ
հաճախորդուհի	hɑd͡ʒɑχɔɾtʰuhi
միզապարկ	mizɑbɑɾɡ
կճատ	ɡəd͡ʒɑd
ատալիա	ɑdɑljɑ
պարագա	bɑɾɑkʰɑ
հրազդան	həɾɑstʰɑn
իրար	iɾɑɾ
մեղրագինի	mɛʁɾɑkʰini
հրեաստան	həɾjɑstɑn
որոշել	vɔɾɔʃɛl
քրքրել	kʰəɾkʰəɾɛl
թեւք	tʰɛfkʰ
հուշարձան	huʃɑɾt͡sʰɑn
բալիկ	pʰɑliɡ
արուսյակ	ɑɾusjɑɡ
պոդոլսկ	bɔtʰɔlsk
մատուցողուհի	mɑdut͡sʰɔʁuhi
քծնել	kʰəd͡znɛl
թարախ	tʰɑɾɑχ
խնդրագիր	χəntʰɾɑkʰiɾ
մորալիստ	mɔɾɑlist
բեռնատար	pʰɛɾnɑdɑɾ
շտապել	əʃtɑbɛl
շիմպանզե	ʃimbɑnzɛ
ջնջել	t͡ʃʰənt͡ʃʰɛl
անջատել	ɑnt͡ʃʰɑdɛl
վերջընթեր	vɛɾt͡ʃʰəntʰɛɾ
որոտ	vɔɾɔd
տեսակ	dɛsɑɡ
ար	ɑɾ
յաշ	jɑʃ
միջակետ	mit͡ʃʰɑɡɛd
վարուժան	vɑɾuʒɑn
ինքնահավանություն	iŋkʰnɑhɑvɑnutʰʏn
գազալցակայան	kʰɑzɑlət͡sʰɑɡɑjɑn
շիտակ	ʃidɑɡ
տապակել	dɑbɑɡɛl
հրշեջ	həɾʃɛt͡ʃʰ
ինդոնեզիա	intʰɔnɛzjɑ
տիզ	diz
համեստություն	hɑmɛstutʰʏn
անվտանգություն	ɑnvədɑŋkʰutʰʏn
դաշինք	tʰɑʃiŋkʰ
գաղափարագիր	kʰɑʁɑpʰɑɾɑkʰiɾ
մագնիս	mɑkʰnis
ագա	ɑkʰɑ
թորիծ	tʰɔɾid͡z
աբական	ɑpʰɑɡɑn
բոշա	pʰɔʃɑ
լաբիրինթոս	lɑpʰiɾintʰɔs
ղեւոնդ	ʁɛvɔntʰ
ապուր	ɑbuɾ
օմբուդսմեն	ɔmpʰut͡sʰmɛn
շողալ	ʃɔʁɑl
աճեմ	ɑd͡ʒɛm
սել	sɛl
վառարան	vɑɾɑɾɑn
սպանդանոց	əspɑntʰɑnɔt͡sʰ
լիգա	likʰɑ
բռնաբար	pʰəɾnɑpʰɑɾ
կտուր	ɡəduɾ
սատկել	sɑdɡɛl
ընդգծել	əntʰkʰəd͡zɛl
հող	hɔʁ
սկզբնատառ	əskəspʰnɑdɑɾ
պարսկաստան	bɑɾskɑstɑn
սակարկություն	sɑɡɑɾɡutʰʏn
պենալ	bɛnɑl
առտու	ɑɾdu
արեգակ	ɑɾɛkʰɑɡ
փոթի	pʰɔtʰi
դաշտով	tʰɑʃtɔv
վիսկի	viski
համոզմունք	hɑmɔzmuŋkʰ
հաթ	hɑtʰ
կանն	ɡɑnː
սդ	sətʰə
քիլիմ	kʰilim
պատժում	bɑdʒum
կրիպտոն	ɡɾibdɔn
նոյեմբեր	nɔjɛmpʰɛɾ
բարկացած	pʰɑɾɡɑt͡sʰɑd͡z
հատել	hɑdɛl
լեզվաբանություն	lɛzvɑpʰɑnutʰʏn
չփլախ	t͡ʃʰəpʰlɑχ
գիլ	kʰil
ծախսագիրք	d͡zɑχsɑkʰiɾkʰ
պատել	bɑdɛl
շահագործել	ʃɑhɑkʰɔɾd͡zɛl
լռին	ləɾin
մածնաբրդոշ	mɑd͡znɑpʰəɾtʰɔʃ
հարսնյակ	hɑɾsnjɑɡ
գուլպա	kʰulbɑ
ավարտվել	ɑvɑɾdvɛl
մոր	mɔɾ
մաքսատուն	mɑkʰsɑdun
տղմուտ	dəʁmud
ժպիրհ	ʒəbiɾh
ծոփք	d͡zɔpʰkʰ
վերջածանցային	vɛɾt͡ʃʰɑd͡zɑnt͡sʰɑjin
հայց	hɑjt͡sʰ
նույնպես	nujnbɛs
դերասանուհի	tʰɛɾɑsɑnuhi
իրատեսություն	iɾɑdɛsutʰʏn
լեցուն	lɛt͡sʰun
ամերիկայի	ɑmɛɾiɡɑji
գանգրավոր	kʰɑŋkʰɾɑvɔɾ
քսիլոֆոն	kʰsilɔfɔn
համատիրություն	hɑmɑdiɾutʰʏn
ածխածին	ɑd͡zχɑd͡zin
փարթի	pʰɑɾtʰi
սազել	sɑzɛl
նորեկ	nɔɾɛɡ
ներկայացուցչություն	nɛɾɡɑjɑt͡sʰut͡sʰt͡ʃʰutʰʏn
մական	mɑɡɑn
ձայնդարձ	t͡sʰɑjntʰɑɾt͡sʰ
շառլատան	ʃɑɾlɑdɑn
քշել	kʰəʃɛl
քաջք	kʰɑt͡ʃʰkʰ
ազգագրական	ɑskʰɑkʰəɾɑɡɑn
ստարտափ	əstɑɾdɑpʰ
սարսափուն	sɑɾsɑpʰun
հեղափոխություն	hɛʁɑpʰɔχutʰʏn
վերջափակվել	vɛɾt͡ʃʰɑpʰɑɡvɛl
մարտ	mɑɾd
ծափահարվել	d͡zɑpʰɑhɑɾvɛl
վրացի	vəɾɑt͡sʰi
քալամ	kʰɑlɑm
սահմանվել	sɑhmɑnvɛl
մռել	məɾɛl
փարիսական	pʰɑɾisɑɡɑn
վոդ	vɔtʰ
նվագախումբ	nəvɑkʰɑχumpʰ
նախանձվել	nɑχɑnt͡sʰvɛl
մումբայ	mumpʰɑj
վիեննա	vijɛnːɑ
իմիջ	imit͡ʃʰ
երանի	jɛɾɑni
մամուկ	mɑmuɡ
պոլաբերեն	bɔlɑpʰɛɾɛn
խափան	χɑpʰɑn
հոյակապ	hɔjɑɡɑb
սալաքար	sɑlɑkʰɑɾ
լիազորել	ljɑzɔɾɛl
ճավա	d͡ʒɑvɑ
մոտ	mɔd
կանացի	ɡɑnɑt͡sʰi
անդամալուծվել	ɑntʰɑmɑlud͡zvɛl
երկաթեղեն	jɛɾɡɑtʰɛʁɛn
լիսաբոն	lisɑpʰɔn
տիղմ	diʁm
վերջացվել	vɛɾt͡ʃʰɑt͡sʰvɛl
