زرتشتی	zæɾtoʃtiː
ملافه	mælɒːfe
هلال حاصلخیز	helɒːlehɒːselxiːz
وب‌گاه	vebɡɒːh
الکترونیک	elekteɾoniːk
داغ کردن	dɒːɢkæɾdæn
مسئله	mæsæle
کفاش	kæffɒːʃ
فراموشکاری	fæɾɒːmuːʃkɒːɾiː
صعب	sæʔb
تاندون	tɒːndon
لگد خوردن	læɡædxoɾdæn
خواهش کردن	xɒːheʃkæɾdæn,xɒːheʃkæɾdæn
زیرا	ziːɾɒː
سرخابی سیر	soɾxɒːbiːsiːɾ
قبا	ɢæbɒː
حسودی کردن	hæsuːdiːkæɾdæn
خواستگاری کردن	xɒːsteɡɒːɾiːkæɾdæn
برنامک	bæɾnɒːmæk
باقلوا	bɒːɢlævɒː
مایونز	mɒːjonez
شوخی کردن	ʃuːxiːkæɾdæn
عدس	ʔædæs,ædæs
تیم	tiːm
پاپایه	pɒːpɒːje
بوسنیائی	bosniːjɒːʔiː
ماسه بادی	mɒːssebɒːdiː
خبر شدن	xæbæɾʃodæn
قاشق	ɢɒːʃeɢ,ɢɒːʃoɢ
چغندر	t͡ʃoɢondæɾ
دست و پا کردن	dæstopɒːkæɾdæn
رنگ کردن	ɾænɡkæɾdæn,ɾænɡkæɾdæn
نم کشیدن	næmkeʃiːdæn
راه	ɾɒːh
شفا دادن	ʃæfɒːdɒːdæn
تباری	tæbɒːɾiː
فیس بوک	fesbuːk
ون	væn
قرارملاقات	ɢæɾɒːɾemolɒːɢɒːt
کاشغر	kɒːʃɢæɾ
جرم گرفتن	d͡ʒeɾmɡeɾeftæn
فوتون	foton
تجربه	tæd͡ʒɾobe
بخواهیم	bexɒːhiːm
به امید دیدار	beomiːdediːdɒːɾ
مغولی	moɢuːliː
نیکل	niːkel
آشخال	ɒːʃxɒːl
عطر	ætɾ
خرخر	xoɾxoɾ
پسرخوانده	pesæɾxwɒːnde
دارواش	dɒːɾvɒːʃ
آماج گرفتن	ɒːmɒːd͡ʒɡeɾeftæn
بالا زدن	bɒːlɒːzædæn
یخ زدن	jæxzædæn
منظره	mænzæɾe
کاهش دادن	kɒːheʃdɒːdæn
می زدن	mejzædæn
ستایش	setɒːjeʃ
جناب	d͡ʒenɒːb
کپک زدن	kæpækzædæn
توهین کردن	toʊhiːnkæɾdæn
خارج	xɒːɾed͡ʒ
کوچه	kuːt͡ʃe
یک کمی	jekkæmiː
خوكچه	xuːkt͡ʃe
برتونی	beɾetuːniː,beɾetoniː
بازیگر	bɒːziːɡæɾ
نئونازی	neʔuːnɒːziː
توضیح	toʊziːh
محاکمه کردن	mohɒːkemekæɾdæn
مارى	mɒːɾiː
ریش زدن	ɾiːʃzædæn
موشواره	muːʃvɒːɾæ
بشکن	beʃkæn
حکومت	hokuːmæt
زل زدن	zolzædæn
سیگارت	siːɡɒːɾet
خارکوف	xɒːɾkov,xɒːɾkuːv
دندان پزشکی	dændɒːnpezeʃkiː
باغلاما	bɒːɢlɒːmɒː
لیسیدن	liːsiːdæn
نگاه داشتن	neɡɒːhdɒːʃtæn
بن	bon
جواب کردن	d͡ʒævɒːbkæɾdæn
اپل	epl
چشم انداز	t͡ʃæʃmændɒːz
برخاستن	bæɾxɒːstæn
مردم	mæɾdom
یه کمی	jekæmiː
پسردائی	pesæɾdɒːʔiː
بازوبند	bɒːzuːbænd
بیمارستان	biːmɒːɾestɒːn
گونیا	ɡuːniːjɒː
عروسی گرفتن	æɾuːsiːɡeɾeftæn
انگبین	ænɡæbiːn,ænɡobiːn
انجام دادن	ænd͡ʒɒːmdɒːdæn
تثبیت	tæsbiːt
سر	sæɾ,seɾ,soɾ
لب زدن	læbzædæn
مسافرت کردن	mosɒːfeɾætkæɾdæn
هیدروژن	hiːdɾod͡ʒen
اسفند	esfænd
هلو	holuː
درد آوردن	dæɾdɒːvæɾdæn
صحنه رقص	sæhnejeɾæɢs
ترجیح دادن	tæɾd͡ʒiːhdɒːdæn,tæɾd͡ʒiːhdɒːdæn
بمبئی	bombæʔiː
سفارتخانه	sefɒːɾætxɒːne
قرمزی	ɢeɾmeziː
موسم	mæuːsæm
فراداده	fæɾɒːdɒːde
هوش	huːʃ
استودیو	estuːdiːjuː
بالگرد	bɒːlɡæɾd
فاصله	fɒːsele
گل آفتاب‌گردان	ɡolæftɒːbɡæɾdɒːn
طبقه	tæbæɢe
قلقلک دادن	ɢelɢelækdɒːdæn
پایگاه داده‌ها	pɒːjɡɒːhedɒːdehɒː
وجود	vod͡ʒuːd
کشیده خوردن	keʃiːdexoɾdæn
نازی	nɒːziː
دایی‌زاده	dɒːjiːzɒːde
نیویورک	njuːjuːɾk
مشهد	mæʃhæd
خواسته‌ایم	xɒːsteiːm
فدراسیون	fedeɾɒːsjuːn
لیف	liːf
دکتر کودکان	doktoɾekuːdækɒːn
چندش شدن	t͡ʃendeʃʃodæn
بلودى مارى	bluːdiːmɒːɾiː
کله	kællæ,kælle
جعفری	d͡ʒæʔfæɾiː
تلگراف کردن	teleɡɾɒːfkæɾdæn
گول	ɡuːl
سرهنگ	sæɾhænɡ
کلم	kælæm
تنگه بسفر	tænɡæbosfoɾ
خور	xuːɾ
رودست خوردن	ɾuːdæstxoɾdæn
متغیر عضو	moteɢejjeɾeozv
سرم	seɾom
ژیرش	ʒiːɾeʃ
بیماری زدن	bebiːmɒːɾiːzædæn
مبارزه کردن	mobɒːɾezekæɾdæn
صدا	sedɒː
سینما	siːnemɒː
تنگدستی	tænɡdæstiː
کارمند	kɒːɾmænd
زیست	ziːst
روانکاو	ɾævɒːnʔkɒːv
رف	ɾæf
شپش	ʃepeʃ
اس ام اس زدن	esemeszædæn
دیوانه	diːvɒːne
بکن	bokon
جورجیا	d͡ʒuːɾd͡ʒiːjɒː
اطلاع	ettelɒːʔ
برچسب زدن	bæɾt͡ʃæsbzædæn,bæɾt͡ʃæsbzædæn
عرق ریختن	æɾæɢɾiːxtæn
بندرگاه	bændæɾɡɒːh
شکوفه	ʃokuːfe
ولت	volt
تشکر کردن	tæʃækkoɾkæɾdæn
چین افتادن	t͡ʃiːnoftɒːdæn
افزودن	æfzuːdæn
شگرد	ʃeɡeɾd
تثبیت کردن	tæsbiːtkæɾdæn
شاتوت	ʃɒːtuːt
کشاورزی	keʃɒːvæɾziː
شکلک	ʃeklæk
متن ادبی	mætneædæbiː
دفتر	dæftæɾ
وقتی که	væɢtiːke
خشت	xeʃt
درز	dæɾz
آلوچه جنگلی	ɒːluːt͡ʃed͡ʒænɡæliː
لکنت	loknæt
تخته سنگ	tæxtesænɡ,tæxtæsænɡ
کروکودیل	kɾokodiːl
بازیافت	bɒːzjɒːft
بازو	bɒːzuː
پدرجد	pedæɾd͡ʒædd
نگهداری	neɡæhdɒːɾiː
دم زدن	dæmzædæn
خسته	xæstæ,xæste
اسفناج	esfenɒːd͡ʒ
وافن اس‌اس	vɒːfeneses
آفتاب	ɒːftɒːb
معاصر	moʔɒːseɾ
کاخ سفید	kɒːxesæfiːd
چی	t͡ʃiː
پینه زدن	piːnezædæn
کلیدی	keliːdiː
شکم	ʃekæm
سنگال	seneɡɒːl
کام کشیدن	kɒːmkeʃiːdæn
پارسه	pɒːɾse
گردو	ɡeɾduː
فکس کردن	fækskæɾdæn
ایمان	iːmɒːn
خردمندی	xeɾædmændiː
افترا زدن	efteɾɒːzædæn
شادی	ʃɒːdiː
وزن	væzn
مورچه	muːɾt͡ʃe
بيگـاری گرفتن	biːɡɒːɾiːɡeɾeftæn
التزامی	eltezɒːmiː
واژن	vɒːʒæn
نخست وزیر	noxostvæziːɾ
راديوم	ɾɒːdiːjuːm
زعفران	zæʔfeɾɒːn
قایق	ɢɒːjeɢ
واتیکان	vɒːtiːkɒːn
سلام دنیا	sælɒːmdonjɒː
گاه به گاه	ɡɒːhbeɡɒːh
پوزیترون	posiːtɾon
توجیه کردن	tod͡ʒiːhkæɾdæn
داشتی می‌خواستی	dɒːʃtiːmíxɒːstiː
بدبو	bædbuː
دستشویی	dæstʃuːtiː
گریه انداختن	ɡeɾjeændɒːxtæn
خانم	xɒːnom
سرمه	soɾme
پیشاب	peʃɒːb
بخیه کردن	bæxiːjekæɾdæn
گجراتی	ɡod͡ʒæɾɒːtiː
پروانه	pæɾvɒːne
زلزله	zelzele
ذوق زدن	zoʊɢzædæn
ستوان	sotvɒːn
گرمساز	ɡæɾmsɒːz
سوپرمارکت	suːpeɾmɒːɾket
زخم	zæxm
سیسیل	siːsiːl
عنان	ænɒːn
گو	ɡoʊ,ɡuː
رغبت	ɾeɢbæt
صورت	suːɾæt
درگوشی	dæɾeɡuːʃiː
گذاشتن	ɡozɒːʃtæn,topuːt
مشت زدن	moʃtzædæn
اسلیمی	esliːmiː
استفراغ افتادن	estefɾɒːɢoftɒːdæn
فهمیدید	fæhmiːdiːd
سی	siː
سوراخ	suːɾɒːx
دموکراسی	demuːkɾɒːsiː
اگر و فقط اگر	æɡæɾvæfæɢætæɡæɾ
تاکتیک	tɒːktiːk
نود	nævæd
سورانی	soɾɒːniː
گربه	ɡoɾbe
اول	ævvæl
ظرف	zæɾf
چروک	t͡ʃoɾuːk
مهمانی	mehmɒːniː
چنگ زدن	t͡ʃænɡzædæn
روزنامه	ɾuːznɒːme
چشم	t͡ʃeʃm,t͡ʃæʃm,t͡ʃæŝm,t͡ʃeʃmt͡ʃæʃm
عراق	ʔeɾɒːɢ
میانبر زدن	miːɒːnboɾzædæn
اماکن	æmɒːken
راندن	ɾɒːndæn
با	bɒː
آبکش	ɒːbkeʃ
باد دادن	bɒːddɒːdæn
کیسه کشیدن	kiːsekeʃiːdæn
کد پستی	kodepostiː
ان	æn
گردن زدن	ɡæɾdænzædæn,ɡæɾdænzædæn
لائوس	lɒːʔos
فسرده	fesoɾde
مزرعه	mæzɾæʔe
مرغ	moɾɢ
نیرنگ	nejɾænɡ
خروس	xoɾuːs
قیماق	ɢejmɒːɢ
یازده	jɒːzdæh
مياني	miːjɒːniː
کریکت	kɾiːket
بیکاری کشیدن	biːkɒːɾiːkeʃiːdæn
خیز	xiːz
یه	je
دستکش	dæstkeʃ
پنجه	pænd͡ʒe
پنسیلین زدن	penesiːliːnzædæn
رمزنگاری	ɾæmzneɡɒːɾiː
زمین	zæmiːn
به صحنه آوردن	besæhneævæɾdæn
ویرایش	viːɾɒːjeʃ
روشنگری	ɾoʃænɡæɾiː
حریف	hæɾiːf
شلیل.شبرنگ	ʃæliːl.ʃæbɾænɡ
ناکارامد	nɒːkɒːɾɒːmæd
دژخیم	doʒxiːm
گلاسنوست	ɡlɒːsnost
نامزد	nɒːmzæd
سهل	sæhl
کاخ	kɒːx
بینایی	biːnɒːjiː
جگر	d͡ʒeɡæɾ
رسانه	ɾesɒːne,ɾæsɒːne
کبالت	kobɒːlt
یورو	juːɾo
گوشه و کنایه زدن	ɡuːʃeokenɒːjezædæn
استخدام شدن	estexdɒːmʃodæn
سردبیر	sæɾdæbiːɾ
اقلا	æɢælæn
خوشه	xuːʃe,xuːʃæ
برزیل	beɾziːl,beɾeziːl
نشان زرین	neʃɒːnezæɾiːn
بيست	biːst
تمام شدن	tæmɒːmʃodæn
پول	puːl
خطا	xætɒː
درمان	dæɾmɒːn
چک خوردن	t͡ʃækxoɾdæn
حیفا	hæiːfɒː
لغت‌نامه	loɢætnɒːme
تابع	tɒːbeʔ
غوطه زدن	ɢuːtezædæn
فرش کردن	fæɾʃkæɾdæn,fæɾʃkæɾdæn
مارک	mɒːɾk
جامع	d͡ʒɒːmeʔ
فشار دادن	feʃɒːɾdɒːdæn,feʃæɾdɒːdæn
دست نخورده	dɒːstnæxoɾde
برنجی	beɾend͡ʒiː
آب اکسیژنه	ɒːboksiːʒene
ساختگی	sɒːxteɡiː
له له زدن	læhlæhzædæn
هدایت شدن	hedɒːjætʃodæn
چنگ	t͡ʃænɡ
عهده	ohde
کاف	kɒːf
سیمرغ	siːmoɾɢ
آرزو کردن	ɒːɾezuːkæɾdæn
احتياط کردن	entiːɒːtkæɾdæn
سخت‌پوست	sæxtpuːst
چند	t͡ʃænd
دلنواز	delnævɒːz
ضربدر زدن	zæɾbdæɾzædæn
مولداوی	muːldɒːviː
برش	boɾʃ,boɾeʃ
دائرةالمعارف	dɒːʔeɾætolmæʔɒːɾef
باسکی	bɒːskiː
دختر	doxtæɾ
خوکچه هندی	xuːkt͡ʃejehendiː
صقلیه	seɢliːje
کاهش	kɒːheʃ
سیکتیوکار	siːktiːvkɒːɾ
گوندولا	ɡondolɒː
جانان	d͡ʒɒːnɒːn
پنسیلین	penesiːliːn
ناو	nɒːv
هویج	hæviːd͡ʒ
همدستی کردن	hæmdæstiːkæɾdæn
ناخنک 	nɒːxonæk
هالووین	hɒːlouːviːn
بلند	bolænd
چین	t͡ʃiːn
شکر کردن	ʃokɾkæɾdæn
گیتاشناسی	ɡiːtɒːʃenɒːsiː
بژم	bæʒm
فورا	fævɾæn
یاسمین	jɒːsæmiːn
تخت	tæxt
استعداد	esteʔdɒːd
پریشب	pæɾiːʃæb
نهر	næhɾ
راه شاهی	ɾɒːheʃɒːhiː
باباآدم	bɒːbɒːdæm
دشوار	doʃvɒːɾ
کامامبر	kɒːmɒːmbeɾ
قرآن	ɢoɾʔɒːn
تب	tæb
پاپ	pɒːp
تهيه دیدن	tæhiːjediːdæn
هاردکور	hɒːɾdkoɾ
وجود آمدن	vod͡ʒuːdɒːmædæn
چشم‌غره	t͡ʃeʃmɢoɾɾe
پدربزرگ و مادربزرگ	pedæɾbozoɾɡomɒːdæɾbozoɾɡ
دانستن	dɒːnestæn
فارماکولوژی	fɒːɾmɒːkoloʒiː
نعل اسب	næʔleæsb
لانه	lɒːne
افتادن	oftɒːdæn
پیغام	pejɢɒːm
استرالیا	ostɾɒːliːjæ
پایان	pɒːjɒːn
خواننده زن	xɒːnændejezæn
پانجه​آ	pænd͡ʒēɒː
اکوادور	ekvɒːdoɾ
ادوکلن	odokolon
اسفنج	esfænd͡ʒ
بستنی	bæstæniː
دور گرفتن	doʊɾɡeɾeftæn
برق	bæɾɢ
زبان خارجی	zæbɒːnexɒːɾed͡ʒiː
نمودن	nemuːdæn
لجاجت	led͡ʒɒːd͡ʒæt
چارک	t͡ʃɒːɾæk
بتا	betɒː
مالایی	mɒːlɒːjiː
کلنگ	kolænɡ
اطاعت کردن	etɒːʔætkæɾdæn
آدمی	ɒːdæmiː
خسارت خوردن	xesɒːɾætxoɾdæn
جورج تاون	d͡ʒoɾd͡ʒtɒːuːn
صحرای غربی	sæhɒːɾæɢæɾbiː
آشنایی	ɒːʃnɒːjiː
الله اکبر	ællɒːhoækbæɾ
وصله زدن	væslezædæn
همگام‌سازی	hæmɡɒːmsɒːziː
آرزومندی	ɒːɾezuːmændiː
پهن	pæhn,pehen
دولت	douːlæt,doʊlæt
لمس	læms
پورسلین	poɾseliːn
قیچی	ɢejt͡ʃiː
تشويق کردن	tæʃviːɢkæɾdæn
مثال زدن	mesɒːlzædæn
تجربه کردن	tæd͡ʒɾobekæɾdæn
اجاره کردن	ed͡ʒɒːɾekæɾdæn,ed͡ʒɒːɾekæɾdæn
نامک	nɒːmæk
متحد	mottæhed
یادداشت	jɒːddɒːʃt
افترا	efteɾɒː
مالش دادن	mɒːleʃdɒːdæn
مراعات کردن	moɾɒːʔɒːtkæɾdæn
اخترشناس	æxtæɾʃenɒːs
ژنرال	ʒeneɾɒːl
آشغال	ɒːʃɢɒːl
اعتراف کردن	eʔteɾɒːfkæɾdæn
مالیات	mɒːliːjɒːt
اجاره دادن	ed͡ʒɒːɾedɒːdæn,ed͡ʒɒːɾedɒːdæn
سوهان زدن	sohɒːnzædæn
ارث رسیدن	eɾsɾesiːdæn
موافق بودن	movɒːfeɢbuːdæn
استفراغ	estefɾɒːɢ
افزایش	æfzɒːjeŝ,æfzɒːjeʃ
بي ابهام	biːebhɒːm
خداحافظی	xodɒːhɒːfeziː
بهره گرفتن	bæhɾeɡeɾeftæn
لقب گرفتن	læɢæbɡeɾeftæn
حیرت افتادن	hejɾætoftɒːdæn
قیمت	ɢejmæt
نگهبان	neɡæhbɒːn
ترگمان	tæɾɡomɒːn
شدن	ʃodæn
تشریف آوردن	tæʃɾiːfɒːvæɾdæn
گت	ɡæt,ɡot
هنر رزمی	honæɾeɾæzmiː
مارخوار	mɒːɾxɒːɾ
بازی‌های المپیک	bɒːziːhɒːjeolæmpiːk
جعبه نامه	d͡ʒæʔbejenɒːme
ژرف	ʒæɾf
سرعت نور	soɾʔætenuːɾ
خراميدن	xæɾɒːmiːdæn
تبدیل	tæbdiːl
پرده کرکره	pæɾdekeɾkeɾe
عقد	æɢd
خالی	xɒːliː
جراحی کردن	d͡ʒæɾɾɒːhiːkæɾdæn
چاقو زدن	t͡ʃɒːɢuːzædæn
خواستید	xɒːstiːd
پس انداز	pæsændɒːz
ترنج	toɾænd͡ʒ
ساکت شدن	sɒːketʃodæn
تامبوف	tɒːmbuːf
برادرخوانده	bæɾɒːdæɾxwɒːnde
گند زدن	ɡændzædæn
امان آوردن	æmɒːnɒːvæɾdæn
دنیا	donjɒː
استفاده	estefɒːde
خلاصه کردن	xolɒːsekæɾdæn
بغض گرفتن	boɢzɡeɾeftæn
جنگ سرد	d͡ʒænɡesæɾd
تخم کردن	toxmkæɾdæn
جوراب	d͡ʒuːɾɒːb
خاطرخواه	xɒːteɾxɒːh
زنگی	zænɡiː
مغازه	mæɢɒːze
گلوله خوردن	ɡoluːlexoɾdæn
خواهیم خواست	xɒːhímxɒːst
قاب	ɢɒːb
نقاشی کردن	næɢɢɒːʃiːkæɾdæn
در غیر این صورت	dæɾɢejɾeiːnsuːɾæt
بدل	bædæl
آبْلرْزه	ɒːblæɾze
مهمانسرا	mehmɒːnsæɾɒː
هندی	hendiː
دست آمدن	dæstɒːmædæn
ترمذ	teɾmez
مش	meʃ
تابع گاما	tɒːbeeɡæmmæ
ثروتمند	seɾvætmænd
رخ	ɾox
الیستا	eliːstɒː
نعلبند	nælbænd
ترازو	tæɾɒːzuː
حلقه زدن	hælɢezædæn
دانمارک	dɒːnmɒːɾk
ضربدر	zæɾbdæɾ
باید	bɒːjæd
فی	fiː
منظومه شمسی	mænzuːmeʃæmsiː
حاملگی	hɒːmeleɡiː
دون ژوان	donʒovɒːn
حظ کردن	hæzkæɾdæn
جبری	d͡ʒæbɾiː
استکان زدن	estekɒːnzædæn
درون	dæɾuːn
پلاک	pelɒːk
نوشیدنی الکلی	nuːʃiːdæniːjeælkoliː
رقاص	ɾæɢɢɒːs
برو	boɾuː,bæɾuː
نارنجی سیر	nɒːɾend͡ʒiːsiːɾ
جزیره ایستر	d͡ʒæziːɾeiːsteɾ
ساتراپ	sɒːtɾɒːp
شوید	ʃeviːd
کم گوی	kæmɡuːj
نوگل	noʊɡol
غلت زدن	ɢæltzædæn
آب‌نما	ɒːbnæmɒː
باد	bɒːd
غنچه	ɢont͡ʃæ,ɢont͡ʃe
غوغا	ɢævɢɒː,ɢouːɢɒː
ارائه	eɾɒːʔe
تقلید کردن	tæɢliːdkæɾdæn,tæɢliːdkæɾdæn
پرده گوش	pæɾdejeɡuːʃ
گوش دادن	ɡuːʃdɒːdæn,ɡuːʃdɒːdæn
انس گرفتن	onsɡeɾeftæn
آفتابی	ɒːftɒːbiː
از حالا	æzhɒːlæn
داربست	dɒːɾbæst
گنوستیسیزم	ɡnostiːsiːzm
جوش	d͡ʒuːʃ
باختر	bɒːxtæɾ
اسهال	eshɒːl
وینتیان	ventiːɒːn
خواهی خواست	xɒːhíxɒːst
ام	em,æm
هیچ وقت	hiːt͡ʃvæɢt
توقع	tævæɢɢoʔ
سلاح	selɒːh
ترجمه	tæɾd͡ʒome
نابود کردن	nɒːbuːdkæɾdæn
بانک اطلاعات	bɒːnkettelɒːʔɒːt
پارامسی	pɒːɾɒːmesiː
سمارت‌ فون	smɒːɾtfon
مات زدن	mɒːtzædæn
اخلاق	æxlɒːɢ
گنیس	ɡnejs
پایداشتن	pɒːjdɒːʃtæn
کلاه	kolɒːh
عاریت	ɒːɾjæt
مگر	mæɡæɾ
بروز دادن	boɾuːzdɒːdæn
ارمغان دادن	æɾmæɢɒːndɒːdæn
آشیانه گرفتن	ɒːʃjɒːneɡeɾeftæn
توصیف کردن	toʊsiːfkæɾdæn
سیخ زدن	siːxzædæn
کولون	kolon
عفو کردن	æfkæɾdæn
ووتیک	votiːk
بنزین زدن	benziːnzædæn
درآمد	dæɾɒːmæd
نویسه‌گردانی	neviːseɡæɾdɒːniː
بی‌مهره	biːmohɾe
تابه	tɒːbe
رامی	ɾɒːmiː
آغا	ɒːɢɒː
کاپوچینو	kɒːpuːt͡ʃiːnuː
همجنس‌گرا	hæmd͡ʒensɡæɾɒː
می‌خواستی	míxɒːstiː
هندوستانی	henduːstɒːniː
رسیدگی کردن	ɾesiːdeɡiːkæɾdæn
ژانر	ʒɒːnɾ
جمجمه	d͡ʒomd͡ʒome
خشایارشا	xʃɒːjɒːɾʃɒː,xæʃɒːjɒːɾʃɒː
تاول زدن	tɒːvælzædæn
پانزده	pɒːnzdæh
اوج	oʊd͡ʒ
خنده گرفتن	xændeɡeɾeftæn
برگزیده شده	bæɾɡoziːdeʃode
خوشنویسی	xoʃneviːsiː
هندوانه	hendevɒːne
خطر	xætæɾ
مسلخ	mæslæx
انتقاد	enteɢɒːd
نافرمانی	nɒːfæɾmɒːniː
لیسبون	liːsbon
هتل	hotel
صیقل زدن	sejɢælzædæn
پس گردنی زدن	pæsɡæɾdæniːzædæn
کشتی هوایی	kæʃtiːjehævɒːjiː
دید	diːd
قناس	ɢenɒːs
حوله	hole
نامادری	nɒːmɒːdæɾiː
تا شدن	tɒːʃodæn
مذبح	mæzbæh
پشت	poʃt
فانوس	fɒːnuːs
تمام	tæmɒːm
ژیوه	ʒiːve
تلفظ کردن	tælæffozkæɾdæn
تشويق	tæʃviːɢ
آبچین	ɒːbt͡ʃiːn
تاسمانی	tɒːsmɒːniː
کلّه سخت	kællesæxt
شهرک	ʃæhɾæk
کمر	kæmæɾ
سرنیزه	sæɾnejze
مصرف کننده	mæsɾæfekonænde
ماکائو	mɒːkɒːo
جولیا	d͡ʒuːliːɒː
برادرزن	bæɾɒːdæɾzæn
حکایت کردن	hekɒːjætkæɾdæn
خم	xæm
یخکوه	jæxkuːh
هالتر زدن	hɒːlteɾzædæn
پشت سر هم	poʃtesæɾehæm
اجاس	ed͡ʒɒːs
نگاه	neɡɒːh
دوزخ	duːzæx
همرقص	hæmɾæɢs
همساخته	hæmsɒːxtæ
رهبر ارکستر	ɾæhbæɾeoɾkestɾ
مریض	mæɾiːz
چاک دادن	t͡ʃɒːkdɒːdæn
الهام	elhɒːm
کشتی گرفتن	koʃtiːɡeɾeftæn
جیش	d͡ʒiːʃ
زهرخنده	zæhɾxænde
جفتک	d͡ʒoftæk
آماده	ɒːmɒːde,ɒːmɒːdæ
پهنیان	pehenjɒːn
چشش	t͡ʃeʃeʃ
سوچی	sot͡ʃiː
مک زدن	mekzædæn
آروغ زدن	ɒːɾoɢzædæn
ختم	xætm
بالاتر	bɒːlɒːtæɾ
پستخانه	postxɒːne
کیپا	kiːpɒː
درویش	dæɾviːʃ
تمرین	tæmɾiːn
باردار	bɒːɾdæɾ
امیدوار بودن	omiːdvɒːɾbuːdæn
اعتنا کردن	eʔtenɒːkæɾdæn
کی ۲	kejdoh
جار زدن	d͡ʒɒːɾzædæn
تخت جمشید	tæxted͡ʒæmʃiːd
زهر	zæhɾ
مهرابه	mehɾɒːbe
شاهوار	ʃɒːhvɒːɾ
جبران کردن	d͡ʒobɾɒːnkæɾdæn
زجر دادن	zæd͡ʒɾdɒːdæn
یکتاپرستی	jektɒːpæɾæstiː
میز	miːz
دوجین	dod͡ʒiːn
کنفرانس	konfeɾɒːns
پروسه	pɾose
کامبوج	kɒːmbuːd͡ʒ
دات‌نت	dɒːtnet
تونل	tuːnel
دیپلماسی	diːplomɒːsiː
خاج	xɒːd͡ʒ
لحظه	læhze
بربط	bæɾbæt
پوست	puːst
مراعات	moɾɒːʔɒːt
شبیخون زدن	ʃæbiːxuːnzædæn
خط‌کش	xættkeʃ,xætkeʃ
سخن	soxæn
بوق زدن	buːɢzædæn
ادا کردن	ædɒːkæɾdæn
زاری	zɒːɾiː
تیر و کمان	tiːɾokæmɒːn
شمارشگر	ʃomɒːɾeʃɡæɾ
بغض	boɢz
نیشخند زدن	niːʃxændzædæn
پس کشیدن	pæskeʃiːdæn
تشدید	tæʃdiːd
کشاورز	keʃɒːvæɾz
محو	mæhv
سرما خوردن	sæɾmɒːxoɾdæn
ونگ	vænɡ
روزانه	ɾuːzɒːne
کبوتر	kæbuːtæɾ
بهرام	bæhɾɒːm
مردم‌سالاری	mæɾdomsɒːlɒːɾiː
کیبورد	kiːboɾd
شجاع	ʃod͡ʒɒːʔ
آنها	ɒːnhɒː
مفقود	mæfɢuːd
نوامبر	novɒːmbɾ
اسپانیا	espɒːniːjæ
سفر کردن	sæfæɾkæɾdæn,sæfæɾkæɾdæn
پدر	pedæɾ
اتوبوس	otobuːs
كو كلوكس كلان	kuːkluːksklɒːn
کریسمس	keɾiːsmæs
بخواهد	bexɒːhæd
گرچه	ɡæɾt͡ʃe
در منزل	dæɾmænzel
آواز دادن	ɒːvɒːzdɒːdæn
سرخس	sæɾæxs
قاپ زدن	ɢɒːpzædæn
کلاسور	kelɒːsoɾ
ابن سینا	ebnesiːnɒː
فریاد آمدن	fæɾjɒːdɒːmædæn
سنگ زدن	sænɡzædæn
رسانه گروهی	ɾesɒːneʔjeɡoɾuːhiːʔ,ɾæsɒːneʔjeɡoɾuːhiːʔ
ترک برداشتن	tæɾækbæɾdɒːʃtæn
نوشابه زدن	nuːʃæbezædæn
سبز	sæbz
اگزیستانسیالیسم	eɡziːstɒːnsiːɒːliːsm
چکاوک	t͡ʃækɒːvæk
بغل زدن	bæɢælzædæn
قوی سیاه	ɢuːjesiːjɒːh
زبان مالایی	zæbɒːnemɒːlɒːjiː
کوچ‌ها	kuːt͡ʃhɒː
خشم آمدن	xæʃmɒːmædæn
کام	kɒːm
پاراگوئه	pɒːɾɒːɡuːʔe
نقصان گرفتن	noɢsɒːnɡeɾeftæn
برده	bæɾdæ
ارزیابی کردن	æɾzjɒːbiːkæɾdæn
کردنی	kæɾdæniː
ویسکی	viːskiː
شبنم	ʃæbnæm
مژه	moʒe
برادر	bæɾɒːdæɾ
خیلی زیاد	xejliːziːjɒːd
مزد	mozd
جلد	d͡ʒeld
لهستانی	lehestɒːniː
بی	biː
مركزي	mæɾkæziː
هندوستان	henduːstɒːn
مکاتبه	mokɒːtebe
خالق	xɒːleɢ
هنرپیشه	honæɾpiːʃe
سنجاق	sænd͡ʒɒːɢ
افزایه	æfzɒːje
پوستر	posteɾ
معجزه‌آسا	moʔd͡ʒezeɒːsɒː
شیطان بزرگ	ʃejtɒːnebozoɾɡ
زائر	zɒːʔeɾ
ژله	ʒele
سد زدن	sædzædæn
شاه‌اثر	ʃɒːhæsæɾ
بودن	buːdæn
اسپرانتو	espeɾɒːnto
زیان	ziːjɒːn
چس فیل	t͡ʃosefiːl
لیبیدو	liːbiːdo,liːbiːduː
مسواک زدن	mesvɒːkzædæn
رولت روسی	ɾuːletɾuːsiː
خبط کردن	xæbtkæɾdæn
دریغ کردن	dæɾiːɢkæɾdæn
بوگوتا	boɡotɒː
کشمش	keʃmeʃ
استخوانی	ostexɒniː
نفس نفس زدن	næfæsnæfæszædæn
چادر زدن	t͡ʃɒːdoɾzædæn
برقع	boɾɢæʔ
میش	miːʃ
پریروز	pæɾiːɾuːz
پس از	pæsæz
خودداری	xoddɒːɾiː
محک	mæhæk
پرینه	peɾiːne
امروز	emɾuːz
‌قطع	ɢætʔ
چک	t͡ʃæk,t͡ʃek
