memberitahukan	məmbˌɛritahˈukan
ROA	rˈoa
Mushola	mushˈola
pengetahuannya	pəŋˌɛtahuˈanɲa
ketusnya	kətˈusɲa
edu	ˈɛdu
WRI	wrˈi
Bilik	bˈilik
pectin	pˈɛt͡ʃtin
Johannes	d͡ʒohˈannəs
Tabukan	tabˈukan
Teungku	təˈuŋku
kemping	kˈɛmpiŋ
Alokasikan	ˌalokasˈikan
particle	partˈit͡ʃlə
Masihul	masˈihul
genomik	ɡənˈomik
Maron	mˈaron
Wadek	wˈadək
Valbury	vˈalburj
yahh	jˈahh
Kukuhkan	kukˈuhkan
Dimakan	dimˈakan
module	modˈulə
Pilang	pˈilaŋ
Creations	t͡ʃrˌɛatˈions
disinkronkan	dˌisinkrˈonkan
memukulkan	məmukˈulkan
Subandrio	sˌubandrˈio
berkonsep	bərkˈonsəp
Epilepsi	ˌɛpilˈɛpsi
Jovetic	d͡ʒovˈɛtit͡ʃ
dimakruhkan	dˌimakrˈuhkan
managemen	mˌanaɡˈɛmən
Memuat	məmˈuat
Brunai	brˈuna͡ɪ
menyindir	məɲˈindir
dihapuskan	dˌihapˈuskan
keseksian	kəsəksˈian
Hawaiian	hˌawa͡ɪˈian
klimaksnya	klimˈaksɲa
Astawa	astˈawa
persaksiannya	pərsˌaksiˈanɲa
Dek	dˈɛk
Budjana	bud͡ʒˈana
dikpora	dikpˈɔra
rontok	rˈontok
update	updˈatə
photo	fˈoto
kitab	kˈitab
Kacung	kˈat͡ʃuŋ
perayaannya	pərˌajaˈanɲa
memerlihatkan	məmˌɛrlihˈatkan
imbal	ˈimbal
Sahl	sˈahl
Trista	trˈista
dievakuasi	dˌivakuˈasi
Meiga	məˈiɡa
pemberontak	pəmbərˈontak
Patient	pˈatint
pramusaji	prˌamusˈad͡ʒi
tenor	tˈɛnɔr
menginventarisasi	məŋˌinvəntˌarisˈasi
Transmigrasi	trˌansmiɡrˈasi
Polonia	pˌolonˈia
LLD	ˌɛlˌɛldˈe
Hidupkan	hidˈupkan
Gina	ɡˈina
frekuensi	frˌɛkuˈɛnsi
Marshanda	marshˈanda
Gejolak	ɡəd͡ʒˈolak
kebersihan	kəbərsˈihan
BlankOn	blˈankˈon
maksum	mˈaksum
Mengingat	məŋˈiŋat
Godong	ɡˈodoŋ
brankar	brˈankar
Keracunan	kərat͡ʃˈunan
Juata	d͡ʒuˈata
equalizer	ˌɛkwalˈizər
Hammond	hˈammond
berakhlaqul	bərˈaxlakwl
seh	sˈɛh
effisien	əfˈisin
Musyafak	muçˈafak
protozoa	prˌotozˈoa
Pustu	pˈustu
tancap	tˈant͡ʃap
Pinrang	pˈinraŋ
Pope	pˈopə
Terinfeksi	tərinfˈɛksi
pelepasan	pələpˈasan
penggiringan	pəŋɡirˈiŋan
penyearah	pəɲəˈarah
dag	dˈaɡ
Andalusia	ˌandalusˈia
Darjono	dard͡ʒˈono
Skep	skˈɛp
dilahap	dilˈahap
mensyariatkan	mənçˌariˈatkan
panggilannya	pˌaŋɡilˈanɲa
Perkusi	pərkˈusi
Polimer	polˈimər
mengqashar	məŋkˈashar
bertepi	bərtˈɛpi
sepelekan	səpəlˈɛkan
kontribusinya	kˌontribusˈiɲa
televise	tələvˈisə
SIL	sˈil
Kor	kˈɔr
Mountains	moˈunta͡ɪns
Tlekung	tlˈɛkuŋ
Mitt	mˈitt
pemasyarakatan	pəmˌaçarakˈatan
Badstuber	badstˈubər
Lany	lˈaɲ
Strawberry	strˈawbərrj
IPI	ˈipi
daripadanya	dˌaripadˈaɲa
aid	ˈa͡ɪd
ummatku	ummˈatku
Naia	nˈa͡ɪa
Pihak	pˈihak
Herlandi	hərlˈandi
OCZ	ˈot͡ʃz
tahukan	tahˈukan
unaudited	ˌuna͡ʊdˈitəd
kebutaan	kəbutˈaan
Percut	pˈɛrt͡ʃut
Margo	mˈarɡo
Maros	mˈaros
Rubin	rˈubin
Axon	ˈakson
Depot	dˈɛpot
petik	pˈɛtik
telalu	təlˈalu
flux	flˈuks
Amdal	ˈamdal
LOGO	lˈoɡo
didelegasikan	dˌidəlˌɛɡasˈikan
darimu	darˈimu
Hadirilah	hˌadirˈilah
sdm	ˌɛsdˌeəm
Berfikir	bərfˈikir
penggrebekan	pəŋɡrəbˈɛkan
Diperuntukkan	dˌipəruntˈukkan
Lompatan	lompˈatan
Fiki	fˈiki
Magang	mˈaɡaŋ
Perawat	pərˈawat
Bajawa	bad͡ʒˈawa
Popong	pˈopoŋ
beribadat	bəribˈadat
nyantri	ɲˈantri
algoritmanya	ˌalɡɔritmˈaɲa
hibahkan	hibˈahkan
skeptisisme	skˌɛptisˈismə
Diserahkan	dˌisərˈahkan
paksakan	paksˈakan
pendaftar	pəndˈaftar
actuator	ˌat͡ʃtuˈatɔr
Puradimaja	pˌuradimˈad͡ʒa
Kebebasan	kəbəbˈasan
Nasionalisme	nˌasiˌonalˈismə
kalium	kalˈium
mengoneksikan	məŋˌonəksˈikan
eksklusi	əksklˈusi
Geng	ɡˈɛŋ
underground	ˌundərɡrˈound
Annisa	annˈisa
Khilafah	xilˈafah
sentralisasi	səntrˌalisˈasi
Mustaqim	mustˈakim
pinta	pˈinta
Betapa	bətˈapa
salatiga	sˌalatˈiɡa
Lodra	lˈodra
Ishikawa	ˌishikˈawa
Ekonom	əkˈonom
ditolong	ditˈoloŋ
mengembirakan	məŋˌɛmbirˈakan
profesionalnya	prˌofəsˌionˈalɲa
preseden	prəsˈɛdən
JULI	d͡ʒˈuli
KA	kˈa
mungkinkan	muŋkˈinkan
inspirasi	ˌinspirˈasi
kodim	kˈodim
Monalisa	mˌonalˈisa
advice	advˈit͡ʃə
Hobart	hˈobart
menggemari	məŋɡəmˈari
Bermotor	bərmˈotɔr
Dejan	dˈɛd͡ʒan
trackpad	trˈat͡ʃkpad
pathway	pˈathwaj
digalakkan	dˌiɡalˈakkan
tongsis	tˈoŋsis
Mikrolet	mikrˈolət
feminin	fəmˈinin
keshahihan	kəshahˈihan
Fight	fˈiɡht
umar	ˈumar
hafidz	hˈafidz
Ngerong	ŋˈɛroŋ
Solider	solˈidər
menambal	mənˈambal
Alawi	alˈawi
Sambirejo	sˌambirˈɛd͡ʒo
Sanghyang	sˈaŋhjaŋ
depresi	dəprˈɛsi
optimal	optˈimal
TW	tˌewˈe
penyetoran	pəɲətˈɔran
Rofik	rˈofik
serta	sˈɛrta
memerahkan	məmərˈahkan
NEC	nˈɛt͡ʃ
Inggrisnya	iŋɡrˈisɲa
FFI	fˈi
mengunjugi	məŋund͡ʒˈuɡi
Blognya	blˈoɡɲa
difungsikan	dˌifuŋsˈikan
kamarku	kamˈarku
chance	χˈant͡ʃə
kardiovaskuler	kˌardiˌovaskˈulər
sucinya	sut͡ʃˈiɲa
unggahan	uŋɡˈahan
MLS	ˌɛmˌɛlˈɛs
Hide	hˈidə
rekom	rˈɛkom
diadakan	dˌiadˈakan
Balong	bˈaloŋ
Hawkeye	hawkˈɛjə
Puslit	pˈuslit
Lorem	lˈɔrəm
menggigil	məŋɡˈiɡil
seta	sˈɛta
Anam	ˈanam
ditayangkannya	dˌitajaŋkˈanɲa
lesunya	ləsˈuɲa
ditanamkan	dˌitanˈamkan
pelayanan	pəlajˈanan
penganguran	pəŋaŋˈuran
penggembala	pəŋɡəmbˈala
Drafting	drˈaftiŋ
Treble	trˈɛblə
diperingati	dˌipəriŋˈati
RSPO	rspˈo
dislipidemia	dˌislipˌidəmˈia
Singingi	siŋˈiŋi
UCL	ˈut͡ʃl
Asi	ˈasi
banci	bˈant͡ʃi
dokter	dˈoktər
GOLD	ɡˈold
Rifat	rˈifat
Panwascam	panwˈast͡ʃam
madani	madˈani
Amy	ˈamj
petualangannya	pətˌualaŋˈanɲa
dioda	diˈoda
vokalisasi	vˌokalisˈasi
keasyikan	kəaçˈikan
Drawer	drˈawər
fisher	fˈishər
lail	lˈa͡ɪl
irreversible	ˌirəvərsˈiblə
Deadline	dˌɛadlˈinə
peluruhan	pəlurˈuhan
Nurkholis	nurxˈolis
afiat	afˈiat
dipersembahkan	dˌipərsəmbˈahkan
Shahlan	shˈahlan
Ayahmu	ajˈahmu
Kerjasama	kərd͡ʒasˈama
Sambang	sˈambaŋ
terolah	tərˈolah
alamatnya	ˌalamˈatɲa
SumselBabel	sˈumsəlbˈabəl
Kopaska	kopˈaska
burqa	bˈurka
Polindes	polˈindəs
Hierarchy	hˈirarχj
vokasional	vˌokasiˈonal
ketaatan	kətaˈatan
Oxide	oksˈidə
tungguhan	tuŋɡˈuhan
Kemunafikan	kəmˌunafˈikan
hospes	hˈospəs
pesantrennya	pəsantrˈɛnɲa
dikasihani	dˌikasihˈani
Engkos	ˈɛŋkos
PIHK	pˈihk
BTOB	btˈob
ASPIKOM	aspˈikom
telekonferensi	təlˌɛkonfərˈɛnsi
lompatan	lompˈatan
semiotik	səmiˈotik
mengahadapi	məŋˌahadˈapi
Ryze	rjzˈɛ
tiamin	tiˈamin
orsinil	ɔrsˈinil
scorecard	st͡ʃɔrˈɛt͡ʃard
Lite	lˈitə
respond	rˈɛspond
Bleganjur	bləɡˈand͡ʒur
tenun	tˈɛnun
dibawahi	dˌibawˈahi
diperkarakan	dˌipərkarˈakan
berambut	bərˈambut
roro	rˈɔro
Ruyani	rujˈani
Brute	brˈutə
reuse	rəˈusə
Menoreh	mənˈɔrəh
Puspiptek	puspˈiptək
ukuwah	ukˈuwah
Adidaya	ˌadidˈaja
AAP	ˈaap
Berkaca	bərkˈat͡ʃa
memberinya	məmbərˈiɲa
berbalas	bərbˈalas
sink	sˈink
Direskrimsus	dˌirəskrˈimsus
Lasmi	lˈasmi
War	wˈar
mengamalkannya	məŋˌamalkˈanɲa
Monkey	mˈonkəj
laganya	laɡˈaɲa
Keuchik	kəˈuχik
IAA	iˈaa
animal	anˈimal
kontinjensi	kˌontind͡ʒˈɛnsi
diancam	diˈant͡ʃam
diteken	ditˈɛkən
agama	aɡˈama
kerut	kˈɛrut
dendeng	dˈɛndəŋ
Scale	st͡ʃˈalə
Rhenald	rhˈɛnald
mengkhianati	məŋxˌianˈati
Menonaktifkan	mənˌonaktˈifkan
Grogot	ɡrˈoɡot
menyurut	məɲˈurut
terkerek	tərkˈɛrək
bun	bˈun
PEI	pˈɛi
cartridge	t͡ʃartrˈidɡə
perbelanjaan	pərbˌɛland͡ʒˈaan
pencukuran	pənt͡ʃukˈuran
diskrining	diskrˈiniŋ
Bersantap	bərsˈantap
beritahu	bəritˈahu
keladi	kəlˈadi
hrd	hˌaˌɛrdˈe
Schuerrle	sχuˈɛrrlə
Hartind	hˈartind
Penggiat	pəŋɡˈiat
Teritip	tərˈitip
Gene	ɡˈɛnə
manisan	manˈisan
preventive	prˌɛvəntˈivə
Nadella	nadˈɛla
Aids	ˈa͡ɪds
Ashadi	ashˈadi
wish	wˈish
pesannya	pəsˈanɲa
Kepergok	kəpˈɛrɡok
Limbong	lˈimboŋ
teka	tˈɛka
Quebec	kwˈɛbət͡ʃ
cipta	t͡ʃˈipta
OH	ˈoh
sentiasa	səntiˈasa
Venice	vənˈit͡ʃə
Kalapasawit	kˌalapasˈawit
Ketidakpuasan	kətˌidakpuˈasan
Packaging	pat͡ʃkˈaɡiŋ
gelagar	ɡəlˈaɡar
reggae	rəɡɡˈaə
plate	plˈatə
Izrail	ˈizra͡ɪl
Pengaduan	pəŋadˈuan
Cannes	t͡ʃˈannəs
Keheningan	kəhənˈiŋan
Mumu	mˈumu
Marjohan	mard͡ʒˈohan
polimerase	pˌolimərˈasə
Byte	bjtˈɛ
Darwati	darwˈati
track	trˈat͡ʃk
pengkhianat	pəŋxiˈanat
penghormatan	pəŋhɔrmˈatan
membuahi	məmbuˈahi
LQ	ˌɛlkˈi
trik	trˈik
bilangnya	bilˈaŋɲa
Semarapura	səmˌarapˈura
dihadapannya	dˌihadapˈanɲa
Lempeng	lˈɛmpəŋ
Land	lˈand
Jus	d͡ʒˈus
kabari	kabˈari
liputannya	lˌiputˈanɲa
Disperindagkop	dˌispərindˈaɡkop
penyalinan	pəɲalˈinan
sriwedari	srˌiwədˈari
wadahnya	wadˈahɲa
IMAM	ˈimam
ZP	zˌɛtpˈe
TOKO	tˈoko
puting	pˈutiŋ
Nasaruddin	nˌasarˈuddin
mempersiapan	məmpərsiˈapan
Murjanto	murd͡ʒˈanto
Kasdi	kˈasdi
YM	jm
Kakaknya	kakˈakɲa
Assalamualaikum	ˌasalˌamualˈa͡ɪkum
Harefa	harˈɛfa
Tengger	tˈɛŋɡər
belut	bˈɛlut
Pengunjuk	pəŋˈund͡ʒuk
wiwit	wˈiwit
pny	pɲ
MPR	ˌɛmpˌeər
Guyub	ɡˈujub
kebanyakannya	kəbˌaɲakˈanɲa
postingnya	postˈiŋɲa
jargon	d͡ʒˈarɡon
Honey	hˈonəj
gariskan	ɡarˈiskan
dilanggar	dilˈaŋɡar
riwayat	riwˈajat
Umroh	ˈumroh
Pemanfaatan	pəmˌanfaˈatan
pengiklan	pəŋˈiklan
Kareena	kˌarəˈɛna
mnfaat	mnfˈaat
Meningkat	mənˈiŋkat
loteng	lˈotəŋ
perekaman	pərəkˈaman
Yours	jˈours
volatilitas	vˌolatilˈitas
kegotongroyongan	kəɡˌotoŋrojˈoŋan
dikampus	dikˈampus
Pemungutan	pəmuŋˈutan
Jalankan	d͡ʒalˈankan
Covey	t͡ʃˈovəj
YG	jɡ
tree	trˈɛə
Funny	fˈunɲ
Hashimoto	hˌashimˈoto
grafting	ɡrˈaftiŋ
Waringin	warˈiŋin
perkimpoian	pərkˌimpoˈian
optimasi	ˌoptimˈasi
Koichi	koˈiχi
linguistic	lˌiŋuˈistit͡ʃ
Raven	rˈavən
tipenya	tipˈɛɲa
Ladies	lˈadis
Mayjend	mˈajd͡ʒənd
Hendrar	hˈɛndrar
Suhendri	suhˈɛndri
Suhendi	suhˈɛndi
Dao	dˈao
Rochester	roχˈɛstər
Bantul	bˈantul
Israel	isrˈaəl
Menghukum	məŋhˈukum
Salafus	salˈafus
ritonavir	rˌitonˈavir
tererosi	tərərˈosi
Nathaniel	nathˈanil
Theory	thˈɛɔrj
Accreditation	ˌat͡ʃt͡ʃrədˌitatˈion
Djasmin	d͡ʒˈasmin
Azizi	azˈizi
KKPA	kkpˈa
Ibunya	ibˈuɲa
menciutkan	mənt͡ʃiˈutkan
barley	bˈarləj
Wanandi	wanˈandi
Emak	ˈɛmak
singgung	sˈiŋɡuŋ
Ps	pˌeəs
Sekaa	səkˈaa
Dekonsentrasi	dˌɛkonsəntrˈasi
monarki	monˈarki
dulu	dˈulu
Kebo	kˈɛbo
cip	t͡ʃˈip
Coil	t͡ʃˈoil
basil	bˈasil
busung	bˈusuŋ
neutropenia	nˌɛutrˌopənˈia
mengantre	məŋˈantrə
Khasiatnya	xˌasiˈatɲa
mengulanginya	məŋˌulaŋˈiɲa
Tegallalang	tˌɛɡalˈalaŋ
Juna	d͡ʒˈuna
Warmadewa	wˌarmadˈɛwa
click	t͡ʃlˈit͡ʃk
berbasiskan	bərbasˈiskan
Klaus	klˈa͡ʊs
Letakkan	lətˈakkan
selir	sˈɛlir
OST	ˈost
yakini	jakˈini
temasuk	təmˈasuk
Rear	rˈɛar
Jagatnatha	d͡ʒˌaɡatnˈatha
MKP	ˌɛmkˌapˈe
Rempeg	rˈɛmpəɡ
KINERJA	kinˈɛrd͡ʒa
Makhachkala	mˌaxaχkˈala
berkiprah	bərkˈiprah
Penganekaragaman	pəŋˌanəkˌaraɡˈaman
membuyarkan	məmbujˈarkan
kuahnya	kuˈahɲa
Tujuh	tˈud͡ʒuh
ICAS	ˈit͡ʃas
Nafsu	nˈafsu
Ahmet	ˈahmət
Dunham	dˈunham
Jannati	d͡ʒannˈati
Pelembagaan	pəlˌɛmbaɡˈaan
Penangkar	pənˈaŋkar
Sangga	sˈaŋɡa
Proyektor	projˈɛktɔr
ampuni	ampˈuni
Monique	monˈikwə
Ganggang	ɡˈaŋɡaŋ
tumornya	tumˈɔrɲa
menjawab	mənd͡ʒˈawab
Datokarama	dˌatokarˈama
diakali	dˌiakˈali
Processing	prot͡ʃˈɛsiŋ
Solahart	solˈahart
neck	nˈɛt͡ʃk
Sanim	sˈanim
Muskerwil	muskˈɛrwil
Jacuzzi	d͡ʒat͡ʃˈuzzi
imperialis	ˌimpəriˈalis
Napitupulu	nˌapitupˈulu
mangkalnya	maŋkˈalɲa
Crimea	t͡ʃrimˈɛa
menyembahnya	məɲəmbˈahɲa
Pahlawanku	pˌahlawˈanku
menyombongkan	məɲombˈoŋkan
ultrabook	ˌultrabˈook
Wiryawan	wirjˈawan
MRP	ˌɛmˌɛrpˈe
FHUI	fhˈui
Menyala	məɲˈala
Sebercahaya	səbˌɛrt͡ʃahˈaja
EJU	ˈɛd͡ʒu
Satrya	sˈatrja
Marsdya	mˈarsdja
aplikator	ˌaplikˈatɔr
lengkapi	ləŋkˈapi
Beredarnya	bərədˈarɲa
NMI	nmˈi
Gunani	ɡunˈani
dayanya	dajˈaɲa
darimana	dˌarimˈana
Projek	prˈod͡ʒək
EWS	ˈɛws
telinganya	təliŋˈaɲa
Keynes	kəjnˈɛs
Kampong	kˈampoŋ
tumbal	tˈumbal
Djazuli	d͡ʒazˈuli
reaksinya	rˌɛaksˈiɲa
pengelolah	pəŋəlˈolah
terap	tˈɛrap
Prasetyantoko	prˌasətjantˈoko
bersama	bərsˈama
Kabadiklat	kˌabadˈiklat
POWER	pˈowər
Dinsosnaker	dˌinsosnˈakər
nikahi	nikˈahi
gardan	ɡˈardan
Juga	d͡ʒˈuɡa
Persentasi	pərsəntˈasi
menebas	mənˈɛbas
Nafas	nˈafas
Probe	prˈobə
Fatoni	fatˈoni
riak	rˈiak
lcd	ˌɛlt͡ʃˌedˈe
Uldilag	uldˈilaɡ
Berintegritas	bərˌintəɡrˈitas
memperkuatnya	məmpərkuˈatɲa
hijriyah	hid͡ʒrˈijah
RDP	ˌɛrdˌepˈe
dijunjung	did͡ʒˈund͡ʒuŋ
Eimeria	ˌɛimərˈia
COG	t͡ʃˈoɡ
adatnya	adˈatɲa
Respons	rˈɛspons
Klang	klˈaŋ
tercetus	tərt͡ʃˈɛtus
Yuningsih	junˈiŋsih
kontak	kˈontak
perketat	pərkˈɛtat
mendera	məndˈɛra
merawat	mərˈawat
Madura	madˈura
Viki	vˈiki
mushala	mushˈala
Khoe	xˈu
Tergelincir	tərɡəlˈint͡ʃir
Selo	sˈɛlo
Jasmine	d͡ʒasmˈinə
capaiannya	t͡ʃˌapa͡ɪˈanɲa
Mexican	məksˈit͡ʃan
kelevel	kəlˈɛvəl
AIR	ˈa͡ɪr
berbinar	bərbˈinar
Tugel	tˈuɡəl
mahkota	mahkˈota
cocor	t͡ʃˈot͡ʃɔr
Menurutnya	mənurˈutɲa
muricata	mˌurit͡ʃˈata
lebar	lˈɛbar
Fistula	fistˈula
Ambari	ambˈari
ay	ˈaj
Menghancurkan	məŋhant͡ʃˈurkan
cilandak	t͡ʃilˈandak
PASAR	pˈasar
merentang	mərˈɛntaŋ
Halifax	halˈifaks
Pennsylvania	pənnçlvanˈia
CSC	t͡ʃˌeəst͡ʃˈe
meninggalkan	məniŋɡˈalkan
Yandu	jˈandu
Sukamta	sukˈamta
glucose	ɡlut͡ʃˈosə
Mendukung	məndˈukuŋ
feroza	fərˈoza
Excellent	əkst͡ʃˈɛlənt
Karso	kˈarso
Saudagar	sa͡ʊdˈaɡar
jahannam	d͡ʒahˈannam
IIX	ˈiiks
DSI	dsˈi
disiplin	disˈiplin
Kabir	kˈabir
pemasak	pəmˈasak
dinihari	dˌinihˈari
ngaben	ŋˈabən
mackerel	mat͡ʃkˈɛrəl
mengklaim	mˈɛŋkla͡ɪm
Egon	ˈɛɡon
nanggung	nˈaŋɡuŋ
Miosen	miˈosən
Pengumpul	pəŋˈumpul
garamnya	ɡarˈamɲa
Mars	mˈars
xilem	zˈiləm
penggambaran	pəŋɡambˈaran
Himne	hˈimnə
SVLK	ˌɛsfˌeəlkˈa
Nazi	nˈazi
oosit	oˈosit
dhamma	dhˈamma
Abnormal	abnˈɔrmal
Marbella	marbˈɛla
syawal	çˈawal
andoria	ˌandɔrˈia
Menolak	mənˈolak
persepsi	pərsˈɛpsi
faham	fˈaham
BEI	bˈɛi
membisikan	məmbisˈikan
Jimi	d͡ʒˈimi
kimiawan	kˌimiˈawan
trucking	trˈut͡ʃkiŋ
WPP	wˌepˌepˈe
TEHERAN	təhˈɛran
kondisinya	kˌondisˈiɲa
Investa	invˈɛsta
Slavina	slavˈina
berpengharapan	bərpˌɛŋharˈapan
pertimbangan	pərtimbˈaŋan
Canalys	t͡ʃˈanaljs
instansi	instˈansi
Vasco	vˈast͡ʃo
Targetkan	tarɡˈɛtkan
Karaeng	karˈaəŋ
Plantations	plˌantatˈions
TPG	tˌepˌeɡˈe
MMORPG	mmˈɔrpɡ
Anjar	ˈand͡ʒar
pendaftaran	pəndaftˈaran
Memo	mˈɛmo
Bitung	bˈituŋ
Gergaji	ɡərɡˈad͡ʒi
Batumarmar	bˌatumˈarmar
Aktris	ˈaktris
bermula	bərmˈula
terjajah	tərd͡ʒˈad͡ʒah
CDC	t͡ʃˌedˌet͡ʃˈe
serai	sˈɛra͡ɪ
instrument	instrˈumənt
pemberdayaan	pəmbˌɛrdajˈaan
inteligensi	ˌintəliɡˈɛnsi
brass	brˈas
Sagu	sˈaɡu
Memoar	məmˈoar
bau	bˈa͡ʊ
KasKus	kˈaskˈus
pelepasannya	pəlˌɛpasˈanɲa
Helda	hˈɛlda
Female	fəmˈalə
Bagaimanakah	bˌaɡa͡ɪmanˈakah
kualiatas	kˌualiˈatas
kebas	kˈɛbas
balak	bˈalak
cobakan	t͡ʃobˈakan
Sukesi	sukˈɛsi
Mansur	mˈansur
melayu	məlˈaju
Baqarah	bakˈarah
Janus	d͡ʒˈanus
Rusyd	rˈuçd
Nikah	nˈikah
Irlan	ˈirlan
dosaku	dosˈaku
Kecacatan	kət͡ʃat͡ʃˈatan
martial	martˈial
besih	bˈɛsih
Tahitian	tˌahitˈian
Keanu	kəˈanu
kebugarannya	kəbˌuɡarˈanɲa
VEI	vˈɛi
Tapsel	tˈapsəl
Valid	vˈalid
Fonterra	fontˈɛra
rekreasi	rˌɛkrəˈasi
Willem	wˈiləm
Pali	pˈali
END	ˈɛnd
kekerasan	kəkərˈasan
gini	ɡˈini
pelaksanaan	pəlˌaksanˈaan
compressor	t͡ʃomprˈɛsɔr
rimbun	rˈimbun
Kejelian	kəd͡ʒəlˈian
CGA	t͡ʃɡˈa
Klein	klˈɛin
Harapanya	hˌarapˈaɲa
Belanja	bəlˈand͡ʒa
kebingungannya	kəbˌiŋuŋˈanɲa
Boleh	bˈoləh
Andrias	andrˈias
Wulan	wˈulan
sterilitas	stˌɛrilˈitas
Kesugihan	kəsuɡˈihan
Mendaftar	məndˈaftar
menganti	məŋˈanti
menyesaki	məɲəsˈaki
Morse	mˈɔrsə
bay	bˈaj
SPV	ˌɛspˌefˈe
MOG	mˈoɡ
Dwiwarna	dwiwˈarna
Sebelumya	səbəlˈumja
Core	t͡ʃˈɔrə
Widagdo	widˈaɡdo
ayu	ˈaju
Bojonegara	bˌod͡ʒonəɡˈara
Ueda	uˈɛda
Hicks	hˈit͡ʃks
kepemilikian	kəpˌɛmilikˈian
Daewoo	dˌaəwˈoo
OTP	ˈotp
Maki	mˈaki
cetaknya	t͡ʃətˈakɲa
Felia	fəlˈia
Jinping	d͡ʒˈinpiŋ
ketidakhadirannya	kətˌidaxˌadirˈanɲa
Ketidakmampuan	kətˌidakmampˈuan
Cold	t͡ʃˈold
kitabullah	kˌitabˈulah
iku	ˈiku
Haven	hˈavən
ngayah	ŋˈajah
syahidnya	çahˈidɲa
Ginandjar	ɡinˈand͡ʒar
ijinnya	id͡ʒˈinɲa
garut	ɡˈarut
berkomplot	bərkˈomplot
ewuh	ˈɛwuh
Esteban	əstˈɛban
ulang	ˈulaŋ
pengendaraan	pəŋˌɛndarˈaan
Ghost	ɡhˈost
Lovers	lˈovərs
Touring	toˈuriŋ
Tpi	tpˈi
LENGKAP	lˈɛŋkap
Fundamental	fˌundamˈɛntal
outbreak	ˌoutbrˈɛak
Kedoya	kədˈoja
Paksi	pˈaksi
smokey	smˈokəj
teraniaya	tərˌaniˈaja
Doakan	doˈakan
mengamanatkan	məŋˌamanˈatkan
Debus	dˈɛbus
Nugra	nˈuɡra
Meminta	məmˈinta
Tersisa	tərsˈisa
kumuh	kˈumuh
lahir	lˈahir
sakitnya	sakˈitɲa
Ubahlah	ubˈahlah
IAR	ˈiar
Kelantan	kəlˈantan
Painting	pˈa͡ɪntiŋ
Kapok	kˈapok
berpangkat	bərpˈaŋkat
anisopliae	ˌanisˌopliˈaə
UMSK	ˈumsk
Nord	nˈɔrd
TMMIN	tmmˈin
pengkhususan	pəŋxusˈusan
KAU	kˈa͡ʊ
pembuahan	pəmbuˈahan
rabi	rˈabi
pantyliner	pantjlˈinər
inna	ˈinna
kp	kˌapˈe
linknya	lˈinkɲa
Lisensi	lisˈɛnsi
blogwalking	bloɡwˈalkiŋ
Hardono	hardˈono
Syarh	çˈarh
Lihatlah	lihˈatlah
Jawad	d͡ʒˈawad
Famili	famˈili
menyikapi	məɲikˈapi
Miskin	mˈiskin
Mursidi	mursˈidi
Shahihnya	shahˈihɲa
separatisme	səpˌaratˈismə
EOS	ˈɛos
Sediaan	sˌɛdiˈaan
silicon	silˈit͡ʃon
Gem	ɡˈɛm
LJK	ˌɛld͡ʒˌekˈa
petugasnya	pətuɡˈasɲa
Maybelline	mˌajbəlˈinə
Timbang	tˈimbaŋ
Capricorn	t͡ʃaprˈit͡ʃɔrn
keridhaan	kəridhˈaan
Pajajaran	pˌad͡ʒad͡ʒˈaran
dipake	dipˈakə
mendeklarasikan	məndˌɛklarasˈikan
Rute	rˈutə
variabel	vˌariˈabəl
seribu	sərˈibu
Letti	lˈɛtti
Unissula	ˌunisˈula
Kompi	kˈompi
corner	t͡ʃˈɔrnər
menempelkannya	mənˌɛmpəlkˈanɲa
khotbah	xˈotbah
berhentikan	bərhəntˈikan
egg	ˈɛɡɡ
Meiji	məˈid͡ʒi
Urbanisasi	ˌurbanisˈasi
ajari	ad͡ʒˈari
dipacu	dipˈat͡ʃu
liputan	lipˈutan
MMEA	mmˈɛa
menyebarnya	məɲəbˈarɲa
terkawal	tərkˈawal
Keanggotaan	kəˌaŋɡotˈaan
inilah	inˈilah
ND	ˌɛndˈe
Breaktime	brˌɛaktˈimə
Balo	bˈalo
Kayak	kˈajak
diluar	dilˈuar
Realisasi	rˌɛalisˈasi
maknai	mˈakna͡ɪ
Disaster	disˈastər
disisipi	dˌisisˈipi
manifold	manˈifold
penanggap	pənˈaŋɡap
Penghalang	pəŋhˈalaŋ
pelunasan	pəlunˈasan
pelatihannya	pəlˌatihˈanɲa
Puket	pˈukət
terkesiap	tərkəsˈiap
Pengharapan	pəŋharˈapan
multiplatform	mˌultiplˈatfɔrm
Isabel	isˈabəl
diterpa	ditˈɛrpa
ekolabel	ˌɛkolˈabəl
Sloan	slˈoan
Nusron	nˈusron
bersihkanlah	bərsihkˈanlah
Lynne	ljnnˈɛ
Bush	bˈush
suguhkan	suɡˈuhkan
Rinda	rˈinda
menyiram	məɲˈiram
Serasan	sərˈasan
tangguhnya	taŋɡˈuhɲa
dibebastugaskan	dˌibəbˌastuɡˈaskan
Canteen	t͡ʃantˈɛən
Nashara	nashˈara
pencabutan	pənt͡ʃabˈutan
stiap	stˈiap
Gallant	ɡˈalant
vario	varˈio
Hiroshi	hirˈoshi
Bersyukur	bərçˈukur
pear	pˈɛar
Pelatda	pəlˈatda
Baihakki	ba͡ɪhˈakki
