ସହଯୋଗୀ	sɔhɔd͡ʒogi
ନିଆଯାଏ	niaːd͡ʒaːe
ଅନ୍ଧାର	ɔnd̪ʱaːɾɔ
କଅଁଳିଆ	kɔɔ̃l̪iaː
ହୁଅ	huɔ
ପ୍ରାପ୍ତ	praːpt̪ɔ
ଦଳ	d̪ɔl̪ɔ
ଗୋଡ଼ାଇବାକୁ	goɽaːibaːku
ଫୋନ୍	pʰon
ଦୁହେଁ	d̪uhẽ
କପ୍‌ର	kɔpɾɔ
ଗୋଇନ୍ଦା	goind̪aː
କୋର୍ଟକୁ	korʈɔku
ବିମାନ	bimaːnɔ
ପଚାରିବା	pɔt͡ʃaːribaː
ବାଲୁ	baːlu
ନଳୀ	nɔl̪i
ଯାଇପାରନ୍ତି	d͡ʒaːipaːɾɔnt̪i
ଚିଣ୍ଟୁ	t͡ʃiɳʈu
ସେଗୁଡ଼ିକ	seguɽikɔ
ତୁମମାନଙ୍କର	t̪umɔmaːnɔŋkɔɾɔ
ଫୁଟନ୍ତା	pʰuʈɔnt̪aː
ଚିତ୍କାର	t͡ʃit̪kaːɾɔ
ଗୀତା	git̪aː
ଜହ୍ନଟି	d͡ʒɔhnɔʈi
ଆସିଲାଣି	aːsilaːɳi
ମାହାତ୍ମାଜୀ	maːhaːt̪maːd͡ʒi
ଜଣାଇଲା	d͡ʒɔɳaːilaː
କ୍ଲାସରୁମ	klaːsɔrumɔ
ଉତ୍ତରରେ	ut̪t̪ɔɾɔre
ପରଶି	pɔɾɔsi
କାଗଜ	kaːɡɔd͡ʒɔ
କାମକୁ	kaːmɔku
ପଶୁପକ୍ଷୀ	pɔsupɔkʰi
ଜୀବାଣୁ	d͡ʒibaːɳu
ବୁଲୁଥିବା	bulut̪ʰibaː
ଲୋଭ	lobʰɔ
ଶକ୍ତିପୀଠ	sɔkt̪ipiʈʰɔ
ଆନନ୍ଦରେ	aːnɔnd̪ɔre
ବ୍ୟବହୃତ	bjɔbɔhɔrut̪ɔ
ଉଭୟ	ubʰɔjɔ
ଅଳେଇଚ	ɔl̪eit͡ʃɔ
ଅଛନ୍ତି	ɔt͡ʃʰɔnt̪i
ମହା	mɔhaː
ବଢାଉ	bɔɖʱaːu
ସ୍ନିଫଲ୍ସକୁ	snipʰɔlsɔku
ପଞ୍ଚାୟତ	pɔɲt͡ʃaːjɔt̪ɔ
ସେଥିରେ	set̪ʰire
କୁହାଯିବ	kuhaːd͡ʒibɔ
ସବୁଜ	sɔbud͡ʒɔ
ପଶ୍ଚିମବଙ୍ଗ	pɔst͡ʃimɔbɔŋɡɔ
ପଟ୍ଟନାୟକ	pɔʈʈɔnaːjɔkɔ
ଶିଖିଯାଅ	sikʰid͡ʒaːɔ
କଇଁଚିଟିରେ	kɔĩt͡ʃiʈire
ଭାତ	bʱaːt̪ɔ
ନିଉଲଣ୍ଡନ	niulɔɳɖɔnɔ
ଆଉରି	aːuri
ପାତ	paːt̪ɔ
ଦେଖୁଥିଲେ	d̪ekʰut̪ʰile
ଆସିବାକୁ	aːsibaːku
ପ୍ରତିଯୋଗିତା	pɾɔt̪id͡ʒogit̪aː
ରନ୍ଧା	ɾɔnd̪ʱaː
ଦେଖୁଥିଲି	d̪ekʰut̪ʰili
ଦଉଛି	d̪ɔut͡ʃʰi
କୁଶଳତାକୁ	kusɔl̪ɔt̪aːku
ବ୍ୟବସାୟ	bjɔbɔsaːjɔ
ପିନ୍ଧିବାକୁ	pind̪ʱibaːku
ମିଶି	misi
ଙ୍କଠାରୁ	ŋkɔʈʰaːru
ଗୁଡିକ	guɖikɔ
କନଭେୟାର୍	kɔnɔbʱejaːr
ସାଥୀମାନଙ୍କୁ	saːt̪ʰimaːnɔŋku
ଝୋଟି	d͡ʒʱoʈi
ଥଣ୍ଟରେ	t̪ʰɔɳʈɔre
ବାଟୋଇମାନଙ୍କୁ	baːʈoimaːnɔŋku
ଭଗ୍ନ	bʰɔgnɔ
ପୂର୍ବରୁ	purbɔru
ଅଧାରନ୍ଧା	ɔd̪ʱaːɾɔnd̪ʱaː
ମାଧ୍ୟମିକ	maːd̪ʱjɔmikɔ
ଢାଳିଲେ	ɖʱaːl̪ile
ହେଉଥିଲା	heut̪ʰilaː
ଉଡ଼ାଇବାକୁ	uɽaːibaːku
ଗୋପାଳପୁର	gopaːl̪ɔpuɾɔ
ଦରି	d̪ɔri
ଯେଉଁଥିରେ	d͡ʒeũt̪ʰire
ଆରମ୍ଭ	aːɾɔmbʰɔ
ଦମ୍-ଦମା-ଦମ୍	d̪ɔm-d̪ɔmaː-d̪ɔm
କାହାଣୀଟିଏ	kaːhaːɳiʈie
ଗଲା	ɡɔlaː
ଶ୍ରେଣୀରେ	sreɳire
ପ୍ରଶ୍ନ	pɾɔsnɔ
ବଜାଇବାକୁ	bɔd͡ʒaːibaːku
ଟାଇପ	ʈaːipɔ
ଯୁବକମାନେ	d͡ʒubɔkɔmaːne
ନୌକାକୁ	nɔukaːku
ଫୁଲଭର୍ତ୍ତି	pʰulɔbʰɔrt̪t̪i
ଶୋଭାଯାତ୍ରାରେ	sobʱaːd͡ʒaːt̪raːre
ସୂତାକାମ	sut̪aːkaːmɔ
ଏସିଆ	esiaː
ଆଶ୍ରମର	aːsɾɔmɔɾɔ
ଝରକା	d͡ʒʱɔɾɔkaː
ବିନ୍ଦୁ	bind̪u
ଆଜ୍‌ମା	aːd͡ʒmaː
ତରତର	t̪ɔɾɔt̪ɔɾɔ
ଶ୍ରେଣୀ	sreɳi
ଦିଏ	d̪ie
ସଫଳତା	sɔpʰɔl̪ɔt̪aː
ହେଇଥିଲା	heit̪ʰilaː
ରଖନ୍ତି	ɾɔkʰɔnt̪i
ବାପାର	baːpaːɾɔ
ସଜାଇବା	sɔd͡ʒaːibaː
ବିଜ୍ଞାନୀ	bid͡ʒɲaːni
ରଖାଯାଇଛି	ɾɔkʰaːd͡ʒaːit͡ʃʰi
କୁଞ୍ଚିଆ	kuɲt͡ʃiaː
ଲାଗୁଥିଲେ	laːgut̪ʰile
ବୁଝିଲ	bud͡ʒʱilɔ
ଏଥରକ	et̪ʰɔɾɔkɔ
ବାରିବାକୁ	baːribaːku
ଆସିବା	aːsibaː
କୀରଣ	kiɾɔɳɔ
ବୋଧେ	bod̪ʱe
ଗଦା	ɡɔd̪aː
ଯୋଗ	d͡ʒoɡɔ
ସ୍ଵପ୍ନକୁ	suɔpnɔku
ଆସିଗଲେ	aːsiɡɔle
ଦେଖିପାରେନି	d̪ekʰipaːreni
ମାଛି	maːt͡ʃʰi
ଉପବାସ	upɔbaːsɔ
ଭେଟିବା	bʱeʈibaː
ଧାନୀ	d̪ʱaːni
ନାରାୟଣ	naːraːjɔɳɔ
ଅଳ୍ପଦିନ	ɔl̪pɔd̪inɔ
ବର୍ଗ	bɔrɡɔ
ରାନ୍ଧିବାକୁ	raːnd̪ʱibaːku
ଅନ୍ତର୍ଭୁକ୍ତ	ɔnt̪ɔrbʱukt̪ɔ
ଉପାଡ଼ିବ	upaːɽibɔ
ଦୌଡିଆସି	d̪ɔuɖiaːsi
ମନଦୁଃଖ	mɔnɔd̪uhkʰɔ
ପ୍ରାଥମିକ	praːt̪ʰɔmikɔ
ତରୁଣ	t̪ɔruɳɔ
ଅଜାଂକୁ	ɔd͡ʒaːŋku
ବ୍ୟକ୍ତିଗତ	bjɔkt̪iɡɔt̪ɔ
ଯୋଗଦାନ	d͡ʒoɡɔd̪aːnɔ
ଡାଳମାନେ	ɖaːl̪ɔmaːne
ଗରମ	ɡɔɾɔmɔ
ମାଷ୍ଟ୍ରେ	maːsʈre
ଅଥବା	ɔt̪ʰɔbaː
ପରଖିନେବେ	pɔɾɔkʰinebe
ଭାଷାରେ	bʱaːsaːre
ଭୋଜି	bʱod͡ʒi
ଆମ୍ମୀ	aːmmi
ବହନ	bɔhɔnɔ
ଯିଏ	d͡ʒie
ରଖାଯାଉଥିବା	ɾɔkʰaːd͡ʒaːut̪ʰibaː
ଜାଣେ	d͡ʒaːɳe
ତାଳିର	t̪aːl̪iɾɔ
କ୍ଳାନ୍ତ	kl̪aːnt̪ɔ
କେଶର	kesɔɾɔ
ମାନଙ୍କୁ	maːnɔŋku
ହସୁ	hɔsu
ଲାଇଟ	laːiʈɔ
ପାଉ	paːu
ପ୍ରଧାନମନ୍ତ୍ରୀ	pɾɔd̪ʱaːnɔmɔnt̪ri
କରିପାରିଲି	kɔripaːrili
କେନ୍ଦ୍ରଶାସିତ	kend̪ɾɔsaːsit̪ɔ
ଡାଳରେ	ɖaːl̪ɔre
ଦାଣ୍ତି	d̪aːɳt̪i
ଟେବୁଲରେ	ʈebulɔre
ସ୍ୱାଦ	suaːd̪ɔ
ପ୍ରକୃତ	pɾɔkrut̪ɔ
ଖିଲାବି	kʰilaːbi
ନିଃଶ୍ୱାସର	nihsuaːsɔɾɔ
କିଛି	kit͡ʃʰi
କଣ୍ଠଦାନ	kɔɳʈʰɔd̪aːnɔ
ବୁଲି	buli
ସମୁଦାୟ	sɔmud̪aːjɔ
ବେଳେ	bel̪e
ମାଆର	maːaːɾɔ
ଜନସଂଖ୍ୟା	d͡ʒɔnɔsɔŋkʰjaː
ବୃତ୍ତି	brut̪t̪i
ଛାନିଆଁ	t͡ʃʰaːniaː̃
ବାଜାବାଲାଙ୍କୁ	baːd͡ʒaːbaːlaːŋku
ଅନ୍ତତଃ	ɔnt̪ɔt̪ɔh
ସଭ୍ୟ	sɔbʱjɔ
ଡରିକି	ɖɔriki
ପଠେଇଛି	pɔʈʰeit͡ʃʰi
ହଳଦୀ	hɔl̪ɔd̪i
ରଖିପାରୁନଥିଲା	ɾɔkʰipaːrunɔt̪ʰilaː
କମର	kɔmɔɾɔ
ନାଆଁ	naːaː̃
ସଂଗୃହିତ	sɔŋgruhit̪ɔ
ପରିବର୍ତ୍ତିତ	pɔribɔrt̪t̪it̪ɔ
ମନେରଖ	mɔneɾɔkʰɔ
ଗରମ୍	ɡɔɾɔm
ପଡ଼ିନାହିଁ	pɔɽinaːhĩ
ଜଗତ	d͡ʒɔɡɔt̪ɔ
ମଣିଷ	mɔɳisɔ
ସୋମାନେ	somaːne
ଲେଖିବା	lekʰibaː
ଗଭୀର	ɡɔbʱiɾɔ
ପ୍ରବେଶ	pɾɔbesɔ
ମିକ୍	mik
ଶ୍ରାବଣ	sraːbɔɳɔ
ସଂଗୀତ	sɔŋgit̪ɔ
ବିଶ୍ଵାସ	bisuaːsɔ
ବେଣା	beɳaː
ହରିଣ	hɔriɳɔ
ନିଜେ	nid͡ʒe
ସ୍ଥିତ	st̪ʰit̪ɔ
ଶୌକିନିଆ	sɔukiniaː
ଚିଗିଡି	t͡ʃigiɖi
ଡିଜାଇନ	ɖid͡ʒaːinɔ
ଆମ୍ମୀକୁ	aːmmiku
ଶୈଳୀ	sɔil̪i
ଧରିଛି	d̪ʱɔrit͡ʃʰi
ଅତିକ୍ରମ	ɔt̪ikɾɔmɔ
ପୂଜାରୀ	pud͡ʒaːri
ଗୁଡାଏ	guɖaːe
ଭକ୍ତ	bʰɔkt̪ɔ
ପ୍ରସନ୍ନ	pɾɔsɔnnɔ
ମାହାତ୍ମାଗାନ୍ଧୀ	maːhaːt̪maːgaːnd̪ʱi
ଚୋବାଇଲା	t͡ʃobaːilaː
ଭୁବନେଶ୍ୱର	bʱubɔnesuɔɾɔ
ସତେଜ	sɔt̪ed͡ʒɔ
ଛଳ-ଛଳ	t͡ʃʰɔl̪ɔ-t͡ʃʰɔl̪ɔ
ରାତ୍ରୀ	raːt̪ri
ଏଣ୍ଡ	eɳɖɔ
ଖୋଜାଗିରି	kʰod͡ʒaːgiri
ବିଚଳିତ	bit͡ʃɔl̪it̪ɔ
କେବେହେଲେ	kebehele
ବିଶ୍ଵାଳ	bisuaːl̪ɔ
ଜାତ	d͡ʒaːt̪ɔ
କୁନିମାଛ	kunimaːt͡ʃʰɔ
ଗିନା	ginaː
ମହାରାଜଙ୍କ	mɔhaːraːd͡ʒɔŋkɔ
ଲେଖିଲେ	lekʰile
ମାଂସପେଶୀ	maːŋsɔpesi
ପାଇବେ	paːibe
ସ୍ଵର	suɔɾɔ
ଫ୍ୟୁଜ୍	pʰjud͡ʒ
ନଥିଲି	nɔt̪ʰili
ସମୟରେ	sɔmɔjɔre
ପାଉଛନ୍ତି	paːut͡ʃʰɔnt̪i
ବୈତରଣୀ	bɔit̪ɔɾɔɳi
ଅଟା	ɔʈaː
ଝୁଙ୍କିପଡ଼ି	d͡ʒʱuŋkipɔɽi
ଥିଲା	t̪ʰilaː
ସାଂଗମାନଂକ	saːŋɡɔmaːnɔŋkɔ
ହାଇଁ	haːĩ
ଯୁଗରେ	d͡ʒuɡɔre
ପୁରାଯିବ	puraːd͡ʒibɔ
ଓଡ଼ିଶୀ	oɽisi
ହଅ	hɔɔ
ଦୀପ	d̪ipɔ
ଶାନ୍ତ	saːnt̪ɔ
ତଥା	t̪ɔt̪ʰaː
ଶୁଆ	suaː
ଫେରିବାକୁ	pʰeribaːku
ନୟାଗଡ଼	nɔjaːɡɔɖɔ
ଖ୍ରୀଷ୍ଟ	kʰrisʈɔ
ଏଥିରେ	et̪ʰire
ପକୃତରେ	pɔkrut̪ɔre
ଗୁଡିଏ	guɖie
ଯୋର	d͡ʒoɾɔ
ଅଟନ୍ତି	ɔʈɔnt̪i
ଦେହାନ୍ତ	d̪ehaːnt̪ɔ
ମିଆଁ	miaː̃
ବହି	bɔhi
ନୈଶିନ	nɔisinɔ
ବ୍ୟାକୁଳ	bjaːkul̪ɔ
ସହଜ	sɔhɔd͡ʒɔ
ଚକ୍‌	t͡ʃɔk
ଉପାୟଟି	upaːjɔʈi
ଫେବୃଆରୀ	pʰebruaːri
ସୁଗନ୍ଧ	suɡɔnd̪ʱɔ
ଲେଖାରେ	lekʰaːre
ହେମନ୍ତ	hemɔnt̪ɔ
କୁଞ୍ଚି	kuɲt͡ʃi
ସି	si
ପଡ଼ିଗଲା	pɔɽiɡɔlaː
ସାଇ	saːi
ଲାଂଜ	laːŋd͡ʒɔ
ସ୍ୱେଚ୍ଚାସେବୀ	suet͡ʃt͡ʃaːsebi
ଭଳିଆ	bʰɔl̪iaː
ଏମିତିରେ	emit̪ire
ଦୃଶ୍ୟ	d̪rusjɔ
ଜଙ୍ଗଲଟିର	d͡ʒɔŋɡɔlɔʈiɾɔ
ଖିରି	kʰiri
କମ୍ବଳ	kɔmbɔl̪ɔ
ଘଡ଼ଘଡ଼ି	ɡʱɔɽɔɡʱɔɽi
ଉଦ୍ଭିଦ	ud̪bʱid̪ɔ
ପ୍ରଫୁଲ୍ଲିତ	pɾɔpʰullit̪ɔ
ସହରଟିଏ	sɔhɔɾɔʈie
ସାଙ୍ଗେ	saːŋge
ଇନ୍ଦ୍ର	ind̪ɾɔ
ସାଧନ	saːd̪ʱɔnɔ
ଚତୁର୍ଭୁଜ	t͡ʃɔt̪urbʱud͡ʒɔ
ପିନ୍ଧିଲା	pind̪ʱilaː
ଖଞ୍ଜେ	kʰɔɲd͡ʒe
ରହୁଥିଲା	ɾɔhut̪ʰilaː
ଡାଲି	ɖaːli
ଶୋଇପଡ଼ିଲା	soipɔɽilaː
ସଜୀବ	sɔd͡ʒibɔ
ନଦୀ	nɔd̪i
ନଥିଲା	nɔt̪ʰilaː
ଅବଦାନ	ɔbɔd̪aːnɔ
ପଦାର୍ଥ	pɔd̪aːrt̪ʰɔ
ପ୍ରସ୍ତାବ	pɾɔst̪aːbɔ
ହୋଇଯିବ	hoid͡ʒibɔ
ନେବ	nebɔ
ଗର୍ଭ	ɡɔrbʰɔ
ଭାରତର	bʱaːɾɔt̪ɔɾɔ
ବାରାଣସୀ	baːraːɳɔsi
ଦଉଡ଼ିଲା	d̪ɔuɽilaː
ମାନ୍ୟତା	maːnjɔt̪aː
ଅବସର	ɔbɔsɔɾɔ
ଦୁର୍ଗର	d̪urɡɔɾɔ
ଅଧ୍ୟୟନ	ɔd̪ʱjɔjɔnɔ
ଲିଭାଇ	libʱaːi
ଛାଡ଼ିଲା	t͡ʃʰaːɽilaː
ପ୍ରକାଶ	pɾɔkaːsɔ
ଡିଏଁ	ɖiẽ
ଭାଇସରୟଙ୍କୁ	bʱaːisɔɾɔjɔŋku
ବ୍ୟସ୍ତ	bjɔst̪ɔ
ମାନବ	maːnɔbɔ
ବେଶି	besi
କରେ	kɔre
କାନପାଖେ	kaːnɔpaːkʰe
ଶ୍ରୀମନ୍ଦିର	srimɔnd̪iɾɔ
ଜାଣିଛ	d͡ʒaːɳit͡ʃʰɔ
ଯେମିତି	d͡ʒemit̪i
ନିରୁତ୍ସାହ	nirut̪saːhɔ
ଗାନ୍ଧିଜୀ	gaːnd̪ʱid͡ʒi
ଛେଚା	t͡ʃʰet͡ʃaː
ଯଥେଷ୍ଟ	d͡ʒɔt̪ʰesʈɔ
ମଲହାର	mɔlɔhaːɾɔ
ଦ୍ଵାରା	d̪uaːraː
ଲତା	lɔt̪aː
ରକ୍ତଚାପ	ɾɔkt̪ɔt͡ʃaːpɔ
ସାଙ୍କେତିକ	saːŋket̪ikɔ
ସବୁଥର	sɔbut̪ʰɔɾɔ
ଜାଗର	d͡ʒaːɡɔɾɔ
ଶୋଇଲି	soili
ଯୋଡ଼ିବେ	d͡ʒoɽibe
ପଟାରେ	pɔʈaːre
ବାଲାଙ୍କୁ	baːlaːŋku
ଗାଆଁଟି	gaːaː̃ʈi
ବସିଲି	bɔsili
ଫିଙ୍ଗିବି	pʰiŋgibi
ଆସିଗଲା	aːsiɡɔlaː
ଖୋଲିବାକୁ	kʰolibaːku
ଲାଗିଲେଣି	laːgileɳi
ପିଠି	piʈʰi
ପ୍ରୟୋଗ	pɾɔjoɡɔ
ବୋଲି	boli
ଶ୍ରୀନିବାସକୁ	srinibaːsɔku
ବିବେକାନନ୍ଦ	bibekaːnɔnd̪ɔ
ମେଲାଇ	melaːi
ପାନିଆଟିଏ	paːniaːʈie
ଦ୍ରବ୍ୟ	d̪ɾɔbjɔ
ଇଂଜିନିୟରିଂ	iŋd͡ʒinijɔriŋ
କାରଣ	kaːɾɔɳɔ
ହୁଅନି	huɔni
ବଦମାଶ୍	bɔd̪ɔmaːs
କାନାଡାରେ	kaːnaːɖaːre
ସଞ୍ଜୟ	sɔɲd͡ʒɔjɔ
ଓଲିଉଡ଼	oliuɖɔ
କଟା	kɔʈaː
ଥକିଗଲେ	t̪ʰɔkiɡɔle
ପ୍ରବନ୍ଧ	pɾɔbɔnd̪ʱɔ
ରାସ୍ତାଟିଏ	raːst̪aːʈie
ଓଠ	oʈʰɔ
କରା	kɔraː
ଜୁଇ	d͡ʒui
ପହେଲମାନ	pɔhelɔmaːnɔ
ପ୍ରସଙ୍ଗର	pɾɔsɔŋɡɔɾɔ
ଛତା	t͡ʃʰɔt̪aː
ବଲ୍	bɔl
ନୀତି	nit̪i
ଦୌଡ଼	d̪ɔuɽɔ
ନଅର	nɔɔɾɔ
ଚିଲ୍ଲେଇ	t͡ʃillei
ଗାଇ	gaːi
ଜାଣି	d͡ʒaːɳi
ବେଦ	bed̪ɔ
ଚାରିଦିଗେ	t͡ʃaːrid̪ige
ପୁଅଟିର	puɔʈiɾɔ
ମୃଦଙ୍ଗମ	mrud̪ɔŋɡɔmɔ
କିପରି	kipɔri
ଛାଡି	t͡ʃʰaːɖi
କରିବା	kɔribaː
କାଗଜ଼	kaːɡɔd͡ʒɔ
ଏସବୁ	esɔbu
ଯେତେଥର	d͡ʒet̪et̪ʰɔɾɔ
ମକର	mɔkɔɾɔ
ଭୌତିକ	bʱout̪ikɔ
ଡିଆଁଇ	ɖiaː̃i
ଗଲେ	ɡɔle
ଏହାର	ehaːɾɔ
ଅଷ୍ଟମୀ	ɔsʈɔmi
ଚିକିତ୍ସାକଙ୍କ	t͡ʃikit̪saːkɔŋkɔ
ଛାଡ଼ିଗଲେ	t͡ʃʰaːɽiɡɔle
ବିନୋଦ	binod̪ɔ
କଳାପଟାରେ	kɔl̪aːpɔʈaːre
ଗାଁରେ	gaː̃re
ବିନ୍ଦା	bind̪aː
ହିଁ	hĩ
ବଳରାମ	bɔl̪ɔraːmɔ
ପାରିଲେନି	paːrileni
ଅନୁକୁ	ɔnuku
ପରିବାହକ	pɔribaːhɔkɔ
ବଢ଼ିବ	bɔɽʱibɔ
ବଙ୍ଗ	bɔŋɡɔ
ପହଞ୍ଚିପାରିବା	pɔhɔɲt͡ʃipaːribaː
ବ୍ଲକ୍	blɔk
ଭିଡିଓ	bʱiɖio
କେଇ	kei
ମହାଦେଶ	mɔhaːd̪esɔ
ବାନ୍ତି	baːnt̪i
ଘୋଡାଟିକୁ	gʰoɖaːʈiku
ସାହାଜାନାବାଦ	saːhaːd͡ʒaːnaːbaːd̪ɔ
ଚୀଲ	t͡ʃilɔ
କୋରାପୁଟ	koraːpuʈɔ
ଶୋଷ	sosɔ
ଢାକି	ɖʱaːki
ଦୁଇପଟୁ	d̪uipɔʈu
ସଂଗ୍ରହ	sɔŋgɾɔhɔ
ଡରନ୍ତିନି	ɖɔɾɔnt̪ini
ସର୍ବୋଚ୍ଚ	sɔrbot͡ʃt͡ʃɔ
ବେଣୀ	beɳi
କରୁନଥିଲା	kɔrunɔt̪ʰilaː
ପ୍ରସାଧନ	pɾɔsaːd̪ʱɔnɔ
ଏବେବି	ebebi
ବିଶ୍ରାମ	bisraːmɔ
ସକାଳ	sɔkaːl̪ɔ
ହେଇଛି	heit͡ʃʰi
ପସନ୍ଦ	pɔsɔnd̪ɔ
ମୁଣ୍ତକୁ	muɳt̪ɔku
ବାହାର	baːhaːɾɔ
ଥାଳିରେ	t̪ʰaːl̪ire
ହଲେ	hɔle
କରିଥିଲେ	kɔrit̪ʰile
ମାଟିରୁ	maːʈiru
ଗାଏ	gaːe
ଅଧ୍ୟାପକ	ɔd̪ʱjaːpɔkɔ
ପ୍ରତିଶତ	pɾɔt̪isɔt̪ɔ
ଲେଉଟାଣି	leuʈaːɳi
ଖାତା	kʰaːt̪aː
କୁମାର	kumaːɾɔ
ଦେଖାଯିବେ	d̪ekʰaːd͡ʒibe
କହୁନୁ	kɔhunu
ବ୍ୟାପିବାକୁ	bjaːpibaːku
ଅନେକାନେକ	ɔnekaːnekɔ
ଖେଳିବି	kʰel̪ibi
ନାଇଁ	naːĩ
ଚାକିରି	t͡ʃaːkiri
ପଗଡ଼ିଟିଏ	pɔɡɔɽiʈie
ଘୁଞ୍ଚାଇଦିଆଗଲା	gʰuɲt͡ʃaːid̪iaːɡɔlaː
ପକେଇବା	pɔkeibaː
ଛୁଆଟେ	t͡ʃʰuaːʈe
ପାଉଥିଲେ	paːut̪ʰile
ଦୁଇଟି	d̪uiʈi
ଛଡ଼ା	t͡ʃʰɔɽaː
ହେ	he
ଜନ୍ମ	d͡ʒɔnmɔ
ରୋଟି	roʈi
ଅତିରିକ୍ତ	ɔt̪irikt̪ɔ
ଲାଙ୍ଗଲେନ	laːŋɡɔlenɔ
ଧରିନେଇଥିଲା	d̪ʱɔrineit̪ʰilaː
ମୁକ୍ତ	mukt̪ɔ
ଅନୁଯାୟୀ	ɔnud͡ʒaːji
ସମିରା	sɔmiraː
ନେଇକି	neiki
ଆସୁଛନ୍ତି	aːsut͡ʃʰɔnt̪i
ତାହାହେଲେ	t̪aːhaːhele
ରୁପା	rupaː
ହୋଇଯାନ୍ତି	hoid͡ʒaːnt̪i
କାରୁକାର୍ଯ୍ୟଭରା	kaːrukaːrd͡ʒjɔbʰɔraː
ଖବରକାଗଜ	kʰɔbɔɾɔkaːɡɔd͡ʒɔ
ଛତୁର	t͡ʃʰɔt̪uɾɔ
ସାମନ୍ତ	saːmɔnt̪ɔ
ନାହାଁନ୍ତି	naːhaː̃nt̪i
ମୃ-ଦ-ଙ୍ଗ-ମ	mru-d̪ɔ-ŋɡɔ-mɔ
ସଂକ୍ରମଣ	sɔŋkɾɔmɔɳɔ
ମହାପ୍ରଭୁ	mɔhaːpɾɔbʱu
ଆସନି	aːsɔni
ଅଟକେଇ	ɔʈɔkei
ସ୍ଵାଗତମ୍	suaːɡɔt̪ɔm
ବିଛଣାରୁ	bit͡ʃʰɔɳaːru
କାଢି	kaːɖʱi
ନଡ଼ିଆଟେ	nɔɽiaːʈe
ବନ୍ଧନ	bɔnd̪ʱɔnɔ
ଆଂକି	aːŋki
ଅର୍ପଣ	ɔrpɔɳɔ
ଗାଜର	gaːd͡ʒɔɾɔ
ପିୟାଜ	pijaːd͡ʒɔ
ଆଣିଥାଏ	aːɳit̪ʰaːe
ଯନ୍ତ୍ରଣା	d͡ʒɔnt̪ɾɔɳaː
ମହାରଣା	mɔhaːɾɔɳaː
ଗଦ	ɡɔd̪ɔ
ଚିତ୍ରଥିବା	t͡ʃit̪ɾɔt̪ʰibaː
ବନାଏ	bɔnaːe
ଗୋବିନ୍ଦ	gobind̪ɔ
ଭରୁ	bʰɔru
ଭୂଗୋଳ	bʱugol̪ɔ
ଇଉରୋପୀୟ	iuropijɔ
ଚୁପ୍‌	t͡ʃup
ବାହ୍ୟ	baːhjɔ
ମେଳା	mel̪aː
ନୁଆ	nuaː
ନାମରେ	naːmɔre
କିମ୍ବଦନ୍ତୀ	kimbɔd̪ɔnt̪i
ଦେଉଛି	d̪eut͡ʃʰi
ବୋହୁଥିଲା	bohut̪ʰilaː
ଓହ୍ଲାଇ	ohlaːi
ଅଧୀନରେ	ɔd̪ʱinɔre
ଜଂଗଲ	d͡ʒɔŋɡɔlɔ
ଉଠିଲା	uʈʰilaː
ଦେଇଦିଅ	d̪eid̪iɔ
କରାଇଛନ୍ତି	kɔraːit͡ʃʰɔnt̪i
ଖାନ୍	kʰaːn
ଖେଳରେ	kʰel̪ɔre
ମଧ୍ୟରୁ	mɔd̪ʱjɔru
ଭାସୁଛି	bʱaːsut͡ʃʰi
ତିଥିରେ	t̪it̪ʰire
ପିଲାଟିକୁ	pilaːʈiku
ଖୋଜିବା	kʰod͡ʒibaː
କୋଣିଆ	koɳiaː
ରାଉତରାୟ	raːut̪ɔraːjɔ
ଉଠିଲି	uʈʰili
ସଂଖ୍ୟାମାନଂକ	sɔŋkʰjaːmaːnɔŋkɔ
କିଣିବା	kiɳibaː
ଅବନ୍ତୀ	ɔbɔnt̪i
ବିବିଧ	bibid̪ʱɔ
ମକ୍କା	mɔkkaː
ଅତି	ɔt̪i
କହିଲେ	kɔhile
କରିପାରିବି	kɔripaːribi
ଛୁଇଁବ	t͡ʃʰuĩbɔ
ମନମତାଣିଆ	mɔnɔmɔt̪aːɳiaː
ଘାସଠୁ	gʰaːsɔʈʰu
ପୋଷାକଟି	posaːkɔʈi
ଶୀତଦିନେ	sit̪ɔd̪ine
ଜନତା	d͡ʒɔnɔt̪aː
ନାମିତ	naːmit̪ɔ
ରାମ	raːmɔ
ଯୁଗ	d͡ʒuɡɔ
ତିନିଥର	t̪init̪ʰɔɾɔ
ଆପଣଂକୁ	aːpɔɳɔŋku
ମୁବାରକ	mubaːɾɔkɔ
ସାହାଯ୍ୟ	saːhaːd͡ʒjɔ
ସାରଣୀ	saːɾɔɳi
ତମେ	t̪ɔme
ସୁନ୍ଦରତା	sund̪ɔɾɔt̪aː
ପଣ୍ଡା	pɔɳɖaː
ରାଗ	raːɡɔ
ଫେରାଇ	pʰeraːi
ଆଲୋଚନା	aːlot͡ʃɔnaː
ବିଶ୍ୱର	bisuɔɾɔ
ଜ୍ୱର	d͡ʒuɔɾɔ
ଯେପରି	d͡ʒepɔri
ସମର୍ଥକ	sɔmɔrt̪ʰɔkɔ
ଠାରେ	ʈʰaːre
ଚିନୁକୁ	t͡ʃinuku
ଫିଙ୍ଗନ୍ତି	pʰiŋɡɔnt̪i
ସମସ୍ୟା	sɔmɔsjaː
