leeschtungsstaark	leːʃtˈuɳstaːʀk
Verhältnis	fʁhˈæltnis
Schutzengel	ʃuʦˈæɳəl
Etapp	ˈetɑp
ewechhalen	ˌəvəɕhˈaːlən
begréissen	bəgʀˈɜ͡ɪsən
Luciano	lˌuːkiˈaːnoː
Neischt	nˈɑ͡ɪʃt
Schinnen	ʃˈinən
Würd	vˈyːʀt
produzéierte	pʀˌoːduːʦɜ͡ɪˈɐtə
Friichten	fʀˈiːɕtən
Kreaturen	kʀˌeaːtˈuːʀən
Besonnescht	beːzˈoneːʃt
payant	pɑˈiɑnt
Cahier	kaːhˈiɐ
Digestif	diʒˈestif
zu	ʦˈuː
versaut	fʁzˈɑ͡ʊt
Emploi	əmplˈoi
unschleissen	unʃlˈɑ͡ɪseːn
Minaj	mˈiːnaːj
Copilot	koːpˈiːloːt
Kartell	kˈɑʀtəll
IRMen	ˈiːʁmˈeːn
DT	dt
Blend	blˈænt
Dokumentaire	dˌoːkumeːntˈɑ͡ɪʀə
Flammang	flˈɑmɑɳ
rigide	ʀiːʒˈiːdə
internationalem	ˌinteːʀnˌaːtioːnˈaːleːm
Manga	mˈɑɳɑ
ofleeft	ˈofleːft
zeréckgeet	ʦəʀˈækʒeːt
Occasioun	okˈɑzjə͡ʊn
Gréisstendeels	gʀɜ͡ɪstˈændeːls
verfüügt	fʁfˈyːɕt
Retter	ʀˈeːteːʀ
Daniil	dˈaːniːl
entschiedegen	ˌənt͡ʃiədˈəʑən
Kulturama	kˌultuːʀˈaːmɑ
opgestanen	ˌopgəʃtˈɑnən
vrun	vʀˈuːn
Europol	o͡ɪʀˈoːpoːl
Nationalarchiv	nˌaːtiˌoːnaːlˈɑʀkhiːv
réagéiert	ʀˌæaːgˈɜ͡ɪɐt
Déierefrënn	dˌɜ͡ɪəʀˈəfʀən
Pathos	pˈɑtoːs
fossille	fosˈilə
Mäerchen	mˈeʁɕən
leifsten	lˈɑ͡ɪfzteːn
Nationalgalerie	nˌaːtiˌoːnɑlgaːlˈeːʀi͡ə
express	ˈækspʀæs
Maile	mˈɑ͡ɪlə
Soulaang	sˈulaːɳ
Nominéierung	nˌoːminɜ͡ɪˈəʀuɳ
Gesellschaftsspiller	gˌəzælʃˈɑftsʃpilʁ
Reklam	ʀˈeːklaːm
iegentwei	i͡əgˈəntvɑ͡ɪ
Shutdown	zhˈuttovn
Explosioune	ˌəksploːziˈə͡ʊnə
genre	gˈənʀ
derno	dʁnˈoː
Remerschen	ʀˈəmʁʃən
Finanzdéngschtleeschtungen	fˌiːnɑnʦtˌæɳʃtleːʃtˈuɳeːn
beispillhaft	bɑ͡ɪzpˈilhɑft
confirméierte	kˌonfiˌɐmɜ͡ɪˈɐtə
Lies	lˈi͡əs
LibreOffice	lˈibʀəˈofiːs
présent	pʀˈæsənt
Socialiste	zˌoːkiaːlˈiztə
jiddwer	ʑˈidfəʀ
conservéiert	konzˈeʀfɜ͡ɪʁt
bekuckt	bˈəkukt
Tokyo	toːkˈioː
Immigratiounsdirektioun	ˌimigʀˌaːtiˌə͡ʊnztiːʀeːktˈiə͡ʊn
afrikaneschen	ˌɑfʀiːkaːnˈeːʃeːn
Hotelieren	ˌoːtælˈiːʁʀən
kritiséieren	kʀˌitizɜ͡ɪˈəʀən
ofzefiederen	ˌofʦəfi͡ədˈɐeːn
Jelli	ʒˈeli
stierzen	ʃtˈiːʁʦən
nominéiert	noːmˈinɜ͡ɪʁt
iergendeppes	ˌiʁʑəntˈæpəs
Proprietéiten	pʀˌopʀiətˈɜ͡ɪtən
betraffener	bˌeːtʀɑfˈeːneːʀ
goud	gˈə͡ʊd
ageschafft	ɑgˈəʃɑft
Bamhaiser	bɑmhˈɑ͡ɪzeːʀ
Bereich	bˈeːʀɑ͡ɪʃ
Koschter	kˈoʃtʁ
dreeën	dʀˈeːən
gläichgeschlechtleche	glˌæː͡ɪʃgəʃlæɕtlˈæɕə
Informanten	ˌinfoʀmˈɑntən
Grille	gʀˈilə
Serb	sˈeʀp
Colabianchi	kˌoːlaːbiˈɑnkhi
freckt	fʀˈeːkt
hoffen	hˈofən
Materialie	mˌɑteːʀiˈaːli͡ə
entgéintwierken	ˌəntgɜ͡ɪntviˈɐkeːn
verbidde	veːʀbˈidə
ausgewielten	ˌɑ͡ʊzgəvˈi͡əlteːn
Memorie	meːmˈoːʀi͡ə
irakeschen	ˌiːɐaːkˈeːʃeːn
di	dˈi
Haider	hˈɑ͡ɪdɐ
einstweilen	ɑ͡ɪnztvˈɑ͡ɪleːn
ëtt	ˈoæt
koume	kˈə͡ʊmə
Battin	bˈɑtiːn
Halloween	hɑlˈoːveːn
Sammler	zˈɑmlʁ
Mëttelstreckerakéiten	mˌəteːlʃʀˌeːkeːʀaːkˈɜ͡ɪteːn
zeréckkréien	ʦˌəʀekkʀˈɜ͡ɪən
finale	fˈinɑl
Léisungen	lɜ͡ɪzˈuɳən
Iermsdref	ˈiʁmsdʀəf
gëss	gˈəs
Essayen	ˌəsɑˈiən
Auspuff	ˈæː͡ʊspuf
uriichte	uːʀˈiːɕtə
ausgeblent	ɑ͡ʊzgˈəbleːnt
Souveniren	zə͡ʊfnˈiːʀən
donkelen	doɳˈeːleːn
Häerzklappen	hɛːʁʦklˈɑpən
Donkel	dˈoɳkəl
Screenshots	zkʀˈeːnshotz
Professeren	pʀˌofæsˈəʀən
Thilo	thˈiːloː
Plaque	plˈaːku͡ə
fondamentale	fˌontaːmeːntˈaːlə
widderspréchlech	vidʁʃpʀˈəɕləɕ
Keint	kˈɑ͡ɪnt
Säuberung	zˌɛːuːbˈeːʀuɳ
klassesch	klˈɑsəʃ
FragenLandwirtschaft	fʀˈɑʁənlɑntvˈiʀt͡ʃɑft
geschlof	gˈəʃloːf
Wierken	vˈiːʁkən
Muppe	mˈupə
knaen	knˈaːən
ausgesat	æː͡ʊsgˈəsaːt
onsem	ˈonzeːm
Festdag	fˈæstdaːX
matbréngt	mˈɑtbʀæɳt
Mord	mˈoʀt
neidesch	nˈɑ͡ɪdəʃ
Evans	ˈəvɑnz
Anekdote	ˌaːneːktˈoːtə
Croissance	kʀoˈisɑns
Informatique	ˌinfoʀmɑtˈiːku͡ə
Solfège	sˈolfɛːʃ
erausgaang	ɐˈɑ͡ʊzgaːɳ
wierklecher	vˌiɐklˈæɕeːʀ
Weimeschhaff	vɑ͡ɪmˈəʃhɑf
Asyldemandeure	ˌɑziltˌeːmɑntˈo͡ɪʀə
Bouf	bˈə͡ʊf
verzien	fʁʦˈiːən
Coureure	kə͡ʊʀˈo͡ɪʀə
Panel	pˈaːneːl
Flex	flˈæks
geroch	gˈəʀoX
fortfiert	foʀtfˈiɐt
Code	kˈodə
Nächsteléift	nækstˈəlɜ͡ɪft
Employeur	əmplˈo͡ɪo͡ɪʀ
Normandie	noʀmˈɑnti͡ə
Jaurès	jˈɑ͡ʊʀeːz
nokuckt	nˈoːkukt
Civil	sˈivil
vulnerable	vˌulneːʀˈɑblə
zweiwelsfräi	ʦvɑ͡ɪvˈeːlzfʀæː͡ɪ
Irina	ˌiːɐˈiːnɑ
Andrée	ˈɑntʀeː
riesegen	ʀi͡əzˈeːgən
Spuenesch	ʃpˈu͡ənəʃ
Wielerwëllen	vˌi͡əleːʀvˈəleːn
Fëllung	fˈəluɳ
Bezierker	bˈəʦiːʁkʁ
bannenzegt	bɑnˈənʦəgt
CSSF	ksf
Buden	bˈuːdən
weinstens	vˈɑ͡ɪnzteːnz
Gëllene	gəlˈeːnə
ensteet	ˈənzteːt
Fraleit	fʀˈɑlɑ͡ɪt
grous	gʀˈə͡ʊz
meisst	mˈɑ͡ɪst
Verlängerung	fʁlæɳˈəʀuɳ
Fuel	fˈu͡əl
eischter	ˈɑ͡ɪʃteːʀ
Björn	bjˈœːʀn
Say	zˈɑiː
verkaft	vˈeːʀkɑft
incitéieren	ˌinkiːtɜ͡ɪˈɐeːn
Grofschaft	gʀˈofʃɑft
duerchblécken	duːʁɕblˈekən
lone	lˈoːnə
Thematiséiert	tˌemaːtˈizɜ͡ɪʁt
Retsch	ʀˈeːtʃ
jugendlecher	jˌuːʁəntlˈæɕeːʀ
Membran	mˈɑ̃ːmbʀaːn
Suspensioun	syʃpˈænsjə͡ʊn
Stipendium	ʃˌiːpæntˈium
zäitgeméiss	ʦæː͡ɪtgˈəmɜ͡ɪs
deet	dˈeːt
Fernsee	fˈeːʀnzeː
kale	kˈaːlə
Grammatik	gʀɑmˈaːtik
Verbe	vˈeːʀbə
Solidargemeinschaft	zˌoːliːdˌɑʀgəmˈɑ͡ɪnʃɑft
Investitiounsprogramm	ˌinveːztˌiːtiə͡ʊnzpʀˈogʀɑm
qualifizéiere	kwˌaːliːfˌiːʦɜ͡ɪˈɐə
Grill	gʀˈil
Minièresbunn	mˌiːnieːʀˈeːzbun
Ufroe	ufʀˈoə
Rietsen	ʀˈi͡ətsən
Cole	kˈoːlə
Profiller	pʀoːfˈileːʀ
nogelooss	noːgˈəloːs
folgendem	folgˈənteːm
Becheren	bæɕˈəʀən
Grammy	gʀˈɑmiː
Neuer	nˈo͡ɪɐ
Friemsprooch	fʀˈi͡əmʃpʀoːX
Sprangprëssessioun	zpʀˌɑɳpʀəseːsˈiə͡ʊn
Pilgerrees	pilgˈəʀeːz
Mississippi	mˌisisˈipi
Ursach	ˈuʀzɑX
Brennweit	bʀˈeːnvɑ͡ɪt
Photographen	phˌoːtogʀˈɑpheːn
client	klˈiɑ̃ː
Verontreiung	vˌeːʀontʀˈɑ͡ɪuɳ
village	vilˈɑʁə
Sachsenring	zɑXsˈənʀiɳ
néidegen	nɜ͡ɪdˈeːgən
Service	sˈeʀvis
bestuede	beːztˈu͡ədə
Fënster	fˈənstʁ
Frans	fʀˈɑnz
Jeroen	jeːʀˈoən
Doktesch	dˈoktəʃ
Presidence	pʀezˈidɑ̃ːs
Verfaassung	veːʀfˈaːsuɳ
aussergewéinlecher	ˌɑ͡ʊseːʀgˌəvɜ͡ɪnlˈæɕeːʀ
exerzéieren	ˌəkseːʀʦɜ͡ɪˈɐeːn
stounge	ʃˈə͡ʊɳə
Wämper	vˈempeːʀ
Plazen	plˈaːʦən
passéiren	pɑsˈɜ͡ɪʀeːn
RER	ʀˈeːʀ
Elsen	ˈəlsən
ofzeknäppen	ˌofʦəknˈepeːn
Beatles	bəˈɑtleːz
positionnéieren	pˌoːziːtˌionɜ͡ɪˈɐeːn
Liwwerung	livˈəʀuɳ
SE	zˈə
Iron	iːˈɐoːn
bloot	blˈoːt
Aufgabe	ɑ͡ʊfgˈaːbə
ergoen	ʁgˈoːən
Standbeen	ʃtˈɑntbeːn
ergaangen	ʁgˈaːɳən
Dammevolleyball	dˌɑmeːvˌoləˈibɑl
Persounen	peʀzˈə͡ʊnən
Matchball	mˈɑtkhbɑl
erfuerderen	ʁfuːʁdˈəʀən
Symphonie	simfˈoːni͡ə
Visuell	vˈizwæl
Réih	ʀˈɜ͡ɪh
goût	gˈuː
Holiday	hˌoːliːdˈɑiː
opgehaang	opgˈəhaːɳ
Zensur	ʦˈænzuːʀ
Sonntag	zˈontaːX
Melsen	mˈeːlsən
Trail	tʀˈɑ͡ɪl
akut	ˈɑkuːt
Siche	zˈiʃə
ned	nˈeːd
Useren	uːzˈeːʀeːn
Eischt	ˈɑ͡ɪʃt
stëmmberechtegte	ʃˌəmbeːʀæɕtˈeːgtə
duerchlieft	dˈu͡əʀkhli͡əft
verkennt	vˈeːʀkeːnt
moralesch	moʀˈaːləʃ
Laache	lˈaːXə
Maio	mˈɑ͡ɪoː
ofgedréckt	oːfgˈədʀekt
Akkorden	ɑkˈoʀdən
Paukl	pˈɑ͡ʊkl
Kéisécker	kɜ͡ɪzˈækeːʀ
matfinanzéiert	mˌɑtfiːnɑnʦˈɜ͡ɪɐt
Scholtus	ʃˈoltuːz
geschriwwe	gəʃʀˈivə
gestanen	gəʃtˈɑnən
Brécken	bʀˈekən
Kinneksbond	kinˈeːksbont
stierzt	ʃˈiɐʦt
kommunikéiert	kˌomynˈikɜ͡ɪʁt
Gesondheetssystem	gˌəzontheːtssˈiːstəm
anzebréngen	ˌɑnʦəbʀˈæɳeːn
esthetesch	əzthˈeːteːʃ
commerciale	kˌomeːʀkiˈaːlə
Edukatiounsministère	ˌəduːkˌaːtiˌə͡ʊnzmiːniztˈeːʀə
Onroue	onʀˈə͡ʊə
Mecanicien	mˌeːkɑnˈisjɛ̃ː
Magdalena	mˌɑgtaːlˈeːnɑ
Richer	ʀˈiʃeːʀ
Réimer	ʀˈɜ͡ɪmʁ
Kox	kˈoːks
Schnell	ʃnˈæl
Ofschléissend	ofʃlˈɜ͡ɪseːnt
Theorië	thˌəoːʀˈiə
dekoréiert	dəkˈoʀɜ͡ɪʁt
Schëff	ʃˈəf
Gengler	gˈəɳleːʀ
Nullronn	nˈulʀon
fueren	fˈuːʁʀən
zerëck	ʦˈəʀək
Dankbarkeet	dɑɳkbˈaːʀkeːt
Cybermobbing	kˌibeːʀmˈobiɳ
Aweiung	ɑvˈɑ͡ɪuɳ
interne	intˈeːʀnə
adr	ˈɑdʀ
Line	lˈiːnə
Maghreb	mˈɑghʀeːb
schluechten	ʃlˈu͡əɕtən
archivéiert	ɑʀɕˈivɜ͡ɪʁt
bougéiert	bˈuʒɜ͡ɪʁt
nächstem	nˈekhzteːm
Trojaner	tʀoːjˈaːneːʀ
aschränke	ɑʃʀˈeɳə
LEADER	lˈeaːdʁ
Deementspriechend	dˌeːmænt͡ʃpʀˈi͡əɕənt
Influenz	ˈinflu͡ənʦ
spierbar	zpiˈɐbaːʀ
mëttelstänneg	mˌəteːlztˈeneːk
Entloossung	əntlˈoːsuɳ
fester	fˈæstʁ
Dir	dˈiːʁ
contemporain	kˌonteːmpˈoːʀɑ͡ɪn
Preis	pʀˈɑ͡ɪz
virbereede	vˌiʀbeːʀˈeːdə
bäifügen	bæː͡ɪfˈyːgən
einheimesch	ɑ͡ɪnhˈɑ͡ɪmeːʃ
Islam	ˈislaːm
Reesen	ʀˈeːzən
Michely	miʃˈeːliː
riesech	ʀˈi͡əzæɕ
facturéiert	fɑktˈyːʀɜ͡ɪʁt
Staatskeess	ʃˈaːtzkeːs
Ecken	ˈækən
Mirko	mˈiʀkoː
erschaffen	ʁʃˈɑfən
fotographeieren	fˌoːtogʀˌɑphɑ͡ɪˈɐeːn
Speciallen	zpˌeːkiˈɑleːn
diversifizéiert	dˌiːveːʀzˌiːfiːʦˈɜ͡ɪɐt
Secherlech	zæɕˈeːʀlæɕ
Schlauch	ʃlˈæː͡ʊX
ernannt	ʁnˈɑnt
verbessert	fʁbˈæsʁt
jidder	ʑˈidʁ
Schonns	ʃˈons
ACKERMANN	ɑkˈeːʀmɑn
Semester	zˈəmæstʁ
Onkloerheet	onklˈoːʁheːt
antisemitesch	ˌɑntizemˈitəʃ
Schongbuttek	ʃoɳbˈutek
Assistent	ɑsˈistænt
Gales	gˈaːleːz
Waremme	vaːʀˈeːmə
Baku	bˈaːku
Etüden	eːtˈyːdən
Wunnhaus	vˈunhɑ͡ʊz
Ableck	ˈɑbleːk
eegestänneg	ˌeːʑəʃtˈænəɕ
Listing	lˈiztiɳ
ziviliséiert	ʦˌivilˈizɜ͡ɪʁt
Playdown	plɑˈidovn
Southampton	zə͡ʊthˈɑmptoːn
NEE	nˈeː
Meeschterwierk	mˈeːʃtʁviːʁk
disqualifizéiert	dˌiskwaːlifˈiʦɜ͡ɪʁt
drastesch	dʀˈɑstəʃ
themateschen	thˌeːmɑtˈeːʃeːn
Risken	ʀˈiskən
Sozialminister	zˌoːʦiˌɑlmiːnˈizteːʀ
ausgebreet	æː͡ʊsgˈəbʀeːt
Bausteen	bˈɑ͡ʊzteːn
Onschaerft	onʃˈɑɐft
Bartleby	bɑʀtlˈeːbiː
gestuerwen	gəʃtˈu͡əvən
munch	mˈunɕ
respektiver	ʀˌeːzpeːktˈiːveːʀ
gesellschaftspolitesche	gˌəzeːlʃˌɑftzpoːliːtˈeːʃə
volle	vˈolə
plaidéiert	plˈɛːdɜ͡ɪʁt
nördlech	nˈœːʀtlæɕ
Koalitiounsprogramm	kˌoaːlˌiːtiə͡ʊnzpʀˈogʀɑm
Erwuessen	ʁvˈu͡əsən
Geschlecht	gˈəʃlæɕt
ugepassten	ˌuːʁəpˈɑsteːn
philosophéieren	fˌiːloːzˌophɜ͡ɪˈəʀən
Weltklimakonferenz	vˌeːltkliːmˌaːkonfˈeːʀeːnʦ
Dâ	dˈaː
Reliounsgemeinschaft	ʀˌeljə͡ʊnsgəmˈɑ͡ɪnʃɑft
Karier	kaːʀˈiɐ
Fähegkeet	fɛːˈəɕkeːt
Drinks	dʀˈiɳz
Virurdeeler	vˌiːʀuʀtˈeːleːʀ
laanschtenee	laːnʃtˈeːneː
Zillen	ʦˈilən
Singapore	zˌiɳaːpˈoːʀə
Kopenhagen	kˌoːpænhˈɑʁən
flitt	flˈit
Catania	kˌaːtaːnˈiɑ
bas	bˈaːz
Liberalen	lˌiːbeːʀˈaːleːn
Adorno	aːdˈoʀnoː
Distancing	diztˈɑnkiɳ
beschtbekannte	bˌeːʃtbeːkˈɑntə
Hosingen	hoːzˈiɳeːn
erpresse	ɐpʀˈeːsə
welle	vˈeːlə
scheinbar	ʃˈɑ͡ɪnbaːʀ
irakesche	ˌiːɐaːkˈeːʃə
Soja	zˈoːjɑ
Thin	thˈiːn
korrigéieren	kˌoʀiʒɜ͡ɪˈəʀən
getraffe	gətʀˈɑfə
stagnéiert	ʃtˈɑgnɜ͡ɪʁt
Britesch	bʀˈiːteːʃ
resistent	ʀezˈistænt
laacht	lˈaːXt
massiv	mˈɑsiːf
Cox	kˈoːks
Karamell	kɑʀˈaːmæl
entzwousch	ˈəntʦvə͡ʊʃ
hiir	hˈiːʀ
Astrophysiker	ˌɑʃʀophizˈiːkeːʀ
Horses	hˈoʀzeːz
Parmesan	pɑʀmˈeːzaːn
Hocker	hˈokʁ
Konstrukt	kˈonʃʀukt
Bedruch	bˈədʀuX
bekanntsten	beːkˈɑntzteːn
Aussesäiter	æː͡ʊszˈəzæː͡ɪtʁ
klore	klˈoːʀə
Deklaratioune	dˌeːklaːʀˌaːtiˈə͡ʊnə
Situéiert	zˌiːtuˈɜ͡ɪɐt
Remdesivir	ʀˌeːmteːzˈiːviːʀ
zréckhalen	ʦʀækhˈaːleːn
berodende	bˌeːʀoːdˈəntə
duergehalen	dˌuːʁgəhˈaːlən
Haupert	hˈɑ͡ʊpeːʀt
Abuse	aːbˈuːzə
operleeën	ˌoːpeːʀlˈeːən
zougoen	ʦə͡ʊgˈoːən
gemittlecher	gˌəmitlˈæɕeːʀ
opposéieren	ˌopoːzɜ͡ɪˈɐeːn
Liewenszyklus	lˌi͡əveːnzʦˈikluːz
fällen	fˈeleːn
Alldag	ˈɑldaːX
spurlos	ʃpˈuːʀloːs
nähmlech	nˈehmlæɕ
Kanns	kˈɑnz
Pomp	pˈomp
Nopeschgemeng	nˌoːpəʃgˈəmæɳ
Allenzwee	ɑlˈeːnʦveː
Baggeren	bɑgˈəʀən
Bedaueren	bˌədɑ͡ʊˈəʀən
Verbonnenheet	vˌeːʀbonˈənheːt
zréckkommen	ʦʀækkˈomeːn
Chrëschtvakanz	kʀəʃtvˈɑkɑnʦ
Zukunftsfong	ʦuːkˈunftzfoɳ
seelene	zeːlˈeːnə
Nato	nˈaːtoː
wuelfillen	vu͡əlfˈilən
averstan	aːvˈeːʀztaːn
behëlt	bˈeːhəlt
froë	fʀˈoə
Gibson	ʒˈibzoːn
ACA	ˈaːkɑ
Reeff	ʀˈeːf
Appen	ˈɑpeːn
Katastrof	kaːtˈɑʃʀoːf
sougenannte	zˌə͡ʊʁeːnˈɑntə
about	ˈaːbə͡ʊt
Wonschkutsch	vˈonʃkutʃ
Rap	ʀˈaːp
elengerzéiend	ˌəleːɳeːʀʦˈɜ͡ɪənt
regéiert	ʀˈəgɜ͡ɪʁt
Ustrengungen	ˌuʃtʀæɳˈuɳən
Investisseure	ˌinveːztisˈo͡ɪʀə
riichteg	ʀˈiːɕteːk
dunn	dˈun
Noutdéngscht	nˈə͡ʊttæɳʃt
Possen	pˈoseːn
Cro	kʀˈoː
Reform	ʀˈəfoʀm
komplizéiert	komplˈiʦɜ͡ɪʁt
soss	zˈos
Liese	lˈi͡əzə
schiedlechen	ʃi͡ədlˈæɕeːn
onbeschwéiert	ˌonbeːʃvˈɜ͡ɪɐt
Wunnengsbauministère	vˌunəngzbˌɑ͡ʊmiːniztˈeːʀə
Nilles	nˈileːz
Remake	ʀeːmˈaːkə
astoen	ɑʃtˈoːən
Witfra	vˈitfʀɑ
Matenaner	mɑdˈənaːnʁ
Greta	gʀˈeːtɑ
Hamilton	haːmˈiltoːn
Patréiner	pˈɑtʀɜ͡ɪnʁ
ausgeraibert	æː͡ʊsgˈəʀɑ͡ɪbʁt
glutenfräi	gluːtˈeːnfʀæː͡ɪ
Kierchepatréiner	kˌiɐkhˌeːpɑtʀˈɜ͡ɪneːʀ
repetitiv	ʀˌeːpeːtˈiːtiːv
dirigéiert	diʀˈiʒɜ͡ɪʁt
Marquen	mˈɑʀku͡ən
Brück	bʀˈyːk
brennen	bʀˈænən
Kultband	kˈultbɑnt
Samy	zˈɑmiː
Bols	bˈols
MB	mb
Telé	tˈəlæ
Exemplar	æksˈɑ̃ːplaːʀ
ergraff	ʁgʀˈɑf
Jaycee	jɑˈisə
Projete	pʀoːjˈeːtə
direckt	dˈiːʀeːkt
verkeeft	vˈeːʀkeːft
Leone	ləˈoːnə
onrouegen	ˌonʀə͡ʊˈəgən
Ofschlossconcert	ofʃlˈoskonsʀt
Verdeedegungsminister	vˌeːʀteːdˌeːguɳzmiːnˈizteːʀ
liicht	lˈiːɕt
Bommel	bˈoməl
Schloss	ʃlˈos
Magdeburg	mɑgtˈeːbuʀg
entscheedenden	ˌəntʃeːdˈəndən
ernäert	ʁnˈɛːʁt
Déng	dˈeɳ
Faarftoun	fˈaːʀftə͡ʊn
Reyland	ʀəˈilɑnt
Bespriechung	beːzpʀˈi͡əkhuɳ
Fraequoten	fʀˌɑəkuˈoːteːn
sonnegem	zonˈeːgəm
Zyklon	ʦˈikloːn
Kulturministerin	kˌultuʀmˌiːniztˈeːʀiːn
dagsiwwer	dˈaːXsivʁ
MLG	mlg
Zockerspigel	ʦˌokeːʀzpˈiːgəl
Sans	zˈɑnz
Zukunftschancen	ʦuːkˈunftʃɑnsn
ënnersicht	ˈənʁziɕt
fier	fˈiɐ
Illustréiert	ilˈustʀɜ͡ɪʁt
ke	kˈə
Madrid	mˈɑdʀiːd
verluecht	fʁlˈu͡əɕt
Brigangen	bʀigˈɑɳən
virgeschriwwene	vˌiʀgəʃʀivˈeːnə
Dolbod	dˈolboːd
Stoung	ʃˈə͡ʊɳ
Emojis	əmˈoːjiːz
natierlecht	nˌaːtiˈɐlæɕt
wäeren	vɛːˈɐeːn
Flüchtlingsstatut	flˌyːkhtliɳstˈaːtuːt
Moslemen	moslˈeːmən
Motiver	moːtˈiːveːʀ
Ausstralung	æː͡ʊsʃtʀˈɑluɳ
Yourself	ʒˈə͡ʊʀzeːlf
erliichtert	ʁlˈiːɕtʁt
Säitens	zˈæː͡ɪteːnz
geschwënn	gˈəʃwən
Statements	ʃaːtˈeːmeːntz
tolerabel	tˌoːleːʀˈaːbeːl
Kenns	kˈeːnz
Dominique	dˌoːmiːnˈiːku͡ə
Däer	dˈɛːɐ
Gedichter	gˈədiɕtʁ
Kameraféierung	kˌaːmeːʀˌaːfɜ͡ɪˈɐuɳ
Replay	ʀeːplˈɑiː
saï	zˈɑ͡ɪ
ergoe	ɐgˈoə
maladies	maːlˈaːdi͡əz
Schlussstréch	ʃlˈusʃʀækh
Rassen	ʀˈɑsən
unzekënnegen	ˌunʦəkənˈeːgən
vereinfacht	fəʀˈɑ͡ɪnfɑXt
Promoteure	pʀˌoːmoːtˈo͡ɪʀə
Lycéeën	likˈeːən
zougeluecht	ʦə͡ʊgˈəlu͡əɕt
Ongonschte	oɳˈonʃtə
befonnt	bˈeːfont
nogezunn	noːgˈəʦun
DAT	dˈaːt
Dementi	dəmˈæntiː
flüchten	flˈyɕtən
Autoe	ɑ͡ʊtˈoə
Diplôme	diplˈoːmə
Äischer	ˈæː͡ɪʃʁ
bedanken	bədˈɑɳkən
Schockela	ʃokˈəlaː
psycheschen	pzikhˈeːʃeːn
fortschrëttlech	foʀt͡ʃʀˈətləɕ
Waffebesëtz	vˌɑfeːbˈeːzətʦ
Gautier	gɑ͡ʊtˈiɐ
Kommentär	kˌomeːntˈɛːɐ
kloerer	kloˈɐeːʀ
ufillen	ufˈilən
Baulücken	bɑ͡ʊlˈyːkeːn
imposante	ˌimpoːzˈɑntə
festegen	feːztˈeːgən
Urin	ˈuʀin
près	pʀˈeːz
eekleg	ˈeːkləɕ
Stativ	ʃtˈaːtiːf
deels	dˈeːls
Show	ʃˈə͡ʊ
verlängere	vˌeːʀleɳˈeːʀə
Koppes	kˈopeːz
Besonnesch	bəzˈonəʃ
Friichte	fʀˈiːɕtə
Associatiounen	ˌɑsosjɑʦjˈə͡ʊnən
Teint	tˈeːint
Absichten	ɑpzˈiɕtən
awierke	ˌaːviˈɐkə
onverhofft	ˈonfʁhoft
Widderhuelungen	vˌidʁhu͡əlˈuɳən
Duerstellung	duːʁʃtˈæluɳ
by	bˈiː
Oppositionellen	ˌopoːzˌiːtioːnˈeːleːn
ugemellt	ugˈəmælt
Massentourismus	mˌɑseːntə͡ʊʀˈizmuːz
Drëttstaaten	dʀətztˈaːteːn
Nisch	nˈiʃ
Saiten	zˈɑ͡ɪteːn
Nepgen	nˈeːpgən
erënnert	ʁˈənʁt
fiabel	fiˈaːbeːl
Phobien	foːbˈiːən
Sportministere	zpˌoʀtmiːniztˈeːʀə
ware	vˈaːʀə
feelerfräi	feːlˈeːʀfʀæː͡ɪ
Grey	gʀˈəiː
opkomm	ˈopkom
druginn	dʀˈugin
PRO	pʀˈoː
duecht	dˈu͡əkht
Weiland	vˈɑ͡ɪlɑnt
ABBA	ˈɑbɑ
Breet	bʀˈeːt
gewiecht	gˈəvi͡əkht
Niro	nˈiːʀoː
Gulbicki	gulbˈiki
Spadséiergank	ʃpɑdzˈɜ͡ɪʁgɑɳk
Tata	tˈaːtɑ
halwen	hˈɑlveːn
beluecht	bˈəlu͡əɕt
Algorithmus	ˌɑlgoːʀˈithmuːz
Gesondheetssystemer	gˌəzontheːtssˈiːstəmʁ
Referenz	ʀˈəfʁænʦ
onerlaabte	ˌoːneːʀlˈaːbtə
Liewenspartner	lˌi͡əveːnzpˈɑʀtneːʀ
Stréimännchen	ʃʀɜ͡ɪmˈenkheːn
Kroatien	kʀoːˈɑʦjən
Schoulvakanzen	ʃˌə͡ʊlvɑkˈɑnʦən
gedéngt	gˈədeɳt
Nuesschnappech	nu͡əsʃnˈɑpəɕ
repressive	ʀˌeːpʀeːsˈiːvə
aalen	ˈaːleːn
Onbekannte	ˌonbeːkˈɑntə
Commission	kˌomisˈioːn
ad	ˈɑd
Urban	ˈuʀbaːn
klassescht	klˈɑseːʃt
MR	mʀ
Europäesche	ˌo͡ɪʀoːpɛːˈəʃə
massiivt	mˈɑsiːvt
Cocker	kˈokeːʀ
heivu	hˈɑ͡ɪvu
Butschebuerg	butʃˈeːbu͡əʀg
rural	ʀˈuːʀaːl
Léifreg	lˈɜ͡ɪfʀəɕ
Opyos	oːpˈioːz
spécifiques	zpˌækiːfˈiːku͡əz
Beneficiaire	bˌeːneːfˌiːkiˈɑ͡ɪʀə
Juegt	jˈu͡əgt
drops	dʀˈopz
Cross	kʀˈos
Busverbindung	busfʁbˈinduɳ
Brutalitéit	bʀˌutaːlˈitɜ͡ɪt
