caixilho	kajʃiʎu
talian	taljɐ̃
trançar	tɾɐ̃saʁ
filomena	filomenɐ
abelheiro	abeʎejɾu
foram	foɾɐ̃w̃
questão	kestɐ̃w̃
éxon	ɛksõ
doceria	doseɾia
cada	kadɐ
vénus	vẽnus
alien	aliẽj̃
vila	vilɐ
existir	ezist͡ʃiʁ
ocorrer	okoheɻ
fósforo	fɔsfoɾu
economista	ekonomistɐ
alfabeto	awfabɛtu
veja	veʒa
bonina	boninɐ
biblioteca	bibljotɛkɐ
bula	bula
khmer	kmɛʁ
chefão	ʃɛfɐ̃w̃
nimbo	nĩbu
peixe	pejʃi
manobra	manɔbɾa
áxis	aksis
escolher	iskoʎeʁ
lamparina	lɐ̃paɾinɐ
fineza	fineza
espirrar	ispiʁaɾ
delta	dɛwtɐ
hesitante	ezitɐ̃t͡ʃi
facebook	fejzbuk
frequente	fɾekwẽtʃi
arrojo	aʁɔʒu
nunca	nũkɐ
posse	pɔsi
tussa	tusɐ
paparrotão	papaʁotɐ̃w̃
gastar	ɡastaʁ
desconversar	deskõveʁsaʁ
civil	siviw
patopolitano	patopolitɐnu
homicídio	omisidʒju
cogumelo	koɡumɛlu
onomástico	onomast͡ʃiku
perplexo	peʁplɛksu
fascista	fasistɐ
posição	pozisɐ̃w̃
molde	mɔwdʒi
colossal	kolosaw
carambeí	kaɾɐ̃bei
status	status
receber	ʁesebeʁ
vidrar	vidɾaʁ
criptido	kɾiptʃido
veio	veju
alsácia	awsasjɐ
ritmo	xitʃmu
brabo	bɾabu
abatiá	abat͡ʃia
pinotes	pinɔt͡ʃis
prova	pɾɔvɐ
tronco	tɾõku
prato	pɾatu
drive	dɾajvi
ferro	fɛʁu
armamentista	aʁmamẽtʃijʃta
mocidade	mosidad͡ʒi
alunas	alũnɐʃ
tranquilizador	tɾɐ̃kwilizadoʁ
servir	seʁviʁ
apontar	apõtaʁ
cooptar	kooptaɾ
fria	fɾiɐ
perda	peɻda
lousa	lowza
completar	kõpletaʁ
regional	ʁeʒjonaw
los	luʃ
arte	aɹt͡ʃi
portão	poχtɐ̃w̃
canil	kɐniw
este	ɛst͡ʃi
alminhas	awmiɲɐs
tranquilíssimas	tɾɐ̃kwilisimɐs
somali	somali
paparazzo	papaɾatsu
salmo	sawmu
remexer	ʁemeʃeʁ
óliver	ɔliveʁ
extremista	estɾemistɐ
possibilitar	posibilitaʁ
obsessão	obisesɐ̃w̃
tarde	taʁd͡ʒi
nassau	nasaw
voluntário	vulũtaɾiu
fama	fɐmɐ
latirei	lat͡ʃiɾej
tabuleiro	tabulejɾu
mutuamente	mutuɐmẽt͡ʃi
imaginar	imaʒinaʁ
urdir	uɾd͡ʒiɾ
esperança	espeɾɐ̃sɐ
acontecer	akõteseɹ
falanginha	falɐ̃ʒiɲa
elvis	ɛwvis
inexequível	inezekwivew
transmitir	tɾɐ̃smitʃiʁ
injúria	ĩʒuɾjɐ
desapercebido	dezapeɾsebidu
crasso	kɾasu
limítrofe	limitɾofi
dino	d͡ʒinu
vê	ve
área	aɾjɐ
freguesia	fɾeɡeziɐ
cadela	kadɛlɐ
caixão	kajʃɐ̃w̃
cheesecake	ʃiskejki
fez	fejs
tina	t͡ʃina
amém	amẽj̃
veto	vɛtu
melro	mɛwʁu
firula	fiɾula
justamente	ʒustamẽt͡ʃi
insinuar	ĩsinuaʁ
consultar	kõsuwtaʁ
espeto	ispɛtu
habitante	abitɐ̃tɪ
treco	tɾɛku
skate	skejt͡ʃ
caixote	kajʃɔt͡ʃi
powerpoint	paweʁpɔj̃t͡ʃ
haver	aveʁ
sólon	sɔlõ
quantia	kwɐ̃t͡ʃiɐ
véu	vɛw
enumeração	enumeɾasɐ̃w̃
medalha	medaʎa
trololó	tɾɔlɔlɔ
andrajo	ɐ̃dɾaʒu
coisinha	kojziɲa
perto	pɛʁtu
tirano	t͡ʃiɾɐnu
curandeiro	kuɾɐ̃dejɾu
médici	mɛd͡ʒisi
liberdade	libeʁdadʒi
academia	akademia
medir	med͡ʒiʁ
véspera	vɛspeɾɐ
deturpação	detuʁpasɐ̃w̃
imundície	imũd͡ʒisi
perca	pɛɾkɐ
aranhiços	aɾɐɲisu
chicho	ʃiʃu
septicémico	sept͡ʃisemiku
calcutá	kawkuta
investigador	ĩvest͡ʃiɡadoʁ
capricórnio	kapɾikɔʁnju
biruta	biɾutɐ
kyat	kiat͡ʃi
feedback	fid͡ʒbɛk
bulhufas	buʎufajʃ
máscara	maʃkaɾɐ
boçal	bosaɫ
indefinido	ĩdefinidu
desqualificar	deskwalifikaʁ
string	estɾĩɡi
força	foɾsa
comandar	komɐ̃daʁ
gravidade	ɡɾavidad͡ʒi
luso	luzu
foda	foda
bemóis	bemɔjs
parideira	paɾidejɾɐ
abeto	abɛto
comprimento	kõpɾimẽtu
caqui	kaki
utilizar	ut͡ʃilizaʁ
socialista	sosjaliʃtɐ
dantas	dɐ̃tɐs
cinza	sĩzɐ
futucar	futukaɾ
esperanto	ispeɾɐ̃tʊ
rostov	ʁostɔv
fiar	fiaʁ
protelar	pɾotelaχ
candeeiro	kɐ̃d͡ʒiejɾu
água	aɡwɐ
cidadezinha	sidad͡ʒiziɲɐ
imanente	imanẽtʃi
paz	pajs
enxofre	ẽjʃofɾi
fez	fejʃ
apalpadela	apawpadɛlɐ
orkuteiro	oʁkutejɾu
azáfama	azafɐmɐ
colmeia	kowmejɐ
vender	vẽdeʁ
assessor	asesoχ
quina	kinɐ
indulto	ĩduwtu
aloísio	aluizju
lustre	luʃtɾi
maquiavélico	makjavɛliku
fundão	fũdɐ̃w
significativo	siɡinifikat͡ʃivu
esmagar	ezmaɡaʁ
valão	valɐ̃w̃
hortelã	ɔhtɛlɐ̃
adição	adisɐ̃w̃
córsico	kɔʁsiku
cor	koʁ
tipicamente	t͡ʃipikɐmẽt͡ʃi
martelo	maʁtɛlu
piaçaba	pjasabɐ
hortaliça	oɾtɐʎisɐ
barulho	baɾuʎo
esquema	iskemɐ
javé	ʒavɛ
flamígero	flamiʒeɾu
doutor	dowtoʁ
bússola	busolɐ
assistir	asist͡ʃiɹ
expressão	ispɾesɐ̃w̃
selva	sɛwva
brasil	bɾaziw
assistir	asist͡ʃiɻ
aceitar	asejtaʁ
caramba	kaɾɐ̃bɐ
êxodo	ezudu
teísmo	teizmu
declaração	deklaɾasɐ̃w̃
leva	lɛvɐ
esquerdo	iskeʁdu
arma	ahmɐ
sulfossal	suɫfusaɫ
dog	dɔɡ
excluir	eskluiʁ
campanha	kɐ̃pɐɲa
psiquiatra	psikiatɾɐ
bombar	bõbaʁ
agasalho	ɐɡɐzaʎu
dia	d͡ʒiɐ
selenologia	selenoloʒiɐ
quebrar	kebɾaʁ
previsto	pɾevistu
horror	oʁoʁ
alfarrábio	awfaʁabju
cognato	koɡnatu
argumentar	aɾɡumẽtaɾ
rugir	ʁuʒiɾ
transeuntes	tɾɐ̃zeũt͡ʃis
semanal	semɐnaw
box	bɔks
gigolô	ʒiɡolo
dezembro	dezẽbɾu
escola	iskɔlɐ
bicar	bikaʁ
orar	oɾaʁ
turíbulo	tuɾibulu
pessoas	pesoɐʃ
broa	bɾoɐ
jardim	ʒaʁd͡ʒĩj̃
alessandro	alesɐ̃dɾu
tocando	tokɐ̃du
metacarpal	mɛtakaɻpaw
queimar	kejmaʁ
chupeta	ʃupeta
advento	ad͡ʒvẽtu
está	ista
nada	nadɐ
piercing	piʁsĩ
própria	pɾɔpɾjɐ
capetagens	kapetaʒẽʃ
petúnia	petunja
telefone	telefõni
progresso	pɾoɡɾɛsu
luva	luvɐ
econômico	ekonomiku
matriz	matɾis
sacarose	sakaɾɔzi
trovar	truvar
doroteia	doɾotɛjɐ
gume	ɡumi
jihad	ʒiʁad͡ʒ
recusar	ʁekuzaʁ
rápido	ʁapidu
vespeiro	vespejɾu
onisciência	onisiẽsiɐ
entusiástico	ẽtuziastiku
sopesar	sopezaɾ
tático	tat͡ʃiku
responder	ʁespõdeɹ
revelação	ʁevelasɐ̃w̃
amor	ɐmoʁ
utah	juta
joguete	ʒoɡɛtʃi
pezinho	pɛziɲu
cozinhando	koziɲɐ̃du
comuna	komunɐ
doce	dosi
freegan	fɾiɡɐ̃
violência	violẽsjɐ
pensativo	pẽsat͡ʃivu
começa	komɛsɐ
henriqueta	ẽʁiketɐ
alvoroço	awvoɾosu
publicano	publikɐnu
amaneirar	amɐnejɾaɾ
caio	kaju
manche	mɐ̃ʃi
rodovia	ʁodoviɐ
virgem	viʁʒẽj̃
honroso	õʁozu
preceito	pɾesejtu
travessia	tɾavesia
auxílio	awsiliw
vara	vaɾɐ
bigode	biɡɔd͡ʒi
moésia	moɛzjɐ
riu	ʁiw
pensamento	pẽsamẽtu
chaga	ʃaɡɐ
fumeante	fumeãtʃi
oftalmologista	oftawmoloʒistɐ
antano	ɐ̃tɐnu
torpe	toɾpi
passou	pasow
grafo	ɡɾafu
califa	kalifɐ
cidade	sidad͡ʒi
abadesa	abadeza
tóxico	tɔksiku
exoplaneta	ezoplaneta
tripa	tɾipɐ
neurocirurgia	newɾosiɾuʁʒiɐ
uau	uaw
razoável	ʁazoavew
voo	vou
moçambique	mosɐ̃biki
dependurada	depẽduɾadɐ
abordagem	aboʁdaʒẽj̃
ementa	emẽtɐ
truta	tɾutɐ
curcuma	kuʁkumɐ
abóbora	abɔbuɾɐ
chapeuzinho	ʃapɛwziɲu
ilegível	ileʒivew
bróder	brɔdeʁ
maligno	maliɡnu
exíguo	iziɡwu
ver	veɹ
gabinete	ɡabinetʃi
distinto	d͡ʒist͡ʃĩtu
mágoa	maɡwɐ
otorrino	otoʁinu
árido	aɾidu
cerimônia	seɾimonja
rovaniemi	ʁovaniemi
vendas	vẽdɐs
cubicar	kubikaʁ
tenção	tẽsɐ̃w̃
açular	asulaʁ
televisão	televizɐ̃w̃
latiremos	lat͡ʃiɾemus
cipó	sipɔ
vista	vistɐ
faixa	fajʃɐ
golpear	ɡowpiaʁ
airoso	ajɾozu
impuro	ĩpuɾu
sânscrito	sɐ̃ʃkɾitu
flagrantes	flaɡɾɐ̃t͡ʃis
metodicamente	metɔd͡ʒikɐmẽt͡ʃi
isqueiro	ijʃkejɾu
meigo	mejɡu
cor	kɔʁ
controlo	kõtɾɔlu
regalo	ʁiɡalu
identidade	idẽt͡ʃidad͡ʒi
encefalograma	ẽsɛfaloɡɾɐmɐ
longanimidade	lõɡɐnimidadʒi
nerd	nɛʁd͡ʒ
febe	fɛbi
futricar	futɾikaʁ
deseducado	dʒizedukadu
racionalizada	ʁasjonalizadɐ
lobista	lobistɐ
tarde	taɻde
achaque	aʃaki
piloto	pilotu
levantar	levɐ̃taʁ
bonsai	bõsaj
babaçu	babasu
abelharuco	abeʎaɾuku
guerra	ɡɛha
isopor	izopoɻ
enérgica	enɛʁʒikɐ
desvencilhar	desvẽsiʎaχ
destruído	d͡ʒistɾuidu
ipê	ipe
tio	tiw
distintos	d͡ʒist͡ʃĩtus
odeiam	odejɐ̃
américa	amɛɾikɐ
competir	kõpetʃiʁ
errar	eʁaɹ
bisavó	bizavɔ
cobra	kɔbɾa
abano	abɐno
entediar	ĩted͡ʒjaɻ
tranquilinhos	tɾɐ̃kwiliɲus
culpar	kuwpaʁ
oxford	ɔksfɔʁd͡ʒ
intencionalmente	ĩtẽsjonawmẽt͡ʃi
grana	ɡrɐnɐ
protuberância	pɾotubeɾɐ̃siɐ
negligenciável	neɡliʒẽsiavew
gentalha	ʒẽtaʎa
pabulagem	pabulaʒẽj̃
toscana	toskɐnɐ
espelho	iʃpɛʎu
crise	kɾizi
coisa	kojzɐ
lucrar	lukɾaʁ
mendigo	mĩd͡ʒiɡu
estatura	ijʃtatuɾa
eliminação	iliminasɐ̃w̃
enraizar	ẽʁaizaʁ
demissexual	demiseksuaw
plotar	plotaʁ
furibundo	fuɾibũdu
cornélio	koʁnɛlju
sinto	sĩtu
tigela	t͡ʃiʒɛlɐ
empresa	ĩpɾezɐ
esquina	iskinɐ
point	põj̃t͡ʃi
comparar	kõpaɾaʁ
miosótis	miosɔt͡ʃis
comichão	komiʃãw̃
sossegado	soseɡadu
estreito	istɾejtu
minho	miɲu
nego	nɛɡu
butiá	but͡ʃia
abade	abadʒi
balista	balista
exsicar	esikaʁ
cupom	kupõ
checar	ʃekaʁ
glosar	ɡluzaɾ
paradigma	paɾad͡ʒiɡmɐ
amanhã	amɐɲɐ̃
douro	dowɾu
bilha	biʎɐ
definitivas	definit͡ʃivɐs
quente	kẽtɪ
mameluco	mameluku
adélio	adɛlju
desbocado	dezbokadu
aéreo	aɛɾju
geracional	ʒeɾasionaw
gostar	ɡoʃtaχ
insidiosa	ĩsid͡ʒiɔzɐ
pinote	pinɔt͡ʃi
multidão	muwt͡ʃidɐ̃w̃
emos	emus
trave	tɾavi
vento	vẽtu
tíbia	t͡ʃibjɐ
dexter	dɛksteʁ
embaixo	ĩbajʃu
fofura	fofuɾa
davi	davi
predial	pɾed͡ʒiaw
companha	kõpɐɲɐ
famoso	fɐmozu
praseodímio	pɾaziud͡ʒimiu
e	ɛ
ultravioleta	uwtɾavioleta
checheno	ʃeʃenu
implausível	ĩplawzivew
soltar	sowtaʁ
coimbra	koĩbɾɐ
abriu	abɾiw
estátua	estatwa
déficit	dɛfisit
membro	mẽbɾu
monja	mõʒa
abandono	abɐ̃donu
sensato	sẽsatu
estrume	istɾumi
acomodar	akomodaʁ
linguiça	lĩɡwisa
quitute	kituti
anchoveta	ɐ̃ʃovetɐ
mover	moveɹ
argila	aʁʒila
adequar	adekwaʁ
sistematizado	sistemat͡ʃizadu
is	is
lápis	lapis
cintura	sĩtuɾɐ
jeans	d͡ʒĩs
choupana	ʃowpɐna
meristema	meɾistemɐ
transferir	tɾɐ̃sfeɾiʁ
artística	aʁt͡ʃist͡ʃikɐ
grama	ɡɾɐ̃mɐ
rejogar	ʁeʒoɡaɾ
sêmen	semẽj̃
ameaça	ameasɐ
autômato	awtomatu
empório	ĩpɔɾju
flauta	flawta
papai	papaj
política	pulitkɐ
içado	isadu
gnu	ɡinu
oitenta	ojtẽtɐ
assembleia	asẽblɛja
islamização	izlɐmizasɐ̃w̃
sociniano	sosiniɐnu
produzir	pɾoduziʁ
alma	awmɐ
admitir	adʒmitʃiɻ
leira	lejɾɐ
picadeiro	pikadejɾu
consideração	kõsideɾasɐ̃w̃
perambulava	peɾɐ̃bulava
naquela	nakɛlɐ
abertamente	abɛʁtɐmẽt͡ʃi
paládio	palad͡ʒju
embora	ẽbɔɾa
pronto	pɾõtu
recalculação	ʁekawkulasɐ̃w̃
superar	supeɾaʁ
pensilvânia	pẽsiwvɐniɐ
neerlândia	neeʁlɐ̃d͡ʒjɐ
cicatrize	sikatɾizi
satisfazer	satʃisfazeʁ
crescer	kɾeseχ
zâmbia	zɐ̃bjɐ
trazer	tɾazeʁ
onde	õde
previsão	pɾevizɐ̃w̃
humo	umu
caro	kaɾu
adivinhar	adʒiviɲaʁ
apanhar	apɐɲaʁ
petróleo	petɾɔʎu
pai	paj
rouco	ʁowku
pascácio	pajʃkasju
prum	pɾũ
campeã	kɐ̃piɐ̃
hindu	ĩdu
caguetar	kaɡuetaɾ
prelado	pɾeladu
aja	aʒɐ
captar	kaptaʁ
gerais	ʒeɾajs
bracelete	bɾaseletʃi
gráfico	ɡɾafiku
rangum	ʁɐ̃ɡũ
topzeira	tɔpizejɾɐ
atendimento	atẽd͡ʒimẽtu
sol	sɔɹ
frequentar	fɾekwẽtaʁ
aduela	ɐdwɛlɐ
manchester	mɐ̃ʃɛsteʁ
sucesso	susɛsu
chinês	ʃinejs
hei	ej
uns	ũs
compartilhar	kõpaɻt͡ʃiʎaɻ
chamar	ʃɐmaʁ
verbasco	veʁbasku
cisne	siʒni
absinto	absĩtu
nordeste	noɹdɛst͡ʃi
mogadishu	moɡad͡ʒiʃu
exosfera	ezojʃfɛɾa
reportagem	ʁepoʁtaʒẽj̃
omar	omaɾ
relatar	ʁelataʁ
babau	babaw
afetar	afetaɻ
revisão	ʁivizɐ̃w̃
encantar	ĩkɐ̃tah
sombrio	sõbɾiw
secretário	sekɾetaɾju
insumo	ĩsumu
honra	õʁɐ
joãozinho	ʒwɐ̃w̃ziɲu
tangerineira	tɐ̃ʒiɾinejɾɐ
par	paʁ
samaria	samaɾiɐ
democracia	demokɾasiɐ
jogar	ʒoɡaɾ
visual	vizuaw
lótus	lɔtus
substância	substɐ̃sia
balança	balɐ̃sa
compromisso	kõpɾomisu
mobilidade	mobilidad͡ʒi
conhecer	koɲeseɻ
luto	lutu
emergir	emeʁʒiʁ
breve	bɾɛvi
lanço	lɐ̃su
recombinação	ʁikõbinasɐ̃w̃
colheres	koʎɛɾiʃ
bemol	bemɔw
possa	pɔsa
artigo	aχtʃiɡʊ
capa	kapɐ
querubim	keɾubĩ
suba	subɐ
monarquia	monaʁkiɐ
vazia	vaziɐ
estivador	ist͡ʃivadoɻ
inconsolada	ĩkõsoladɐ
termo	teɻmo
vesúvio	vezuviu
bochicho	buʃiʃu
aê	ae
matinê	mat͡ʃine
característica	kaɾakteɾistʃikɐ
caloroso	kaloɾozu
preocupação	pɾewkupasɐ̃w̃
cadê	kade
partir	paʁt͡ʃiʁ
sudestino	sudest͡ʃinu
previamente	pɾɛvjɐmẽt͡ʃi
eusébio	ewzɛbju
forró	fɔʁɔ
mico	miku
dignificar	d͡ʒiɡinifikaʁ
ter	teɻ
bollywood	bɔliwud͡ʒ
folhear	foʎeaɾ
hérnia	ɛʁniɐ
ruído	ʁuidu
equivalente	ekivalẽt͡ʃi
continente	kõt͡ʃinẽt͡ʃi
marido	maɾido
grau	ɡɾaw
coxa	koʃɐ
sala	salɐ
mentalidade	mẽtalidad͡ʒi
calão	kalɐ̃w̃
triunfo	tɾiũfu
manilha	mɐniʎɐ
endoscopia	ẽdoskopia
promécio	pɾomɛsju
vacuidade	vakuidad͡ʒi
sino	sinu
caldo	kawdu
afamar	ɐfɐmaɾ
fruto	fɾutʊ
vidraça	vidɾasa
habitante	abitɐ̃te
tecla	tɛklɐ
cinamomo	sinɐmomu
positivismo	pozit͡ʃiviʃmu
egoísta	eɡoiʃtɐ
mandorla	mɐ̃dɔɾlɐ
válvula	vawvulɐ
licença	lisẽsa
manipulação	mɐnipulasɐ̃w̃
arrais	aʁajʃ
oeste	oɛst͡ʃi
vitamina	vitaminɐ
determinar	deteʁminaʁ
boco	boku
castidade	kast͡ʃidad͡ʒi
cerva	sɛʁvɐ
governo	ɡuveʁnu
cisma	sizmɐ
pôs	pojs
gratuito	ɡɾatuitu
untar	ũtaʁ
centro	sẽtɾu
pronuncia	pɾunũsiɐ
sitar	sitaʁ
psíquico	psikiku
questionar	kwestʃonaʁ
peso	pezu
inventando	ĩvẽtɐ̃du
rodrigues	ʁodɾiɡis
altônia	awtonjɐ
fácil	fasiw
mandado	mɐ̃dadu
galho	ɡaʎu
furto	fuʁtu
instável	ĩstavew
baga	baɡa
cigano	siɡɐnu
pousada	powzadɐ
acústica	akust͡ʃikɐ
nesse	nesi
bullying	bulĩ
conserva	kõsɛʁvɐ
estêvão	estevɐ̃w̃
encavacar	ĩkavakaɾ
dever	deveʁ
cratera	kɾatɛɾa
gato	ɡatu
inquisição	ĩkizisɐ̃w̃
hortelã	oɾtelɐ̃
inhapa	iɲapɐ
junta	ʒũtɐ
menores	menɔɾiʃ
criptógrafo	kɾiptɔɡɾafu
provar	pɾovaʁ
isaías	izaiɐs
nona	nonɐ
navalha	navaʎa
manchester	mɐ̃ʃesteʁ
dicionário	d͡ʒisjonaɾju
pebol	pɛbɔw
mulherengo	muʎɛɾẽɡu
crás	kɾas
dor	doɻ
muçuã	musuɐ̃
uro	uɾu
superpotência	supeʁpotẽsjɐ
calvinismo	kawvinizmu
áureo	awɾiu
lhe	li
egina	eʒinɐ
rateadora	ʁat͡ʃjadoɾɐ
mambembe	mɐ̃bẽjbi
ok	okej
portugal	poɾtuɡaw
desamparar	dezɐ̃paɾaʁ
dela	dɛlɐ
baiano	bajɐ̃nu
metal	metaw
dublim	dɐblĩ
circunspecção	siɾkũʃpɛsɐ̃w̃
verdadeiro	veɾdadejɾu
debelar	debelaɾ
tensos	tẽsus
unicamente	unikamẽti
frincha	fɾĩʃɐ
curador	kuɾadoʁ
bilheteira	biʎetejɾɐ
cobrir	kubɾiɹ
nordeste	noɻdɛste
acidente	asidẽtʃi
sudeste	sudɛst͡ʃi
introduzir	ĩtɾoduziʁ
driver	dɾajveʁ
budapeste	budapɛst͡ʃi
estaquia	estakiɐ
meu	mew
piranha	piɾɐ̃ɲa
japa	ʒapɐ
anticristo	ɐ̃t͡ʃikɾistu
planalto	plɐnawtu
tom	tõ
rã	ʁɐ̃
juro	ʒuɾu
ainda	aĩdɐ
cómodo	komodu
trabalhoso	tɾabaʎozu
universitária	univeʁsitaɾjɐ
delete	dlɛtʃi
amaporã	amapoɾɐ̃
verdade	veɹdadi
vamos	vɐmuʃ
este	eʃtɪ
chernobil	ʃeʁnobiw
padeiro	padejɾo
largo	laɹɡu
teia	teja
manjerico	mɐ̃ʒeɾiku
sexy	sɛksi
vereador	veɾjadoʁ
apatetado	apatetadu
ronrono	ʁõʁonu
macarrão	makaʁɐ̃w̃
questionar	kestʃonaʁ
umbral	ũbɾaw
fazer	fazeh
esquecer	iskeseʁ
haver	aveh
pagar	paɡaʁ
rolo	ʁolu
zoológico	zolɔʒiku
perca	peɾkɐ
sessenta	sesẽtɐ
incensar	ĩsẽsaʁ
circuncentro	sirkũsẽtru
cacofonia	kakofoniɐ
gaiato	ɡajatu
falso	fawsu
agradável	aɡɾadavew
carapau	kaɾapaw
furioso	fuɾjozu
idoso	idozu
enfardassem	ẽfaʁdasẽj̃
tomando	tomɐ̃du
cueca	kuɛkɐ
londres	lõdɾis
espalhar	ispaʎaʁ
assíria	asiɾiɐ
cria	kɾiɐ
apalaches	apalaʃis
divertimento	dʒivehtʃimẽtu
brindisi	bɾĩdʒizi
ensinamento	ĩsinamẽtu
acordar	akoʁdaʁ
ratazana	ʁatazɐna
revezar	ʁevezaɾ
seixo	sejʃu
castelo	kastɛlu
player	plejeʁ
dublim	dublĩ
positivista	pozit͡ʃivistɐ
emoção	emosɐ̃w̃
cachê	kaʃe
limeira	limejɾɐ
sobreviver	sobɾeviveʁ
parafusado	paɾafuzadu
beijinho	bejʒiɲu
estouro	estowɾu
pimenteiro	pimẽtejɾu
euzinha	ewziɲa
copas	kɔpas
afirmação	afiʁmasɐ̃w̃
chamar	ʃɐmaɹ
show	ʃow
lesma	leʒmɐ
dorminhoco	duɾmiɲoku
hugo	uɡu
hortifrúti	oʁt͡ʃifɾut͡ʃi
cas	kas
intracraniano	ĩtɾakɾɐnjɐnu
imprimir	ĩpɾimiʁ
factível	fatʃivew
resenha	ʁezeɲɐ
vegano	veɡɐ̃nu
leão	lɛɐ̃w̃
hipocrisia	ipokɾizia
caractere	kaɾakitɛɾi
arquibaldo	aʁkibawdu
gancho	ɡɐ̃ʃu
prevenção	pɾevẽsɐ̃w̃
hospedar	ospedaʁ
reserva	ʁizɛʁvɐ
escravo	ijʃkɾavu
abraão	abɾaɐ̃w̃
alagoas	alaɡoɐs
lagoa	laɡoɐ
contínuo	kõt͡ʃinwu
criptósporo	kɾiptɔspoɾu
membrana	mẽbɾɐnɐ
de	di
amiguinho	amiɡiɲu
marretão	maʁetɐ̃w̃
mar	maɻ
portuguesismo	poʁtuɡezizmu
cleptomania	klɛpitomania
trambiqueiro	tɾãbikejɾu
remanescente	ʁemɐnesẽt͡ʃi
referir	ʁefeɾiʁ
pasto	pastu
pepino	pepinu
ajuda	aʒudɐ
buraco	buɾaku
fona	fonɐ
novo	novo
violoncelo	violõsɛlu
assustador	asustadoʁ
cavaleiro	kavalejɾo
som	sõ
escritor	iskɾitoʁ
sentir	sẽt͡ʃiɹ
gata	ɡatɐ
organizaremos	oɾɡanizaɾemus
cê	se
decisiva	desizivɐ
some	somi
destruir	destɾuiʁ
bélgica	bɛwʒikɐ
polvilho	pɔwviʎu
claro	klaɾo
igreja	iɡɾeʒɐ
gota	ɡɔtɐ
independente	ĩdepẽdẽte
renan	ʁenɐ̃
leila	lejlɐ
sei	sej
controlar	kõtɾolaɾ
tava	tavɐ
acordo	akɔʁdu
espécie	iʃpɛsji
hebraização	ebɾajzasɐ̃w̃
dominatrixes	dominatriksis
quais	kwajs
capitão	kapitɐ̃w̃
revanchismo	ʁevɐ̃ʃizmu
asno	aʒnu
tigelinha	t͡ʃiʒɛliɲɐ
revista	ʁevistɐ
canso	kɐ̃su
morrendo	moʁẽdu
estatal	istataw
endereço	ĩdeɾesu
folha	foʎɐ
monogâmico	monoɡɐ̃miku
ladinho	lad͡ʒiɲu
kagoshima	kaɡoʃimɐ
rural	ʁuɾaw
mancha	mɐ̃ʃa
molhadela	moʎadɛlɐ
zebu	zebu
deflagração	deflaɡɾasɐ̃w̃
morte	mɔɾt͡ʃi
idóneo	idonju
sulco	suwku
rodo	ʁɔdu
gói	ɡɔj
caminhada	kamiɲada
partido	paɻt͡ʃido
chavelha	ʃaveʎɐ
desolação	dezolasɐ̃w̃
rejeitar	ʁeʒejtaʁ
ordem	ɔʁdẽj̃
bit	bit͡ʃi
vampiro	vɐ̃piɾu
xá	ʃa
eterno	etɛɹnu
circense	siɹsẽsi
rabeca	ʁabɛkɐ
crase	kɾazi
cabaço	kabasu
porque	poɾke
marca	maʁkɐ
criptoanalista	kɾiptoanalista
psicanálise	psikɐnalizi
flatulência	flatulẽsia
maraca	maɾakɐ
assoalho	asuaʎu
convenção	kõvẽsɐ̃w̃
romantismo	ʁomɐ̃t͡ʃizmu
resiliente	ʁeziljẽt͡ʃi
inerência	ineɾẽsja
prosa	pɾɔza
ceres	sɛɾis
veem	veẽj̃
forma	fɔʁmɐ
dor	doχ
epilepsia	epilepsiɐ
babista	babistɐ
tudo	tudu
série	sɛɾji
farrapo	faʁapu
represa	ʁepɾezɐ
tangerina	tɐ̃ʒiɾina
armando	aʁmɐ̃du
aleluia	alelujɐ
gulodice	ɡulodʒisi
malinha	maliɲɐ
daniel	dɐniɛw
nauseabunda	nawzjabũdɐ
forro	fɔʁu
reto	ʁɛtu
exequibilidade	ezekwibilidadʒi
padilha	pad͡ʒiʎɐ
arranhar	aʁɐɲaʁ
erro	ɛʁu
sensibilidade	sẽsibilidad͡ʒɪ
crítico	kɾitʃiku
diva	d͡ʒiva
aurora	awɾɔɾɐ
debelar	debelaχ
resolver	ʁezowveʁ
esparavel	ijʃpaɾavɛw
darknet	daʁknɛt͡ʃ
abadia	abad͡ʒiɐ
poliandria	poliɐ̃dɾia
cataplana	kataplɐnɐ
das	daʃ
cantoria	kɐ̃toɾia
levar	levaʁ
travesso	tɾavɛsu
poaense	poaẽsi
garrano	ɡaʁɐnu
dor	doɾ
ucraniano	ukɾɐniɐnu
churrasco	ʃuʁasku
castidade	kastidade
válvula	vawvula
fachada	faʃada
necessário	nesesaɾju
cônsul	kõsuw
cerimônia	seɾimonia
cortiço	koʁt͡ʃisu
algum	awɡũ
túlipa	tulipɐ
conexo	konɛksu
saguão	saɡwɐ̃w̃
salva	sawva
milha	miʎɐ
juvenis	ʒuvenis
feminino	femininu
transa	tɾɐ̃za
cão	kɐ̃w̃
suicídio	suisid͡ʒiu
deste	deste
bendição	bẽd͡ʒisɐ̃w̃
garrancho	ɡarɐ̃ʃu
josé	ʒozɛ
iterar	iteɾaɾ
hater	ʁejteɾ
gardênia	ɡaʁdẽnjɐ
sociedade	sosjedade
sábio	sabju
ilusionista	iluzjonista
alcorão	awkoɾɐ̃w̃
seca	sekɐ
destacamento	destakamẽtu
mover	moveʁ
gélido	ʒɛlidu
espeto	espɛtu
status	istatus
buchicho	buʃiʃu
musa	muza
