հեռաձայնել	hɛrɑd͡zɑjnɛl
վտարում	vətɑɾum
հիմար	himɑɾ
ընդավոր	əndɑvɔɾ
մեղք	mɛχkʰ
ծախվել	t͡sɑχvɛl
հարբութլյան	hɑɾbutʰljɑn
հարյուրերորդ	hɑɾjuɾɛɾɔɾtʰ
կոր	kɔɾ
դիտողություն	ditɔʁutʰjun
նամակատուն	nɑmɑkɑtun
գյուղատնտեսական	ɡjuʁɑtəntɛsɑkɑn
այմարա	ɑjmɑɾɑ
մոխրաման	mɔχɾɑmɑn
ճոռոմաբանել	t͡ʃɔrɔmɑbɑnɛl
տաճատուհի	tɑt͡ʃɑtuhi
հյուրերովդ	hjuɾɛɾɔvəd
խաթեր	χɑtʰɛɾ
լոզան	lɔzɑn
ցնցուղ	t͡sʰənt͡sʰuʁ
չարբախ	t͡ʃʰɑɾbɑχ
աստվածածանոթություն	ɑstvɑt͡sɑt͡sɑnɔtʰutʰjun
մերկություն	mɛɾkutʰjun
ջրհեղեղ	d͡ʒəɾhɛʁɛʁ
գորտնուկ	ɡɔɾtnuk
փոր	pʰɔɾ
աուլիս	ɑulis
քսենոփոն	kʰsɛnɔpʰɔn
ալտ	ɑlt
մերի	mɛɾi
կայսերապաշտական	kɑjsɛɾɑpɑʃtɑkɑn
կասպք	kɑspkʰ
պատկերահան	pɑtkɛɾɑhɑn
բազմանալ	bɑzmɑnɑl
խշտիկ	χəʃtik
բերդ	bɛɾtʰ
գալիլիա	ɡɑliljɑ
ավելացնել	ɑvɛlɑt͡sʰnɛl
բիր	biɾ
թաղել	tʰɑʁɛl
աներ	ɑnɛɾ
սիրեկան	siɾɛkɑn
աճ	ɑt͡ʃ
կաթնասուն	kɑtʰnɑsun
նինվե	ninvɛ
կովբոյ	kɔvbɔj
գինձ	ɡind͡z
ուղղագրություն	uʁːɑɡɾutʰjun
դեղնուց	dɛʁnut͡sʰ
պարտիա	pɑɾtjɑ
հապաղկոտություն	hɑpɑχkɔtutʰjun
մորու	mɔɾu
փուռ	pʰur
մալթա	mɑltʰɑ
արսենյան	ɑɾsɛnjɑn
մխիթարյան	məχitʰɑɾjɑn
հավք	hɑfkʰ
անդրադառնալ	ɑndɾɑdɑrnɑl
ակահ	ɑkɑh
վարչապետ	vɑɾt͡ʃʰɑpɛt
տապ	tɑp
վախճանամերձ	vɑχt͡ʃɑnɑmɛɾd͡z
կորնչել	kɔɾənt͡ʃʰɛl
ուշաստիկ	uʃɑstik
դինար	dinɑɾ
գերշուկա	ɡɛɾʃukɑ
հաստված	hɑstvɑt͡s
գործարկել	ɡɔɾt͡sɑɾkɛl
հանդիպել	hɑndipɛl
խաշու	χɑʃu
խնձոր	χənd͡zɔɾ
մածուկ	mɑt͡suk
գլորել	ɡəlɔɾɛl
մաքսատուն	mɑkʰsɑtun
ուրագ	uɾɑkʰ
շահագործել	ʃɑhɑɡɔɾt͡sɛl
որոտ	vɔɾɔt
լղպոր	ləχpɔɾ
հեղեղ	hɛʁɛʁ
հորջորջ	hɔɾd͡ʒɔɾd͡ʒ
տարսոն	tɑɾsɔn
ծոց	t͡sɔt͡sʰ
թթված	tʰətʰvɑt͡s
ակնածոտ	ɑknɑt͡sɔt
բացականչական	bɑt͡sʰɑkɑnt͡ʃʰɑkɑn
հունան	hunɑn
երկոտանի	jɛɾkɔtɑni
վանդեա	vɑndɛjɑ
թեփամողես	tʰɛpʰɑmɔʁɛs
սննկանալ	sənəŋkɑnɑl
ծոծորակ	t͡sɔt͡sɔɾɑk
դդմաճ	dədmɑt͡ʃ
հաստույր	hɑstujɾ
կրեսլո	kɾɛslɔ
ղաբուլ	ʁɑbul
կարծրատիպ	kɑɾt͡sɾɑtip
աղայան	ɑʁɑjɑn
սերմնահեղուկ	sɛɾmnɑhɛʁuk
փլավ	pʰəlɑf
ուղղակի	uʁːɑki
մեմփիս	mɛmpʰis
մանջուրիա	mɑnd͡ʒuɾjɑ
թխուկ	tʰəχuk
գայթակղություն	ɡɑjtʰɑkəʁutʰjun
լոշ	lɔʃ
բլոկ	bəlɔk
հարդ	hɑɾd
հռոմեացի	hrɔmɛjɑt͡sʰi
ֆիններեն	finːɛɾɛn
ծավալել	t͡sɑvɑlɛl
համոզել	hɑmɔzɛl
ինստագրամ	instɑɡɾɑm
հավանաբար	hɑvɑnɑbɑɾ
փոսուռա	pʰɔsurɑ
օտարաբանություն	ɔtɑɾɑbɑnutʰjun
շնիկ	ʃənik
երվազ	jɛɾvɑz
խածել	χɑt͡sɛl
նեյտրալ	nɛjtɾɑl
հաշվեքննիչ	hɑʃvɛkʰənːit͡ʃʰ
ժամանակագիր	ʒɑmɑnɑkɑɡiɾ
նախապատմություն	nɑχɑpɑtmutʰjun
մանիշակ	mɑniʃɑk
չեմպիոն	t͡ʃʰɛmpjɔn
աշխեն	ɑʃχɛn
վախկոտ	vɑχkɔt
հոժարում	hɔʒɑɾum
ակներեւ	ɑknɛɾɛv
հասած	hɑsɑt͡s
միջին	mid͡ʒin
կոֆեին	kɔfɛin
կատաղել	kɑtɑʁɛl
քամոց	kʰɑmɔt͡sʰ
պարտիզանական	pɑɾtizɑnɑkɑn
աննամուս	ɑnːɑmus
քաղցրավուն	kʰɑχt͡sʰɾɑvun
էկոնոմիկա	ɛkɔnɔmikɑ
մառոժնի	mɑrɔʒni
վարվել	vɑɾvɛl
պերճանք	pɛɾt͡ʃɑŋkʰ
սեղան	sɛʁɑn
ամիրա	ɑmiɾɑ
գիմ	ɡim
խրտնել	χəɾtnɛl
ինքնյակ	iŋkʰnjɑk
վախճանական	vɑχt͡ʃɑnɑkɑn
շրջարկ	ʃəɾd͡ʒɑɾk
բլթակ	bəltʰɑk
թերագնահատել	tʰɛɾɑɡənɑhɑtɛl
շահ	ʃɑh
մանյակ	mɑnjɑk
ինձնով	ind͡znɔv
արտաքո	ɑɾtɑkʰɔ
խառան	χɑrɑn
պոկեր	pɔkɛɾ
դաջել	dɑd͡ʒɛl
բադ	bɑd
անդորա	ɑndɔɾɑ
համադարման	hɑmɑdɑɾmɑn
կապարճ	kɑpɑɾt͡ʃ
ներքեւ	nɛɾkʰɛv
գանձարան	ɡɑnd͡zɑɾɑn
ջիգիթ	d͡ʒiɡitʰ
հաբ	hɑb
չիպ	t͡ʃʰip
տարխուն	tɑɾχun
զանգահարել	zɑŋɡɑhɑɾɛl
թագվոր	tʰɑkʰvɔɾ
հայտարար	hɑjtɑɾɑɾ
օմար	ɔmɑɾ
մուր	muɾ
տիբեթերեն	tibɛtʰɛɾɛn
խե	χɛ
ասորեստան	ɑsɔɾɛstɑn
բնակվել	bənɑkvɛl
վառելիք	vɑrɛlikʰ
ներվ	nɛɾv
ախալքալաք	ɑχɑlkʰɑlɑkʰ
ֆակուլտետ	fɑkultɛt
քրքրել	kʰəɾkʰəɾɛl
պատրաստություն	pɑtɾɑstutʰjun
մասկաթ	mɑskɑtʰ
լուսանկարչություն	lusɑnəkɑɾt͡ʃʰutʰjun
հաշվապահական	hɑʃvɑpɑhɑkɑn
ռանգ	rɑŋɡ
երկյուղել	jɛɾkjuʁɛl
ճարմանդ	t͡ʃɑɾmɑnd
գուջարաթի	ɡud͡ʒɑɾɑtʰi
պալատ	pɑlɑt
հոշոտել	hɔʃɔtɛl
արածել	ɑɾɑt͡sɛl
տեղանք	tɛʁɑŋkʰ
գլխատառ	ɡəlχɑtɑr
ստորացնել	əstɔɾɑt͡sʰənɛl
խառնիչ	χɑrnit͡ʃʰ
ոռոգել	vɔrɔkʰɛl
գրչատուփ	ɡəɾt͡ʃʰɑtupʰ
գերմանիայի	ɡɛɾmɑnjɑji
գամ	ɡɑm
ծովախեցգետին	t͡sɔvɑχɛt͡sʰɡɛtin
այլասիրական	ɑjlɑsiɾɑkɑn
յասաման	jɑsɑmɑn
խիթ	χitʰ
մուխ	muχ
կեչուա	kɛt͡ʃʰuɑ
վլադիվոստոկ	vlɑdivɔstɔk
բիբ	bib
մալադեց	mɑlɑdɛt͡sʰ
ընդունելի	əntʰunɛli
պռաշիվկա	prɑʃifkɑ
օսիրիս	ɔsiɾis
սիբորգիում	sibɔɾɡijum
մագնիսականություն	mɑɡnisɑkɑnutʰjun
ե	ɛ
աքսորել	ɑkʰsɔɾɛl
ղսմաթ	ʁəsmɑtʰ
տեւ	tɛv
հեր	hɛɾ
թոշակառու	tʰɔʃɑkɑru
քարտեզագրական	kʰɑɾtɛzɑɡɾɑkɑn
գեղագիտություն	ɡɛʁɑɡitutʰjun
հեռակառավարման	hɛrɑkɑrɑvɑɾmɑn
կոմբայն	kɔmbɑjn
տպագրություն	təpɑɡɾutʰjun
օսմանցի	ɔsmɑnt͡sʰi
կեղծ	kɛχt͡s
հոլոքոստ	hɔlɔkʰɔst
հարսանիք	hɑɾsɑnikʰ
դար	dɑɾ
հովհար	hɔvhɑɾ
կրիկետ	kɾikɛt
կողպել	kɔχpɛl
դլփին	dəlpʰin
հատել	hɑtɛl
սաղմոն	sɑʁmɔn
ճամայկա	t͡ʃɑmɑjkɑ
մեղր	mɛʁəɾ
որդեսեր	vɔɾtʰɛsɛɾ
հպատակվել	həpɑtɑkvɛl
բայկալ	bɑjkɑl
կատակագուսան	kɑtɑkɑɡusɑn
իջնել	it͡ʃʰnɛl
միլիցիոներ	milit͡sʰjɔnɛɾ
մատղաշ	mɑtʁɑʃ
գալեն	ɡɑlɛn
մինսկ	minsk
կասեցնել	kɑsɛt͡sʰnɛl
աահհի	ɑɑhəhəi
աշխարհահայացք	ɑʃχɑɾɑhɑjɑt͡sʰkʰ
ծովակով	t͡sɔvɑkɔv
վերանալ	vɛɾɑnɑl
բեգեմոնտ	bɛɡɛmɔnt
փայլունակ	pʰɑjlunɑk
որդ	vɔɾtʰ
պահլավերեն	pɑhlɑvɛɾɛn
ռդ	rədə
երնեկ	jɛɾnɛk
կարծրախտ	kɑɾt͡sɾɑχt
ավգուստինոս	ɑvɡustinɔs
հեծանիվ	hɛt͡sɑniv
կանանոց	kɑnɑnɔt͡sʰ
տղամարդիկ	təʁɑmɑɾtʰik
մյանմա	mjɑnmɑ
ջենովական	d͡ʒɛnɔvɑkɑn
համատեղ	hɑmɑtɛʁ
արկ	ɑɾk
ջե	d͡ʒɛ
ապիկի	ɑpiki
հատ	hɑt
մաքառում	mɑkʰɑrum
մեշոկ	mɛʃɔk
հոդաբորբ	hɔdɑbɔɾb
թոք	tʰɔkʰ
սնուկեր	snukɛɾ
դանիական	dɑnjɑkɑn
մայրաքաղաք	mɑjɾɑkʰɑʁɑkʰ
տակտիկա	tɑktikɑ
գերդաստան	ɡɛɾdɑstɑn
նկարչություն	nəkɑɾt͡ʃʰutʰjun
լկտի	ləkti
հատկություն	hɑtkutʰjun
մոտակա	mɔtɑkɑ
ուռի	uri
դասադուլ	dɑsɑdul
զնջիլ	zənd͡ʒil
անոթ	ɑnɔtʰ
խիթալ	χitʰɑl
ջերմաստիճան	d͡ʒɛɾmɑstit͡ʃɑn
քվե	kʰəvɛ
ժանտաքիս	ʒɑntɑkʰis
տեռորիստ	tɛrɔɾist
անգինա	ɑŋɡinɑ
աաի	ɑɑi
բանգլադեշ	bɑŋɡlɑdɛʃ
դեղատուն	dɛʁɑtun
թարմացնել	tʰɑɾmɑt͡sʰnɛl
վերջի	vɛɾt͡ʃʰi
տաբատ	tɑbɑt
հուսալքված	husɑləkʰvɑt͡s
բույր	bujɾ
բուկովինա	bukɔvinɑ
հոկտեմբեր	hɔktɛmbɛɾ
վհատություն	vəhɑtutʰjun
դավաճան	dɑvɑt͡ʃɑn
ձիգ	d͡zikʰ
տերեւ	tɛɾɛv
սարսափահարել	sɑɾsɑpʰɑhɑɾɛl
մեկնում	mɛknum
փոթ	pʰɔtʰ
գլխարկ	ɡəlχɑɾk
լյուն	ljun
ասպականի	ɑspɑkɑni
եփրատ	jɛpʰɾɑt
մաքուր	mɑkʰuɾ
մժղուկ	məʒʁuk
գանգրություն	ɡɑŋɡɾutʰjun
ֆերմեր	fɛɾmɛɾ
օժտել	ɔʒtɛl
համացանցային	hɑmɑt͡sʰɑnt͡sʰɑjin
հաշիվ	hɑʃiv
տիք	tikʰ
ոսոխ	vɔsɔχ
երկյուղալի	jɛɾkjuʁɑli
սինդհի	sindhi
բազմացում	bɑzmɑt͡sʰum
հովազ	hɔvɑz
երիցուկ	jɛɾit͡sʰuk
փաստ	pʰɑst
ընդմիշտ	əndmiʃt
էրեկցիա	ɛɾɛkt͡sʰjɑ
գետակ	ɡɛtɑk
միմյանց	mimjɑnt͡sʰ
ունիվերմագ	univɛɾmɑɡ
նեապոլ	nɛjɑpɔl
արշակ	ɑɾʃɑk
վենդետա	vɛndɛtɑ
այդուհանդերձ	ɑjduhɑndɛɾt͡sʰ
ծիծիկ	t͡sit͡sik
էրնջակ	ɛɾənd͡ʒɑk
թուրք	tʰuɾkʰ
որակյալ	vɔɾɑkjɑl
արմավ	ɑɾmɑv
փառոք	pʰɑrɔkʰ
իքեն	ikʰɛn
ավարտում	ɑvɑɾtum
զրկել	zəɾkɛl
գրիգորուպոլ	ɡɾikʰɔɾupɔl
կաթնաշոռ	kɑtʰnɑʃɔr
դաշտը	dɑʃtə
հորդորիչ	hɔɾdɔɾit͡ʃʰ
թողել	tʰɔʁɛl
տապակել	tɑpɑkɛl
հեսիոդոս	hɛsiɔdɔs
ավարտվածություն	ɑvɑɾtvɑt͡sutʰjun
ծուլանալ	t͡sulɑnɑl
ատենախոսություն	ɑtɛnɑχɔsutʰjun
զարդարուն	zɑɾtʰɑɾun
հորթ	hɔɾtʰ
աբուռ	ɑbur
էտրուսկյան	ɛtɾuskjɑn
նհանգ	nəhɑŋɡ
միշտ	miʃt
սուղ	suʁ
տոնավաճառ	tɔnɑvɑt͡ʃɑr
լորամարգի	lɔɾɑmɑɾɡi
նայել	nɑjɛl
պրակ	pɾɑk
ըմբոստ	əmbɔst
ֆերմիոն	fɛɾmijɔn
արեւադարձ	ɑɾɛvɑdɑɾt͡sʰ
հաճություն	hɑt͡ʃutʰjun
վեդրո	vɛdɾɔ
հոգոց	hɔkʰɔt͡sʰ
առավոտանալ	ɑrɑvɔtɑnɑl
խայտառակաբար	χɑjtɑrɑkɑbɑɾ
բավարարել	bɑvɑɾɑɾɛl
հոռովել	hɔrɔvɛl
պիզացի	pizɑt͡sʰi
փայտփորիկ	pʰɑjtpʰɔɾik
հարս	hɑɾs
տեռորիստական	tɛrɔɾistɑkɑn
սուխում	suχum
նավակատիք	nɑvɑkɑtikʰ
ամբակում	ɑmbɑkum
նշել	nəʃɛl
բոզավագ	bɔzɑvɑkʰ
ատեն	ɑtɛn
զարթուցիչ	zɑɾtʰut͡sʰit͡ʃʰ
զավակ	zɑvɑk
փսխունք	pʰəsχuŋkʰ
շրջազգեստ	ʃəɾd͡ʒɑzɡɛst
առկայծուն	ɑrkɑjt͡sun
սահեցնել	sɑhɛt͡sʰnɛl
քարոզչություն	kʰɑɾɔzt͡ʃʰutʰjun
լողավազան	lɔʁɑvɑzɑn
աշտարակ	ɑʃtɑɾɑk
աջաբ	ɑd͡ʒɑb
անցում	ɑnt͡sʰum
բարբաջանք	bɑɾbɑd͡ʒɑŋkʰ
ոսկրածուծ	vɔskɾɑt͡sut͡s
ընդլայնել	əndlɑjnɛl
արագ	ɑɾɑɡ
իսլանդիա	islɑndjɑ
ընդոծին	əndɔt͡sin
էլեկտրոն	ɛlɛktɾɔn
մեղրագինի	mɛʁɾɑɡini
սերկեւիլ	sɛɾkɛvil
անխնա	ɑnχənɑ
ավերակ	ɑvɛɾɑk
ուռ	ur
բուք	bukʰ
մկրտություն	məkəɾtutʰjun
չորաթան	t͡ʃʰɔɾɑtʰɑn
մնացականյան	mənɑt͡sʰɑkɑnjɑn
էլզաս	ɛlzɑs
դյուրով	djuɾɔv
մանրէ	mɑnɾɛ
բանջուլ	bɑnd͡ʒul
յաթաղան	jɑtʰɑʁɑn
հարսնացու	hɑɾsnɑt͡sʰu
ալքիմիա	ɑlkʰimjɑ
խորվաթերեն	χɔɾvɑtʰɛɾɛn
պապական	pɑpɑkɑn
քաղցր	kʰɑχt͡sʰəɾ
տանտալ	tɑntɑl
նորույթ	nɔɾujtʰ
կազդուրվել	kɑzduɾvɛl
պլագիատոր	plɑɡjɑtɔɾ
սարանսկ	sɑɾɑnsk
բառույթ	bɑrujtʰ
կարոտ	kɑɾɔt
քենակալ	kʰɛnɑkɑl
ազգերի	ɑzɡɛɾi
ցանկալի	t͡sʰɑŋkɑli
գործառույթը	ɡɔɾt͡sɑrujtʰə
համակարգային	hɑmɑkɑɾkʰɑjin
ճաշասրահ	t͡ʃɑʃɑsəɾɑh
սեյլան	sɛjlɑn
կիբեռնետիկա	kibɛrnɛtikɑ
չղջիկ	t͡ʃʰəχt͡ʃʰik
համբավ	hɑmbɑv
անշեջ	ɑnʃɛd͡ʒ
հունական	hunɑkɑn
զարհուրանք	zɑɾhuɾɑŋkʰ
մասնավորեցում	mɑsnɑvɔɾɛt͡sʰum
շիզոֆրենիա	ʃizɔfɾɛnjɑ
օրհնյալ	ɔɾtʰnjɑl
խորը	χɔɾə
երամ	jɛɾɑm
բեդոկ	bɛdɔk
ազդր	ɑzdəɾ
կուզ	kuz
աջարական	ɑd͡ʒɑɾɑkɑn
փաստոն	pʰɑstɔn
թաշկինակ	tʰɑʃkinɑk
չատտիսգարհ	t͡ʃʰɑtːisɡɑɾh
սեռ	sɛr
պարտք	pɑɾtkʰ
գիտենալ	ɡitɛnɑl
յոգուրտ	jɔɡuɾt
կերչ	kɛɾt͡ʃʰ
լույս	lujs
արտասովոր	ɑɾtɑsɔvɔɾ
հաուրան	hɑuɾɑn
թարթ	tʰɑɾtʰ
չելյաբինսկ	t͡ʃʰɛljɑbinsk
գոլ	ɡɔl
ջոկ	d͡ʒɔk
թառամ	tʰɑrɑm
փորձ	pʰɔɾt͡sʰ
անսվաղ	ɑnsəvɑʁ
թեմզա	tʰɛmzɑ
զեկույց	zɛkujt͡sʰ
օմբուդսմեն	ɔmbudsmɛn
գողտրիկ	ɡɔχtɾik
աուդիտոր	ɑuditɔɾ
հույր	hujɾ
շարահյուսել	ʃɑɾɑhjusɛl
տրամադրել	tɾɑmɑdɾɛl
տառեղ	tɑrɛʁ
հոգվոց	hɔkʰvɔt͡sʰ
ականակիտ	ɑkɑnɑkit
տրական	təɾɑkɑn
պոզիտրոն	pɔzitɾɔn
ադամանդել	ɑdɑmɑndɛl
ֆինլանդուհի	finlɑnduhi
բիհարի	bihɑɾi
վայրագ	vɑjɾɑɡ
հեշտություն	hɛʃtutʰjun
կարտոշկա	kɑɾtɔʃkɑ
քրոնիկ	kʰəɾɔnik
թեկուզեւ	tʰɛkuzɛv
գողոն	ɡɔʁɔn
մամուկ	mɑmuk
նու	nu
ծայր	t͡sɑjɾ
ավելուկ	ɑvɛluk
թարխանա	tʰɑɾχɑnɑ
բանբեր	bɑnbɛɾ
ծիծաղկոտ	t͡sit͡sɑχkɔt
ավետիսյան	ɑvɛtisjɑn
քենեկալ	kʰɛnɛkɑl
կորյուն	kɔɾjun
հիասքանչ	hijɑskʰɑnt͡ʃʰ
մարդակերություն	mɑɾtʰɑkɛɾutʰjun
ձեռնաշարժություն	d͡zɛrnɑʃɑɾʒutʰjun
տակնուվրա	tɑknuvəɾɑ
ըմպակ	əmpɑk
ալք	ɑlkʰ
ցավալ	t͡sʰɑvɑl
հարկային	hɑɾkɑjin
ամառային	ɑmɑrɑjin
հոլ	hɔl
արկադիոս	ɑɾkɑdijɔs
զմռնիտ	zəmərnit
երբեմնի	jɛɾpʰɛmni
վալետա	vɑlɛtɑ
օրացույց	ɔɾɑt͡sʰujt͡sʰ
թարգմանություն	tʰɑɾkʰmɑnutʰjun
կառափնատ	kɑrɑpʰnɑt
արամազդ	ɑɾɑmɑzd
փոխնախարար	pʰɔχnɑχɑɾɑɾ
պոլիս	pɔlis
երե	jɛɾɛ
կրկին	kəɾkin
դիսկրիմինացիա	diskɾiminɑt͡sʰjɑ
դուլ	dul
կաթնամթերք	kɑtʰnɑmətʰɛɾkʰ
տառադարձություն	tɑrɑdɑɾt͡sʰutʰjun
պատրինջ	pɑtɾind͡ʒ
դիոկղետիանոս	dijɔkʁɛtjɑnɔs
օրգանական	ɔɾɡɑnɑkɑn
կճուճ	kət͡ʃut͡ʃ
եփեսոս	jɛpʰɛsɔs
ձաղկել	d͡zɑχkɛl
սլավոն	səlɑvɔn
աբեղայություն	ɑbɛʁɑjutʰjun
թողարկել	tʰɔʁɑɾkɛl
խոպոպել	χɔpɔpɛl
գործուն	ɡɔɾt͡sun
բրոնզ	bəɾɔnz
արծվաբուն	ɑɾt͡svɑbun
առողջ	ɑrɔχt͡ʃʰ
սպորտ	əspɔɾt
ինվալիդ	invɑlid
անզգայացուցիչ	ɑnəzɡɑjɑt͡sʰut͡sʰit͡ʃʰ
բարձրավանդակ	bɑɾt͡sʰɾɑvɑndɑk
եղեռն	jɛʁɛrn
անզգայացում	ɑnəzɡɑjɑt͡sʰum
առաջնային	ɑrɑt͡ʃʰnɑjin
մթնշաղ	mətʰənʃɑʁ
ժուժկալ	ʒuʒkɑl
ճանգ	t͡ʃɑŋɡ
ուկրաինա	ukɾɑnjɑ
երախտիք	jɛɾɑχtikʰ
աբիջան	ɑbid͡ʒɑn
մոտիկանալ	mɔtikɑnɑl
քուվեյթ	kʰuvɛjtʰ
իսպանական	ispɑnɑkɑn
ծնողներ	t͡sənɔʁnɛɾ
որկրամոլություն	vɔɾkɾɑmɔlutʰjun
մամելյուկ	mɑmɛljuk
արդեն	ɑɾtʰɛn
արմատաքի	ɑɾmɑtɑkʰi
բութանիա	butʰɑnjɑ
հոգնածություն	hɔkʰnɑt͡sutʰjun
կենդանանալ	kɛntʰɑnɑnɑl
համազասպ	hɑmɑzɑsp
ռեժիսոր	rɛʒisɔɾ
բան	bɑn
նամականիշ	nɑmɑkɑniʃ
կարծել	kɑɾt͡sɛl
ալոճ	ɑlɔt͡ʃ
ժանտաթզենի	ʒɑntɑtʰəzɛni
քննարկվել	kʰənːɑɾkvɛl
զեղխ	zɛχː
տասներեք	tɑsnɛɾɛkʰ
քաոս	kʰɑɔs
վտարանդի	vətɑɾɑndi
տրանսգենդեր	tɾɑnsɡɛndɛɾ
հավասարություն	hɑvɑsɑɾutʰjun
գազալցակայան	ɡɑzɑlət͡sʰɑkɑjɑn
պարտավորություն	pɑɾtɑvɔɾutʰjun
արդուկ	ɑɾduk
ոսպապուր	vɔspɑpuɾ
կենդանաբանական	kɛntʰɑnɑbɑnɑkɑn
վերջադիր	vɛɾt͡ʃʰɑdiɾ
հալոգեն	hɑlɔɡɛn
բոթսվանա	bɔtʰəsvɑnɑ
երաժշտություն	jɛɾɑʃtutʰjun
կալնել	kɑlnɛl
առավելություն	ɑrɑvɛlutʰjun
կորուսյալ	kɔɾusjɑl
փտել	pʰətɛl
տիեզերք	tijɛzɛɾkʰ
կաշկանդել	kɑʃkɑndɛl
կաղ	kɑʁ
դրակոն	dəɾɑkɔn
առոգել	ɑrɔkʰɛl
խոյ	χɔj
մածուն	mɑt͡sun
լեռնաշխարհ	lɛrnɑʃχɑɾ
շահեն	ʃɑhɛn
հագել	hɑɡɛl
ձկնկուլ	d͡zəkəŋkul
մտահոգված	mətɑhɔkʰvɑt͡s
հանդիմանել	hɑndimɑnɛl
խրոխտություն	χəɾɔχtutʰjun
ծարավ	t͡sɑɾɑv
ծեփամածիկ	t͡sɛpʰɑmɑt͡sik
մեյդան	mɛjdɑn
հրատ	həɾɑt
դաժան	dɑʒɑn
չափալախ	t͡ʃʰɑpʰɑlɑχ
ամաչել	ɑmɑt͡ʃʰɛl
կարեկցություն	kɑɾɛkt͡sʰutʰjun
վկայել	vəkɑjɛl
պակիստան	pɑkistɑn
շքերթ	ʃəkʰɛɾtʰ
ձա	d͡zɑ
արխիվ	ɑɾχiv
նիրհել	niɾhɛl
ձեռնածու	d͡zɛrnɑt͡su
մեծաբանություն	mɛt͡sɑbɑnutʰjun
ընթեռնել	əntʰɛrnɛl
կաչաղակ	kɑt͡ʃʰɑʁɑk
ափսե	ɑpʰsɛ
հաչոց	hɑt͡ʃʰɔt͡sʰ
ընկեր	əŋkɛɾ
աքիլլեսյան	ɑkʰilːɛsjɑn
գիտակից	ɡitɑkit͡sʰ
անդրհորդանան	ɑndəɾhɔɾdɑnɑn
խորհրդարան	χɔɾəɾtʰɑɾɑn
դավաճանություն	dɑvɑt͡ʃɑnutʰjun
օրտա	ɔɾtɑ
մազուրկա	mɑzuɾkɑ
աջաբսանդալ	ɑd͡ʒɑpʰsɑndɑl
ճապոնացի	t͡ʃɑpɔnɑt͡sʰi
սանդուղք	sɑnduχkʰ
ակնածալի	ɑknɑt͡sɑli
կատաղի	kɑtɑʁi
ճիզվիտ	t͡ʃizvit
անմահ	ɑnmɑh
ռազմական	rɑzmɑkɑn
ասատրյան	ɑsɑtəɾjɑn
դորպատ	dɔɾpɑt
ստորացվել	əstɔɾɑt͡sʰvɛl
զինել	zinɛl
ծանոթացնել	t͡sɑnɔtʰɑt͡sʰnɛl
մասշտաբ	mɑsʃtɑb
երազ	jɛɾɑz
ստարտափ	əstɑɾtɑpʰ
սոնա	sɔnɑ
կեսրայր	kɛsɾɑjɾ
մարոնիտ	mɑɾɔnit
ծնծղա	t͡sənt͡səʁɑ
օպտիմալ	ɔptimɑl
ինքնահավան	iŋkʰnɑhɑvɑn
նա	nɑ
ագռավանալ	ɑɡrɑvɑnɑl
գասկոնցի	ɡɑskɔnt͡sʰi
պարտվողական	pɑɾtvɔʁɑkɑn
ստամբակել	əstɑmbɑkɛl
հաշվառում	hɑʃvɑrum
նույնիսկ	nujnisk
դանդալոշ	dɑndɑlɔʃ
խունտա	χuntɑ
պարսկացում	pɑɾskɑt͡sʰum
պոլոճիկ	pɔlɔt͡ʃik
օտարոտի	ɔtɑɾɔti
հուդզոն	hudzɔn
նազել	nɑzɛl
խուլիգան	χuliɡɑn
վճարել	vət͡ʃɑɾɛl
պիվա	pivɑ
որձակ	vɔɾt͡sʰɑk
գուդաութա	ɡudɑutʰɑ
մարի	mɑɾi
խախտել	χɑχtɛl
դոլմա	dɔlmɑ
մոլել	mɔlɛl
բասկետբոլ	bɑskɛtbɔl
քյալամ	kʰjɑlɑm
անշեն	ɑnʃɛn
գիտություն	ɡitutʰjun
հրահրել	həɾɑhəɾɛl
փոքր	pʰɔkʰəɾ
ծորակ	t͡sɔɾɑk
ներկել	nɛɾkɛl
գեղարքունիք	ɡɛʁɑɾkʰunikʰ
քոչվոր	kʰɔt͡ʃʰvɔɾ
բելառուսական	bɛlɑrusɑkɑn
նանոտեխնոլոգիա	nɑnɔtɛχnɔlɔɡjɑ
լամա	lɑmɑ
արծաթասիրություն	ɑɾt͡sɑtʰɑsiɾutʰjun
ընտանիք	əntɑnikʰ
երկմտանք	jɛɾkmətɑŋkʰ
ծղնի	t͡səʁni
ջանավար	d͡ʒɑnɑvɑɾ
վերջատանջ	vɛɾt͡ʃʰɑtɑnd͡ʒ
կույտ	kujt
ֆերմա	fɛɾmɑ
տիբեթական	tibɛtʰɑkɑn
սադրիչ	sɑdɾit͡ʃʰ
իտալուհի	itɑluhi
առողջարան	ɑrɔχt͡ʃʰɑɾɑn
միջնադարյան	mit͡ʃʰnɑdɑɾjɑn
քսան	kʰəsɑn
աքքադերեն	ɑkʰːɑdɛɾɛn
անտիոքոս	ɑntiɔkʰɔs
զաքարյան	zɑkʰɑɾjɑn
գութան	ɡutʰɑn
արժենալ	ɑɾʒɛnɑl
նկուղային	nəkuʁɑjin
իջեւանատեր	id͡ʒɛvɑnɑtɛɾ
ռանդա	rɑndɑ
ամստերդամ	ɑmstɛɾdɑm
