של	ʃl
ופרט	vfʁt
ופרץ	vfʁts
ופתרון	vftʁvn
וצופה	vtsvfʔ
וצמחייה	vtsmχˈijʔ
וקארל	vkʔʁl
וקבוע	vkvvʔ
וקווין	vkwjn
וקטנה	vktnʔ
וקרל	vkʁl
וקשת	vkʃt
ורבת	vʁvt
ורומניה	vʁvmnˈiʔ
ורוני	vʁvnˈi
וריי	vʁˈij
ושרירי	vʃʁˈiʁi
ותגובה	vtɡvvʔ
ותחבורה	vtχvvʁʔ
זבוב	zvvv
זולא	zvlʔ
זומם	zvmm
זידאן	zˈidʔn
זיווג	zˈiwɡ
זרחן	zʁχn
זריצקי	zʁˈitski
חבויים	χvvjjm
חבורתו	χvvʁtv
חוגג	χvɡɡ
חוואי	χwˈi
חוזקה	χvzkʔ
חויב	χvjv
חוללה	χvllʔ
חומצת	χvmtst
חותמם	χvtmm
חטאיו	χtˈiv
חייתה	χˈijtʔ
חיקויים	χˈikvjjm
חישב	χˈiʃv
חסויים	χsvjjm
חסידית	χsˈidit
חרסינה	χʁsˈinʔ
חשיבותן	χʃjvvtn
חתיכה	χtˈiχʔ
טוטו	tvtv
טועים	tvˈim
טופסי	tvfsˈi
טוקו	tvkv
טיפו	tˈifv
טלפונית	tlfvnˈit
טקסית	tksˈit
טריו	tʁˈiv
יגן	jɡn
יוגורתה	jvɡvʁtʔ
יוהנה	jvʔnʔ
יוותר	jwtʁ
יוסיף	jvsˈif
יופיו	jvfˈiv
יוקרתו	jvkʁtv
ימלא	jmlʔ
יעדיפו	jʔdˈifv
יעניק	jʔnˈik
יעסוק	jʔsvk
יפסיד	jfsˈid
יקטן	jktn
יתקפו	jtkfv
כאויב	χʔvjv
כבעיה	χvˈiʔ
כדירקטור	χdˈiʁktvʁ
כוהנים	χvʔnˈim
כזכות	χzχvt
כטקסט	χtkst
כמחסן	χmχsn
כמייצג	χmˈijtsɡ
כמיליארד	χmˈiliʔʁd
כמכשיר	χmχʃjʁ
כממונה	χmmvnʔ
כמנגנון	χmŋnvn
כמפורט	χmfvʁt
כמפתח	χmftχ
כניעתה	χnˈiʔtʔ
כנפיהם	χnfˈiʔm
כנציגת	χntsˈiɡt
כסדרת	χsdʁt
כפגיעה	χfɡˈiʔʔ
כפריות	χfʁˈivt
כקונסול	χkvnsvl
כרומוזומים	χʁvmvzvmˈim
כשהופיע	χʃʔvfˈiʔ
כשער	χʃʔʁ
לאבין	lʔvˈin
לאומנית	lʔvmnˈit
לאופיו	lʔvfˈiv
לאלופות	lʔlvfvt
לאמון	lʔmvn
לבגדאד	lvɡdʔd
לבסיסו	lvsˈisv
לבקרת	lvkʁt
לבריחה	lvʁˈiχʔ
לגבעת	lɡvʔt
לגנוז	lɡnvz
לדוברי	ldvvʁˈi
לדורותיהם	ldvʁvtˈiʔm
לדיוק	ldˈivk
להולדת	lʔvldt
להוציאם	lʔvtsˈiʔm
להזדמנות	lʔzdmnvt
להיטמע	lˈitmʔ
להכנה	lʔχnʔ
להמית	lʔmˈit
להמן	lʔmn
להסית	lʔsˈit
להפרדת	lʔfʁdt
להפרות	lʔfʁvt
להציגו	lʔtsˈiɡv
להצפנה	lʔtsfnʔ
להריסה	lʔʁˈisʔ
להתברג	lʔtvʁɡ
לווידאו	lwjdʔv
לול	lvl
לונגה	lvŋʔ
לזלי	lzlˈi
לזעזוע	lzʔzvʔ
לחדשות	lχdʃvt
לחזה	lχzʔ
לחזקה	lχzkʔ
לחיצת	lχˈitst
לחלוף	lχlvf
לחנוק	lχnvk
לחסות	lχsvt
לחתיכות	lχtˈiχvt
לטייסים	ltˈijsim
לטמפרטורות	ltmfʁtvʁvt
לידינו	lˈidinv
לידל	lˈidl
ליטאים	lˈitim
ליישר	lˈijʃʁ
לכדו	lχdv
לכיבוי	lχˈivvj
לכיש	lχˈiʃ
לכנסיות	lχnsˈivt
לכנף	lχnf
ללוחמי	llvχmˈi
ללכידת	llχˈidt
למבחנים	lmvχnˈim
למהירויות	lmˈiʁvjvt
למומחים	lmvmχˈim
למיקומה	lmˈikvmʔ
למכללה	lmχllʔ
לממונה	lmmvnʔ
לממשלות	lmmʃlvt
למעצרו	lmʔtsʁv
למפעיל	lmfˈil
למשוואה	lmʃwʔʔ
למתאבק	lmtʔvk
לנטייה	lntˈijʔ
לנטר	lntʁ
לסולם	lsvlm
לסיורים	lsˈivʁim
לסיפורי	lsˈifvʁi
לסערה	lsʔʁʔ
לעבודתם	lʔvvdtm
לעושר	lʔvʃʁ
לעמדתו	lʔmdtv
לפיצויים	lfˈitsvjjm
לפריט	lfʁˈit
לקבץ	lkvts
לקוטר	lkvtʁ
לקטעי	lktˈi
לקישור	lkˈiʃvʁ
לקרבת	lkʁvt
לרחבי	lʁχvˈi
לרכיבה	lʁχˈivʔ
לשובו	lʃvvv
לשולי	lʃvlˈi
לשופטים	lʃvftˈim
לשיכון	lʃjχvn
לשלבי	lʃlvˈi
לתאילנד	ltˈilnd
לתפילות	ltfˈilvt
לתקרית	ltkʁˈit
מאוישים	mʔvjʃjm
מאוקראינה	mʔvkʁˈinʔ
מאזנה	mʔznʔ
מאחדת	mʔχdt
מברזל	mvʁzl
מברשת	mvʁʃt
מגוחך	mɡvχχ
מגושם	mɡvʃm
מגיוס	mɡˈivs
מדבקות	mdvkvt
מהאמנים	mʔʔmnˈim
מהבעלות	mʔvʔlvt
מהגבוהים	mʔɡvvˈim
מההופעות	mʔʔvfʔvt
מהזיכרון	mʔzˈiχʁvn
מהחי	mʔχˈi
מהמאפיינים	mʔmʔfˈijnim
מהמסלול	mʔmslvl
מהמערב	mʔmʔʁv
מהמצביעים	mʔmtsvˈiim
מהספינות	mʔsfˈinvt
מהעלילה	mʔʔlˈilʔ
מהפכניות	mʔfχnˈivt
מהפסוק	mʔfsvk
מהשמיים	mʔʃmˈijm
מהשפעת	mʔʃfʔt
מוותרת	mwtʁt
מוזכרות	mvzχʁvt
מוחה	mvχʔ
מויאל	mvjʔl
מוכח	mvχχ
מוכחת	mvχχt
מולדים	mvldˈim
מולקולרי	mvlkvlʁˈi
מופשטות	mvfʃtvt
מוקסלי	mvkslˈi
מורגנשטרן	mvʁɡnʃtʁn
מורטימר	mvʁtˈimʁ
מזדהים	mzdˈim
מזוהמים	mzvʔmˈim
מזוקק	mzvkk
מזח	mzχ
מזחלות	mzχlvt
מזיהום	mzˈiʔvm
מזמינים	mzmˈinim
מזרם	mzʁm
מחוסרי	mχvsʁˈi
מחטיבת	mχtˈivt
מחמירות	mχmˈiʁvt
מטבעם	mtvʔm
מיושבת	mˈivʃvt
מיחסים	mˈiχsim
מייסדה	mˈijsdʔ
מייצב	mˈijtsv
מימית	mˈimit
מימש	mˈimʃ
מיסודה	mˈisvdʔ
מיסטית	mˈistit
מיקומי	mˈikvmi
מירידת	mˈiʁidt
מכבים	mχvˈim
מכוחותיו	mχvχvtˈiv
מכוחם	mχvχm
מכחול	mχχvl
מכרים	mχʁˈim
מכתיבה	mχtˈivʔ
מלווין	mlwjn
ממאסר	mmʔsʁ
ממגדל	mmɡdl
ממהרת	mmʔʁt
ממוגן	mmvɡn
ממועצת	mmvʔtst
ממוקדים	mmvkdˈim
ממכירות	mmχˈiʁvt
ממליצים	mmlˈitsim
ממתחם	mmtχm
מנקה	mnkʔ
מסופק	msvfk
מסיפורי	msˈifvʁi
מסלולה	mslvlʔ
מסלק	mslk
מסתתרת	msttʁt
מעודדות	mʔvddvt
מעול	mʔvl
מפעולת	mfʔvlt
מפקחים	mfkχˈim
מפרסום	mfʁsvm
מץ	mts
מצאתי	mtsʔtˈi
מצורות	mtsvʁvt
מצטמצם	mtstmtsm
מצית	mtsˈit
מצפונו	mtsfvnv
מקדונל	mkdvnl
מקדימות	mkdˈimvt
מקדשי	mkdʃj
מקווין	mkwjn
מקללן	mklln
מקנן	mknn
מקראית	mkʁˈit
מראיין	mʁˈijn
מרסר	mʁsʁ
מרשות	mʁʃvt
משודרות	mʃvdʁvt
משוודיה	mʃwdˈiʔ
משירותו	mʃjʁvtv
משלחתו	mʃlχtv
משניהם	mʃnˈiʔm
משקיעה	mʃkˈiʔʔ
מתאגרפים	mtʔɡʁfˈim
מתפיסת	mtfˈist
מתפשר	mtfʃʁ
נבזז	nvzz
נבלע	nvlʔ
נגב	ŋv
נדחית	ndχˈit
נדיבות	ndˈivvt
נדידת	ndˈidt
נוגן	nvɡn
נוטלת	nvtlt
נולאן	nvlʔn
נוסעות	nvsʔvt
נופלות	nvflvt
נוצה	nvtsʔ
נזירה	nzˈiʁʔ
נחוג	nχvɡ
נחים	nχˈim
נידה	nˈidʔ
נידחים	nˈidχim
ניהולה	nˈiʔvlʔ
ניי	nˈij
נכונותה	nχvnvtʔ
נכרת	nχʁt
נמיביה	nmˈiviʔ
נמלה	nmlʔ
נעזרת	nʔzʁt
נעם	nʔm
נעמד	nʔmd
נפה	nfʔ
נפילתם	nfˈiltm
נפרש	nfʁʃ
נריה	nʁˈiʔ
נשלטים	nʃltˈim
נתקף	ntkf
סאקי	sʔkˈi
סבוך	svvχ
סבטלנה	svtlnʔ
סדן	sdn
סוגת	svɡt
סולסברי	svlsvʁˈi
סור	svʁ
סטוק	stvk
סיעוד	sˈiʔvd
סלולים	slvlˈim
סלולרית	slvlʁˈit
סלקום	slkvm
סמכותם	smχvtm
סמסון	smsvn
סערות	sʔʁvt
ספירות	sfˈiʁvt
סקאלה	skʔlʔ
סקירות	skˈiʁvt
סרגל	sʁɡl
עבדת	ʔvdt
עברייני	ʔvʁˈijni
עודפים	ʔvdfˈim
עורקי	ʔvʁkˈi
עטלף	ʔtlf
עילם	ˈilm
עיראקים	ˈiʁʔkim
עיתוי	ˈitvj
עכבישים	ʔχvˈiʃjm
עמדותיה	ʔmdvtˈiʔ
עמדי	ʔmdˈi
עמלה	ʔmlʔ
עצבית	ʔtsvˈit
פאזות	fʔzvt
פאם	fʔm
פוזנר	fvznʁ
פוליביוס	fvlˈivivs
פוליצר	fvlˈitsʁ
פונטה	fvntʔ
פוסקות	fvskvt
פורשו	fvʁʃv
פורשים	fvʁʃjm
פיטרי	fˈitʁi
פייל	fˈijl
פיינורד	fˈijnvʁd
פיינשטיין	fˈijnʃtijn
פילגשו	fˈilɡʃv
פינקר	fˈinkʁ
פיענוח	fˈiʔnvχ
פירוס	fˈiʁvs
פלינט	flˈint
פלסטי	flstˈi
פלפס	flfs
פנטון	fntvn
פנטזיות	fntzˈivt
פק	fk
פרגה	fʁɡʔ
פרדיקס	fʁdˈiks
פרוטה	fʁvtʔ
פריגטות	fʁˈiɡtvt
פרימיטיביות	fʁˌimitˈivivt
פרימיטיבית	fʁˌimitˈivit
פרסיבל	fʁsˈivl
פרקטית	fʁktˈit
פרשיית	fʁʃjjt
פרשן	fʁʃn
פתולוגית	ftvlvɡˈit
פתיח	ftˈiχ
צבען	tsvʔn
צידיו	tsˈidiv
ציירו	tsˈijʁv
צמודי	tsmvdˈi
צמיגות	tsmˈiɡvt
צצו	tstsv
קאל	kʔl
קובנה	kvvnʔ
קובנר	kvvnʁ
קודקס	kvdks
קודריאנו	kvdʁˈiʔnv
קוואן	kwʔn
קונדה	kvndʔ
קידומו	kˈidvmv
קייפ	kˈijf
קיל	kˈil
קינטית	kˈintit
קינקייד	kˈinkijd
קלאומנס	klʔvmns
קליאו	klˈiʔv
קלרנס	klʁns
קפואים	kfvˈim
קפיץ	kfˈits
קפצו	kftsv
קצף	ktsf
קראולי	kʁʔvlˈi
רובד	ʁvvd
רוגליץ	ʁvɡlˈits
רודה	ʁvdʔ
רווקה	ʁwkʔ
רטובה	ʁtvvʔ
רייד	ʁˈijd
ריימס	ʁˈijms
ריקודי	ʁˈikvdi
רירית	ʁˈiʁit
רישאר	ʁˈiʃʔʁ
רמטכ	ʁmtχ
רמיזות	ʁmˈizvt
רעבים	ʁʔvˈim
רעפים	ʁʔfˈim
רצינות	ʁtsˈinvt
רשמיו	ʁʃmˈiv
שאומצה	ʃʔvmtsʔ
שאזור	ʃʔzvʁ
שאספה	ʃʔsfʔ
שאפתני	ʃʔftnˈi
שארגון	ʃʔʁɡvn
שבבעלותה	ʃvvʔlvtʔ
שבדקו	ʃvdkv
שבטיות	ʃvtˈivt
שבמידה	ʃvmˈidʔ
שבסיומו	ʃvsˈivmv
שבראשם	ʃvʁʔʃm
שבתורה	ʃvtvʁʔ
שגופתו	ʃɡvftv
שגיאת	ʃɡˈiʔt
שדדו	ʃddv
שדרוגים	ʃdʁvɡˈim
שדרכה	ʃdʁχʔ
שדרכם	ʃdʁχm
שהאם	ʃʔʔm
שהודה	ʃʔvdʔ
שהוכנה	ʃʔvχnʔ
שהונח	ʃʔvnχ
שהועסקו	ʃʔvʔskv
שהוצאה	ʃʔvtsʔʔ
שהוקרן	ʃʔvkʁn
שהושלמה	ʃʔvʃlmʔ
שהותירה	ʃʔvtˈiʁʔ
שהמשפחה	ʃʔmʃfχʔ
שהעיתון	ʃʔˈitvn
שהצטברו	ʃʔtstvʁv
שהצילה	ʃʔtsˈilʔ
שהראשון	ʃʔʁʔʃvn
שהשאירה	ʃʔʃˈiʁʔ
שהשאירו	ʃʔʃˈiʁv
שהשתלט	ʃʔʃtlt
שהתקשה	ʃʔtkʃʔ
שוהם	ʃvʔm
שוודים	ʃwdˈim
שופרה	ʃvfʁʔ
שחייו	ʃχˈijv
שחק	ʃχk
שחשה	ʃχʃʔ
שיבוץ	ʃjvvts
שיבחר	ʃjvχʁ
שיהווה	ʃjʔwʔ
שיווקה	ʃjwkʔ
שיחליף	ʃjχlˈif
שייצא	ʃjjtsʔ
שיכונים	ʃjχvnˈim
שילר	ʃjlʁ
שיעברו	ʃjʔvʁv
שיפוטיות	ʃjfvtˈivt
שיקפה	ʃjkfʔ
שלבש	ʃlvʃ
שלדעתם	ʃldʔtm
שלטענתה	ʃltʔntʔ
שליו	ʃlˈiv
שלפיהם	ʃlfˈiʔm
שמאפשרות	ʃmʔfʃʁvt
שמבצעים	ʃmvtsˈim
שמהירות	ʃmˈiʁvt
שמקשה	ʃmkʃʔ
שמתאימה	ʃmtˈimʔ
שנבדקו	ʃnvdkv
שנוטה	ʃnvtʔ
שנותנים	ʃnvtnˈim
שנחתו	ʃnχtv
שנסגרה	ʃnsɡʁʔ
שנפוצו	ʃnfvtsv
שעמה	ʃʔmʔ
שפועלת	ʃfvʔlt
שפי	ʃfˈi
שפעמים	ʃfʔmˈim
שצוירו	ʃtsvjʁv
שצעד	ʃtsʔd
שצפוי	ʃtsfvj
שקטות	ʃktvt
שקנו	ʃknv
שקשר	ʃkʃʁ
ששלוש	ʃʃlvʃ
שתרגם	ʃtʁɡm
תאורטיות	tʔvʁtˈivt
תוסף	tvsf
תוקפני	tvkfnˈi
תורשתית	tvʁʃtˈit
תחתונים	tχtvnˈim
תיכונים	tˈiχvnim
תימוכין	tˈimvχin
תלמה	tlmʔ
תלמידת	tlmˈidt
תמלוגים	tmlvɡˈim
תמציתי	tmtsˈiti
תעביר	tʔvˈiʁ
תפירה	tfˈiʁʔ
תקום	tkvm
ATP	(͡e͡n)ˈe͡ɪ tˈiː pˈiː(͡h͡e)
Angel	(͡e͡n)ˈe͡ɪ ˈɛn d͡ʒˈiː ˈiː ˈɛl(͡h͡e)
Born	(͡e͡n)bˈiː ˈə͡ʊ ˈɑː ˈɛn(͡h͡e)
Box	(͡e͡n)bˈiː ˈə͡ʊ ˈɛks(͡h͡e)
Brothers	(͡e͡n)bˈiː ˈɑː ˈə͡ʊ tˈiː ˈe͡ɪt͡ʃ ˈiː ˈɑː ˈɛs(͡h͡e)
CW	(͡e͡n)sˈiː dˈʌbə͡ljˌuː(͡h͡e)
Co	(͡e͡n)sˈiː ˈə͡ʊ(͡h͡e)
Common	(͡e͡n)sˈiː ˈə͡ʊ ˈɛm ˈɛm ˈə͡ʊ ˈɛn(͡h͡e)
Dr	(͡e͡n)dˈiː ˈɑː(͡h͡e)
Eye	(͡e͡n)ˈiː wˈa͡ɪ ˈiː(͡h͡e)
Francisco	(͡e͡n)ˈɛf ˈɑː ˈe͡ɪ ˈɛn sˈiː ˈa͡ɪ ˈɛs sˈiː ˈə͡ʊ(͡h͡e)
GT	(͡e͡n)d͡ʒˈiː tˈiː(͡h͡e)
HP	(͡e͡n)ˈe͡ɪt͡ʃ pˈiː(͡h͡e)
HTML	(͡e͡n)ˈe͡ɪt͡ʃ tˈiː ˈɛm ˈɛl(͡h͡e)
Have	(͡e͡n)ˈe͡ɪt͡ʃ ˈe͡ɪ vˈiː ˈiː(͡h͡e)
IP	(͡e͡n)ˈa͡ɪ pˈiː(͡h͡e)
Indian	(͡e͡n)ˈa͡ɪ ˈɛn dˈiː ˈa͡ɪ ˈe͡ɪ ˈɛn(͡h͡e)
Made	(͡e͡n)ˈɛm ˈe͡ɪ dˈiː ˈiː(͡h͡e)
Morning	(͡e͡n)ˈɛm ˈə͡ʊ ˈɑː ˈɛn ˈa͡ɪ ˈɛn d͡ʒˈiː(͡h͡e)
Nation	(͡e͡n)ˈɛn ˈe͡ɪ tˈiː ˈa͡ɪ ˈə͡ʊ ˈɛn(͡h͡e)
Office	(͡e͡n)ˈə͡ʊ ˈɛf ˈɛf ˈa͡ɪ sˈiː ˈiː(͡h͡e)
Place	(͡e͡n)pˈiː ˈɛl ˈe͡ɪ sˈiː ˈiː(͡h͡e)
Post	(͡e͡n)pˈiː ˈə͡ʊ ˈɛs tˈiː(͡h͡e)
Saint	(͡e͡n)ˈɛs ˈe͡ɪ ˈa͡ɪ ˈɛn tˈiː(͡h͡e)
Services	(͡e͡n)ˈɛs ˈiː ˈɑː vˈiː ˈa͡ɪ sˈiː ˈiː ˈɛs(͡h͡e)
Smith	(͡e͡n)ˈɛs ˈɛm ˈa͡ɪ tˈiː ˈe͡ɪt͡ʃ(͡h͡e)
Touch	(͡e͡n)tˈiː ˈə͡ʊ jˈuː sˈiː ˈe͡ɪt͡ʃ(͡h͡e)
UTC	(͡e͡n)jˈuː tˈiː sˈiː(͡h͡e)
YouTube	(͡e͡n)wˈa͡ɪ ˈə͡ʊ jˈuː tˈiː jˈuː bˈiː ˈiː(͡h͡e)
אביי	ʔvˈij
אגמון	ʔɡmvn
אדמתו	ʔdmtv
אודה	ʔvdʔ
אודישנים	ʔvdˈiʃnim
אומדנים	ʔvmdnˈim
אונות	ʔvnvt
אחה	ʔχʔ
אחותי	ʔχvtˈi
איגל	ˈiɡl
איחר	ˈiχʁ
איטיות	ˈitivt
אילוץ	ˈilvts
איפר	ˈifʁ
אישומים	ˈiʃvmim
אלאגבאלוס	ʔlʔɡvʔlvs
אלגברות	ʔlɡvʁvt
אלצהיימר	ʔltsˈijmʁ
אנדוור	ʔndwʁ
אסקס	ʔsks
אפייה	ʔfˈijʔ
אקשטיין	ʔkʃtˈijn
ארונו	ʔʁvnv
אריתריאה	ʔʁˈitʁiʔʔ
ארסמוס	ʔʁsmvs
באבדות	vʔvdvt
באופייה	vʔvfˈijʔ
באטל	vʔtl
באיברים	vˈivʁim
באישיות	vˈiʃjvt
באלים	vʔlˈim
באמיתות	vʔmˈitvt
באסטרטגיות	vʔstʁtɡˈivt
באקט	vʔkt
באשי	vʔʃj
באשקלון	vʔʃklvn
בבוואריה	vvwʔʁˈiʔ
בבטנו	vvtnv
בבלימת	vvlˈimt
בגזרות	vɡzʁvt
בגינו	vɡˈinv
בגלאי	vɡlˈi
בגרמנים	vɡʁmnˈim
בדאלאס	vdʔlʔs
בדרוג	vdʁvɡ
בהגברת	vʔɡvʁt
בהיקפו	vˈikfv
בוואדי	vwʔdˈi
בוויילס	vwjjls
בוניפסיו	vvnˈifsiv
בזנבו	vznvv
בחברי	vχvʁˈi
בחשיכה	vχʃjχʔ
בחשש	vχʃʃ
בטיול	vtˈivl
בטנה	vtnʔ
ביברס	vˈivʁs
ביירן	vˈijʁn
בינארית	vˈinʔʁit
בכורת	vχvʁt
בלאט	vlʔt
בלאן	vlʔn
בלומפילד	vlvmfˈild
במבוך	vmvvχ
במדרונות	vmdʁvnvt
במוסך	vmvsχ
במלכודת	vmlχvdt
בממדי	vmmdˈi
במנועים	vmnvˈim
במעמקי	vmʔmkˈi
במקווה	vmkwʔ
במרס	vmʁs
במשפחתה	vmʃfχtʔ
בנגיעה	vŋjʔʔ
בנוער	vnvʔʁ
בניהולה	vnˈiʔvlʔ
בנרתיק	vnʁtˈik
בסירת	vsˈiʁt
בסם	vsm
בערבי	vʔʁvˈi
בפוטנציאל	vfvtntsˈiʔl
בפזמון	vfzmvn
בפענוח	vfʔnvχ
בפשט	vfʃt
בקיאים	vkˈiim
בקפלה	vkflʔ
בקצות	vktsvt
בקרון	vkʁvn
ברגישות	vʁɡˈiʃvt
ברוקמן	vʁvkmn
ברזילאים	vʁzˈilim
בריגה	vʁˈiɡʔ
ברכו	vʁχv
ברכיו	vʁχˈiv
ברנן	vʁnn
ברצפה	vʁtsfʔ
ברשתית	vʁʃtˈit
בשארית	vʃʔʁˈit
בשורש	vʃvʁʃ
בשלה	vʃlʔ
בתבניות	vtvnˈivt
בתדהמה	vtdʔmʔ
בתצפיות	vttsfˈivt
גונבים	ɡvnvˈim
גופנים	ɡvfnˈim
גיטרת	ɡˈitʁt
גילת	ɡˈilt
גנבות	ɡnvvt
גרש	ɡʁʃ
דוכסית	dvχsˈit
דומיין	dvmˈijn
דונטלו	dvntlv
דופי	dvfˈi
דורס	dvʁs
דחפו	dχfv
דים	dˈim
דלדול	dldvl
דעיכת	dˈiχt
דקורטיבי	dkvʁtˈivi
האגאי	ʔʔɡˈi
האגודל	ʔʔɡvdl
האטומית	ʔʔtvmˈit
האיסורים	ʔˈisvʁim
האמאסאקי	ʔʔmʔsʔkˈi
האמונים	ʔʔmvnˈim
האפייה	ʔʔfˈijʔ
האקטואליה	ʔʔktvʔlˈiʔ
הארציים	ʔʔʁtsˈijm
הבי	ʔvˈi
הבנקאית	ʔvnkˈit
הגואל	ʔɡvʔl
הגושים	ʔɡvʃjm
הגותים	ʔɡvtˈim
הגיבוב	ʔɡˈivvv
הגילויים	ʔɡˈilvjjm
הגלוקוז	ʔɡlvkvz
הגנבה	ʔɡnvʔ
הגסטאפו	ʔɡstʔfv
הדגימות	ʔdɡˈimvt
הדחפים	ʔdχfˈim
הדינים	ʔdˈinim
הדפוסים	ʔdfvsˈim
ההגשמה	ʔʔɡʃmʔ
ההומניטרי	ʔʔvmnˈitʁi
ההמלטה	ʔʔmltʔ
ההנדסי	ʔʔndsˈi
ההסתגלות	ʔʔstɡlvt
ההעסקה	ʔʔʔskʔ
ההצטרפות	ʔʔtstʁfvt
ההשגחה	ʔʔʃɡχʔ
ההתנגשויות	ʔʔtŋʃvjvt
ההתקף	ʔʔtkf
הודאתו	ʔvdʔtv
הוויזואלי	ʔwjzvʔlˈi
הוולשית	ʔwlʃjt
הוחזקה	ʔvχzkʔ
הומניטרית	ʔvmnˈitʁit
הוסתרו	ʔvstʁv
הופקעו	ʔvfkʔv
הוראס	ʔvʁʔs
הושארה	ʔvʃʔʁʔ
הזוגי	ʔzvɡˈi
הזונות	ʔzvnvt
הזליט	ʔzlˈit
החביא	ʔχvˈiʔ
החובבנית	ʔχvvvnˈit
החונטה	ʔχvntʔ
החוצים	ʔχvtsˈim
החיפוי	ʔχˈifvj
החלטתי	hiχlˈatetˌi
החמצה	ʔχmtsʔ
החתית	ʔχtˈit
הטיפה	ʔtˈifʔ
הטירות	ʔtˈiʁvt
הידידים	idˈidim
הידראולי	ˈidʁʔvli
היולדות	ˈivldvt
היינה	ˈijnʔ
היפרדות	ˈifʁdvt
הכבוש	ʔχvvʃ
הכנסותיה	ʔχnsvtˈiʔ
הכנסתו	ʔχnstv
הכפלה	ʔχflʔ
הכתבות	ʔχtvvt
הלאומני	ʔlʔvmnˈi
הלוגיסטיקה	ʔlvɡˈistikʔ
הלוויות	ʔlwjvt
הלחיצה	ʔlχˈitsʔ
הלטיניות	ʔltˈinivt
הלכודים	ʔlχvdˈim
הלסי	ʔlsˈi
הלשנה	ʔlʃnʔ
המאוכלס	ʔmʔvχls
המאיימים	ʔmˈijmim
המבוצע	ʔmvvtsʔ
המבוצעים	ʔmvvtsˈim
המבורגר	ʔmvvʁɡʁ
המגוונות	ʔmɡwnvt
המדבבים	ʔmdvvˈim
המדדים	ʔmddˈim
המודפסים	ʔmvdfsˈim
המוכן	ʔmvχn
המופעלות	ʔmvfʔlvt
המופעלת	ʔmvfʔlt
המוציאים	ʔmvtsˈiim
המזהמים	ʔmzʔmˈim
המזלג	ʔmzlɡ
המטלות	ʔmtlvt
המטרופוליטן	ʔmtʁvfvlˈitn
המיוצגת	ʔmˈivtsɡt
המיתוג	ʔmˈitvɡ
המלוות	ʔmlwt
הממוצעים	ʔmmvtsˈim
הממשיך	ʔmmʃjχ
המנציח	ʔmntsˈiχ
המסוכנת	ʔmsvχnt
המסיים	ʔmsˈijm
המסתובב	ʔmstvvv
המע	ʔmʔ
המעוות	ʔmʔwt
המעמדי	ʔmʔmdˈi
המפטון	ʔmftvn
המפתחת	ʔmftχt
המרגל	ʔmʁɡl
המרוקאית	ʔmʁvkˈit
המשאל	ʔmʃʔl
המשברים	ʔmʃvʁˈim
המשגיח	ʔmʃɡˈiχ
המשמורת	ʔmʃmvʁt
המשערים	ʔmʃʔʁˈim
המתודה	ʔmtvdʔ
המתייחסות	ʔmtˈijχsvt
הנאמר	ʔnʔmʁ
הנבדקת	ʔnvdkt
הנדבקים	ʔndvkˈim
הנהוגות	ʔnʔvɡvt
הנוי	ʔnvj
הנוכחיות	ʔnvχχˈivt
הנזקקים	ʔnzkkˈim
הניהולי	ʔnˈiʔvli
הניכרת	ʔnˈiχʁt
הנפלטים	ʔnfltˈim
הנפשיות	ʔnfʃjvt
הנרצח	ʔnʁtsχ
הנתמכת	ʔntmχt
הסוכות	ʔsvχvt
הסוכרת	ʔsvχʁt
הסוער	ʔsvʔʁ
הסוערים	ʔsvʔʁˈim
הסידורי	ʔsˈidvʁi
הסלמה	ʔslmʔ
הסמלית	ʔsmlˈit
הסנוקר	ʔsnvkʁ
הספד	ʔsfd
הספורטאי	ʔsfvʁtˈi
הספקטר	ʔsfktʁ
העבריינים	ʔʔvʁˈijnim
העוול	ʔʔwl
העוצמתי	ʔʔvtsmtˈi
העזיבה	ʔʔzˈivʔ
העיקרים	ʔˈikʁim
הענקי	ʔʔnkˈi
הפוכות	ʔfvχvt
הפוריים	ʔfvʁˈijm
הפטריוטס	ʔftʁˈivts
הפיכים	ʔfˈiχim
הפיליפינית	ʔfˌilifˈinit
הפירושים	ʔfˈiʁvʃjm
הפלאוליתית	ʔflʔvlˈitit
הפלגת	ʔflɡt
הפלנגות	ʔflŋvt
הפסיכואנליזה	ʔfsˈiχvʔnlizʔ
הפעלתו	ʔfʔltv
הפרינג	ʔfʁˈiŋ
הפרלמנטריות	ʔfʁlmntʁˈivt
הצווים	ʔtswjm
הצמיגים	ʔtsmˈiɡim
הצפנת	ʔtsfnt
הקדישו	ʔkdˈiʃv
הקודקודים	ʔkvdkvdˈim
הקולומביאני	ʔkvlvmvˈiʔni
הקידושין	ʔkˈidvʃjn
הקילומטרים	ʔkˈilvmtʁim
הקלאן	ʔklʔn
הקלידים	ʔklˈidim
הקניונים	ʔknˈivnim
הקפידה	ʔkfˈidʔ
הקרוסאובר	ʔkʁvsʔvvʁ
הרדודים	ʔʁdvdˈim
הרוויחו	ʔʁwjχv
הרולינג	ʔʁvlˈiŋ
הרופפת	ʔʁvfft
הריבוע	ʔʁˈivvʔ
הריכוזים	ʔʁˈiχvzim
הריסה	ʔʁˈisʔ
הרפז	ʔʁfz
הרציפות	ʔʁtsˈifvt
הרשל	ʔʁʃl
השבה	ʔʃvʔ
השבחים	ʔʃvχˈim
השו	ʔʃv
