да	dˈɑ
елордадағы	eɫoɾdɑdˈɑʀə
емiн	ˈem(͡e͡n)ˈa͡ɪ(͡k͡k)nə
емеспе	emespˈe
енбек	enbˈek
енгiзе	ˈenɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zˈe
ерiккеннен	ˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)kkennˈen
ереуiлдiң	eɾˈew(͡e͡n)ˈa͡ɪ(͡k͡k)ɫədə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
ертесiне	eɾtˈes(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
еріктілері	eɾɪktɪleɾˈɪ
есiрткiге	ˈes(͡e͡n)ˈa͡ɪ(͡k͡k)ɾətəkə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡˈe
есалаң	esɑɫˈɑŋ
есептері	esepteɾˈɪ
ескертпестен	eskeɾtpestˈen
ескертудi	eskˈeɾtwd(͡e͡n)ˈa͡ɪ(͡k͡k)
ескертуінен	eskeɾtwɪnˈen
ескерілуі	eskeɾɪɫwˈɪ
естiгенiн	ˈest(͡e͡n)ˈa͡ɪ(͡k͡k)ɡˈen(͡e͡n)ˈa͡ɪ(͡k͡k)nə
естиміз	ˈestəjmɪz
еңбегiм	eŋbˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)mə
еңсеруге	eŋseɾwɡˈe
еңіреп	eŋɪɾˈep
жiбергiсi	ʒə(͡e͡n)ˈa͡ɪ(͡k͡k)bˈeɾɡ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)
жiбергенде	ʒə(͡e͡n)ˈa͡ɪ(͡k͡k)beɾɡendˈe
жəне	ʒə (͡e͡n)ʃwˈɑː(͡k͡k) nə ˈe
жабамыз	ʒɑbˈɑməz
жабдығы	ʒˈɑbdəʀə
жабылмақ	ʒˈɑbəɫmɑq
жазалай	ʒɑzɑɫˈɑj
жазбада	ʒɑzbɑdˈɑ
жазуыма	ʒˈɑzwəmɑ
жазға	ʒɑzʀˈɑ
жайнаған	ʒɑjnɑʀˈɑn
жайшылықта	ʒˈɑjʃəɫəqtɑ
жамбасы	ʒɑmbˈɑsə
жанарына	ʒɑnˈɑɾənɑ
жанасады	ʒɑnɑsˈɑdə
жанаспайтынын	ʒɑnɑspˈɑjtənən
жандай	ʒɑndˈɑj
жандармен	ʒɑndɑɾmˈen
жанрына	ʒˈɑnɾənɑ
жансызданып	ʒˈɑnsəzdɑnəp
жапқысы	ʒˈɑpqəsə
жарамаған	ʒɑɾɑmɑʀˈɑn
жарияламақшы	ʒˈɑɾəjjaɫɑmɑqʃə
жариялаушылардың	ʒˈɑɾəjjaɫɑwʃəɫɑɾdəŋ
жарылысы	ʒˈɑɾəɫəsə
жарысады	ʒˈɑɾəsɑdə
жасаудағы	ʒɑsɑwdˈɑʀə
жасақталды	ʒɑsɑqtˈɑɫdə
жасымнан	ʒˈɑsəmnɑn
жасырайын	ʒˈɑsəɾɑjən
жаттығудың	ʒˈɑttəʀwdəŋ
жаттығуларды	ʒˈɑttəʀwɫɑɾdə
жаттығулары	ʒˈɑttəʀwɫɑɾə
жаттыққан	ʒˈɑttəqqɑn
жатық	ʒˈɑtəq
жатқаныма	ʒɑtqˈɑnəmɑ
жауынгерлерді	ʒˈɑwənɡeɾleɾdɪ
жауыннан	ʒˈɑwənnɑn
жағымпазданып	ʒˈɑʀəmpɑzdɑnəp
жаңбырлы	ʒˈɑŋbəɾɫə
жаңылмайтын	ʒˈɑŋəɫmɑjtən
жезөкшелікті	ʒezɵkʃelɪktˈɪ
жекешелендіруді	ʒekeʃelendɪɾwdˈɪ
жекешелендірудің	ʒekeʃelendɪɾwdˈɪŋ
жертөлеге	ʒeɾtɵleɡˈe
жерің	ʒeɾˈɪŋ
жетiстiгiмiз	ʒˈet(͡e͡n)ˈa͡ɪ(͡k͡k)sətə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)zə
жетелеген	ʒeteleɡˈen
жететіні	ʒetetɪnˈɪ
жеткiзсек	ʒˈetk(͡e͡n)ˈa͡ɪ(͡k͡k)zsˈek
жетпейтiнiн	ʒetpˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
жетудiң	ʒˈetwd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
жетімді	ʒetɪmdˈɪ
жеңгенi	ʒeŋɡˈen(͡e͡n)ˈa͡ɪ(͡k͡k)
жиындарды	ʒəjəndɑɾdə
жолаушысы	ʒoɫˈɑwʃəsə
жолдарымен	ʒoɫdˈɑɾəmen
жорыққа	ʒˈoɾəqqɑ
жоқтаған	ʒoqtɑʀˈɑn
жоқтықтан	ʒˈoqtəqtɑn
жуады	ʒwˈɑdə
журналистиканы	ʒwɾnˈɑɫəjstəjkɑnə
журналистикасы	ʒwɾnˈɑɫəjstəjkɑsə
журналындағы	ʒwɾnˈɑɫəndɑʀə
жылдамырақ	ʒəɫdɑməɾɑq
жылдардағыдай	ʒəɫdɑɾdɑʀədɑj
жылдағыдан	ʒəɫdɑʀədɑn
жылудың	ʒəɫwdəŋ
жылынуы	ʒəɫənwə
жылытуға	ʒəɫətwʀɑ
жылғыдай	ʒəɫʀədɑj
жылқыларды	ʒəɫqəɫɑɾdə
жынысы	ʒənəsə
жынысын	ʒənəsən
жыраққа	ʒəɾɑqqɑ
жырлайтын	ʒəɾɫɑjtən
жібергісі	ʒɪbeɾɡɪsˈɪ
жќне	ʒənˈe
жүгірді	ʒuɡɪɾdˈɪ
жүктедi	ʒuktˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
жүктеді	ʒuktedˈɪ
жүктеледі	ʒukteledˈɪ
жүктеме	ʒuktemˈe
жүктің	ʒuktˈɪŋ
жүлделер	ʒuɫdelˈeɾ
жүргiзiлетiн	ʒˈuɾɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
жүргенiнен	ʒuɾɡˈen(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
жүргіншіні	ʒuɾɡɪnʃɪnˈɪ
жүрегiндегi	ʒuɾˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
жүрекжарды	ʒuɾekʒˈɑɾdə
жүрекпен	ʒuɾekpˈen
жұлдыздарды	ʒˈʊɫdəzdɑɾdə
жұмасында	ʒʊmˈɑsəndɑ
жұмысбасты	ʒˈʊməsbɑstə
жұғады	ʒʊʀˈɑdə
жәдiгер	ʒˈæd(͡e͡n)ˈa͡ɪ(͡k͡k)ɡˈeɾ
жәдігерлерді	ʒædɪɡeɾleɾdˈɪ
жәрдемақыдан	ʒæɾdemˈɑqədɑn
жәрдемақысын	ʒæɾdemˈɑqəsən
жәрдемнің	ʒæɾdemnˈɪŋ
жәрмеңкеде	ʒæɾmeŋkedˈe
замандас	zɑmɑndˈɑs
заманымыздың	zɑmˈɑnəməzdəŋ
зарин	zˈɑɾəjn
заңдылықтары	zˈɑŋdəɫəqtɑɾə
зерттеді	zeɾttedˈɪ
зертханасы	zeɾtxɑnˈɑsə
зираттың	zəjɾɑttəŋ
зорлауға	zoɾɫɑwʀˈɑ
идеясымен	əjdejasəmen
имамға	əjmɑmʀɑ
импортына	əjmpoɾtənɑ
инаугурация	əjnɑwɡwɾɑtsəjja
инстанциясы	əjnstɑntsəjjasə
интеграциясы	əjnteɡɾɑtsəjjasə
интернетпен	əjnteɾnetpen
кiнәсiздiгiн	kə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈæs(͡e͡n)ˈa͡ɪ(͡k͡k)zədə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
кабинетін	kˈɑbəjnetɪn
кадет	kɑdˈet
кампаниясының	kɑmpˈɑnəjjasənəŋ
кедейлерге	kedejleɾɡˈe
кездесулерiн	kezdeswlˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə
кездесуінің	kezdeswɪnˈɪŋ
кезіміз	kezɪmˈɪz
кейiпкердiң	kˈej(͡e͡n)ˈa͡ɪ(͡k͡k)pkˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
кейбiрiнiң	kˈejb(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
кейпін	kejpˈɪn
келiнiне	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
келiсiмдерге	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)sə(͡e͡n)ˈa͡ɪ(͡k͡k)mdeɾɡˈe
келiспедi	kˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)spˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
келетіндерін	keletɪndeɾˈɪn
келмейтіндігін	keɫmejtɪndɪɡˈɪn
келудi	kˈeɫwd(͡e͡n)ˈa͡ɪ(͡k͡k)
келушiлер	kˈeɫwʃ(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾ
келіспейтіндер	kelɪspejtɪndˈeɾ
келіссөзі	kelɪssɵzˈɪ
кемесінің	kemesɪnˈɪŋ
кемпір	kempˈɪɾ
кемшілігін	kemʃɪlɪɡˈɪn
кеспе	kespˈe
кетерлiк	ketˈeɾɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
кетесің	ketesˈɪŋ
кетпесін	ketpesˈɪn
кеудесін	kewdesˈɪn
кешенінен	keʃenɪnˈen
кеңесшілері	keŋesʃɪleɾˈɪ
кеңселеріне	keŋseleɾɪnˈe
киiмiнiң	kəj(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
киiмге	kəj(͡e͡n)ˈa͡ɪ(͡k͡k)mɡˈe
киностудия	kəjnostwdəjja
киносында	kəjnosəndɑ
клиенттерін	kɫəjentteɾɪn
кодексiн	kodˈeks(͡e͡n)ˈa͡ɪ(͡k͡k)nə
коллегиясы	koɫlˈeɡəjjasə
комментариінде	kommentˈɑɾəjɪnde
коммуникациялық	kˈommwnəjkɑtsəjjaɫəq
коммунистердiң	kˈommwnəjsteɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
композиция	kompˈozəjtsəjja
консерваториясының	konseɾvɑtˈoɾəjjasənəŋ
конфедерациясының	konfedeɾˈɑtsəjjasənəŋ
концерттен	kontseɾttˈen
курстасы	kwɾstˈɑsə
курстың	kwɾstəŋ
куәліктерін	kwælɪkteɾˈɪn
кірдім	kɪɾdˈɪm
кіруін	kɪɾwˈɪn
күдіктілерге	kudɪktɪleɾɡˈe
күйiнiп	kˈuj(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)pə
күйдiрiп	kˈujd(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)pə
күйеуiмен	kujˈew(͡e͡n)ˈa͡ɪ(͡k͡k)mˈen
күмәнданбайды	kumændɑnbˈɑjdə
күмәнсіз	kumænsˈɪz
күнделiк	kundˈeɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
күнтізбесін	kuntɪzbesˈɪn
күресуi	kuɾˈesw(͡e͡n)ˈa͡ɪ(͡k͡k)
күтiм	kˈut(͡e͡n)ˈa͡ɪ(͡k͡k)mə
күттім	kuttˈɪm
күтушi	kˈutwʃ(͡e͡n)ˈa͡ɪ(͡k͡k)
күшiнiң	kˈuʃ(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
кәріне	kæɾɪnˈe
кәсiбiне	kˈæs(͡e͡n)ˈa͡ɪ(͡k͡k)bə(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
кәсiпке	kˈæs(͡e͡n)ˈa͡ɪ(͡k͡k)pkˈe
кәсіпорнында	kæsɪpˈoɾnəndɑ
кәсіпорындарында	kæsɪpˈoɾəndɑɾəndɑ
көкейiндегi	kɵkˈej(͡e͡n)ˈa͡ɪ(͡k͡k)ndˈeɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
көкейкесті	kɵkejkestˈɪ
көктемгi	kɵktˈemɡ(͡e͡n)ˈa͡ɪ(͡k͡k)
көліктерімен	kɵlɪkteɾɪmˈen
көмектiң	kɵmˈekt(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
көмекшiлерi	kɵmˈekʃ(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
көптігінен	kɵptɪɡɪnˈen
көпірі	kɵpɪɾˈɪ
көрiгiн	kˈɵɾ(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə
көрiпкел	kˈɵɾ(͡e͡n)ˈa͡ɪ(͡k͡k)pkˈeɫ
көргендіктен	kɵɾɡendɪktˈen
көрермені	kɵɾeɾmenˈɪ
көрмелерге	kɵɾmeleɾɡˈe
көрмеппiн	kɵɾmˈepp(͡e͡n)ˈa͡ɪ(͡k͡k)nə
көрмес	kɵɾmˈes
көріну	kɵɾˈɪnw
көсегесi	kɵseɡˈes(͡e͡n)ˈa͡ɪ(͡k͡k)
көтердім	kɵteɾdˈɪm
көтеруіне	kɵteɾwɪnˈe
көшiрiлдi	kˈɵʃ(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫədə(͡e͡n)ˈa͡ɪ(͡k͡k)
көшбасшыға	kɵʃbˈɑsʃəʀɑ
лаң	ɫˈɑŋ
литрден	ɫəjtɾden
лоббистік	ɫˈobbəjstɪk
локомотив	ɫokomˈotəjv
ләзім	læzˈɪm
мiнбеге	mə(͡e͡n)ˈa͡ɪ(͡k͡k)nbeɡˈe
мiнездеме	mə(͡e͡n)ˈa͡ɪ(͡k͡k)nezdemˈe
магистратураға	mˈɑɡəjstɾɑtwɾɑʀɑ
малдар	mɑɫdˈɑɾ
малынан	mˈɑɫənɑn
маманнан	mɑmɑnnˈɑn
марапаттаған	mɑɾɑpɑttɑʀˈɑn
матаны	mɑtˈɑnə
матаға	mɑtɑʀˈɑ
мақсаттан	mɑqsɑttˈɑn
медальды	medˈɑɫʔdə
медальдің	medɑɫʔdˈɪŋ
медицинаның	mˈedəjtsəjnɑnəŋ
мекендердiң	mekendˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
менеджерлердің	menedʒeɾleɾdˈɪŋ
мерекелеу	meɾekelˈew
металдардың	metɑɫdˈɑɾdəŋ
металлург	metˈɑɫɫwɾɡ
метрдi	mˈetɾd(͡e͡n)ˈa͡ɪ(͡k͡k)
меңгермеген	meŋɡeɾmeɡˈen
меңдеген	meŋdeɡˈen
министрiн	məjnəjstɾ(͡e͡n)ˈa͡ɪ(͡k͡k)nə
министрімен	məjnəjstɾɪmen
моделін	modelˈɪn
мойындаймыз	mˈojəndɑjməz
мойындағандай	mˈojəndɑʀɑndɑj
мойынсұнып	mˈojənsʊnəp
молайып	moɫˈɑjəp
муниципалдық	mwnəjtsəjpɑɫdəq
мырзадан	məɾzɑdɑn
мысалдармен	məsɑɫdɑɾmen
мысалдары	məsɑɫdɑɾə
міндетім	mɪndetˈɪm
мүддесімен	muddesɪmˈen
мүліктерді	mulɪkteɾdˈɪ
мүшесiн	muʃˈes(͡e͡n)ˈa͡ɪ(͡k͡k)nə
мұрагерлiк	mʊɾɑɡˈeɾɫ(͡e͡n)ˈa͡ɪ(͡k͡k)kə
мұрағатта	mʊɾɑʀɑttˈɑ
мұрағатқа	mʊɾɑʀɑtqˈɑ
мұсылмандардан	mˈʊsəɫmɑndɑɾdɑn
мұсылманы	mˈʊsəɫmɑnə
мұқтаждығы	mʊqtˈɑʒdəʀə
мәжбүрмiн	mæʒbˈuɾm(͡e͡n)ˈa͡ɪ(͡k͡k)nə
мәнді	mændˈɪ
мәре	mæɾˈe
мәселелерінің	mæseleleɾɪnˈɪŋ
мәселесiнен	mæselˈes(͡e͡n)ˈa͡ɪ(͡k͡k)nˈen
надандық	nɑdˈɑndəq
насихаттай	nˈɑsəjxɑttɑj
насыбай	nˈɑsəbɑj
наурызды	nˈɑwɾəzdə
науқаннан	nɑwqɑnnˈɑn
нақтылады	nˈɑqtəɫɑdə
нақтыланбаған	nˈɑqtəɫɑnbɑʀɑn
недели	nedˈeɫəj
несиелендіру	nˈesəjelendɪɾw
несиелердің	nˈesəjeleɾdɪŋ
несімен	nesɪmˈen
нең	nˈeŋ
нұсқаға	nʊsqɑʀˈɑ
нәрселерден	næɾseleɾdˈen
нөмірінде	nɵmɪɾɪndˈe
облысымен	ˈobɫəsəmen
озбырлығына	ˈozbəɾɫəʀənɑ
ойлайық	ojɫˈɑjəq
ойландыратын	ojɫˈɑndəɾɑtən
ойнағанды	ojnɑʀˈɑndə
округы	ˈokɾwɡə
оператордың	opeɾɑtˈoɾdəŋ
операторының	opeɾɑtˈoɾənəŋ
оппозициясына	oppˈozəjtsəjjasənɑ
оралғанына	oɾɑɫʀˈɑnənɑ
орденін	oɾdenˈɪn
оркестрдің	oɾkestɾdˈɪŋ
орнаса	oɾnɑsˈɑ
орнатпақ	oɾnɑtpˈɑq
орындықтар	ˈoɾəndəqtɑɾ
орындықты	ˈoɾəndəqtə
орыстiлдiлердiң	ˈoɾəst(͡e͡n)ˈa͡ɪ(͡k͡k)ɫədə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈeɾd(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
оспадар	ospɑdˈɑɾ
осыншалық	ˈosənʃɑɫəq
отандастар	otɑndɑstˈɑɾ
отандастарын	otɑndɑstˈɑɾən
отаным	otˈɑnəm
отбасымыздың	otbˈɑsəməzdəŋ
отырудан	ˈotəɾwdɑn
отырғанбыз	ˈotəɾʀɑnbəz
отырғызылған	ˈotəɾʀəzəɫʀɑn
оқитындардың	ˈoqəjtəndɑɾdəŋ
оқуларын	oqwɫˈɑɾən
оқысаң	ˈoqəsɑŋ
пайдаланушыларға	pɑjdɑɫˈɑnwʃəɫɑɾʀɑ
палуанның	pɑɫwˈɑnnəŋ
парақорлықтың	pɑɾɑqˈoɾɫəqtəŋ
парақтар	pɑɾɑqtˈɑɾ
парктiң	pˈɑɾkt(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
патшалығы	pɑtʃˈɑɫəʀə
пенделер	pendelˈeɾ
петицияны	pˈetəjtsəjjanə
полигонға	pˈoɫəjɡonʀɑ
полициядағы	pˈoɫəjtsəjjadɑʀə
православтық	pɾɑvosɫˈɑvtəq
премьерi	pɾemʔˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
провайдерлер	pɾovɑjdeɾlˈeɾ
прокуратураны	pɾokwɾɑtwɾˈɑnə
прокуратурасынан	pɾokwɾɑtwɾˈɑsənɑn
процедурасын	pɾotsedwɾˈɑsən
психологтың	psəjxoɫoɡtəŋ
пункттері	pwnktteɾˈɪ
піскен	pɪskˈen
раушан	ɾɑwʃˈɑn
режимнен	ɾˈeʒəjmnen
рельстен	ɾeɫʔstˈen
рентген	ɾentɡˈen
репрессияны	ɾepɾˈessəjjanə
республикасындағы	ɾˈespwbɫəjkɑsəndɑʀə
рублi	ɾwbɫ(͡e͡n)ˈa͡ɪ(͡k͡k)
рухқа	ɾwxqˈɑ
рынокқа	ɾənokqɑ
рэпер	ɾepˈeɾ
рөлде	ɾɵɫdˈe
рөлінде	ɾɵlɪndˈe
сабын	sˈɑbən
сайлай	sɑjɫˈɑj
сайланғанын	sɑjɫɑnʀˈɑnən
сайран	sɑjɾˈɑn
салтымен	sˈɑɫtəmen
салыстырар	sˈɑɫəstəɾɑɾ
салысып	sˈɑɫəsəp
санайтындарын	sɑnˈɑjtəndɑɾən
санапты	sɑnˈɑptə
санарлықтай	sɑnˈɑɾɫəqtɑj
санасады	sɑnɑsˈɑdə
санаспайтын	sɑnɑspˈɑjtən
санасының	sɑnˈɑsənəŋ
сандалған	sɑndɑɫʀˈɑn
сандаған	sɑndɑʀˈɑn
сапарымыз	sɑpˈɑɾəməz
сарғайып	sɑɾʀˈɑjəp
сауалдары	sɑwɑɫdˈɑɾə
саусақтары	sɑwsɑqtˈɑɾə
сақталатынын	sɑqtɑɫˈɑtənən
сақтана	sɑqtɑnˈɑ
саққа	sɑqqˈɑ
саңлақтар	sɑŋɫɑqtˈɑɾ
сезімтал	sezɪmtˈɑɫ
сезінді	sezɪndˈɪ
сезіндім	sezɪndˈɪm
семіз	semˈɪz
сенiмiмiз	sˈen(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)mə(͡e͡n)ˈa͡ɪ(͡k͡k)zə
сенбеді	senbedˈɪ
сендiруге	sˈend(͡e͡n)ˈa͡ɪ(͡k͡k)ɾwɡˈe
сендірген	sendɪɾɡˈen
сенімнің	senɪmnˈɪŋ
серкелерi	seɾkelˈeɾ(͡e͡n)ˈa͡ɪ(͡k͡k)
сипаттай	səjpɑttɑj
сиырлардың	səjəɾɫɑɾdəŋ
сия	səjja
скрипка	səkɾəjpkɑ
солдаттарға	soɫdɑttɑɾʀˈɑ
сопы	sˈopə
социологиялық	sˈotsəjoɫoɡəjjaɫəq
сою	sojˈu
соятын	sojˈatən
соққысын	sˈoqqəsən
спектакльді	spektɑkɫʔdˈɪ
спортшыдан	spˈoɾtʃədɑn
стан	stˈɑn
станцияларының	stˈɑntsəjjaɫɑɾənəŋ
стерлингке	stˈeɾɫəjnɡke
стильде	stəjɫʔde
субъектісі	swbʔektɪsˈɪ
супермаркет	swpeɾmɑɾkˈet
суығына	swəʀənɑ
схема	sxemˈɑ
сценарийi	stsenˈɑɾəjj(͡e͡n)ˈa͡ɪ(͡k͡k)
сыйынып	səjənəp
сылтаулар	səɫtɑwɫɑɾ
сыналады	sənɑɫɑdə
сынама	sənɑmɑ
сыныптарды	sənəptɑɾdə
сырқаттар	səɾqɑttɑɾ
сырқатын	səɾqɑtən
сырқатынан	səɾqɑtənɑn
сыяды	səjadə
сыңары	səŋɑɾə
сюжеттер	sjuʒettˈeɾ
сілтеген	sɪɫteɡˈen
сүйрейтiн	sujɾˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə
сүруiне	sˈuɾw(͡e͡n)ˈa͡ɪ(͡k͡k)nˈe
сүрудің	suɾwdˈɪŋ
сүрінбей	suɾɪnbˈej
сұлулығын	sˈʊɫwɫəʀən
сұмдықтың	sˈʊmdəqtəŋ
сұрайтынын	sʊɾˈɑjtənən
сұрыпталып	sˈʊɾəptɑɫəp
сұрықсыз	sˈʊɾəqsəz
сәттерін	sætteɾˈɪn
сәуiрге	sˈæw(͡e͡n)ˈa͡ɪ(͡k͡k)ɾɡˈe
сәуірге	sæwɪɾɡˈe
сөйлемейдi	sɵjlemˈejd(͡e͡n)ˈa͡ɪ(͡k͡k)
сөйлемейтiн	sɵjlemˈejt(͡e͡n)ˈa͡ɪ(͡k͡k)nə
тiлдер	tə(͡e͡n)ˈa͡ɪ(͡k͡k)ɫdˈeɾ
тiлеуiн	tə(͡e͡n)ˈa͡ɪ(͡k͡k)lˈew(͡e͡n)ˈa͡ɪ(͡k͡k)nə
тiрейдi	tə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈejd(͡e͡n)ˈa͡ɪ(͡k͡k)
тiрлiгiнiң	tə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾəɫə(͡e͡n)ˈa͡ɪ(͡k͡k)ɡə(͡e͡n)ˈa͡ɪ(͡k͡k)nə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
тiсқаққан	tə(͡e͡n)ˈa͡ɪ(͡k͡k)sqɑqqˈɑn
табандылығы	tɑbˈɑndəɫəʀə
табандылықпен	tɑbˈɑndəɫəqpen
табудан	tɑbwdˈɑn
табысымыз	tˈɑbəsəməz
талабым	tɑɫˈɑbəm
таланттардың	tɑɫɑnttˈɑɾdəŋ
талаптарымыз	tɑɫɑptˈɑɾəməz
таластыру	tɑɫˈɑstəɾw
талмасына	tɑɫmˈɑsənɑ
тамызына	tˈɑməzənɑ
танкі	tɑnkˈɪ
танылуы	tˈɑnəɫwə
танысын	tˈɑnəsən
танытудың	tˈɑnətwdəŋ
танытушыларға	tˈɑnətwʃəɫɑɾʀɑ
таптаған	tɑptɑʀˈɑn
таралады	tɑɾɑɫˈɑdə
таралуын	tɑɾˈɑɫwən
тармағында	tɑɾmˈɑʀəndɑ
тартысын	tˈɑɾtəsən
таспаны	tɑspˈɑnə
тасқынның	tˈɑsqənnəŋ
татардың	tɑtˈɑɾdəŋ
таяғы	tɑjˈaʀə
тағында	tˈɑʀəndɑ
тақуа	tɑqwˈɑ
тақырыбымен	tˈɑqəɾəbəmen
тақырыбынан	tˈɑqəɾəbənɑn
таққаны	tɑqqˈɑnə
таңдапты	tɑŋdˈɑptə
тезарада	tezɑɾɑdˈɑ
текетіресі	teketɪɾesˈɪ
телевидение	telˈevəjdenəje
телеграмма	teleɡɾɑmmˈɑ
телефонының	telefˈonənəŋ
тергеушiлерге	teɾɡˈewʃ(͡e͡n)ˈa͡ɪ(͡k͡k)leɾɡˈe
тиiссiң	təj(͡e͡n)ˈa͡ɪ(͡k͡k)səsə(͡e͡n)ˈa͡ɪ(͡k͡k)ŋə
тигiзуде	təjɡ(͡e͡n)ˈa͡ɪ(͡k͡k)zwdˈe
типтегі	təjpteɡɪ
тойымсыз	tˈojəmsəz
тойынан	tˈojənɑn
толғағы	toɫʀˈɑʀə
тонаған	tonɑʀˈɑn
тосқауылды	tosqˈɑwəɫdə
тоған	toʀˈɑn
тоғыздан	tˈoʀəzdɑn
тротуар	tɾotwˈɑɾ
туатыны	twˈɑtənə
тудыратынын	twdəɾɑtənən
туындатып	twəndɑtəp
туындағанын	twəndɑʀɑnən
тыйымдар	təjəmdɑɾ
тыңда	təŋdɑ
тілдерде	tɪɫdeɾdˈe
тілдерінің	tɪɫdeɾɪnˈɪŋ
тілшілерін	tɪɫʃɪleɾˈɪn
тіркеліпті	tɪɾkelɪptˈɪ
түбегі	tubeɡˈɪ
түбекте	tubektˈe
түзетiп	tuzˈet(͡e͡n)ˈa͡ɪ(͡k͡k)pə
түнінде	tunɪndˈe
түптің	tuptˈɪŋ
түркімендердің	tuɾkɪmendeɾdˈɪŋ
түрлерімен	tuɾleɾɪmˈen
түртіп	tuɾtˈɪp
түсiндiретiн	tˈus(͡e͡n)ˈa͡ɪ(͡k͡k)nədə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈet(͡e͡n)ˈa͡ɪ(͡k͡k)nə
түсiрдiк	tˈus(͡e͡n)ˈa͡ɪ(͡k͡k)ɾədə(͡e͡n)ˈa͡ɪ(͡k͡k)kə
түсiрсе	tˈus(͡e͡n)ˈa͡ɪ(͡k͡k)ɾsˈe
түскенге	tuskenɡˈe
түсіндірместен	tusɪndɪɾmestˈen
түсініктер	tusɪnɪktˈeɾ
түсірмей	tusɪɾmˈej
тұлғаларын	tʊɫʀɑɫˈɑɾən
тұмауға	tʊmɑwʀˈɑ
тұралатып	tʊɾɑɫˈɑtəp
тұратындай	tʊɾˈɑtəndɑj
тұрмайтынын	tʊɾmˈɑjtənən
